Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																			
Дата голосования: 07.12.2003 0:00:00																																			
																																			
Наименование Избирательной комиссии:    Ракитянская 																																			
																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																			
																																			
		Сумма	УИК  848	УИК  849	УИК  850	УИК  851	УИК  852	УИК  853	УИК  854	УИК  855	УИК  856	УИК  857	УИК  858	УИК  859	УИК  860	УИК  861	УИК  862	УИК  863	УИК  864	УИК  865	УИК  866	УИК  867	УИК  868	УИК  869	УИК  870	УИК  871	УИК  872	УИК  873	УИК  874	УИК  875					
		0.07%	0.0%	0.0%	0.0%	0.45%	1.43%	0.0%	0.0%	0.0%	0.0%	0.0%	0.13%	0.0%	0.0%	0.15%	0.67%	0.0%	0.0%	0.0%	0.0%	0.07%	0.0%	0.14%	0.24%	0.0%	0.12%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	59	1	0	1	4	1	1	1	3	0	0	0	0	2	0	0	0	4	1	0	4	18	2	0	6	7	2	1	0					
		0.29%	0.29%	0.0%	0.33%	0.91%	0.47%	0.29%	0.51%	0.40%	0.0%	0.0%	0.0%	0.0%	0.25%	0.0%	0.0%	0.0%	1.01%	0.30%	0.0%	0.28%	1.10%	0.14%	0.0%	0.65%	0.44%	0.13%	0.06%	0.0%					
27	"10. ""Аграрная партия России"""	965	6	50	38	20	12	18	8	61	37	31	41	11	55	25	10	13	13	5	14	33	53	42	14	41	53	103	120	38					
		4.87%	1.76%	5.18%	12.75%	4.59%	5.74%	5.27%	4.12%	8.29%	15.41%	5.81%	5.46%	3.80%	6.97%	3.76%	3.35%	2.46%	3.30%	1.51%	4.06%	2.36%	3.25%	2.96%	3.43%	4.45%	3.40%	7.02%	7.62%	5.03%					
28	"11. ""Истинные патриоты России"""	41	0	0	0	0	1	0	0	26	0	0	0	1	1	0	1	0	3	0	1	3	1	1	0	0	1	1	0	0					
		0.20%	0.0%	0.0%	0.0%	0.0%	0.47%	0.0%	0.0%	3.53%	0.0%	0.0%	0.0%	0.34%	0.12%	0.0%	0.33%	0.0%	0.76%	0.0%	0.29%	0.21%	0.06%	0.07%	0.0%	0.0%	0.06%	0.06%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	173	2	2	2	7	0	5	4	3	3	0	8	0	8	1	0	0	5	4	4	14	20	23	5	12	15	6	15	5					
		0.87%	0.58%	0.20%	0.67%	1.60%	0.0%	1.46%	2.06%	0.40%	1.25%	0.0%	1.06%	0.0%	1.01%	0.15%	0.0%	0.0%	1.27%	1.20%	1.16%	1.00%	1.23%	1.62%	1.22%	1.30%	0.96%	0.40%	0.95%	0.66%					
30	"13. ""Демократическая партия России"""	54	1	0	0	3	0	1	0	2	1	0	2	1	4	3	0	0	1	1	1	6	8	4	0	3	4	1	5	2					
		0.27%	0.29%	0.0%	0.0%	0.68%	0.0%	0.29%	0.0%	0.27%	0.41%	0.0%	0.26%	0.34%	0.50%	0.45%	0.0%	0.0%	0.25%	0.30%	0.29%	0.43%	0.49%	0.28%	0.0%	0.32%	0.25%	0.06%	0.31%	0.26%					
31	"14. ""Великая Россия - Евразийский Союз"""	37	0	2	1	3	0	0	1	2	1	0	1	3	0	1	0	2	0	0	0	5	4	2	0	1	4	0	3	1					
		0.18%	0.0%	0.20%	0.33%	0.68%	0.0%	0.0%	0.51%	0.27%	0.41%	0.0%	0.13%	1.03%	0.0%	0.15%	0.0%	0.37%	0.0%	0.0%	0.0%	0.35%	0.24%	0.14%	0.0%	0.10%	0.25%	0.0%	0.19%	0.13%					
32	"15. ""Партия СЛОН"""	14	1	0	0	1	1	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	2	2	0					
		0.07%	0.29%	0.0%	0.0%	0.22%	0.47%	0.29%	0.0%	0.27%	0.0%	0.0%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.06%	0.14%	0.0%	0.0%	0.0%	0.13%	0.12%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	942	13	32	4	19	8	13	12	44	5	19	14	6	15	17	6	11	11	8	6	107	121	92	20	71	91	55	92	30					
		4.75%	3.82%	3.31%	1.34%	4.36%	3.82%	3.81%	6.18%	5.98%	2.08%	3.56%	1.86%	2.07%	1.90%	2.56%	2.01%	2.08%	2.79%	2.41%	1.74%	7.67%	7.44%	6.48%	4.91%	7.70%	5.84%	3.75%	5.84%	3.97%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	72	1	0	2	1	1	0	2	3	0	0	5	4	7	1	3	0	4	1	0	5	6	6	5	0	1	8	3	3					
		0.36%	0.29%	0.0%	0.67%	0.22%	0.47%	0.0%	1.03%	0.40%	0.0%	0.0%	0.66%	1.38%	0.88%	0.15%	1.00%	0.0%	1.01%	0.30%	0.0%	0.35%	0.36%	0.42%	1.22%	0.0%	0.06%	0.54%	0.19%	0.39%					
35	"18. ""ЛДПР"""	1818	26	61	19	28	18	35	19	38	3	57	47	16	66	32	8	28	34	24	10	168	192	197	31	99	180	135	152	95					
		9.18%	7.64%	6.32%	6.37%	6.43%	8.61%	10.26%	9.79%	5.17%	1.25%	10.69%	6.26%	5.53%	8.37%	4.81%	2.68%	5.30%	8.65%	7.25%	2.90%	12.05%	11.80%	13.89%	7.61%	10.74%	11.56%	9.20%	9.66%	12.59%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	323	3	10	8	3	4	1	2	9	1	0	17	2	6	7	6	10	8	5	3	33	28	24	1	25	44	20	35	8					
		1.63%	0.88%	1.03%	2.68%	0.68%	1.91%	0.29%	1.03%	1.22%	0.41%	0.0%	2.26%	0.69%	0.76%	1.05%	2.01%	1.89%	2.03%	1.51%	0.87%	2.36%	1.72%	1.69%	0.24%	2.71%	2.82%	1.36%	2.22%	1.06%					
37	"20. ""Политическая партия ""Единая Россия"""	10028	193	613	172	255	116	167	78	311	142	283	463	186	425	484	128	392	244	212	228	556	610	576	248	414	675	790	650	417					
		50.67%	56.76%	63.58%	57.71%	58.62%	55.50%	48.97%	40.20%	42.31%	59.16%	53.09%	61.73%	64.35%	53.93%	72.89%	42.95%	74.24%	62.08%	64.04%	66.27%	39.88%	37.51%	40.62%	60.93%	44.95%	43.35%	53.88%	41.32%	55.30%					
38	"21. ""Российская Конституционно-демократическая партия"""	38	2	2	0	0	0	1	0	3	0	0	6	0	0	0	3	2	0	1	1	0	1	1	2	2	1	2	8	0					
		0.19%	0.58%	0.20%	0.0%	0.0%	0.0%	0.29%	0.0%	0.40%	0.0%	0.0%	0.8%	0.0%	0.0%	0.0%	1.00%	0.37%	0.0%	0.30%	0.29%	0.0%	0.06%	0.07%	0.49%	0.21%	0.06%	0.13%	0.50%	0.0%					
39	"22. ""Развитие предпринимательства"""	58	1	0	1	0	0	0	0	0	0	2	0	0	0	2	1	1	0	1	0	9	14	11	0	2	4	1	7	1					
		0.29%	0.29%	0.0%	0.33%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.37%	0.0%	0.0%	0.0%	0.30%	0.33%	0.18%	0.0%	0.30%	0.0%	0.64%	0.86%	0.77%	0.0%	0.21%	0.25%	0.06%	0.44%	0.13%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	2928	61	140	19	55	22	76	22	132	26	79	96	19	80	24	101	31	31	35	48	269	319	231	52	110	254	217	301	78					
		14.79%	17.94%	14.52%	6.37%	12.64%	10.52%	22.28%	11.34%	17.95%	10.83%	14.82%	12.8%	6.57%	10.15%	3.61%	33.89%	5.87%	7.88%	10.57%	13.95%	19.29%	19.61%	16.29%	12.77%	11.94%	16.31%	14.80%	19.13%	10.34%					
																																			
41	Против всех	599	14	13	4	11	3	6	4	19	2	25	13	3	30	27	6	14	4	3	11	47	55	55	8	56	55	34	40	37					
		3.02%	4.11%	1.34%	1.34%	2.52%	1.43%	1.75%	2.06%	2.58%	0.83%	4.69%	1.73%	1.03%	3.80%	4.06%	2.01%	2.65%	1.01%	0.90%	3.19%	3.37%	3.38%	3.87%	1.96%	6.08%	3.53%	2.31%	2.54%	4.90%					
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
