Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																							
Дата голосования: 07.12.2003 0:00:00																																																																							
																																																																							
Наименование Избирательной комиссии:    Анапская курортная																																																																							
																																																																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																							
																																																																							
		Сумма	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	794	14	26	20	15	15	15	20	15	15	20	15	20	20	20	15	20	20	5	5	15	15	15	15	5	15	15	6	5	4	15	15	10	10	15	5	6	9	5	15	15	10	15	5	15	5	5	5	5	20	15	5	15	8	5	5	5	15	12	15	15	15	4	15	15					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	285	7	22	5	9	9	2	11	4	4	6	6	9	2	18	4	9	7	2	2	4	4	5	3	2	3	5	0	0	1	6	5	5	8	1	2	2	5	0	5	4	3	5	0	5	1	1	1	1	13	4	0	15	1	3	0	0	1	3	1	2	7	0	9	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	274	52	21	2	12	39	4	3	7	2	9	6	3	5	7	5	4	1	33	0	4	0	1	0	0	3	0	1	0	1	0	2	5	4	0	0	0	0	1	1	2	0	4	0	1	1	3	0	0	2	0	0	3	1	2	0	1	0	1	1	1	5	0	6	2					
14	Число погашенных открепительных удостоверений	509	7	4	15	6	6	13	9	11	11	14	9	11	18	2	11	11	13	3	3	11	11	10	12	3	12	10	6	5	3	9	10	5	2	14	3	4	4	5	10	11	7	10	5	10	4	4	4	4	7	11	5	0	7	2	5	5	14	9	14	13	8	4	6	14					
15	Число открепительных удостоверений выданных ТИК	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																							
18	"1. ""ЕДИНЕНИЕ"""	586	10	24	29	4	11	5	9	6	8	10	9	6	11	14	11	23	8	0	6	7	18	15	4	15	21	5	4	3	5	8	12	13	17	7	10	15	6	9	7	14	12	4	0	7	5	5	7	0	9	9	3	23	2	6	2	10	3	11	12	4	11	11	7	4					
		1.08%	0.68%	0.97%	1.46%	0.26%	1.12%	0.68%	0.74%	0.80%	1.13%	0.69%	0.83%	0.55%	0.76%	0.97%	0.98%	1.53%	0.65%	0.0%	2.71%	1.12%	1.57%	1.70%	0.44%	3.46%	2.44%	0.71%	2.07%	1.52%	1.24%	0.72%	0.97%	1.20%	1.23%	1.12%	2.58%	1.51%	1.32%	2.29%	0.60%	1.45%	1.02%	0.48%	0.0%	0.85%	0.87%	1.14%	2.15%	0.0%	0.68%	1.28%	1.13%	2.09%	0.47%	1.57%	0.58%	2.58%	0.51%	0.92%	1.41%	0.60%	1.28%	3.44%	0.80%	0.58%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	1825	61	158	111	75	62	21	46	45	37	64	48	53	49	56	26	53	65	18	8	29	28	40	33	14	22	25	5	6	4	31	61	32	23	2	2	20	15	9	21	4	21	21	1	10	10	1	0	5	54	8	2	29	3	5	5	4	9	48	29	18	21	8	18	13					
		3.36%	4.16%	6.40%	5.58%	4.98%	6.32%	2.85%	3.79%	6.04%	5.24%	4.45%	4.46%	4.93%	3.41%	3.88%	2.31%	3.53%	5.31%	4.77%	3.61%	4.66%	2.44%	4.55%	3.66%	3.23%	2.55%	3.59%	2.59%	3.04%	0.99%	2.82%	4.95%	2.97%	1.67%	0.32%	0.51%	2.02%	3.31%	2.29%	1.80%	0.41%	1.79%	2.53%	0.57%	1.21%	1.74%	0.22%	0.0%	2.30%	4.10%	1.14%	0.75%	2.64%	0.71%	1.31%	1.46%	1.03%	1.53%	4.05%	3.41%	2.70%	2.45%	2.50%	2.06%	1.88%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1211	44	44	42	28	16	17	30	11	9	30	22	22	56	35	27	26	13	9	3	27	20	26	30	10	16	27	2	12	12	25	26	20	17	11	5	28	14	5	25	26	37	21	4	18	6	5	13	3	27	8	2	16	11	4	4	12	21	25	17	16	14	12	33	14					
		2.23%	3.00%	1.78%	2.11%	1.86%	1.63%	2.31%	2.47%	1.47%	1.27%	2.08%	2.04%	2.04%	3.89%	2.42%	2.40%	1.73%	1.06%	2.38%	1.35%	4.34%	1.74%	2.95%	3.33%	2.30%	1.86%	3.87%	1.03%	6.09%	2.99%	2.28%	2.11%	1.85%	1.23%	1.76%	1.29%	2.83%	3.09%	1.27%	2.14%	2.70%	3.16%	2.53%	2.29%	2.19%	1.04%	1.14%	4.0%	1.38%	2.05%	1.14%	0.75%	1.45%	2.62%	1.05%	1.17%	3.10%	3.57%	2.11%	2.00%	2.40%	1.63%	3.76%	3.78%	2.03%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	2328	87	129	86	110	57	45	86	49	27	90	79	51	76	87	74	78	80	21	4	40	49	35	35	13	26	34	3	16	13	32	52	57	52	8	11	39	9	14	28	14	5	18	3	14	13	5	6	5	66	4	5	28	10	16	17	9	20	58	29	20	33	2	28	18					
		4.29%	5.93%	5.23%	4.33%	7.31%	5.81%	6.12%	7.09%	6.57%	3.82%	6.26%	7.34%	4.74%	5.29%	6.03%	6.60%	5.19%	6.54%	5.57%	1.80%	6.43%	4.27%	3.98%	3.88%	3.00%	3.02%	4.88%	1.55%	8.12%	3.24%	2.91%	4.22%	5.29%	3.79%	1.28%	2.84%	3.94%	1.99%	3.56%	2.40%	1.45%	0.42%	2.17%	1.72%	1.70%	2.26%	1.14%	1.84%	2.30%	5.02%	0.57%	1.89%	2.55%	2.38%	4.21%	4.98%	2.32%	3.40%	4.90%	3.41%	3.00%	3.86%	0.62%	3.21%	2.61%					
22	"5. ""За Русь Святую"""	519	16	20	26	9	10	7	0	15	13	20	6	22	18	21	18	11	9	4	0	7	11	6	6	2	3	4	1	1	2	11	5	9	10	3	1	1	4	2	5	11	5	4	1	1	2	5	1	3	24	1	3	20	8	6	2	5	6	13	11	13	23	2	6	4					
		0.95%	1.09%	0.81%	1.30%	0.59%	1.01%	0.95%	0.0%	2.01%	1.84%	1.39%	0.55%	2.04%	1.25%	1.45%	1.60%	0.73%	0.73%	1.06%	0.0%	1.12%	0.95%	0.68%	0.66%	0.46%	0.34%	0.57%	0.51%	0.50%	0.49%	1.00%	0.40%	0.83%	0.72%	0.48%	0.25%	0.10%	0.88%	0.50%	0.42%	1.14%	0.42%	0.48%	0.57%	0.12%	0.34%	1.14%	0.30%	1.38%	1.82%	0.14%	1.13%	1.82%	1.90%	1.57%	0.58%	1.29%	1.02%	1.09%	1.29%	1.95%	2.69%	0.62%	0.68%	0.58%					
23	"6. ""Объединенная Российская партия ""Русь"""	210	4	11	17	1	5	0	7	0	2	1	7	5	9	4	2	13	5	1	0	2	3	1	1	1	3	6	1	2	3	0	1	0	4	2	3	11	3	7	3	4	2	3	2	6	1	0	0	0	4	3	0	3	2	6	0	4	2	5	2	1	2	3	3	1					
		0.38%	0.27%	0.44%	0.85%	0.06%	0.50%	0.0%	0.57%	0.0%	0.28%	0.06%	0.65%	0.46%	0.62%	0.27%	0.17%	0.86%	0.40%	0.26%	0.0%	0.32%	0.26%	0.11%	0.11%	0.23%	0.34%	0.86%	0.51%	1.01%	0.74%	0.0%	0.08%	0.0%	0.29%	0.32%	0.77%	1.11%	0.66%	1.78%	0.25%	0.41%	0.17%	0.36%	1.14%	0.73%	0.17%	0.0%	0.0%	0.0%	0.30%	0.42%	0.0%	0.27%	0.47%	1.57%	0.0%	1.03%	0.34%	0.42%	0.23%	0.15%	0.23%	0.94%	0.34%	0.14%					
24	"7. ""Новый курс - Автомобильная Россия"""	392	10	32	30	10	7	3	5	2	7	13	12	4	10	6	7	12	10	3	8	3	8	5	5	1	5	4	1	5	5	0	19	9	5	0	5	10	2	1	7	7	4	5	1	3	4	3	0	2	6	2	3	7	2	8	1	4	2	6	4	6	10	1	4	6					
		0.72%	0.68%	1.29%	1.51%	0.66%	0.71%	0.40%	0.41%	0.26%	0.99%	0.90%	1.11%	0.37%	0.69%	0.41%	0.62%	0.79%	0.81%	0.79%	3.61%	0.48%	0.69%	0.56%	0.55%	0.23%	0.58%	0.57%	0.51%	2.53%	1.24%	0.0%	1.54%	0.83%	0.36%	0.0%	1.29%	1.01%	0.44%	0.25%	0.60%	0.72%	0.34%	0.60%	0.57%	0.36%	0.69%	0.68%	0.0%	0.92%	0.45%	0.28%	1.13%	0.63%	0.47%	2.10%	0.29%	1.03%	0.34%	0.50%	0.47%	0.90%	1.17%	0.31%	0.45%	0.87%					
25	"8. ""Народно-республиканская партия России"""	109	2	7	6	2	1	3	10	1	0	2	1	0	2	3	2	1	0	0	0	0	1	0	1	0	3	2	0	0	2	3	3	1	4	2	1	1	4	0	2	1	6	2	1	0	0	7	0	0	2	0	1	4	1	0	1	0	0	3	2	2	0	0	3	0					
		0.20%	0.13%	0.28%	0.30%	0.13%	0.10%	0.40%	0.82%	0.13%	0.0%	0.13%	0.09%	0.0%	0.13%	0.20%	0.17%	0.06%	0.0%	0.0%	0.0%	0.0%	0.08%	0.0%	0.11%	0.0%	0.34%	0.28%	0.0%	0.0%	0.49%	0.27%	0.24%	0.09%	0.29%	0.32%	0.25%	0.10%	0.88%	0.0%	0.17%	0.10%	0.51%	0.24%	0.57%	0.0%	0.0%	1.60%	0.0%	0.0%	0.15%	0.0%	0.37%	0.36%	0.23%	0.0%	0.29%	0.0%	0.0%	0.25%	0.23%	0.30%	0.0%	0.0%	0.34%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	220	4	15	18	7	1	0	7	1	3	5	7	9	9	5	10	7	3	2	3	4	7	1	5	3	4	0	0	0	1	7	1	2	3	2	0	3	1	1	4	2	3	0	2	7	1	5	1	0	9	2	0	4	0	1	1	1	0	2	1	2	5	0	3	3					
		0.40%	0.27%	0.60%	0.90%	0.46%	0.10%	0.0%	0.57%	0.13%	0.42%	0.34%	0.65%	0.83%	0.62%	0.34%	0.89%	0.46%	0.24%	0.53%	1.35%	0.64%	0.61%	0.11%	0.55%	0.69%	0.46%	0.0%	0.0%	0.0%	0.24%	0.63%	0.08%	0.18%	0.21%	0.32%	0.0%	0.30%	0.22%	0.25%	0.34%	0.20%	0.25%	0.0%	1.14%	0.85%	0.17%	1.14%	0.30%	0.0%	0.68%	0.28%	0.0%	0.36%	0.0%	0.26%	0.29%	0.25%	0.0%	0.16%	0.11%	0.30%	0.58%	0.0%	0.34%	0.43%					
27	"10. ""Аграрная партия России"""	1214	26	42	39	24	26	15	20	19	19	18	10	15	31	22	33	31	23	7	1	9	22	13	23	4	32	11	4	6	0	35	21	26	40	14	6	16	9	5	40	26	34	18	4	32	19	16	18	1	19	29	17	33	3	12	2	7	10	35	17	36	21	8	23	17					
		2.23%	1.77%	1.70%	1.96%	1.59%	2.65%	2.04%	1.65%	2.55%	2.69%	1.25%	0.92%	1.39%	2.15%	1.52%	2.94%	2.06%	1.88%	1.85%	0.45%	1.44%	1.91%	1.47%	2.55%	0.92%	3.72%	1.58%	2.07%	3.04%	0.0%	3.19%	1.70%	2.41%	2.91%	2.25%	1.55%	1.61%	1.99%	1.27%	3.43%	2.70%	2.91%	2.17%	2.29%	3.90%	3.31%	3.66%	5.53%	0.46%	1.44%	4.14%	6.43%	3.01%	0.71%	3.15%	0.58%	1.80%	1.70%	2.95%	2.00%	5.41%	2.45%	2.50%	2.63%	2.47%					
28	"11. ""Истинные патриоты России"""	114	0	3	5	3	0	0	2	0	0	3	0	3	0	0	0	5	1	0	0	1	9	10	13	4	8	0	0	0	0	0	2	0	0	0	1	1	0	0	12	4	10	0	0	0	0	0	1	0	4	0	0	0	2	0	0	0	0	0	3	1	1	1	1	0					
		0.21%	0.0%	0.12%	0.25%	0.19%	0.0%	0.0%	0.16%	0.0%	0.0%	0.20%	0.0%	0.27%	0.0%	0.0%	0.0%	0.33%	0.08%	0.0%	0.0%	0.16%	0.78%	1.13%	1.44%	0.92%	0.93%	0.0%	0.0%	0.0%	0.0%	0.0%	0.16%	0.0%	0.0%	0.0%	0.25%	0.10%	0.0%	0.0%	1.03%	0.41%	0.85%	0.0%	0.0%	0.0%	0.0%	0.0%	0.30%	0.0%	0.30%	0.0%	0.0%	0.0%	0.47%	0.0%	0.0%	0.0%	0.0%	0.0%	0.35%	0.15%	0.11%	0.31%	0.11%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	603	19	27	15	16	6	4	9	6	5	13	16	9	19	23	11	12	4	2	3	6	7	13	8	12	5	6	1	8	5	13	8	16	18	5	5	10	6	8	10	6	11	12	1	9	6	1	0	5	15	4	2	22	4	3	4	6	7	15	17	9	16	9	14	16					
		1.11%	1.29%	1.09%	0.75%	1.06%	0.61%	0.54%	0.74%	0.80%	0.70%	0.90%	1.48%	0.83%	1.32%	1.59%	0.98%	0.79%	0.32%	0.53%	1.35%	0.96%	0.61%	1.47%	0.88%	2.77%	0.58%	0.86%	0.51%	4.06%	1.24%	1.18%	0.64%	1.48%	1.31%	0.80%	1.29%	1.01%	1.32%	2.03%	0.85%	0.62%	0.94%	1.44%	0.57%	1.09%	1.04%	0.22%	0.0%	2.30%	1.14%	0.57%	0.75%	2.00%	0.95%	0.78%	1.17%	1.55%	1.19%	1.26%	2.00%	1.35%	1.87%	2.82%	1.60%	2.32%					
30	"13. ""Демократическая партия России"""	103	2	3	4	0	1	1	0	1	5	3	2	5	1	0	2	3	3	2	0	1	4	1	2	0	0	1	2	2	0	1	6	2	8	1	0	2	0	1	2	1	1	1	1	2	2	1	0	1	2	0	2	4	2	0	1	2	2	1	1	1	0	0	0	1					
		0.18%	0.13%	0.12%	0.20%	0.0%	0.10%	0.13%	0.0%	0.13%	0.70%	0.20%	0.18%	0.46%	0.06%	0.0%	0.17%	0.19%	0.24%	0.53%	0.0%	0.16%	0.34%	0.11%	0.22%	0.0%	0.0%	0.14%	1.03%	1.01%	0.0%	0.09%	0.48%	0.18%	0.58%	0.16%	0.0%	0.20%	0.0%	0.25%	0.17%	0.10%	0.08%	0.12%	0.57%	0.24%	0.34%	0.22%	0.0%	0.46%	0.15%	0.0%	0.75%	0.36%	0.47%	0.0%	0.29%	0.51%	0.34%	0.08%	0.11%	0.15%	0.0%	0.0%	0.0%	0.14%					
31	"14. ""Великая Россия - Евразийский Союз"""	86	3	8	3	2	1	2	0	0	0	0	4	0	0	3	0	5	4	0	0	0	0	3	1	0	0	2	0	0	1	1	2	2	0	1	0	3	2	0	2	0	1	2	0	1	0	1	1	1	4	1	1	3	0	0	0	1	2	0	2	2	6	1	1	0					
		0.15%	0.20%	0.32%	0.15%	0.13%	0.10%	0.27%	0.0%	0.0%	0.0%	0.0%	0.37%	0.0%	0.0%	0.20%	0.0%	0.33%	0.32%	0.0%	0.0%	0.0%	0.0%	0.34%	0.11%	0.0%	0.0%	0.28%	0.0%	0.0%	0.24%	0.09%	0.16%	0.18%	0.0%	0.16%	0.0%	0.30%	0.44%	0.0%	0.17%	0.0%	0.08%	0.24%	0.0%	0.12%	0.0%	0.22%	0.30%	0.46%	0.30%	0.14%	0.37%	0.27%	0.0%	0.0%	0.0%	0.25%	0.34%	0.0%	0.23%	0.30%	0.70%	0.31%	0.11%	0.0%					
32	"15. ""Партия СЛОН"""	49	0	5	5	1	0	1	3	0	1	0	0	0	0	0	3	5	0	0	0	2	2	1	0	0	0	1	0	0	0	1	0	0	2	1	0	0	0	0	3	0	0	0	0	0	1	1	0	0	2	1	1	1	1	0	0	0	0	2	0	2	0	0	0	0					
		0.09%	0.0%	0.20%	0.25%	0.06%	0.0%	0.13%	0.24%	0.0%	0.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.26%	0.33%	0.0%	0.0%	0.0%	0.32%	0.17%	0.11%	0.0%	0.0%	0.0%	0.14%	0.0%	0.0%	0.0%	0.09%	0.0%	0.0%	0.14%	0.16%	0.0%	0.0%	0.0%	0.0%	0.25%	0.0%	0.0%	0.0%	0.0%	0.0%	0.17%	0.22%	0.0%	0.0%	0.15%	0.14%	0.37%	0.09%	0.23%	0.0%	0.0%	0.0%	0.0%	0.16%	0.0%	0.30%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	6230	175	231	128	221	147	110	166	131	95	216	147	156	194	224	171	211	191	48	23	102	119	90	92	43	73	61	9	12	38	113	93	121	195	55	27	88	38	23	92	92	76	89	9	100	101	48	15	34	180	70	18	109	43	39	30	28	71	105	110	80	110	22	117	65					
		11.48%	11.93%	9.37%	6.44%	14.69%	14.98%	14.96%	13.69%	17.58%	13.47%	15.04%	13.66%	14.52%	13.50%	15.54%	15.25%	14.05%	15.63%	12.73%	10.40%	16.39%	10.38%	10.23%	10.22%	9.93%	8.48%	8.76%	4.66%	6.09%	9.47%	10.31%	7.55%	11.24%	14.21%	8.84%	6.97%	8.90%	8.40%	5.85%	7.91%	9.56%	6.50%	10.73%	5.17%	12.19%	17.62%	11.00%	4.61%	15.66%	13.69%	10.0%	6.81%	9.94%	10.26%	10.26%	8.79%	7.23%	12.09%	8.87%	12.97%	12.03%	12.88%	6.89%	13.41%	9.44%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	163	0	6	17	1	2	7	0	2	1	3	2	0	5	3	0	4	2	0	0	0	4	3	7	0	5	6	1	4	1	4	2	6	3	1	4	4	1	4	4	2	4	3	0	3	1	2	2	0	2	1	0	2	0	2	1	1	2	5	2	1	3	2	3	0					
		0.30%	0.0%	0.24%	0.85%	0.06%	0.20%	0.95%	0.0%	0.26%	0.14%	0.20%	0.18%	0.0%	0.34%	0.20%	0.0%	0.26%	0.16%	0.0%	0.0%	0.0%	0.34%	0.34%	0.77%	0.0%	0.58%	0.86%	0.51%	2.03%	0.24%	0.36%	0.16%	0.55%	0.21%	0.16%	1.03%	0.40%	0.22%	1.01%	0.34%	0.20%	0.34%	0.36%	0.0%	0.36%	0.17%	0.45%	0.61%	0.0%	0.15%	0.14%	0.0%	0.18%	0.0%	0.52%	0.29%	0.25%	0.34%	0.42%	0.23%	0.15%	0.35%	0.62%	0.34%	0.0%					
35	"18. ""ЛДПР"""	6813	144	417	389	167	102	76	157	78	100	181	130	112	150	162	95	228	125	43	38	76	146	92	112	53	78	88	21	41	45	136	128	147	171	106	58	38	47	27	169	125	179	110	20	88	72	34	41	30	174	76	32	136	84	61	50	42	90	121	103	80	124	42	112	114					
		12.56%	9.82%	16.91%	19.58%	11.10%	10.39%	10.34%	12.95%	10.46%	14.18%	12.60%	12.08%	10.42%	10.44%	11.24%	8.47%	15.18%	10.22%	11.40%	17.19%	12.21%	12.73%	10.46%	12.44%	12.24%	9.06%	12.64%	10.88%	20.81%	11.22%	12.40%	10.39%	13.66%	12.46%	17.04%	14.98%	3.84%	10.39%	6.87%	14.53%	12.99%	15.32%	13.26%	11.49%	10.73%	12.56%	7.79%	12.61%	13.82%	13.24%	10.85%	12.12%	12.40%	20.04%	16.05%	14.66%	10.85%	15.33%	10.22%	12.14%	12.03%	14.51%	13.16%	12.84%	16.56%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	474	9	17	17	9	8	4	16	7	3	14	7	17	8	9	12	11	12	3	0	4	6	9	2	5	15	2	2	1	4	12	6	7	10	8	5	10	4	3	11	14	14	8	0	12	12	0	1	2	7	5	5	11	2	6	7	4	6	6	4	10	6	4	12	7					
		0.87%	0.61%	0.68%	0.85%	0.59%	0.81%	0.54%	1.32%	0.93%	0.42%	0.97%	0.65%	1.58%	0.55%	0.62%	1.07%	0.73%	0.98%	0.79%	0.0%	0.64%	0.52%	1.02%	0.22%	1.15%	1.74%	0.28%	1.03%	0.50%	0.99%	1.09%	0.48%	0.65%	0.72%	1.28%	1.29%	1.01%	0.88%	0.76%	0.94%	1.45%	1.19%	0.96%	0.0%	1.46%	2.09%	0.0%	0.30%	0.92%	0.53%	0.71%	1.89%	1.00%	0.47%	1.57%	2.05%	1.03%	1.02%	0.50%	0.47%	1.50%	0.70%	1.25%	1.37%	1.01%					
37	"20. ""Политическая партия ""Единая Россия"""	19696	516	708	598	482	369	268	384	252	239	482	407	411	483	500	391	437	466	151	74	194	460	308	324	163	304	304	92	47	171	408	587	426	486	292	158	401	190	203	390	357	461	358	69	324	198	96	140	70	481	340	120	375	151	129	116	179	185	470	327	256	292	116	319	241					
		36.31%	35.19%	28.72%	30.11%	32.04%	37.61%	36.46%	31.68%	33.82%	33.90%	33.56%	37.82%	38.26%	33.63%	34.69%	34.87%	29.11%	38.13%	40.05%	33.48%	31.18%	40.13%	35.03%	36.0%	37.64%	35.34%	43.67%	47.66%	23.85%	42.64%	37.22%	47.68%	39.59%	35.42%	46.94%	40.82%	40.58%	42.03%	51.65%	33.53%	37.11%	39.46%	43.18%	39.65%	39.51%	34.55%	22.01%	43.07%	32.25%	36.60%	48.57%	45.45%	34.21%	36.03%	33.94%	34.01%	46.25%	31.51%	39.72%	38.56%	38.49%	34.19%	36.36%	36.58%	35.02%					
38	"21. ""Российская Конституционно-демократическая партия"""	119	1	2	7	2	2	0	1	1	1	2	0	2	0	3	1	21	1	0	1	0	4	3	2	0	1	0	1	0	1	3	3	1	4	2	0	3	2	2	2	2	0	1	0	1	0	7	1	1	2	2	0	0	4	3	1	0	1	2	0	5	0	2	2	0					
