Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																											
Дата голосования: 18.09.2016																																																											
																																																											
Наименование Избирательной комиссии:    Высокогорская																																																											
																																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																																											
																																																											
		Сумма	УИК №1285	УИК №1286	УИК №1287	УИК №1288	УИК №1289	УИК №1290	УИК №1291	УИК №1292	УИК №1293	УИК №1294	УИК №1295	УИК №1296	УИК №1297	УИК №1298	УИК №1299	УИК №1300	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	768	10	6	5	19	10	15	10	10	15	10	10	8	15	5	30	40	40	40	40	20	30	10	10	5	40	15	0	10	14	5	10	15	20	20	10	10	5	10	10	25	20	20	15	6	25	10	20	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	484	10	3	5	19	2	6	0	6	15	0	1	1	15	4	22	32	31	17	19	2	30	10	0	2	40	7	0	9	12	5	7	7	6	9	10	10	5	2	10	25	5	14	4	3	13	2	20	7									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	241	5	1	0	4	2	12	4	4	2	1	1	1	3	4	8	16	12	11	12	1	9	3	0	0	36	3	0	4	0	1	13	1	8	4	6	0	2	2	2	6	3	10	7	5	3	0	6	3									
14	Число погашенных неиспользованных открепительных удостоверений	284	0	3	0	0	8	9	10	4	0	10	9	7	0	1	8	8	9	23	21	18	0	0	10	3	0	8	0	1	2	0	3	8	14	11	0	0	0	8	0	0	15	6	11	3	12	8	0	13									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	22	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	2	0	2	4	0	0	0	0	0	2	0	0	1	0	0	1	1	1	0	0	0	0	0	0	2	1	0	1	0	1	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	151	1	0	0	0	1	1	1	0	2	1	1	0	0	0	13	33	19	13	13	5	10	0	2	0	1	6	0	4	0	0	0	0	0	0	0	1	0	0	0	10	4	0	3	0	0	1	0	5									
		0.43%	0.32%	0.00%	0.00%	0.00%	0.37%	0.31%	0.83%	0.00%	0.41%	0.37%	0.27%	0.00%	0.00%	0.00%	0.60%	1.16%	0.80%	0.84%	0.57%	1.14%	0.71%	0.00%	0.57%	0.00%	0.04%	0.49%	0.00%	0.74%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.35%	0.00%	0.00%	0.00%	0.60%	0.47%	0.00%	0.44%	0.00%	0.00%	0.27%	0.00%	0.57%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	409	0	1	3	13	1	1	0	1	3	3	5	0	2	5	17	58	17	9	32	2	23	1	2	2	12	16	0	8	1	10	4	0	0	0	11	0	6	0	9	20	12	0	3	0	58	1	25	12									
		1.17%	0.00%	0.88%	2.52%	3.23%	0.37%	0.31%	0.00%	0.33%	0.61%	1.12%	1.36%	0.00%	0.33%	2.14%	0.78%	2.03%	0.72%	0.58%	1.40%	0.46%	1.64%	0.61%	0.57%	1.45%	0.51%	1.31%	0.00%	1.48%	0.25%	3.09%	0.49%	0.00%	0.00%	0.00%	2.39%	0.00%	2.96%	0.00%	2.54%	1.21%	1.41%	0.00%	0.44%	0.00%	4.15%	0.27%	2.60%	1.37%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	182	0	0	0	3	1	1	0	1	2	0	3	0	0	1	14	42	33	3	15	3	21	1	0	3	0	5	1	3	0	0	0	0	0	0	0	0	0	2	1	10	4	0	2	1	0	0	0	6									
		0.52%	0.00%	0.00%	0.00%	0.74%	0.37%	0.31%	0.00%	0.33%	0.41%	0.00%	0.82%	0.00%	0.00%	0.43%	0.64%	1.47%	1.39%	0.19%	0.66%	0.68%	1.50%	0.61%	0.00%	2.17%	0.00%	0.41%	1.00%	0.55%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.16%	0.28%	0.60%	0.47%	0.00%	0.29%	0.49%	0.00%	0.00%	0.00%	0.69%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	31449	304	112	108	354	263	311	114	287	469	255	344	103	567	219	2003	2297	2031	1313	1967	401	1237	155	334	133	2023	1134	95	458	394	303	752	737	374	360	440	273	192	166	332	1509	764	1323	661	200	1230	355	897	796									
		89.86%	96.20%	98.25%	90.76%	87.84%	96.69%	95.11%	95.00%	95.03%	95.13%	95.15%	93.73%	96.26%	94.03%	93.59%	92.01%	80.51%	85.80%	84.76%	86.31%	91.34%	88.42%	95.09%	95.98%	96.38%	85.61%	93.18%	95.00%	84.66%	98.99%	93.52%	92.04%	93.29%	93.97%	93.26%	95.65%	95.12%	94.58%	96.51%	93.52%	91.29%	89.78%	91.94%	97.49%	97.09%	87.98%	95.69%	93.44%	91.08%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	69	0	0	0	0	0	1	1	0	2	0	1	0	0	1	5	17	15	5	6	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	4	3	0	3	0	0	1	0	0									
		0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.31%	0.83%	0.00%	0.41%	0.00%	0.27%	0.00%	0.00%	0.43%	0.23%	0.60%	0.63%	0.32%	0.26%	0.00%	0.07%	0.00%	0.00%	0.00%	0.00%	0.00%	1.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.24%	0.35%	0.00%	0.44%	0.00%	0.00%	0.27%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	16	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	7	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1									
		0.05%	0.00%	0.88%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.05%	0.25%	0.04%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.11%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	799	4	0	3	0	1	3	1	3	5	2	3	1	7	1	34	135	85	48	96	8	14	2	2	0	12	33	2	18	1	0	13	14	9	7	6	3	1	2	0	58	14	57	3	2	42	2	28	14									
		2.28%	1.27%	0.00%	2.52%	0.00%	0.37%	0.92%	0.83%	0.99%	1.01%	0.75%	0.82%	0.93%	1.16%	0.43%	1.56%	4.73%	3.59%	3.10%	4.21%	1.82%	1.00%	1.23%	0.57%	0.00%	0.51%	2.71%	2.00%	3.33%	0.25%	0.00%	1.59%	1.77%	2.26%	1.81%	1.30%	1.05%	0.49%	1.16%	0.00%	3.51%	1.65%	3.96%	0.44%	0.97%	3.00%	0.54%	2.92%	1.60%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	59	0	0	0	0	1	0	0	0	0	0	1	0	0	0	3	13	14	5	7	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	4	3	0	0	0	0	0	0	0									
		0.17%	0.00%	0.00%	0.00%	0.00%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.14%	0.46%	0.59%	0.32%	0.31%	0.23%	0.07%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.13%	0.24%	0.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	52	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	10	11	7	6	3	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	4									
		0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.31%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.35%	0.46%	0.45%	0.26%	0.68%	0.00%	0.00%	0.00%	0.00%	0.13%	0.00%	0.00%	0.55%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.46%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	2	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1									
		0.03%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.05%	0.04%	0.00%	0.06%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	1.00%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.11%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	126	5	0	0	0	1	0	0	1	0	1	0	0	0	0	0	25	7	14	13	5	5	0	0	0	0	3	0	10	0	0	3	11	0	0	0	0	0	0	0	8	7	0	0	0	3	0	0	4									
		0.36%	1.58%	0.00%	0.00%	0.00%	0.37%	0.00%	0.00%	0.33%	0.00%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.88%	0.30%	0.90%	0.57%	1.14%	0.36%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	1.85%	0.00%	0.00%	0.37%	1.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.48%	0.82%	0.00%	0.00%	0.00%	0.21%	0.00%	0.00%	0.46%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1399	2	0	5	33	2	7	1	5	7	5	8	3	21	6	69	183	112	106	98	7	66	4	8	0	290	14	0	22	2	11	38	15	13	15	0	8	3	2	8	23	27	59	0	2	50	11	0	28									
		3.99%	0.63%	0.00%	4.20%	8.19%	0.74%	2.14%	0.83%	1.66%	1.42%	1.87%	2.18%	2.80%	3.48%	2.56%	3.17%	6.41%	4.73%	6.84%	4.30%	1.59%	4.72%	2.45%	2.30%	0.00%	12.27%	1.15%	0.00%	4.07%	0.50%	3.40%	4.65%	1.90%	3.27%	3.89%	0.00%	2.79%	1.48%	1.16%	2.25%	1.39%	3.17%	4.10%	0.00%	0.97%	3.58%	2.96%	0.00%	3.20%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	8	1	2	3	0	3	0	0	0	2	0	0	3	0	0	2	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1									
		0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.09%	0.28%	0.04%	0.13%	0.13%	0.00%	0.21%	0.00%	0.00%	0.00%	0.08%	0.00%	0.00%	0.55%	0.00%	0.00%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.06%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.11%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	207	0	0	0	0	1	1	1	2	2	1	1	0	6	1	10	24	19	12	23	4	5	0	0	0	12	6	0	5	0	0	5	13	2	4	3	2	1	0	0	3	7	0	3	1	15	0	10	2									
		0.59%	0.00%	0.00%	0.00%	0.00%	0.37%	0.31%	0.83%	0.66%	0.41%	0.37%	0.27%	0.00%	0.99%	0.43%	0.46%	0.84%	0.80%	0.77%	1.01%	0.91%	0.36%	0.00%	0.00%	0.00%	0.51%	0.49%	0.00%	0.92%	0.00%	0.00%	0.61%	1.65%	0.50%	1.04%	0.65%	0.70%	0.49%	0.00%	0.00%	0.18%	0.82%	0.00%	0.44%	0.49%	1.07%	0.00%	1.04%	0.23%									
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
