Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																				
Дата голосования: 18.09.2016																																																																				
																																																																				
Наименование Избирательной комиссии:    Аксайская - 152																																																																				
																																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																																				
																																																																				
		Сумма	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №1220	УИК №1221	УИК №2624	УИК №8344									
		0.15%	0.18%	0.16%	0.00%	0.49%	0.45%	0.00%	0.17%	0.42%	0.08%	0.24%	0.00%	0.00%	0.08%	0.21%	0.72%	0.00%	0.14%	0.00%	0.19%	0.31%	0.22%	0.27%	0.00%	0.00%	0.25%	0.07%	0.68%	0.21%	0.20%	0.00%	0.00%	0.23%	0.16%	0.00%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	0.00%	0.20%	0.17%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.61%	0.17%	0.14%	0.49%	0.47%	0.15%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	3592	91	80	83	41	84	4	93	106	87	89	60	56	45	87	89	101	21	99	78	109	82	13	22	27	60	90	54	50	48	48	13	67	59	51	7	23	48	22	17	63	103	62	101	283	9	3	9	69	72	41	0	3	132	153	109	31	45									
		8.69%	16.61%	6.30%	7.72%	4.04%	9.41%	0.30%	15.60%	22.13%	7.17%	10.87%	12.47%	13.86%	3.56%	18.20%	16.06%	17.81%	3.03%	11.70%	15.18%	16.74%	17.75%	1.78%	1.99%	10.67%	4.96%	6.36%	18.43%	10.42%	9.54%	5.36%	7.93%	15.23%	9.56%	8.12%	2.35%	9.79%	11.57%	7.01%	4.74%	4.37%	13.55%	15.12%	6.58%	15.93%	0.91%	4.92%	2.80%	6.60%	5.54%	12.17%	0.00%	1.82%	7.45%	11.05%	26.78%	14.42%	6.72%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	218	4	13	4	5	3	0	11	8	13	8	4	3	1	4	7	4	6	10	0	13	2	8	0	2	4	6	5	1	0	1	0	0	0	2	3	2	2	2	0	0	16	2	1	7	1	0	0	0	0	1	0	0	6	8	5	2	8									
		0.53%	0.73%	1.02%	0.37%	0.49%	0.34%	0.00%	1.85%	1.67%	1.07%	0.98%	0.83%	0.74%	0.08%	0.84%	1.26%	0.71%	0.87%	1.18%	0.00%	1.99%	0.43%	1.10%	0.00%	0.79%	0.33%	0.42%	1.71%	0.21%	0.00%	0.11%	0.00%	0.00%	0.00%	0.32%	1.01%	0.85%	0.48%	0.64%	0.00%	0.00%	2.11%	0.49%	0.07%	0.39%	0.10%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	0.00%	0.34%	0.58%	1.23%	0.93%	1.19%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	264	8	9	8	9	6	0	9	4	12	4	7	2	2	8	10	7	10	4	15	15	9	3	2	0	3	6	9	0	0	2	0	2	1	4	0	3	0	5	3	11	8	1	4	7	2	0	0	0	0	1	0	0	22	0	1	0	6									
		0.64%	1.46%	0.71%	0.74%	0.89%	0.67%	0.00%	1.51%	0.84%	0.99%	0.49%	1.46%	0.50%	0.16%	1.67%	1.81%	1.23%	1.44%	0.47%	2.92%	2.30%	1.95%	0.41%	0.18%	0.00%	0.25%	0.42%	3.07%	0.00%	0.00%	0.22%	0.00%	0.45%	0.16%	0.64%	0.00%	1.28%	0.00%	1.59%	0.84%	0.76%	1.05%	0.24%	0.26%	0.39%	0.20%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	0.00%	1.24%	0.00%	0.25%	0.00%	0.90%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	54	1	2	0	11	0	0	0	1	1	0	0	4	1	0	0	0	0	1	0	0	1	1	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	1	4	4	3	0	0	0	0	1	0	0	0	5	2	0	0									
		0.13%	0.18%	0.16%	0.00%	1.08%	0.00%	0.00%	0.00%	0.21%	0.08%	0.00%	0.00%	0.99%	0.08%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.00%	0.22%	0.14%	0.00%	0.00%	0.25%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%	0.14%	0.13%	0.24%	0.26%	0.23%	0.30%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	0.00%	0.00%	0.36%	0.49%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	327	11	3	11	10	14	0	9	5	7	5	8	7	10	16	4	5	4	5	14	14	6	1	3	3	3	15	7	4	0	1	2	1	6	1	0	2	2	0	1	12	9	0	10	14	4	0	2	0	6	1	0	3	17	8	2	1	18									
		0.79%	2.01%	0.24%	1.02%	0.98%	1.57%	0.00%	1.51%	1.04%	0.58%	0.61%	1.66%	1.73%	0.79%	3.35%	0.72%	0.88%	0.58%	0.59%	2.72%	2.15%	1.30%	0.14%	0.27%	1.19%	0.25%	1.06%	2.39%	0.83%	0.00%	0.11%	1.22%	0.23%	0.97%	0.16%	0.00%	0.85%	0.48%	0.00%	0.28%	0.83%	1.18%	0.00%	0.65%	0.79%	0.40%	0.00%	0.62%	0.00%	0.46%	0.30%	0.00%	1.82%	0.96%	0.58%	0.49%	0.47%	2.69%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	4610	76	79	295	128	119	143	92	104	86	66	94	54	198	79	81	64	75	92	75	98	76	17	56	43	182	89	32	20	118	70	23	51	146	60	8	22	101	57	25	139	146	39	72	70	14	2	21	188	196	37	18	16	128	50	64	20	96									
		11.15%	13.87%	6.23%	27.44%	12.60%	13.33%	10.83%	15.44%	21.71%	7.08%	8.06%	19.54%	13.37%	15.68%	16.53%	14.62%	11.29%	10.82%	10.87%	14.59%	15.05%	16.45%	2.33%	5.07%	16.99%	15.05%	6.29%	10.92%	4.17%	23.46%	7.82%	14.02%	11.59%	23.66%	9.55%	2.68%	9.36%	24.34%	18.15%	6.96%	9.65%	19.21%	9.51%	4.69%	3.94%	1.42%	3.28%	6.52%	17.97%	15.08%	10.98%	7.35%	9.70%	7.22%	3.61%	15.72%	9.30%	14.33%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	162	2	4	0	10	5	0	5	2	2	2	1	1	10	1	3	4	3	3	5	3	2	4	2	0	3	21	0	0	2	1	0	4	2	0	1	1	0	1	1	4	5	0	10	7	7	0	0	0	0	0	0	0	0	9	5	2	2									
		0.39%	0.36%	0.32%	0.00%	0.98%	0.56%	0.00%	0.84%	0.42%	0.16%	0.24%	0.21%	0.25%	0.79%	0.21%	0.54%	0.71%	0.43%	0.35%	0.97%	0.46%	0.43%	0.55%	0.18%	0.00%	0.25%	1.48%	0.00%	0.00%	0.40%	0.11%	0.00%	0.91%	0.32%	0.00%	0.34%	0.43%	0.00%	0.32%	0.28%	0.28%	0.66%	0.00%	0.65%	0.39%	0.71%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.65%	1.23%	0.93%	0.30%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1382	23	26	20	20	32	68	38	19	12	10	22	7	35	13	25	16	23	10	23	33	16	27	70	2	61	18	6	10	5	13	10	14	17	13	7	2	8	4	7	24	26	7	90	37	22	0	1	52	69	16	12	5	189	19	8	8	12									
		3.34%	4.20%	2.05%	1.86%	1.97%	3.58%	5.15%	6.38%	3.97%	0.99%	1.22%	4.57%	1.73%	2.77%	2.72%	4.51%	2.82%	3.32%	1.18%	4.47%	5.07%	3.46%	3.70%	6.34%	0.79%	5.05%	1.27%	2.05%	2.08%	0.99%	1.45%	6.10%	3.18%	2.76%	2.07%	2.35%	0.85%	1.93%	1.27%	1.95%	1.67%	3.42%	1.71%	5.86%	2.08%	2.23%	0.00%	0.31%	4.97%	5.31%	4.75%	4.90%	3.03%	10.66%	1.37%	1.97%	3.72%	1.79%									
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
