Выборы Президента Российской Федерации																																																																																															
																																																																																															
"Наименование Избирательной комиссии:    Казань, Приволжская"																																																																																															
																																																																																															
Итоги голосования 																																																																																															
																																																																																															
		Сумма	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №370	УИК №371	УИК №372					
11	Число полученных открепительных  удостоверений	4489	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	80	70	70	59	50	50	50	50	50	50	80	110	50	50	50	50	60	60	70	80	50	60	50	80	60	50	60	60	50	70	50	50	70	70	70	70	60	70	50	60	50	60	50	70	70	60	50	50	50	80	50	0	0	0	0	0	0	0	0	0					
12	Число выданных открепительных удостоверений	3173	43	38	15	10	50	38	27	11	43	46	28	31	40	33	35	18	41	44	33	38	29	30	50	20	16	33	19	23	66	48	44	47	24	32	30	43	43	44	53	90	45	32	47	29	50	54	58	35	28	53	33	38	52	32	52	55	27	65	38	40	37	45	54	59	40	65	31	53	43	54	42	45	64	35	35	40	28	74	20	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	2610	29	33	17	22	26	32	36	12	74	33	17	15	15	62	33	19	35	20	23	32	30	54	41	16	25	32	26	24	13	102	25	22	9	24	24	18	23	45	31	39	52	27	20	24	25	21	32	10	18	35	17	25	87	19	21	18	17	13	19	14	62	12	27	29	35	27	20	23	24	21	30	21	17	30	19	31	14	4	6	289	28	24	24	18	5	0	6	42					
14	Число неиспользованных открепительных удостоверений	1316	7	12	35	40	0	12	23	39	7	4	22	19	10	17	15	32	9	6	17	12	21	20	0	30	34	17	31	27	14	22	26	12	26	18	20	7	7	6	27	20	5	18	3	21	10	6	12	45	22	7	17	42	8	18	8	5	23	5	12	10	33	25	16	11	20	5	19	7	7	6	8	25	6	25	15	10	22	6	30	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																															
18	. Глазьев Сергей Юрьевич	3400	16	21	9	24	51	25	44	14	40	15	23	10	30	21	45	19	28	51	38	68	26	33	40	35	13	31	23	31	33	28	66	65	19	61	55	51	43	48	84	51	3	4	17	18	6	25	20	51	15	98	37	64	97	61	51	85	47	66	77	47	48	45	60	68	72	42	10	97	80	53	67	64	72	50	48	48	43	30	14	50	5	2	3	2	0	3	2	5					
		2.71%	2.53%	1.83%	1.56%	3.89%	3.07%	1.09%	2.16%	2.76%	3.10%	0.81%	1.92%	0.84%	1.90%	2.13%	4.33%	2.99%	2.03%	2.92%	3.16%	4.70%	2.71%	2.43%	2.16%	3.13%	3.52%	2.71%	2.37%	3.15%	2.81%	1.86%	4.08%	4.35%	1.98%	4.69%	4.21%	2.48%	2.26%	1.84%	3.78%	2.73%	0.12%	0.19%	0.81%	0.89%	0.28%	1.15%	0.82%	2.25%	0.73%	4.79%	3.35%	4.05%	4.14%	3.19%	2.97%	4.32%	4.95%	3.55%	4.73%	3.18%	2.20%	2.45%	3.20%	3.65%	4.09%	2.30%	0.62%	5.06%	4.33%	3.21%	4.72%	3.88%	3.59%	3.16%	4.14%	2.84%	4.99%	1.73%	2.15%	3.85%	1.84%	0.87%	2.50%	1.33%	0.00%	1.75%	6.06%	6.49%					
19	. Малышкин Олег Александрович	1321	6	14	8	5	25	21	11	4	6	16	12	14	8	6	9	5	13	12	15	10	11	9	15	15	7	11	8	19	17	11	21	22	6	15	11	23	10	0	24	25	22	17	8	10	14	36	17	22	15	24	12	15	52	16	23	27	21	26	24	24	20	64	35	21	16	11	11	24	26	19	17	13	15	20	13	17	12	16	6	13	4	1	0	0	0	1	0	1					
		1.05%	0.95%	1.22%	1.39%	0.81%	1.51%	0.91%	0.54%	0.79%	0.47%	0.87%	1.00%	1.17%	0.51%	0.61%	0.87%	0.79%	0.94%	0.69%	1.25%	0.69%	1.14%	0.66%	0.81%	1.34%	1.90%	0.96%	0.82%	1.93%	1.45%	0.73%	1.30%	1.47%	0.62%	1.15%	0.84%	1.12%	0.53%	0.00%	1.08%	1.34%	0.89%	0.81%	0.38%	0.49%	0.65%	1.65%	0.70%	0.97%	0.73%	1.17%	1.09%	0.95%	2.22%	0.84%	1.34%	1.37%	2.21%	1.40%	1.47%	1.62%	0.92%	3.48%	1.87%	1.13%	0.91%	0.60%	0.69%	1.25%	1.41%	1.15%	1.20%	0.79%	0.75%	1.26%	1.12%	1.01%	1.39%	0.92%	0.92%	1.00%	1.47%	0.43%	0.00%	0.00%	0.00%	0.58%	0.00%	1.30%					
20	. Миронов Сергей Михайлович	1392	36	9	3	1	4	23	14	4	25	17	3	5	13	7	18	4	12	12	18	24	12	12	6	10	2	11	13	7	11	13	11	24	12	18	15	21	26	101	34	12	29	17	15	10	25	14	19	24	23	30	7	28	72	14	31	14	4	18	8	9	15	29	30	18	11	15	15	20	32	30	7	13	24	16	12	20	8	9	8	23	1	0	0	0	0	0	1	1					
		1.11%	5.70%	0.79%	0.52%	0.16%	0.24%	1.00%	0.69%	0.79%	1.94%	0.92%	0.25%	0.42%	0.82%	0.71%	1.73%	0.63%	0.87%	0.69%	1.50%	1.66%	1.25%	0.88%	0.32%	0.89%	0.54%	0.96%	1.34%	0.71%	0.94%	0.86%	0.68%	1.61%	1.25%	1.38%	1.15%	1.02%	1.37%	3.88%	1.53%	0.64%	1.17%	0.81%	0.71%	0.49%	1.16%	0.64%	0.78%	1.06%	1.12%	1.46%	0.63%	1.77%	3.07%	0.73%	1.80%	0.71%	0.42%	0.97%	0.49%	0.61%	0.69%	1.58%	1.60%	0.97%	0.63%	0.82%	0.94%	1.04%	1.73%	1.81%	0.49%	0.79%	1.20%	1.01%	1.04%	1.18%	0.93%	0.52%	1.23%	1.77%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	3.03%	1.30%					
21	. Путин Владимир Владимирович	100665	487	962	512	475	1504	2073	1784	371	1120	1709	997	1012	1408	886	764	493	1196	1499	880	1172	688	1099	1504	812	295	899	718	787	903	1149	1201	1063	713	883	934	1603	1521	2160	1766	1539	2278	1959	1946	1886	1998	1931	2215	1710	1884	1420	856	1104	1775	1508	1240	1415	674	1371	1184	1172	1702	1431	1459	1572	1257	1583	1307	1297	1330	1223	966	1192	1462	1145	842	1202	598	1558	570	991	187	216	110	123	32	156	24	63					
		80.11%	77.06%	84.02%	88.73%	76.99%	90.66%	90.25%	87.67%	73.18%	86.89%	92.48%	83.43%	84.54%	88.95%	90.04%	73.53%	77.52%	86.67%	85.80%	73.21%	81.00%	71.59%	80.87%	81.30%	72.56%	79.95%	78.52%	74.02%	79.98%	76.98%	76.29%	74.32%	71.15%	74.19%	67.87%	71.52%	78.04%	80.09%	82.95%	79.44%	82.39%	92.23%	92.80%	92.23%	92.95%	92.89%	88.74%	90.74%	75.50%	91.77%	69.34%	77.47%	69.79%	75.73%	78.95%	72.13%	71.86%	70.95%	73.75%	72.68%	79.35%	78.15%	77.81%	77.81%	84.43%	71.46%	86.79%	81.64%	67.69%	71.93%	73.99%	68.08%	72.33%	72.92%	72.38%	72.65%	71.21%	69.45%	90.06%	87.69%	76.23%	68.75%	93.91%	91.67%	82.00%	94.12%	91.23%	72.73%	81.82%					
22	. Хакамада Ирина Муцуовна	5646	32	53	11	30	15	34	54	31	1	20	45	31	18	6	44	26	6	12	68	6	69	70	98	66	20	63	78	37	74	70	101	93	51	105	77	112	107	90	65	93	2	7	10	10	5	46	21	150	24	144	79	118	133	112	136	145	79	127	120	107	128	92	90	25	128	72	83	162	138	158	99	123	153	112	80	144	64	29	16	54	18	2	2	7	1	2	2	5					
		4.49%	5.06%	4.63%	1.91%	4.86%	0.90%	1.48%	2.65%	6.11%	0.08%	1.08%	3.77%	2.59%	1.14%	0.61%	4.23%	4.09%	0.43%	0.69%	5.66%	0.41%	7.18%	5.15%	5.30%	5.90%	5.42%	5.50%	8.04%	3.76%	6.31%	4.65%	6.25%	6.22%	5.31%	8.07%	5.90%	5.45%	5.63%	3.46%	2.92%	4.98%	0.08%	0.33%	0.47%	0.49%	0.23%	2.11%	0.86%	6.62%	1.17%	7.03%	7.15%	7.46%	5.67%	5.86%	7.91%	7.36%	8.32%	6.83%	7.37%	7.24%	5.88%	5.00%	4.80%	1.34%	7.28%	3.95%	5.18%	8.46%	7.46%	9.56%	6.98%	7.46%	7.63%	7.08%	6.90%	8.53%	7.43%	1.68%	2.46%	4.15%	6.62%	0.87%	1.67%	4.67%	2.94%	1.17%	6.06%	6.49%					
23	. Харитонов Николай Михайлович	7612	18	68	13	37	41	115	105	38	13	15	67	71	29	36	93	42	70	15	94	91	102	78	112	124	20	57	70	68	83	129	96	130	103	137	122	136	186	122	137	74	78	52	55	52	60	58	82	160	74	203	84	158	169	113	134	161	64	147	129	102	122	108	170	116	187	52	73	164	147	71	165	148	140	145	97	149	61	34	27	101	25	4	0	8	1	3	2	0					
		6.06%	2.85%	5.94%	2.25%	6.00%	2.47%	5.01%	5.16%	7.50%	1.01%	0.81%	5.61%	5.93%	1.83%	3.66%	8.95%	6.60%	5.07%	0.86%	7.82%	6.29%	10.61%	5.74%	6.05%	11.08%	5.42%	4.98%	7.22%	6.91%	7.08%	8.57%	5.94%	8.70%	10.72%	10.53%	9.34%	6.62%	9.79%	4.69%	6.16%	3.96%	3.16%	2.46%	2.61%	2.56%	2.79%	2.67%	3.36%	7.06%	3.60%	9.91%	7.60%	9.99%	7.21%	5.92%	7.80%	8.18%	6.74%	7.91%	7.92%	6.91%	5.60%	5.87%	9.07%	6.23%	10.63%	2.85%	4.56%	8.56%	7.95%	4.30%	11.63%	8.98%	6.98%	9.17%	8.37%	8.83%	7.08%	1.97%	4.15%	7.77%	9.19%	1.74%	0.00%	5.33%	2.94%	1.75%	6.06%	0.00%					
																																																																																															
24	Против всех	3773	20	17	3	26	12	4	11	18	67	33	48	27	45	14	38	33	23	94	61	55	46	42	50	39	10	51	39	20	27	21	77	63	42	59	68	65	4	69	98	55	21	19	18	11	15	31	29	123	18	77	17	73	41	67	77	88	50	72	70	8	110	52	17	29	60	31	68	109	77	67	61	70	108	78	49	77	53	36	7	50	25	4	0	10	0	3	1	2					
		3.00%	3.16%	1.48%	0.52%	4.21%	0.72%	0.17%	0.54%	3.55%	5.20%	1.79%	4.02%	2.26%	2.84%	1.42%	3.66%	5.19%	1.67%	5.38%	5.07%	3.80%	4.79%	3.09%	2.70%	3.49%	2.71%	4.45%	4.02%	2.03%	2.30%	1.39%	4.76%	4.22%	4.37%	4.53%	5.21%	3.16%	0.21%	2.65%	4.41%	2.94%	0.85%	0.90%	0.85%	0.54%	0.70%	1.42%	1.19%	5.43%	0.88%	3.76%	1.54%	4.61%	1.75%	3.51%	4.48%	4.47%	5.26%	3.87%	4.30%	0.54%	5.05%	2.83%	0.91%	1.56%	3.41%	1.70%	4.25%	5.69%	4.16%	4.05%	4.30%	4.25%	5.39%	4.93%	4.23%	4.56%	6.16%	2.08%	1.08%	3.85%	9.19%	1.74%	0.00%	6.67%	0.00%	1.75%	3.03%	2.60%					
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
