Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																														
Дата голосования: 04.12.2011																																																																																														
																																																																																														
"Наименование Избирательной комиссии:    Калининград, Московская"																																																																																														
																																																																																														
Сводная таблица результатов выборов																																																																																														
																																																																																														
		Сумма	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №708	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №729	УИК №731	УИК №732	УИК №735					
17	Число утраченных избирательных бюллетеней	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																														
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	9717	153	186	105	96	204	120	122	207	214	189	125	203	186	73	66	90	184	145	108	82	149	194	141	190	155	146	50	194	69	244	192	167	172	191	178	230	175	172	256	156	154	83	121	200	136	213	188	202	185	225	234	248	185	175	240	120	155	184	89	2	0	2	1	1	2	1	8	6	12	1	0	3	3	2	1	1	3	4	0	14	4	5	5	6	2	10	2					
		15.11%	11.65%	13.63%	11.76%	14.93%	14.32%	13.02%	14.99%	15.96%	15.48%	15.79%	14.88%	17.73%	16.02%	15.34%	14.83%	11.39%	14.48%	12.85%	12.27%	10.15%	15.17%	18.30%	16.26%	15.59%	13.86%	13.20%	11.90%	19.04%	15.13%	17.82%	16.47%	15.84%	16.24%	15.55%	17.30%	18.71%	14.50%	16.01%	19.13%	15.79%	14.29%	12.71%	12.38%	16.92%	14.86%	16.36%	17.82%	15.99%	15.28%	18.72%	15.68%	15.86%	16.13%	13.68%	11.20%	8.78%	14.79%	16.67%	18.66%	5.13%	0.00%	12.50%	6.25%	6.67%	12.50%	7.14%	19.51%	23.08%	54.55%	9.09%	0.00%	27.27%	27.27%	18.18%	9.09%	9.09%	27.27%	23.53%	0.00%	50.00%	28.57%	14.71%	15.15%	14.29%	6.06%	9.62%	8.70%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	9829	204	189	165	100	204	170	150	231	198	168	121	147	177	79	65	155	213	219	141	132	114	127	114	189	166	203	86	179	58	176	155	142	126	164	114	167	163	121	198	173	159	136	167	174	159	188	125	184	175	145	215	203	202	181	458	288	142	138	57	7	5	7	7	5	4	5	8	8	3	3	6	2	1	4	3	3	3	1	2	9	0	9	9	6	5	40	5					
		15.29%	15.54%	13.85%	18.48%	15.55%	14.32%	18.44%	18.43%	17.81%	14.33%	14.04%	14.40%	12.84%	15.25%	16.60%	14.61%	19.62%	16.76%	19.41%	16.02%	16.34%	11.61%	11.98%	13.15%	15.50%	14.85%	18.35%	20.48%	17.57%	12.72%	12.86%	13.29%	13.47%	11.90%	13.36%	11.08%	13.59%	13.50%	11.27%	14.80%	17.51%	14.75%	20.83%	17.09%	14.72%	17.38%	14.44%	11.85%	14.57%	14.45%	12.06%	14.41%	12.98%	17.61%	14.15%	21.37%	21.08%	13.55%	12.50%	11.95%	17.95%	33.33%	43.75%	43.75%	33.33%	25.00%	35.71%	19.51%	30.77%	13.64%	27.27%	54.55%	18.18%	9.09%	36.36%	27.27%	27.27%	27.27%	5.88%	11.76%	32.14%	0.00%	26.47%	27.27%	14.29%	15.15%	38.46%	21.74%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	1954	36	40	25	27	39	33	22	34	40	44	31	39	28	18	11	17	32	40	27	18	26	27	24	34	33	51	13	39	14	42	37	38	22	21	22	29	32	45	38	23	36	21	28	34	16	41	40	40	44	31	82	51	31	40	55	29	49	34	9	5	0	0	0	1	1	0	2	1	0	0	0	2	0	1	0	0	1	0	0	0	1	0	3	5	4	4	1					
		3.04%	2.74%	2.93%	2.80%	4.20%	2.74%	3.58%	2.70%	2.62%	2.89%	3.68%	3.69%	3.41%	2.41%	3.78%	2.47%	2.15%	2.52%	3.55%	3.07%	2.23%	2.65%	2.55%	2.77%	2.79%	2.95%	4.61%	3.10%	3.83%	3.07%	3.07%	3.17%	3.61%	2.08%	1.71%	2.14%	2.36%	2.65%	4.19%	2.84%	2.33%	3.34%	3.22%	2.87%	2.88%	1.75%	3.15%	3.79%	3.17%	3.63%	2.58%	5.50%	3.26%	2.70%	3.13%	2.57%	2.12%	4.68%	3.08%	1.89%	12.82%	0.00%	0.00%	0.00%	6.67%	6.25%	0.00%	4.88%	3.85%	0.00%	0.00%	0.00%	18.18%	0.00%	9.09%	0.00%	0.00%	9.09%	0.00%	0.00%	0.00%	7.14%	0.00%	9.09%	11.90%	12.12%	3.85%	4.35%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	19473	409	457	230	190	461	263	211	358	453	421	266	358	344	150	118	224	419	350	278	213	356	351	294	396	404	331	106	240	123	440	375	346	348	414	386	402	388	384	369	284	338	142	196	377	277	383	327	410	404	392	431	507	310	422	429	253	323	355	133	16	9	3	2	1	4	4	10	9	1	2	3	3	1	1	0	3	2	6	4	3	1	13	8	6	12	26	1					
		30.29%	31.15%	33.48%	25.76%	29.55%	32.35%	28.52%	25.92%	27.60%	32.78%	35.17%	31.67%	31.27%	29.63%	31.51%	26.52%	28.35%	32.97%	31.03%	31.59%	26.36%	36.25%	33.11%	33.91%	32.49%	36.14%	29.93%	25.24%	23.55%	26.97%	32.14%	32.16%	32.83%	32.86%	33.71%	37.51%	32.71%	32.15%	35.75%	27.58%	28.74%	31.35%	21.75%	20.06%	31.90%	30.27%	29.42%	30.99%	32.46%	33.36%	32.61%	28.89%	32.42%	27.03%	32.99%	20.02%	18.52%	30.82%	32.16%	27.88%	41.03%	60.00%	18.75%	12.50%	6.67%	25.00%	28.57%	24.39%	34.62%	4.55%	18.18%	27.27%	27.27%	9.09%	9.09%	0.00%	27.27%	18.18%	35.29%	23.53%	10.71%	7.14%	38.24%	24.24%	14.29%	36.36%	25.00%	4.35%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	4497	79	58	51	41	117	55	52	82	104	65	63	98	80	30	16	35	83	71	60	36	92	90	73	95	65	53	18	79	36	125	83	74	94	113	92	109	106	96	95	73	65	52	59	65	76	100	69	110	97	105	118	113	75	93	91	41	53	100	39	2	0	1	0	3	0	2	1	1	3	1	0	0	0	0	1	2	0	1	2	1	0	0	1	8	7	2	0					
		6.99%	6.02%	4.25%	5.71%	6.38%	8.21%	5.97%	6.39%	6.32%	7.53%	5.43%	7.50%	8.56%	6.89%	6.30%	3.60%	4.43%	6.53%	6.29%	6.82%	4.46%	9.37%	8.49%	8.42%	7.79%	5.81%	4.79%	4.29%	7.75%	7.89%	9.13%	7.12%	7.02%	8.88%	9.20%	8.94%	8.87%	8.78%	8.94%	7.10%	7.39%	6.03%	7.96%	6.04%	5.50%	8.31%	7.68%	6.54%	8.71%	8.01%	8.74%	7.91%	7.23%	6.54%	7.27%	4.25%	3.00%	5.06%	9.06%	8.18%	5.13%	0.00%	6.25%	0.00%	20.00%	0.00%	14.29%	2.44%	3.85%	13.64%	9.09%	0.00%	0.00%	0.00%	0.00%	9.09%	18.18%	0.00%	5.88%	11.76%	3.57%	0.00%	0.00%	3.03%	19.05%	21.21%	1.92%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	17211	399	407	292	167	370	257	239	347	347	284	209	271	309	115	158	245	318	276	236	311	215	240	209	288	279	297	140	254	140	310	290	258	266	294	209	266	316	231	348	257	306	204	379	313	228	323	279	284	283	270	368	403	314	346	793	597	310	273	141	5	1	3	4	4	5	2	11	0	3	4	1	1	6	3	6	1	1	4	9	0	7	5	6	6	2	21	12					
		26.77%	30.39%	29.82%	32.70%	25.97%	25.96%	27.87%	29.36%	26.75%	25.11%	23.73%	24.88%	23.67%	26.61%	24.16%	35.51%	31.01%	25.02%	24.47%	26.82%	38.49%	21.89%	22.64%	24.11%	23.63%	24.96%	26.85%	33.33%	24.93%	30.70%	22.64%	24.87%	24.48%	25.12%	23.94%	20.31%	21.64%	26.18%	21.51%	26.01%	26.01%	28.39%	31.24%	38.79%	26.48%	24.92%	24.81%	26.45%	22.49%	23.37%	22.46%	24.66%	25.77%	27.38%	27.05%	37.00%	43.70%	29.58%	24.73%	29.56%	12.82%	6.67%	18.75%	25.00%	26.67%	31.25%	14.29%	26.83%	0.00%	13.64%	36.36%	9.09%	9.09%	54.55%	27.27%	54.55%	9.09%	9.09%	23.53%	52.94%	0.00%	50.00%	14.71%	18.18%	14.29%	6.06%	20.19%	52.17%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	488	11	8	4	6	13	6	4	9	5	9	6	8	11	4	0	11	11	4	6	8	10	9	5	10	1	11	3	10	8	10	16	9	6	12	13	10	7	8	7	13	5	3	7	6	5	13	8	7	3	11	20	11	9	3	23	6	5	8	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	2	0	1	0					
		0.76%	0.84%	0.59%	0.45%	0.93%	0.91%	0.65%	0.49%	0.69%	0.36%	0.75%	0.71%	0.70%	0.95%	0.84%	0.00%	1.39%	0.87%	0.35%	0.68%	0.99%	1.02%	0.85%	0.58%	0.82%	0.09%	0.99%	0.71%	0.98%	1.75%	0.73%	1.37%	0.85%	0.57%	0.98%	1.26%	0.81%	0.58%	0.74%	0.52%	1.32%	0.46%	0.46%	0.72%	0.51%	0.55%	0.99%	0.76%	0.55%	0.25%	0.92%	1.34%	0.70%	0.78%	0.23%	1.07%	0.44%	0.48%	0.72%	1.05%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.44%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	9.09%	0.00%	5.88%	0.00%	0.00%	0.00%	5.88%	0.00%	4.76%	0.00%	0.96%	0.00%					
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
