Выборы Президента Российской Федерации																															
																															
Наименование Избирательной комиссии:    Дальнереченская																															
																															
Итоги голосования 																															
																															
		Сумма	УИК  1267	УИК  1268	УИК №1269	УИК №1270	УИК №1271	УИК №1272	УИК №1273	УИК №1274	УИК №1275	УИК №1276	УИК №1277	УИК №1278	УИК №1279	УИК №1280	УИК №1281	УИК №1282	УИК №1283	УИК №1284	УИК №1285	УИК №1286	УИК №1287	УИК №1288	УИК №1289	УИК №1290					
22	. Хакамада Ирина Муцуовна	231	17	16	38	6	18	3	0	3	3	5	15	1	4	8	8	6	17	6	19	11	8	4	4	11					
		2.80%	2.13%	4.17%	5.17%	3.45%	3.46%	4.11%	0.00%	1.19%	2.29%	1.81%	1.88%	0.83%	2.80%	1.47%	2.95%	3.14%	7.42%	1.90%	2.47%	4.04%	2.95%	1.33%	0.86%	6.18%					
23	. Харитонов Николай Михайлович	1940	165	110	105	50	126	35	5	56	38	104	260	39	14	159	45	32	23	74	177	82	61	97	59	24					
		23.50%	20.68%	28.65%	14.29%	28.74%	24.23%	47.95%	11.90%	22.13%	29.01%	37.55%	32.62%	32.50%	9.79%	29.17%	16.61%	16.75%	10.04%	23.42%	22.99%	30.15%	22.51%	32.33%	12.69%	13.48%					
																															
24	Против всех	315	27	17	37	3	21	1	0	6	1	15	25	2	12	18	15	8	5	21	31	8	8	11	19	4					
		3.82%	3.38%	4.43%	5.03%	1.72%	4.04%	1.37%	0.00%	2.37%	0.76%	5.42%	3.14%	1.67%	8.39%	3.30%	5.54%	4.19%	2.18%	6.65%	4.03%	2.94%	2.95%	3.67%	4.09%	2.25%					
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
