Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																												
Дата голосования: 07.12.2003 0:00:00																																												
																																												
Наименование Избирательной комиссии:    Козельская																																												
																																												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																												
																																												
		Сумма	УИК  358	УИК  359	УИК  360	УИК  361	УИК  362	УИК  363	УИК  364	УИК  365	УИК  366	УИК  367	УИК  368	УИК  369	УИК  370	УИК  371	УИК  372	УИК  373	УИК  374	УИК  375	УИК  376	УИК  377	УИК  378	УИК  379	УИК  380	УИК  381	УИК  382	УИК  383	УИК  384	УИК  385	УИК  386	УИК  387	УИК  388	УИК  389	УИК  390	УИК  391	УИК  392	УИК  393	УИК  394					
14	Число погашенных открепительных удостоверений	321	4	4	10	3	15	4	5	5	10	10	5	4	9	9	10	10	8	3	4	10	2	4	14	13	12	9	14	0	14	6	3	14	18	11	10	15	20					
15	Число открепительных удостоверений выданных ТИК	18	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	2	1	1	0	2	1	0	3	0	0	0	3	0	0	0	0	0	0	1	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																												
18	"1. ""ЕДИНЕНИЕ"""	169	6	5	2	1	6	2	0	3	4	2	0	0	7	1	1	3	0	2	3	3	6	4	5	4	9	5	10	1	9	19	7	7	6	5	9	8	4					
		0.83%	0.68%	3.44%	0.73%	1.06%	1.12%	1.48%	0.0%	1.19%	1.41%	1.01%	0.0%	0.0%	3.11%	0.40%	0.47%	0.55%	0.0%	0.55%	2.04%	1.53%	1.29%	0.91%	0.92%	0.73%	0.74%	1.13%	0.96%	1.28%	0.61%	0.98%	0.74%	0.68%	0.69%	0.39%	0.74%	1.14%	0.51%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	318	12	0	4	1	4	3	0	4	3	1	0	0	0	1	1	9	0	2	4	3	4	7	12	14	25	3	20	1	26	44	5	19	11	27	18	14	16					
		1.57%	1.37%	0.0%	1.47%	1.06%	0.75%	2.22%	0.0%	1.58%	1.06%	0.50%	0.0%	0.0%	0.0%	0.40%	0.47%	1.65%	0.0%	0.55%	2.72%	1.53%	0.86%	1.60%	2.21%	2.56%	2.07%	0.68%	1.93%	1.28%	1.76%	2.28%	0.53%	1.85%	1.26%	2.12%	1.48%	2.00%	2.07%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	526	16	2	3	2	13	7	4	2	3	19	2	2	10	7	5	8	4	5	6	4	14	10	15	15	15	5	29	1	33	30	29	18	37	46	38	25	42					
		2.60%	1.83%	1.37%	1.10%	2.12%	2.44%	5.18%	5.12%	0.79%	1.06%	9.64%	1.19%	2.22%	4.44%	2.84%	2.35%	1.47%	1.87%	1.38%	4.08%	2.04%	3.02%	2.29%	2.76%	2.74%	1.24%	1.13%	2.80%	1.28%	2.24%	1.56%	3.08%	1.75%	4.25%	3.62%	3.13%	3.57%	5.44%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	403	13	1	3	1	4	1	5	4	7	1	2	1	4	5	3	1	3	7	2	2	9	2	3	13	22	1	26	3	32	33	21	29	33	45	26	15	20					
		1.99%	1.49%	0.68%	1.10%	1.06%	0.75%	0.74%	6.41%	1.58%	2.47%	0.50%	1.19%	1.11%	1.77%	2.03%	1.41%	0.18%	1.40%	1.93%	1.36%	1.02%	1.94%	0.45%	0.55%	2.38%	1.82%	0.22%	2.51%	3.84%	2.17%	1.71%	2.23%	2.83%	3.79%	3.54%	2.14%	2.14%	2.59%					
22	"5. ""За Русь Святую"""	341	12	2	0	1	15	0	0	2	0	4	1	2	8	15	5	27	1	3	1	4	12	2	11	17	19	7	32	2	22	16	7	15	22	11	25	11	7					
		1.68%	1.37%	1.37%	0.0%	1.06%	2.81%	0.0%	0.0%	0.79%	0.0%	2.03%	0.59%	2.22%	3.55%	6.09%	2.35%	4.96%	0.46%	0.82%	0.68%	2.04%	2.59%	0.45%	2.02%	3.11%	1.57%	1.58%	3.09%	2.56%	1.49%	0.83%	0.74%	1.46%	2.53%	0.86%	2.05%	1.57%	0.90%					
23	"6. ""Объединенная Российская партия ""Русь"""	68	2	0	1	1	0	1	0	0	1	0	1	0	1	2	0	5	1	6	1	2	1	0	4	1	0	6	1	0	3	7	1	1	3	4	9	2	0					
		0.33%	0.22%	0.0%	0.36%	1.06%	0.0%	0.74%	0.0%	0.0%	0.35%	0.0%	0.59%	0.0%	0.44%	0.81%	0.0%	0.91%	0.46%	1.65%	0.68%	1.02%	0.21%	0.0%	0.73%	0.18%	0.0%	1.36%	0.09%	0.0%	0.20%	0.36%	0.10%	0.09%	0.34%	0.31%	0.74%	0.28%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	149	10	0	1	2	4	1	0	0	1	0	1	0	0	2	1	1	2	1	0	0	5	2	1	3	12	3	5	1	9	37	11	9	8	6	2	2	6					
		0.73%	1.14%	0.0%	0.36%	2.12%	0.75%	0.74%	0.0%	0.0%	0.35%	0.0%	0.59%	0.0%	0.0%	0.81%	0.47%	0.18%	0.93%	0.27%	0.0%	0.0%	1.07%	0.45%	0.18%	0.54%	0.99%	0.68%	0.48%	1.28%	0.61%	1.92%	1.17%	0.87%	0.92%	0.47%	0.16%	0.28%	0.77%					
25	"8. ""Народно-республиканская партия России"""	21	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	1	0	1	0	1	2	2	3	0	1	2	3	0					
		0.10%	0.0%	0.0%	0.36%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	0.0%	0.27%	0.0%	0.0%	0.0%	0.22%	0.0%	0.18%	0.08%	0.0%	0.09%	0.0%	0.06%	0.10%	0.21%	0.29%	0.0%	0.07%	0.16%	0.42%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	75	10	1	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	2	0	6	0	3	14	3	7	4	6	9	0	2					
		0.37%	1.14%	0.68%	0.73%	1.06%	0.0%	0.0%	0.0%	0.39%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.21%	0.22%	0.18%	0.18%	0.16%	0.0%	0.58%	0.0%	0.20%	0.72%	0.31%	0.68%	0.46%	0.47%	0.74%	0.0%	0.25%					
27	"10. ""Аграрная партия России"""	882	19	16	86	11	34	3	13	33	13	9	6	2	18	15	28	83	15	34	8	8	29	24	20	17	34	38	25	1	32	26	19	26	25	45	29	14	24					
		4.37%	2.18%	11.03%	31.61%	11.70%	6.39%	2.22%	16.66%	13.09%	4.59%	4.56%	3.59%	2.22%	8.0%	6.09%	13.20%	15.25%	7.04%	9.39%	5.44%	4.08%	6.26%	5.51%	3.69%	3.11%	2.82%	8.61%	2.41%	1.28%	2.17%	1.35%	2.02%	2.54%	2.87%	3.54%	2.38%	2.00%	3.10%					
28	"11. ""Истинные патриоты России"""	31	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	1	0	0	1	1	0	1	17	0	0	0	1	1	0	0					
		0.15%	0.34%	0.68%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	0.0%	0.0%	1.36%	0.0%	0.0%	0.22%	0.18%	0.0%	0.0%	0.22%	0.09%	0.0%	0.06%	0.88%	0.0%	0.0%	0.0%	0.07%	0.08%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	248	8	3	3	0	4	2	0	1	2	0	1	2	0	7	2	4	1	5	1	1	6	6	7	6	11	4	45	1	10	18	13	21	9	17	12	8	7					
		1.22%	0.91%	2.06%	1.10%	0.0%	0.75%	1.48%	0.0%	0.39%	0.70%	0.0%	0.59%	2.22%	0.0%	2.84%	0.94%	0.73%	0.46%	1.38%	0.68%	0.51%	1.29%	1.37%	1.29%	1.09%	0.91%	0.90%	4.35%	1.28%	0.68%	0.93%	1.38%	2.05%	1.03%	1.33%	0.98%	1.14%	0.90%					
30	"13. ""Демократическая партия России"""	49	6	0	1	0	0	1	0	0	2	0	0	1	1	0	2	4	0	2	1	2	0	0	2	3	2	0	0	0	1	4	1	1	4	2	2	0	4					
		0.24%	0.68%	0.0%	0.36%	0.0%	0.0%	0.74%	0.0%	0.0%	0.70%	0.0%	0.0%	1.11%	0.44%	0.0%	0.94%	0.73%	0.0%	0.55%	0.68%	1.02%	0.0%	0.0%	0.36%	0.54%	0.16%	0.0%	0.0%	0.0%	0.06%	0.20%	0.10%	0.09%	0.46%	0.15%	0.16%	0.0%	0.51%					
31	"14. ""Великая Россия - Евразийский Союз"""	35	1	0	0	0	1	0	0	0	0	0	0	0	4	0	0	1	0	0	1	0	0	0	1	1	0	2	0	1	1	9	1	4	1	2	1	3	0					
		0.17%	0.11%	0.0%	0.0%	0.0%	0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.77%	0.0%	0.0%	0.18%	0.0%	0.0%	0.68%	0.0%	0.0%	0.0%	0.18%	0.18%	0.0%	0.45%	0.0%	1.28%	0.06%	0.46%	0.10%	0.39%	0.11%	0.15%	0.08%	0.42%	0.0%					
32	"15. ""Партия СЛОН"""	39	3	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	1	1	0	1	1	1	2	1	0	7	0	0	8	0	4	1	2	1	1	0					
		0.19%	0.34%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.35%	0.50%	0.0%	0.0%	0.0%	0.0%	0.0%	0.36%	0.0%	0.27%	0.68%	0.0%	0.21%	0.22%	0.18%	0.36%	0.08%	0.0%	0.67%	0.0%	0.0%	0.41%	0.0%	0.39%	0.11%	0.15%	0.08%	0.14%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	1888	48	6	7	2	40	6	3	14	15	23	5	4	11	6	17	36	12	14	8	7	34	31	51	45	165	32	120	3	219	160	142	125	106	166	99	43	63					
		9.35%	5.51%	4.13%	2.57%	2.12%	7.51%	4.44%	3.84%	5.55%	5.30%	11.67%	2.99%	4.44%	4.88%	2.43%	8.01%	6.61%	5.63%	3.86%	5.44%	3.57%	7.34%	7.12%	9.40%	8.24%	13.71%	7.25%	11.60%	3.84%	14.90%	8.32%	15.12%	12.21%	12.19%	13.07%	8.15%	6.15%	8.16%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	54	3	0	2	1	2	0	0	1	1	2	2	1	0	0	0	3	0	1	3	1	1	3	1	1	0	0	1	0	3	9	2	2	1	3	2	0	2					
		0.26%	0.34%	0.0%	0.73%	1.06%	0.37%	0.0%	0.0%	0.39%	0.35%	1.01%	1.19%	1.11%	0.0%	0.0%	0.0%	0.55%	0.0%	0.27%	2.04%	0.51%	0.21%	0.68%	0.18%	0.18%	0.0%	0.0%	0.09%	0.0%	0.20%	0.46%	0.21%	0.19%	0.11%	0.23%	0.16%	0.0%	0.25%					
35	"18. ""ЛДПР"""	3332	198	21	19	10	84	7	12	26	42	21	17	9	27	41	16	44	16	36	8	31	98	89	80	76	233	51	93	9	222	477	167	188	134	225	221	116	168					
		16.51%	22.75%	14.48%	6.98%	10.63%	15.78%	5.18%	15.38%	10.31%	14.84%	10.65%	10.17%	10.0%	12.0%	16.66%	7.54%	8.08%	7.51%	9.94%	5.44%	15.81%	21.16%	20.45%	14.76%	13.91%	19.36%	11.56%	8.99%	11.53%	15.11%	24.80%	17.78%	18.37%	15.42%	17.71%	18.20%	16.59%	21.76%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	383	28	2	7	0	12	2	2	7	1	7	5	1	2	2	0	11	0	5	7	1	4	6	13	12	37	12	11	1	33	28	15	15	9	25	26	14	20					
		1.89%	3.21%	1.37%	2.57%	0.0%	2.25%	1.48%	2.56%	2.77%	0.35%	3.55%	2.99%	1.11%	0.88%	0.81%	0.0%	2.02%	0.0%	1.38%	4.76%	0.51%	0.86%	1.37%	2.39%	2.19%	3.07%	2.72%	1.06%	1.28%	2.24%	1.45%	1.59%	1.46%	1.03%	1.96%	2.14%	2.00%	2.59%					
37	"20. ""Политическая партия ""Единая Россия"""	7186	303	65	94	34	199	83	30	103	154	95	115	44	97	89	100	200	117	195	59	98	154	163	176	187	371	158	247	31	467	626	338	353	323	398	419	252	249					
		35.60%	34.82%	44.82%	34.55%	36.17%	37.40%	61.48%	38.46%	40.87%	54.41%	48.22%	68.86%	48.88%	43.11%	36.17%	47.16%	36.76%	54.92%	53.86%	40.13%	50.0%	33.26%	37.47%	32.47%	34.24%	30.83%	35.82%	23.88%	39.74%	31.79%	32.55%	35.99%	34.50%	37.16%	31.33%	34.51%	36.05%	32.25%					
38	"21. ""Российская Конституционно-демократическая партия"""	30	3	0	0	2	1	0	0	0	0	0	0	0	1	0	3	1	0	1	1	0	0	0	0	2	1	1	3	0	2	2	1	2	0	1	1	1	0					
		0.14%	0.34%	0.0%	0.0%	2.12%	0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.44%	0.0%	1.41%	0.18%	0.0%	0.27%	0.68%	0.0%	0.0%	0.0%	0.0%	0.36%	0.08%	0.22%	0.29%	0.0%	0.13%	0.10%	0.10%	0.19%	0.0%	0.07%	0.08%	0.14%	0.0%					
39	"22. ""Развитие предпринимательства"""	38	4	0	1	0	0	0	0	0	0	0	0	0	1	2	0	4	0	1	0	0	1	0	5	1	1	1	2	0	0	2	2	1	4	1	3	0	1					
		0.18%	0.45%	0.0%	0.36%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.44%	0.81%	0.0%	0.73%	0.0%	0.27%	0.0%	0.0%	0.21%	0.0%	0.92%	0.18%	0.08%	0.22%	0.19%	0.0%	0.0%	0.10%	0.21%	0.09%	0.46%	0.07%	0.24%	0.0%	0.12%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	2649	99	14	29	23	76	12	7	41	18	10	3	21	24	37	14	72	35	23	22	21	66	68	102	98	178	80	252	13	241	138	90	103	73	158	191	103	94					
		13.12%	11.37%	9.65%	10.66%	24.46%	14.28%	8.88%	8.97%	16.26%	6.36%	5.07%	1.79%	23.33%	10.66%	15.04%	6.60%	13.23%	16.43%	6.35%	14.96%	10.71%	14.25%	15.63%	18.81%	17.94%	14.79%	18.14%	24.37%	16.66%	16.40%	7.17%	9.58%	10.06%	8.40%	12.44%	15.73%	14.73%	12.17%					
																																												
41	Против всех	1016	44	3	3	0	25	1	2	6	14	2	4	0	8	12	10	21	4	13	7	5	10	13	20	9	58	17	83	7	89	179	55	64	51	56	49	36	36					
		5.03%	5.05%	2.06%	1.10%	0.0%	4.69%	0.74%	2.56%	2.38%	4.94%	1.01%	2.39%	0.0%	3.55%	4.87%	4.71%	3.86%	1.87%	3.59%	4.76%	2.55%	2.15%	2.98%	3.69%	1.64%	4.82%	3.85%	8.02%	8.97%	6.05%	9.30%	5.85%	6.25%	5.86%	4.40%	4.03%	5.15%	4.66%					
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
