Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																						
Дата голосования: 18.09.2016																						
																						
Наименование Избирательной комиссии:    Югорская городская																						
																						
Сводная таблица итогов голосования по федеральному избирательному округу																						
																						
		Сумма	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	149	7	5	12	21	16	11	24	13	17	20	3									
		1.29%	0.63%	0.48%	1.10%	1.74%	1.42%	0.97%	1.81%	1.30%	1.72%	1.83%	0.66%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	16	2	2	2	1	0	0	2	2	1	3	1									
		0.14%	0.18%	0.19%	0.18%	0.08%	0.00%	0.00%	0.15%	0.20%	0.10%	0.27%	0.22%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	123	8	8	10	10	18	14	17	11	12	11	4									
		1.06%	0.72%	0.77%	0.92%	0.83%	1.60%	1.23%	1.28%	1.10%	1.21%	1.01%	0.88%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1626	171	135	133	178	180	175	169	112	157	153	63									
		14.05%	15.34%	13.03%	12.20%	14.72%	15.97%	15.36%	12.76%	11.20%	15.89%	13.99%	13.88%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	90	9	5	8	9	9	11	9	11	9	7	3									
		0.78%	0.81%	0.48%	0.73%	0.74%	0.80%	0.97%	0.68%	1.10%	0.91%	0.64%	0.66%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	480	27	35	59	63	56	38	53	42	37	48	22									
		4.15%	2.42%	3.38%	5.41%	5.21%	4.97%	3.34%	4.00%	4.20%	3.74%	4.39%	4.85%									
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
