Выборы Президента Российской Федерации																																																													
																																																													
Наименование Избирательной комиссии:    Курагинская																																																													
																																																													
Итоги голосования 																																																													
																																																													
		Сумма	УИК  1508	УИК  1509	УИК  1510	УИК  1511	УИК  1512	УИК  1513	УИК  1514	УИК  1515	УИК  1516	УИК  1517	УИК  1518	УИК  1519	УИК  1520	УИК  1521	УИК  1522	УИК  1523	УИК  1524	УИК  1525	УИК  1526	УИК  1527	УИК  1528	УИК  1529	УИК  1530	УИК  1531	УИК  1532	УИК  1533	УИК  1534	УИК  1535	УИК  1536	УИК  1537	УИК  1538	УИК  1539	УИК  1540	УИК  1541	УИК  1542	УИК  1543	УИК  1544	УИК  1545	УИК  1546	УИК  1547	УИК  1548	УИК  1549	УИК  1550	УИК  1551	УИК  1552	УИК  1553	УИК  1554	УИК  1555	УИК  1556	УИК  1557	УИК  1558	УИК  1559	УИК  1560	УИК  1561					
23	. Харитонов Николай Михайлович	3590	83	33	106	55	17	110	36	41	82	23	55	145	143	145	138	126	111	60	211	16	187	164	26	84	17	22	81	6	2	108	27	35	4	95	25	53	11	20	18	28	29	27	0	43	82	110	63	58	82	136	175	19	10	7					
		18.06%	32.30%	24.63%	21.63%	26.44%	19.10%	29.10%	24.49%	25.95%	19.20%	10.90%	17.63%	18.28%	20.69%	19.28%	15.99%	18.31%	12.13%	20.55%	38.79%	14.95%	17.83%	16.27%	21.49%	29.27%	10.83%	24.72%	50.62%	10.53%	4.26%	32.24%	29.03%	22.58%	6.15%	18.38%	7.72%	15.36%	9.32%	9.80%	12.50%	8.24%	9.39%	21.43%	0.00%	8.78%	16.30%	19.30%	19.87%	14.61%	13.25%	15.21%	17.34%	22.89%	5.21%	4.46%					
																																																													
24	Против всех	695	1	1	3	3	1	7	3	4	10	3	9	19	17	10	26	12	24	18	18	2	56	64	1	1	8	0	2	2	9	9	1	5	2	36	30	15	9	23	11	21	14	15	15	44	9	13	5	15	11	19	29	0	7	3					
		3.50%	0.39%	0.75%	0.61%	1.44%	1.12%	1.85%	2.04%	2.53%	2.34%	1.42%	2.88%	2.40%	2.46%	1.33%	3.01%	1.74%	2.62%	6.16%	3.31%	1.87%	5.34%	6.35%	0.83%	0.35%	5.10%	0.00%	1.25%	3.51%	19.15%	2.69%	1.08%	3.23%	3.08%	6.96%	9.26%	4.35%	7.63%	11.27%	7.64%	6.18%	4.53%	11.90%	10.27%	8.98%	1.79%	2.28%	1.58%	3.78%	1.78%	2.13%	2.87%	0.00%	3.65%	1.91%					
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
