Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																					
Дата голосования: 07.12.2003 0:00:00																					
																					
Наименование Избирательной комиссии:    г. Балей																					
																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																					
																					
		Сумма	УИК  368	УИК  369	УИК  370	УИК  371	УИК  372	УИК  373	УИК  374	УИК  375	УИК  376	УИК  377	УИК  378	УИК  379	УИК  380	УИК  381					
15	Число открепительных удостоверений выданных ТИК	10	0	0	0	0	10	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																					
18	"1. ""ЕДИНЕНИЕ"""	83	1	6	12	2	6	3	7	5	5	6	6	3	9	12					
		1.51%	0.42%	1.35%	1.74%	0.43%	1.07%	0.77%	1.72%	1.06%	1.98%	3.03%	1.33%	0.93%	2.06%	7.14%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	49	0	5	5	3	3	3	1	3	3	3	7	8	2	3					
		0.89%	0.0%	1.12%	0.72%	0.65%	0.53%	0.77%	0.24%	0.63%	1.19%	1.51%	1.56%	2.48%	0.45%	1.78%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	243	15	18	41	36	23	8	9	15	11	8	14	11	30	4					
		4.44%	6.35%	4.05%	5.95%	7.91%	4.12%	2.06%	2.21%	3.19%	4.36%	4.04%	3.12%	3.41%	6.89%	2.38%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	105	4	6	12	10	10	14	5	12	7	0	12	4	6	3					
		1.92%	1.69%	1.35%	1.74%	2.19%	1.79%	3.60%	1.23%	2.55%	2.77%	0.0%	2.67%	1.24%	1.37%	1.78%					
22	"5. ""За Русь Святую"""	18	3	3	0	2	0	1	0	3	2	0	1	1	1	1					
		0.32%	1.27%	0.67%	0.0%	0.43%	0.0%	0.25%	0.0%	0.63%	0.79%	0.0%	0.22%	0.31%	0.22%	0.59%					
23	"6. ""Объединенная Российская партия ""Русь"""	11	0	0	1	0	3	0	1	2	0	0	2	0	2	0					
		0.20%	0.0%	0.0%	0.14%	0.0%	0.53%	0.0%	0.24%	0.42%	0.0%	0.0%	0.44%	0.0%	0.45%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	14	1	0	1	3	3	0	0	0	3	0	2	1	0	0					
		0.25%	0.42%	0.0%	0.14%	0.65%	0.53%	0.0%	0.0%	0.0%	1.19%	0.0%	0.44%	0.31%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	11	0	0	1	0	2	1	0	2	0	0	4	0	0	1					
		0.20%	0.0%	0.0%	0.14%	0.0%	0.35%	0.25%	0.0%	0.42%	0.0%	0.0%	0.89%	0.0%	0.0%	0.59%					
26	"9. ""Российская экологическая партия ""Зеленые"""	6	1	0	1	0	1	0	0	0	0	0	0	0	1	2					
		0.10%	0.42%	0.0%	0.14%	0.0%	0.17%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.22%	1.19%					
27	"10. ""Аграрная партия России"""	193	11	7	20	16	19	15	16	10	14	4	26	6	22	7					
		3.53%	4.66%	1.57%	2.90%	3.51%	3.40%	3.86%	3.94%	2.13%	5.55%	2.02%	5.80%	1.86%	5.05%	4.16%					
28	"11. ""Истинные патриоты России"""	8	0	2	2	0	1	0	1	0	0	1	0	0	1	0					
		0.14%	0.0%	0.45%	0.29%	0.0%	0.17%	0.0%	0.24%	0.0%	0.0%	0.50%	0.0%	0.0%	0.22%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	78	0	7	10	5	12	3	6	3	3	4	5	6	9	5					
		1.42%	0.0%	1.57%	1.45%	1.09%	2.15%	0.77%	1.47%	0.63%	1.19%	2.02%	1.11%	1.86%	2.06%	2.97%					
30	"13. ""Демократическая партия России"""	27	3	1	3	2	2	5	4	1	1	0	3	1	0	1					
		0.49%	1.27%	0.22%	0.43%	0.43%	0.35%	1.28%	0.98%	0.21%	0.39%	0.0%	0.66%	0.31%	0.0%	0.59%					
31	"14. ""Великая Россия - Евразийский Союз"""	9	1	0	0	0	1	1	1	1	1	0	2	0	1	0					
		0.16%	0.42%	0.0%	0.0%	0.0%	0.17%	0.25%	0.24%	0.21%	0.39%	0.0%	0.44%	0.0%	0.22%	0.0%					
32	"15. ""Партия СЛОН"""	4	0	0	0	1	1	0	0	0	0	0	0	0	0	2					
		0.07%	0.0%	0.0%	0.0%	0.21%	0.17%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.19%					
33	"16. ""Родина"" (народно-патриотический союз)"""	399	17	36	56	32	39	27	28	41	18	7	36	16	34	12					
		7.29%	7.20%	8.10%	8.13%	7.03%	6.98%	6.95%	6.89%	8.74%	7.14%	3.53%	8.03%	4.96%	7.81%	7.14%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	19	2	2	3	3	1	1	0	1	0	1	1	0	1	3					
		0.34%	0.84%	0.45%	0.43%	0.65%	0.17%	0.25%	0.0%	0.21%	0.0%	0.50%	0.22%	0.0%	0.22%	1.78%					
35	"18. ""ЛДПР"""	1019	32	96	147	80	123	70	65	103	44	25	64	64	76	30					
		18.63%	13.55%	21.62%	21.36%	17.58%	22.04%	18.04%	16.00%	21.96%	17.46%	12.62%	14.28%	19.87%	17.47%	17.85%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	137	10	11	13	5	15	9	7	9	7	6	24	6	7	8					
		2.50%	4.23%	2.47%	1.88%	1.09%	2.68%	2.31%	1.72%	1.91%	2.77%	3.03%	5.35%	1.86%	1.60%	4.76%					
37	"20. ""Политическая партия ""Единая Россия"""	1996	106	188	235	145	187	169	170	175	73	96	142	135	125	50					
		36.50%	44.91%	42.34%	34.15%	31.86%	33.51%	43.55%	41.87%	37.31%	28.96%	48.48%	31.69%	41.92%	28.73%	29.76%					
38	"21. ""Российская Конституционно-демократическая партия"""	26	0	1	0	1	0	1	0	0	4	0	18	1	0	0					
		0.47%	0.0%	0.22%	0.0%	0.21%	0.0%	0.25%	0.0%	0.0%	1.58%	0.0%	4.01%	0.31%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	12	0	0	0	2	2	0	1	1	1	2	1	0	2	0					
		0.21%	0.0%	0.0%	0.0%	0.43%	0.35%	0.0%	0.24%	0.21%	0.39%	1.01%	0.22%	0.0%	0.45%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	758	20	42	116	80	77	44	71	52	40	25	48	41	85	17					
		13.86%	8.47%	9.45%	16.86%	17.58%	13.79%	11.34%	17.48%	11.08%	15.87%	12.62%	10.71%	12.73%	19.54%	10.11%					
																					
41	Против всех	162	7	12	6	23	14	9	7	22	9	6	16	15	13	3					
		2.96%	2.96%	2.70%	0.87%	5.05%	2.50%	2.31%	1.72%	4.69%	3.57%	3.03%	3.57%	4.65%	2.98%	1.78%					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
