Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																									
Дата голосования: 18.09.2016																																																																																									
																																																																																									
Наименование Избирательной комиссии:    Вольская																																																																																									
																																																																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																									
																																																																																									
		Сумма	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №1887	УИК №1888									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1330	15	15	15	30	15	15	15	25	15	15	15	15	35	15	15	15	15	15	45	15	15	25	15	30	15	15	15	15	15	25	25	15	15	15	15	25	15	15	15	25	15	15	15	15	15	15	35	15	15	15	15	15	15	15	45	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	813	15	2	8	21	7	15	15	17	4	6	9	4	19	10	3	1	1	15	25	12	13	25	15	18	2	10	10	15	15	25	17	10	15	7	7	21	0	6	14	25	8	9	15	4	8	15	24	0	13	0	15	3	1	15	45	15	15	11	4	8	0	0	15	0	2	9	2	9	13	15	0	15	15	5	2	4	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	296	4	7	3	10	4	1	5	0	2	0	3	2	14	0	2	0	6	0	1	11	0	9	2	0	4	25	0	5	8	2	9	6	0	12	6	12	0	3	4	0	3	12	0	2	3	0	4	0	0	1	1	2	0	17	6	7	4	0	5	5	1	0	1	2	9	0	0	0	7	3	5	3	2	0	0	0	0	9									
14	Число погашенных неиспользованных открепительных удостоверений	517	0	13	7	9	8	0	0	8	11	9	6	11	16	5	12	14	14	0	20	3	2	0	0	12	13	5	5	0	0	0	8	5	0	8	8	4	15	9	1	0	7	6	0	11	7	0	11	15	2	15	0	12	14	0	0	0	0	4	11	7	15	15	0	15	13	6	13	6	2	0	15	0	0	10	13	11	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	74	2	0	1	1	0	2	0	1	0	1	0	0	5	0	0	1	0	3	9	5	3	3	0	1	0	0	2	3	1	0	0	0	1	0	0	1	0	0	1	2	1	0	0	0	0	0	2	0	1	0	5	0	0	0	6	3	0	1	0	0	0	0	1	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	245	3	3	2	9	1	1	3	13	5	7	7	1	7	0	1	1	1	4	1	8	8	5	0	11	0	2	5	11	3	11	7	5	5	3	1	0	1	3	13	9	3	4	0	5	1	1	2	0	1	1	1	0	0	9	7	6	2	0	0	2	1	2	2	0	0	4	0	2	3	2	1	0	0	0	0	0	0	2									
		0.56%	0.18%	0.44%	0.50%	0.73%	0.43%	0.15%	0.39%	1.14%	1.45%	1.49%	1.37%	0.21%	0.61%	0.00%	0.33%	0.52%	1.11%	0.79%	0.09%	0.59%	0.90%	0.34%	0.00%	0.65%	0.00%	0.18%	0.87%	0.77%	0.43%	0.92%	1.05%	0.99%	0.53%	0.49%	0.21%	0.00%	0.88%	1.01%	0.96%	0.62%	0.69%	1.10%	0.00%	0.87%	0.26%	1.15%	0.46%	0.00%	0.88%	1.01%	0.27%	0.00%	0.00%	1.30%	0.67%	0.84%	0.70%	0.00%	0.00%	0.48%	0.76%	0.90%	1.68%	0.00%	0.00%	0.30%	0.00%	0.86%	0.64%	0.95%	0.69%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.53%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	644	4	15	14	14	5	7	11	14	5	2	7	10	13	12	6	10	0	7	4	16	9	13	10	10	0	10	9	15	14	23	19	11	8	15	11	2	1	9	25	17	15	4	0	3	6	0	9	0	0	7	12	2	9	40	23	14	8	4	0	4	4	14	2	0	2	5	6	2	13	5	1	3	0	0	3	10	0	7									
		1.48%	0.23%	2.19%	3.47%	1.14%	2.17%	1.04%	1.42%	1.23%	1.45%	0.43%	1.37%	2.11%	1.13%	1.94%	2.01%	5.21%	0.00%	1.38%	0.37%	1.17%	1.01%	0.87%	3.18%	0.59%	0.00%	0.88%	1.56%	1.05%	1.99%	1.93%	2.86%	2.18%	0.85%	2.47%	2.31%	0.15%	0.88%	3.03%	1.84%	1.18%	3.43%	1.10%	0.00%	0.52%	1.54%	0.00%	2.05%	0.00%	0.00%	7.07%	3.26%	0.80%	4.33%	5.76%	2.20%	1.97%	2.79%	1.28%	0.00%	0.95%	3.05%	6.28%	1.68%	0.00%	1.47%	0.37%	2.64%	0.86%	2.79%	2.37%	0.69%	1.13%	0.00%	0.00%	0.79%	3.56%	0.00%	1.84%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	373	6	16	2	12	2	8	5	10	6	3	7	2	19	4	1	2	2	3	1	9	11	11	7	4	0	4	12	7	11	3	3	7	8	5	10	1	0	7	25	18	5	3	0	2	8	1	3	0	0	0	5	1	3	18	6	8	5	1	0	8	0	4	3	2	1	0	3	0	4	1	1	0	0	0	0	0	0	3									
		0.86%	0.35%	2.34%	0.50%	0.97%	0.87%	1.19%	0.65%	0.88%	1.74%	0.64%	1.37%	0.42%	1.66%	0.65%	0.33%	1.04%	2.22%	0.59%	0.09%	0.66%	1.23%	0.74%	2.23%	0.24%	0.00%	0.35%	2.08%	0.49%	1.56%	0.25%	0.45%	1.39%	0.85%	0.82%	2.10%	0.07%	0.00%	2.36%	1.84%	1.24%	1.14%	0.82%	0.00%	0.35%	2.06%	1.15%	0.68%	0.00%	0.00%	0.00%	1.36%	0.40%	1.44%	2.59%	0.57%	1.12%	1.74%	0.32%	0.00%	1.91%	0.00%	1.79%	2.52%	2.82%	0.74%	0.00%	1.32%	0.00%	0.86%	0.47%	0.69%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.79%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	31121	1277	404	214	912	142	554	549	880	241	287	337	341	657	380	198	133	64	351	893	1033	675	1179	231	1409	332	877	353	1067	347	809	402	267	772	427	314	1122	91	174	904	992	249	285	81	418	257	80	291	81	102	66	231	190	122	364	711	461	139	272	160	235	74	169	70	52	82	1011	186	181	319	155	95	225	76	60	328	236	120	296									
		71.38%	74.94%	59.06%	52.97%	74.03%	61.74%	82.56%	71.02%	77.46%	69.86%	61.19%	65.95%	71.79%	57.23%	61.49%	66.22%	69.27%	71.11%	68.96%	82.23%	75.57%	75.76%	79.02%	73.57%	82.88%	86.68%	76.93%	61.07%	74.62%	49.36%	67.87%	60.45%	52.98%	82.30%	70.23%	65.83%	83.05%	79.82%	58.59%	66.57%	68.60%	56.98%	78.08%	77.14%	73.08%	66.07%	91.95%	66.29%	80.20%	90.27%	66.67%	62.77%	76.00%	58.65%	52.45%	67.91%	64.75%	48.43%	86.90%	93.57%	56.09%	56.49%	75.78%	58.82%	73.24%	60.29%	75.34%	81.94%	78.02%	68.45%	73.46%	65.97%	84.91%	80.00%	76.92%	86.77%	83.99%	97.56%	77.89%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	157	1	4	5	2	5	1	2	9	3	1	3	1	7	1	1	2	0	3	0	0	0	8	1	0	1	3	4	3	7	4	2	2	5	1	2	0	1	1	13	11	0	0	2	1	1	0	1	0	0	0	1	1	2	5	5	2	0	0	0	2	1	0	0	1	4	0	0	2	3	0	0	0	0	0	1	0	0	2									
		0.36%	0.06%	0.58%	1.24%	0.16%	2.17%	0.15%	0.26%	0.79%	0.87%	0.21%	0.59%	0.21%	0.61%	0.16%	0.33%	1.04%	0.00%	0.59%	0.00%	0.00%	0.00%	0.54%	0.32%	0.00%	0.26%	0.26%	0.69%	0.21%	0.99%	0.34%	0.30%	0.40%	0.53%	0.16%	0.42%	0.00%	0.88%	0.34%	0.96%	0.76%	0.00%	0.00%	1.90%	0.17%	0.26%	0.00%	0.23%	0.00%	0.00%	0.00%	0.27%	0.40%	0.96%	0.72%	0.48%	0.28%	0.00%	0.00%	0.00%	0.48%	0.76%	0.00%	0.00%	1.41%	2.94%	0.00%	0.00%	0.86%	0.64%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.53%									
24	"6. Политическая партия ""Гражданская Платформа"""	41	0	2	0	5	0	0	0	5	1	1	0	0	3	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	2	0	0	1	0	0	0	0	0	0	5	0	2	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	2	0	0	1	0	0	0	0	0									
		0.09%	0.00%	0.29%	0.00%	0.41%	0.00%	0.00%	0.00%	0.44%	0.29%	0.21%	0.00%	0.00%	0.26%	0.16%	0.00%	0.00%	1.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.09%	0.00%	0.07%	0.28%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.37%	0.00%	0.46%	0.27%	0.00%	0.17%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%	0.00%	0.00%	0.74%	0.00%	0.00%	0.00%	0.43%	0.95%	0.00%	0.00%	1.05%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	5606	255	121	87	120	42	55	95	102	49	84	109	69	215	122	64	24	11	68	144	144	100	30	32	149	22	158	92	165	169	172	116	100	64	86	74	187	17	55	238	209	48	42	16	41	71	3	78	0	6	16	51	37	36	135	130	109	44	23	7	59	26	22	26	6	23	73	21	23	43	19	18	21	15	7	31	20	2	43									
		12.86%	14.96%	17.69%	21.53%	9.74%	18.26%	8.20%	12.29%	8.98%	14.20%	17.91%	21.33%	14.53%	18.73%	19.74%	21.40%	12.50%	12.22%	13.36%	13.26%	10.53%	11.22%	2.01%	10.19%	8.76%	5.74%	13.86%	15.92%	11.54%	24.04%	14.43%	17.44%	19.84%	6.82%	14.14%	15.51%	13.84%	14.91%	18.52%	17.53%	14.45%	10.98%	11.51%	15.24%	7.17%	18.25%	3.45%	17.77%	0.00%	5.31%	16.16%	13.86%	14.80%	17.31%	19.45%	12.42%	15.31%	15.33%	7.35%	4.09%	14.08%	19.85%	9.87%	21.85%	8.45%	16.91%	5.44%	9.25%	9.91%	9.23%	9.00%	12.50%	7.92%	15.79%	8.97%	8.20%	7.12%	1.63%	11.32%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	144	2	4	5	5	1	1	12	3	3	3	0	2	5	4	3	0	0	1	0	3	3	6	0	2	3	5	2	2	5	5	4	1	4	0	0	0	0	4	3	7	3	0	0	0	0	0	0	8	0	0	1	1	0	4	3	2	1	0	0	2	2	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0									
		0.33%	0.12%	0.58%	1.24%	0.41%	0.43%	0.15%	1.55%	0.26%	0.87%	0.64%	0.00%	0.42%	0.44%	0.65%	1.00%	0.00%	0.00%	0.20%	0.00%	0.22%	0.34%	0.40%	0.00%	0.12%	0.78%	0.44%	0.35%	0.14%	0.71%	0.42%	0.60%	0.20%	0.43%	0.00%	0.00%	0.00%	0.00%	1.35%	0.22%	0.48%	0.69%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	7.92%	0.00%	0.00%	0.27%	0.40%	0.00%	0.58%	0.29%	0.28%	0.35%	0.00%	0.00%	0.48%	1.53%	0.00%	0.00%	0.00%	0.74%	0.00%	0.00%	0.43%	0.00%	0.00%	0.69%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	175	1	5	0	2	0	2	7	7	2	2	0	5	6	5	1	0	0	1	0	8	1	5	3	4	1	3	2	3	4	9	2	2	3	2	2	1	0	1	4	5	3	0	0	0	0	0	4	0	1	2	4	0	1	3	6	2	1	0	0	7	0	7	0	3	1	9	1	0	1	3	4	0	0	0	0	0	0	1									
		0.40%	0.06%	0.73%	0.00%	0.16%	0.00%	0.30%	0.91%	0.62%	0.58%	0.43%	0.00%	1.05%	0.52%	0.81%	0.33%	0.00%	0.00%	0.20%	0.00%	0.59%	0.11%	0.34%	0.96%	0.24%	0.26%	0.26%	0.35%	0.21%	0.57%	0.76%	0.30%	0.40%	0.32%	0.33%	0.42%	0.07%	0.00%	0.34%	0.29%	0.35%	0.69%	0.00%	0.00%	0.00%	0.00%	0.00%	0.91%	0.00%	0.88%	2.02%	1.09%	0.00%	0.48%	0.43%	0.57%	0.28%	0.35%	0.00%	0.00%	1.67%	0.00%	3.14%	0.00%	4.23%	0.74%	0.67%	0.44%	0.00%	0.21%	1.42%	2.78%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	41	0	4	1	0	1	0	1	0	0	0	0	0	0	0	2	0	0	2	0	3	2	0	0	0	0	1	0	1	0	9	0	0	2	0	0	0	0	0	3	4	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0									
		0.09%	0.00%	0.58%	0.25%	0.00%	0.43%	0.00%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.67%	0.00%	0.00%	0.39%	0.00%	0.22%	0.22%	0.00%	0.00%	0.00%	0.00%	0.09%	0.00%	0.07%	0.00%	0.76%	0.00%	0.00%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.28%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.14%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.74%	0.00%	0.44%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	183	1	5	3	5	0	0	5	4	8	3	1	4	3	1	2	0	0	2	0	6	0	14	1	0	0	7	7	5	1	10	8	8	3	2	4	0	0	0	22	10	1	2	0	3	2	0	0	0	1	0	1	0	0	3	4	1	0	0	0	2	1	1	1	0	1	0	0	1	1	0	0	0	0	0	0	0	1	1									
		0.42%	0.06%	0.73%	0.74%	0.41%	0.00%	0.00%	0.65%	0.35%	2.32%	0.64%	0.20%	0.84%	0.26%	0.16%	0.67%	0.00%	0.00%	0.39%	0.00%	0.44%	0.00%	0.94%	0.32%	0.00%	0.00%	0.61%	1.21%	0.35%	0.14%	0.84%	1.20%	1.59%	0.32%	0.33%	0.84%	0.00%	0.00%	0.00%	1.62%	0.69%	0.23%	0.55%	0.00%	0.52%	0.51%	0.00%	0.00%	0.00%	0.88%	0.00%	0.27%	0.00%	0.00%	0.43%	0.38%	0.14%	0.00%	0.00%	0.00%	0.48%	0.76%	0.45%	0.84%	0.00%	0.74%	0.00%	0.00%	0.43%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.81%	0.26%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	3147	20	62	41	98	22	28	53	67	14	48	20	27	121	58	12	11	11	48	30	88	60	166	19	89	14	28	62	97	91	96	83	73	49	54	29	0	2	35	73	124	97	14	4	43	30	2	41	7	2	6	43	9	29	77	89	80	66	9	4	36	12	0	7	3	12	145	7	16	39	15	14	8	3	9	13	15	0	18									
		7.22%	1.17%	9.06%	10.15%	7.95%	9.57%	4.17%	6.86%	5.90%	4.06%	10.23%	3.91%	5.68%	10.54%	9.39%	4.01%	5.73%	12.22%	9.43%	2.76%	6.44%	6.73%	11.13%	6.05%	5.24%	3.66%	2.46%	10.73%	6.78%	12.94%	8.05%	12.48%	14.48%	5.22%	8.88%	6.08%	0.00%	1.75%	11.78%	5.38%	8.58%	22.20%	3.84%	3.81%	7.52%	7.71%	2.30%	9.34%	6.93%	1.77%	6.06%	11.68%	3.60%	13.94%	11.10%	8.50%	11.24%	22.99%	2.88%	2.34%	8.59%	9.16%	0.00%	5.88%	4.23%	8.82%	10.80%	3.08%	6.90%	8.37%	7.11%	9.72%	3.02%	3.16%	11.54%	3.44%	5.34%	0.00%	4.74%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	70	1	2	2	5	0	1	1	0	0	3	0	0	2	0	0	0	0	0	0	3	0	4	0	3	1	1	1	2	0	3	1	0	1	1	3	0	0	0	10	6	1	0	0	2	0	0	0	0	0	0	0	0	1	2	1	2	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.16%	0.06%	0.29%	0.50%	0.41%	0.00%	0.15%	0.13%	0.00%	0.00%	0.64%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.27%	0.00%	0.18%	0.26%	0.09%	0.17%	0.14%	0.00%	0.25%	0.15%	0.00%	0.11%	0.16%	0.63%	0.00%	0.00%	0.00%	0.74%	0.41%	0.23%	0.00%	0.00%	0.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.48%	0.29%	0.10%	0.28%	0.35%	0.00%	0.00%	0.24%	1.53%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1330	132	25	19	39	7	12	25	22	5	19	17	6	75	27	6	4	0	17	7	41	18	45	6	19	6	28	24	41	34	28	12	19	14	12	12	38	1	7	20	34	6	4	2	49	7	0	5	5	0	1	6	3	3	22	39	17	9	3	0	52	7	4	6	2	5	95	2	4	31	4	0	5	0	2	1	0	0	6									
		3.05%	7.75%	3.65%	4.70%	3.17%	3.04%	1.79%	3.23%	1.94%	1.45%	4.05%	3.33%	1.26%	6.53%	4.37%	2.01%	2.08%	0.00%	3.34%	0.64%	2.99%	2.02%	3.02%	1.91%	1.12%	1.57%	2.46%	4.15%	2.87%	4.84%	2.35%	1.80%	3.77%	1.49%	1.97%	2.52%	2.81%	0.88%	2.36%	1.47%	2.35%	1.37%	1.10%	1.90%	8.57%	1.80%	0.00%	1.14%	4.95%	0.00%	1.01%	1.63%	1.20%	1.44%	3.17%	3.72%	2.39%	3.14%	0.96%	0.00%	12.41%	5.34%	1.79%	5.04%	2.82%	3.68%	7.08%	0.88%	1.72%	6.65%	1.90%	0.00%	1.89%	0.00%	2.56%	0.26%	0.00%	0.00%	1.58%									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
