Выборы Президента Российской Федерации																																																															
																																																															
Наименование Избирательной комиссии:    Почепская																																																															
																																																															
Итоги голосования 																																																															
																																																															
		Сумма	УИК  834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889					
11	Число полученных открепительных  удостоверений	550	20	20	20	20	20	20	20	20	10	5	5	5	10	5	10	5	5	20	10	5	5	5	10	5	10	10	10	10	5	15	10	5	5	5	10	10	35	5	5	10	5	5	5	5	5	10	10	5	5	5	5	5	10	5	5	20					
12	Число выданных открепительных удостоверений	226	13	2	5	3	7	6	4	2	10	0	0	0	1	0	4	0	0	16	5	1	0	3	0	5	10	10	3	4	0	15	10	5	0	2	9	5	24	0	0	8	0	5	1	3	1	5	2	0	1	0	3	0	0	0	0	13					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	173	12	7	4	1	13	9	8	4	2	1	0	2	0	0	2	0	0	4	4	0	1	2	2	7	4	8	7	3	3	1	2	2	1	4	1	4	12	0	0	7	3	2	0	0	0	4	1	3	3	1	3	3	0	0	4	2					
14	Число неиспользованных открепительных удостоверений	324	7	18	15	17	13	14	16	18	0	5	5	5	9	5	6	5	5	4	5	4	5	2	10	0	0	0	7	6	5	0	0	0	5	3	1	5	11	5	5	2	5	0	4	2	4	5	8	5	4	5	2	5	10	5	5	7					
15	"Число открепительных удостоверений, выданных в ТИК"	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																															
18	. Глазьев Сергей Юрьевич	643	29	27	37	23	24	29	33	26	8	4	1	3	4	0	7	2	1	15	16	4	3	5	7	9	5	6	34	13	3	11	15	12	7	8	1	10	35	8	6	31	0	14	9	6	5	16	3	6	5	5	7	3	11	4	9	18					
		2.85%	2.69%	4.46%	4.13%	3.93%	2.93%	3.31%	4.09%	3.23%	1.38%	1.81%	0.32%	0.99%	0.88%	0.00%	1.61%	3.70%	0.89%	1.97%	3.05%	2.42%	1.17%	1.57%	2.00%	3.96%	1.29%	2.23%	5.15%	3.74%	1.27%	3.34%	2.70%	4.14%	4.55%	5.59%	0.49%	2.03%	3.04%	2.64%	4.72%	4.53%	0.00%	4.50%	4.89%	2.49%	1.34%	3.61%	0.86%	2.78%	2.15%	2.50%	2.71%	1.04%	4.23%	4.76%	2.31%	2.95%					
19	. Малышкин Олег Александрович	549	25	11	32	11	24	33	25	22	12	9	5	4	18	8	16	2	1	15	10	3	6	11	4	9	16	1	13	22	2	9	13	3	7	2	5	8	22	4	1	15	1	5	5	4	4	3	3	8	1	3	4	6	16	3	6	18					
		2.44%	2.31%	1.82%	3.58%	1.88%	2.93%	3.77%	3.10%	2.74%	2.07%	4.07%	1.61%	1.32%	3.98%	4.62%	3.67%	3.70%	0.89%	1.97%	1.91%	1.82%	2.33%	3.45%	1.14%	3.96%	4.12%	0.37%	1.97%	6.32%	0.84%	2.74%	2.34%	1.03%	4.55%	1.40%	2.45%	1.63%	1.91%	1.32%	0.79%	2.19%	2.13%	1.61%	2.72%	1.66%	1.08%	0.68%	0.86%	3.70%	0.43%	1.50%	1.55%	2.08%	6.15%	3.57%	1.54%	2.95%					
20	. Миронов Сергей Михайлович	191	12	5	3	4	7	12	6	7	4	0	6	4	2	3	5	1	2	5	3	2	1	2	2	2	4	1	7	4	3	1	4	4	4	0	3	4	14	3	0	6	0	3	1	6	3	2	2	1	0	0	0	3	4	0	2	2					
		0.85%	1.11%	0.83%	0.34%	0.68%	0.86%	1.37%	0.74%	0.87%	0.69%	0.00%	1.93%	1.32%	0.44%	1.73%	1.15%	1.85%	1.79%	0.66%	0.57%	1.21%	0.39%	0.63%	0.57%	0.88%	1.03%	0.37%	1.06%	1.15%	1.27%	0.30%	0.72%	1.38%	2.60%	0.00%	1.47%	0.81%	1.22%	0.99%	0.00%	0.88%	0.00%	0.96%	0.54%	2.49%	0.81%	0.45%	0.57%	0.46%	0.00%	0.00%	0.00%	1.04%	1.54%	0.00%	0.51%	0.33%					
21	. Путин Владимир Владимирович	13556	703	323	530	342	504	502	505	490	342	96	188	228	210	89	337	46	91	548	356	87	179	177	224	151	227	150	443	257	143	207	368	149	62	71	108	284	735	157	45	375	23	82	76	114	156	261	135	97	170	132	132	205	160	15	251	518					
		60.14%	65.09%	53.39%	59.22%	58.46%	61.61%	57.31%	62.58%	60.95%	58.86%	43.44%	60.45%	75.50%	46.46%	51.45%	77.29%	85.19%	81.25%	72.01%	67.94%	52.73%	69.65%	55.49%	64.00%	66.52%	58.51%	55.76%	67.12%	73.85%	60.34%	62.92%	66.19%	51.38%	40.26%	49.65%	52.94%	57.72%	63.86%	51.82%	35.43%	54.74%	48.94%	26.37%	41.30%	47.30%	41.94%	58.92%	38.57%	44.91%	72.96%	66.00%	51.16%	70.93%	61.54%	17.86%	64.52%	84.78%					
22	. Хакамада Ирина Муцуовна	331	16	9	17	8	16	12	16	8	5	6	3	2	6	2	7	2	0	10	5	3	1	8	3	4	4	11	3	8	5	2	6	4	3	2	10	4	10	4	3	9	0	3	2	2	4	9	6	2	5	2	7	11	4	4	3	10					
		1.47%	1.48%	1.49%	1.90%	1.37%	1.96%	1.37%	1.98%	1.00%	0.86%	2.71%	0.96%	0.66%	1.33%	1.16%	1.61%	3.70%	0.00%	1.31%	0.95%	1.82%	0.39%	2.51%	0.86%	1.76%	1.03%	4.09%	0.45%	2.30%	2.11%	0.61%	1.08%	1.38%	1.95%	1.40%	4.90%	0.81%	0.87%	1.32%	2.36%	1.31%	0.00%	0.96%	1.09%	0.83%	1.08%	2.03%	1.71%	0.93%	2.15%	1.00%	2.71%	3.81%	1.54%	4.76%	0.77%	1.64%					
23	. Харитонов Николай Михайлович	6636	256	208	235	183	214	248	200	231	196	105	101	54	209	68	56	1	11	156	124	63	56	102	93	46	111	78	139	32	73	92	140	114	65	60	72	174	295	121	71	231	22	198	86	106	186	144	197	97	47	56	103	55	62	57	108	28					
		29.44%	23.70%	34.38%	26.26%	31.28%	26.16%	28.31%	24.78%	28.73%	33.73%	47.51%	32.48%	17.88%	46.24%	39.31%	12.84%	1.85%	9.82%	20.50%	23.66%	38.18%	21.79%	31.97%	26.57%	20.26%	28.61%	29.00%	21.06%	9.20%	30.80%	27.96%	25.18%	39.31%	42.21%	41.96%	35.29%	35.37%	25.63%	39.93%	55.91%	33.72%	46.81%	63.67%	46.74%	43.98%	50.00%	32.51%	56.29%	44.91%	20.17%	28.00%	39.92%	19.03%	23.85%	67.86%	27.76%	4.58%					
																																																															
24	Против всех	413	24	15	30	9	22	32	14	9	4	1	6	2	1	1	2	0	4	9	5	1	2	12	9	5	15	20	11	8	6	4	9	4	6	0	1	8	26	3	1	7	0	3	4	2	5	8	3	4	5	1	2	4	3	1	5	15					
		1.83%	2.22%	2.48%	3.35%	1.54%	2.69%	3.65%	1.73%	1.12%	0.69%	0.45%	1.93%	0.66%	0.22%	0.58%	0.46%	0.00%	3.57%	1.18%	0.95%	0.61%	0.78%	3.76%	2.57%	2.20%	3.87%	7.43%	1.67%	2.30%	2.53%	1.22%	1.62%	1.38%	3.90%	0.00%	0.49%	1.63%	2.26%	0.99%	0.79%	1.02%	0.00%	0.96%	2.17%	0.83%	1.34%	1.81%	0.86%	1.85%	2.15%	0.50%	0.78%	1.38%	1.15%	1.19%	1.29%	2.45%					
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
