Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																													
Дата голосования: 04.12.2011																																																																													
																																																																													
"Наименование Избирательной комиссии:    Уфа, Советская"																																																																													
																																																																													
Сводная таблица результатов выборов																																																																													
																																																																													
		Сумма	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2567	40	40	40	25	65	56	25	22	31	15	49	25	33	25	0	40	38	33	35	38	29	43	63	45	53	28	40	45	30	40	35	38	62	42	45	43	63	26	20	25	35	35	40	47	55	25	42	50	35	58	68	30	55	42	39	40	0	25	40	39	35	45	35	37	25	50	35	0	15	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	2536	40	40	35	25	56	56	23	22	31	15	48	25	33	25	0	40	38	33	35	38	29	43	63	44	53	28	40	45	30	40	35	38	61	42	45	43	63	25	20	25	34	30	40	47	55	25	40	50	35	58	68	28	55	42	39	40	0	25	40	39	34	45	35	37	25	50	35	0	15	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1891	8	13	24	13	15	27	11	15	16	17	23	5	257	25	259	37	9	20	25	24	19	23	13	11	16	21	25	22	26	17	50	18	30	18	15	12	12	32	20	7	20	5	28	16	18	7	30	50	17	38	15	14	13	48	14	15	25	9	15	9	16	0	20	12	20	21	17	1	19	109					
14	Число погашенных неиспользованных открепительных удостоверений	31	0	0	5	0	9	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	5	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	33	0	0	1	0	1	1	1	0	1	0	3	0	0	0	0	0	2	0	2	0	0	0	0	1	0	0	0	2	0	0	0	0	1	1	0	1	2	0	0	0	0	1	0	1	0	0	0	1	1	1	0	0	0	0	1	1	0	1	1	1	1	0	0	0	0	1	0	0	1	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	31	0	0	0	0	0	0	0	0	7	0	0	0	0	13	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																													
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	7058	76	139	99	103	184	139	42	90	149	112	104	87	171	96	26	143	164	65	11	19	111	106	278	123	120	4	67	171	54	71	22	83	56	204	117	40	84	157	109	70	137	158	100	210	209	107	193	65	173	169	55	146	99	36	74	141	9	31	11	101	72	8	90	58	135	189	118	11	74	13					
		6.78%	4.79%	14.29%	13.06%	16.99%	11.04%	7.08%	3.54%	13.64%	17.43%	19.44%	5.26%	7.27%	11.45%	9.79%	7.08%	12.41%	16.33%	4.07%	0.57%	0.82%	4.89%	4.92%	16.09%	14.39%	4.63%	0.28%	4.24%	9.99%	3.46%	3.10%	1.91%	5.34%	2.63%	9.87%	8.25%	2.75%	5.11%	10.00%	14.99%	9.26%	16.45%	9.04%	5.60%	11.34%	11.53%	11.63%	13.14%	2.79%	10.93%	11.64%	2.18%	9.34%	4.94%	1.57%	3.82%	11.17%	4.27%	2.87%	0.66%	4.69%	3.96%	0.38%	4.00%	1.90%	14.52%	12.05%	8.96%	10.68%	8.18%	11.93%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	6570	71	58	115	83	159	139	59	70	82	51	172	61	128	79	37	127	116	82	139	6	91	108	192	96	78	38	56	1	30	59	132	108	72	183	119	41	166	92	78	66	110	136	111	176	188	72	167	178	161	153	252	110	131	40	60	103	16	21	113	78	41	21	86	24	72	149	90	2	53	16					
		6.31%	4.47%	5.96%	15.17%	13.70%	9.54%	7.08%	4.97%	10.61%	9.59%	8.85%	8.70%	5.10%	8.57%	8.05%	10.08%	11.02%	11.55%	5.13%	7.16%	0.26%	4.01%	5.01%	11.11%	11.23%	3.01%	2.66%	3.55%	0.06%	1.92%	2.58%	11.46%	6.95%	3.38%	8.85%	8.39%	2.82%	10.10%	5.86%	10.73%	8.73%	13.21%	7.78%	6.21%	9.50%	10.38%	7.83%	11.37%	7.64%	10.17%	10.54%	10.00%	7.03%	6.53%	1.75%	3.10%	8.16%	7.58%	1.95%	6.75%	3.62%	2.26%	0.99%	3.82%	0.79%	7.74%	9.50%	6.83%	1.94%	5.86%	14.68%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	676	4	12	8	10	15	0	12	10	6	1	14	6	19	10	1	11	5	13	7	5	19	10	28	17	21	1	15	1	7	5	13	8	13	3	14	10	7	2	8	6	11	13	10	15	19	15	7	0	22	13	2	22	7	13	18	8	0	3	9	10	8	0	22	13	9	18	6	1	4	1					
		0.65%	0.25%	1.23%	1.06%	1.65%	0.90%	0.00%	1.01%	1.52%	0.70%	0.17%	0.71%	0.50%	1.27%	1.02%	0.27%	0.95%	0.50%	0.81%	0.36%	0.21%	0.84%	0.46%	1.62%	1.99%	0.81%	0.07%	0.95%	0.06%	0.45%	0.22%	1.13%	0.51%	0.61%	0.15%	0.99%	0.69%	0.43%	0.13%	1.10%	0.79%	1.32%	0.74%	0.56%	0.81%	1.05%	1.63%	0.48%	0.00%	1.39%	0.90%	0.08%	1.41%	0.35%	0.57%	0.93%	0.63%	0.00%	0.28%	0.54%	0.46%	0.44%	0.00%	0.98%	0.43%	0.97%	1.15%	0.46%	0.97%	0.44%	0.92%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	17375	157	212	213	179	384	350	130	188	226	166	389	145	338	188	46	351	308	241	210	254	389	239	465	289	360	306	269	279	166	445	79	146	112	350	258	307	109	197	176	161	269	113	214	444	639	150	361	274	325	375	286	255	287	378	386	331	9	214	196	118	340	227	237	158	316	322	197	20	126	31					
		16.68%	9.89%	21.79%	28.10%	29.54%	23.04%	17.84%	10.94%	28.48%	26.43%	28.82%	19.67%	12.11%	22.64%	19.16%	12.53%	30.47%	30.68%	15.07%	10.81%	10.92%	17.14%	11.09%	26.91%	33.80%	13.89%	21.43%	17.04%	16.31%	10.64%	19.45%	6.86%	9.39%	5.25%	16.93%	18.18%	21.09%	6.63%	12.55%	24.21%	21.30%	32.29%	6.46%	11.98%	23.97%	35.26%	16.30%	24.57%	11.76%	20.53%	25.83%	11.35%	16.30%	14.31%	16.51%	19.94%	26.23%	4.27%	19.83%	11.71%	5.48%	18.71%	10.74%	10.54%	5.17%	33.98%	20.52%	14.96%	19.42%	13.92%	28.44%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	2964	5	67	38	32	67	0	6	14	95	40	47	7	105	66	6	77	77	33	7	14	8	28	153	57	51	67	75	67	64	32	59	23	108	3	34	31	44	6	37	30	72	5	18	102	37	54	110	6	47	65	10	60	29	70	46	65	1	10	35	9	25	22	10	21	74	93	55	3	25	5					
		2.85%	0.31%	6.89%	5.01%	5.28%	4.02%	0.00%	0.51%	2.12%	11.11%	6.94%	2.38%	0.58%	7.03%	6.73%	1.63%	6.68%	7.67%	2.06%	0.36%	0.60%	0.35%	1.30%	8.85%	6.67%	1.97%	4.69%	4.75%	3.92%	4.10%	1.40%	5.12%	1.48%	5.06%	0.15%	2.40%	2.13%	2.68%	0.38%	5.09%	3.97%	8.64%	0.29%	1.01%	5.51%	2.04%	5.87%	7.49%	0.26%	2.97%	4.48%	0.40%	3.84%	1.45%	3.06%	2.38%	5.15%	0.47%	0.93%	2.09%	0.42%	1.38%	1.04%	0.44%	0.69%	7.96%	5.93%	4.18%	2.91%	2.76%	4.59%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	67846	1275	458	270	190	813	1327	880	262	282	197	1212	885	701	529	243	407	310	1150	1495	2028	1612	1650	571	238	1927	1010	1077	1189	1186	1674	839	1162	1728	1317	858	1004	1220	1104	294	418	211	1309	1306	860	697	447	594	1803	809	646	1895	933	1438	1722	1337	583	170	768	1286	1826	1294	1818	1764	2752	297	759	812	63	614	41					
		65.13%	80.29%	47.07%	35.62%	31.35%	48.77%	67.64%	74.07%	39.70%	32.98%	34.20%	61.27%	73.93%	46.95%	53.92%	66.21%	35.33%	30.88%	71.92%	76.98%	87.19%	71.01%	76.57%	33.04%	27.84%	74.34%	70.73%	68.21%	69.49%	76.03%	73.16%	72.83%	74.73%	81.01%	63.72%	60.47%	68.96%	74.25%	70.32%	40.44%	55.29%	25.33%	74.89%	73.08%	46.44%	38.47%	48.59%	40.44%	77.42%	51.11%	44.49%	75.23%	59.65%	71.72%	75.20%	69.06%	46.20%	80.57%	71.18%	76.82%	84.77%	71.22%	85.99%	78.43%	90.05%	31.94%	48.37%	61.66%	61.17%	67.85%	37.61%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	554	0	8	4	2	13	4	36	5	8	2	12	6	7	8	1	9	10	3	10	0	15	11	20	19	3	1	9	3	6	2	8	3	20	0	2	15	8	3	11	3	9	12	6	18	6	9	11	3	22	9	4	9	9	10	5	10	1	2	11	4	6	7	8	18	13	10	6	0	5	1					
		0.53%	0.00%	0.82%	0.53%	0.33%	0.78%	0.20%	3.03%	0.76%	0.94%	0.35%	0.61%	0.50%	0.47%	0.82%	0.27%	0.78%	0.99%	0.19%	0.51%	0.00%	0.66%	0.51%	1.16%	2.22%	0.12%	0.07%	0.57%	0.18%	0.38%	0.09%	0.69%	0.19%	0.94%	0.00%	0.14%	1.03%	0.49%	0.19%	1.51%	0.40%	1.08%	0.69%	0.34%	0.97%	0.33%	0.98%	0.75%	0.13%	1.39%	0.62%	0.16%	0.58%	0.45%	0.44%	0.26%	0.79%	0.47%	0.19%	0.66%	0.19%	0.33%	0.33%	0.36%	0.59%	1.40%	0.64%	0.46%	0.00%	0.55%	0.92%					
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
