Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																																	
Дата голосования: 07.12.2003 0:00:00																																																																																																	
																																																																																																	
Наименование Избирательной комиссии:    Благовещенская городская																																																																																																	
																																																																																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																																	
																																																																																																	
		Сумма	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1564	10	25	10	10	15	10	10	10	25	10	10	30	60	6	10	15	10	10	10	10	10	10	10	15	10	10	10	10	20	30	10	10	20	10	40	6	0	0	0	0	15	25	10	20	10	10	5	15	10	10	5	119	10	5	10	50	10	10	10	10	10	20	15	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	120	10	50	60	120	40	13	10	10	10	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	850	2	15	5	3	14	1	6	6	14	2	8	9	31	0	6	9	7	6	1	4	7	9	3	8	3	5	3	7	16	16	9	3	13	2	7	2	0	0	0	0	9	16	5	13	2	4	0	2	9	3	3	108	9	2	3	33	5	9	8	5	4	20	10	9	8	4	2	3	5	7	7	6	2	4	5	4	4	3	4	46	6	29	17	80	18	10	6	10	5	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	618	4	7	5	7	20	2	3	6	7	1	2	17	8	0	9	3	10	5	1	0	7	8	3	1	1	3	7	16	14	5	9	9	13	3	8	36	0	0	0	0	8	10	7	3	7	3	4	7	8	5	7	16	6	2	5	18	6	12	5	9	14	6	13	8	3	6	4	2	5	5	7	6	1	5	8	3	5	7	16	16	6	10	6	9	4	3	6	10	11	5					
14	Число погашенных открепительных удостоверений	714	8	10	5	7	1	9	4	4	11	8	2	21	29	6	4	6	3	4	9	6	3	1	7	7	7	5	7	3	4	14	1	7	7	8	33	4	0	0	0	0	6	9	5	7	8	6	5	13	1	7	2	11	1	3	7	17	5	1	2	5	6	0	5	1	2	6	8	7	5	3	3	4	8	6	5	6	6	7	6	74	4	21	43	40	22	3	4	0	5	8					
15	Число открепительных удостоверений выданных ТИК	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																	
18	"1. ""ЕДИНЕНИЕ"""	873	10	11	18	4	7	2	12	10	11	6	17	13	6	7	15	11	7	11	8	6	8	5	10	12	6	19	9	11	15	14	9	10	13	6	25	9	28	0	2	0	2	15	7	11	16	3	5	5	17	2	17	12	8	2	14	9	4	19	15	12	1	6	8	11	16	8	22	4	14	11	17	12	9	7	5	1	5	6	8	9	4	10	14	7	13	16	4	8	14	5					
		1.11%	1.26%	0.97%	1.33%	0.94%	0.68%	0.51%	0.97%	0.80%	0.90%	0.92%	1.43%	1.64%	1.02%	2.63%	1.42%	1.05%	0.89%	1.41%	2.12%	1.28%	0.94%	0.86%	0.93%	1.79%	0.66%	1.43%	0.95%	0.99%	1.01%	1.10%	0.88%	1.38%	0.95%	1.16%	2.16%	1.47%	3.31%	0.0%	1.05%	0.0%	0.25%	0.98%	1.06%	0.89%	1.04%	0.52%	1.32%	2.02%	1.51%	0.40%	3.17%	1.00%	0.77%	2.04%	1.42%	0.68%	0.64%	1.42%	1.14%	1.18%	0.21%	0.47%	0.69%	1.41%	1.29%	0.95%	2.08%	0.60%	1.16%	0.96%	1.93%	1.43%	1.75%	1.38%	0.91%	0.31%	0.93%	1.04%	0.66%	0.73%	0.70%	0.96%	1.00%	0.90%	0.88%	1.70%	0.61%	0.71%	1.02%	0.75%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	2227	12	54	72	10	45	5	32	34	35	16	31	23	9	4	32	33	18	11	8	7	17	14	32	12	24	23	35	27	24	31	19	18	57	27	31	8	18	4	0	1	17	53	15	29	26	8	4	2	40	9	7	52	34	2	21	54	27	46	41	42	11	33	34	8	50	16	41	11	9	27	10	17	7	14	11	7	15	12	72	37	24	47	69	17	38	31	22	33	50	12					
		2.84%	1.51%	4.76%	5.32%	2.36%	4.43%	1.28%	2.60%	2.74%	2.88%	2.46%	2.62%	2.91%	1.53%	1.50%	3.03%	3.15%	2.29%	1.41%	2.12%	1.49%	2.00%	2.43%	3.00%	1.79%	2.65%	1.73%	3.72%	2.43%	1.62%	2.45%	1.86%	2.48%	4.18%	5.25%	2.68%	1.31%	2.13%	5.63%	0.0%	2.43%	2.20%	3.49%	2.27%	2.36%	1.70%	1.41%	1.06%	0.80%	3.56%	1.83%	1.30%	4.37%	3.27%	2.04%	2.13%	4.08%	4.36%	3.45%	3.12%	4.15%	2.40%	2.60%	2.96%	1.02%	4.03%	1.91%	3.88%	1.65%	0.74%	2.35%	1.14%	2.03%	1.36%	2.76%	2.01%	2.20%	2.81%	2.08%	5.98%	3.00%	4.25%	4.54%	4.96%	2.20%	2.59%	3.30%	3.40%	2.96%	3.66%	1.80%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	2932	20	44	47	18	34	23	46	36	44	30	40	41	11	20	35	50	43	37	18	26	39	24	32	21	34	62	52	41	65	48	55	26	47	16	20	30	24	5	71	0	22	57	17	42	18	16	13	13	60	20	13	35	42	3	30	43	25	64	64	43	14	40	40	15	34	21	38	28	63	28	29	30	28	15	26	12	16	20	37	34	17	29	54	15	60	27	21	34	54	38					
		3.74%	2.52%	3.88%	3.47%	4.26%	3.34%	5.92%	3.74%	2.90%	3.63%	4.61%	3.38%	5.18%	1.88%	7.51%	3.31%	4.77%	5.48%	4.76%	4.78%	5.56%	4.60%	4.17%	3.00%	3.13%	3.75%	4.68%	5.53%	3.69%	4.41%	3.80%	5.39%	3.59%	3.44%	3.11%	1.73%	4.91%	2.84%	7.04%	37.56%	0.0%	2.85%	3.75%	2.57%	3.43%	1.17%	2.82%	3.45%	5.26%	5.35%	4.07%	2.42%	2.94%	4.04%	3.06%	3.04%	3.25%	4.04%	4.80%	4.87%	4.24%	3.05%	3.15%	3.49%	1.92%	2.74%	2.51%	3.60%	4.21%	5.24%	2.44%	3.30%	3.59%	5.45%	2.95%	4.76%	3.77%	3.00%	3.47%	3.07%	2.76%	3.01%	2.80%	3.88%	1.94%	4.10%	2.87%	3.24%	3.05%	3.95%	5.70%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	4754	44	102	88	22	68	18	70	91	85	49	67	56	43	10	63	64	52	34	15	23	43	15	79	42	71	97	60	62	112	83	67	45	97	45	64	37	19	0	5	2	41	119	40	77	48	34	16	18	71	27	8	91	86	4	47	90	44	94	75	76	34	83	85	13	60	31	35	24	45	52	43	31	30	30	22	28	33	22	103	64	41	37	99	56	122	59	39	105	95	18					
		6.07%	5.55%	8.99%	6.51%	5.21%	6.69%	4.63%	5.70%	7.33%	7.01%	7.53%	5.66%	7.08%	7.35%	3.75%	5.96%	6.11%	6.63%	4.37%	3.98%	4.92%	5.07%	2.60%	7.41%	6.27%	7.84%	7.32%	6.38%	5.59%	7.60%	6.57%	6.56%	6.21%	7.11%	8.75%	5.55%	6.06%	2.24%	0.0%	2.64%	4.87%	5.32%	7.83%	6.06%	6.29%	3.13%	5.99%	4.25%	7.28%	6.33%	5.49%	1.49%	7.65%	8.28%	4.08%	4.77%	6.81%	7.11%	7.06%	5.70%	7.50%	7.42%	6.54%	7.41%	1.66%	4.84%	3.71%	3.32%	3.61%	3.74%	4.54%	4.90%	3.71%	5.84%	5.91%	4.02%	8.80%	6.20%	3.82%	8.56%	5.20%	7.26%	3.58%	7.12%	7.27%	8.33%	6.28%	6.02%	9.44%	6.95%	2.70%					
22	"5. ""За Русь Святую"""	279	5	2	5	3	3	2	4	3	2	5	7	4	4	1	3	4	1	4	2	1	1	4	3	0	5	0	2	1	4	4	5	2	3	2	8	4	10	1	1	0	2	3	4	3	6	2	1	0	2	3	1	1	1	0	3	5	3	1	13	5	0	4	7	5	7	3	5	1	3	6	2	4	4	1	2	3	3	1	1	2	1	1	4	4	5	4	2	2	7	1					
		0.35%	0.63%	0.17%	0.37%	0.71%	0.29%	0.51%	0.32%	0.24%	0.16%	0.76%	0.59%	0.50%	0.68%	0.37%	0.28%	0.38%	0.12%	0.51%	0.53%	0.21%	0.11%	0.69%	0.28%	0.0%	0.55%	0.0%	0.21%	0.09%	0.27%	0.31%	0.49%	0.27%	0.22%	0.38%	0.69%	0.65%	1.18%	1.40%	0.52%	0.0%	0.25%	0.19%	0.60%	0.24%	0.39%	0.35%	0.26%	0.0%	0.17%	0.61%	0.18%	0.08%	0.09%	0.0%	0.30%	0.37%	0.48%	0.07%	0.98%	0.49%	0.0%	0.31%	0.61%	0.64%	0.56%	0.35%	0.47%	0.15%	0.24%	0.52%	0.22%	0.47%	0.77%	0.19%	0.36%	0.94%	0.56%	0.17%	0.08%	0.16%	0.17%	0.09%	0.28%	0.51%	0.34%	0.42%	0.30%	0.17%	0.51%	0.15%					
23	"6. ""Объединенная Российская партия ""Русь"""	162	3	4	2	1	0	0	4	3	7	3	2	1	2	2	3	1	0	3	0	0	3	1	1	3	0	1	1	1	2	1	2	2	1	1	0	2	3	0	1	0	1	2	3	1	8	0	2	2	2	1	0	4	3	0	1	2	0	1	0	2	1	0	6	2	7	5	3	4	1	1	2	1	1	0	1	0	4	1	3	2	0	1	3	3	0	2	2	1	2	1					
		0.20%	0.37%	0.35%	0.14%	0.23%	0.0%	0.0%	0.32%	0.24%	0.57%	0.46%	0.16%	0.12%	0.34%	0.75%	0.28%	0.09%	0.0%	0.38%	0.0%	0.0%	0.35%	0.17%	0.09%	0.44%	0.0%	0.07%	0.10%	0.09%	0.13%	0.07%	0.19%	0.27%	0.07%	0.19%	0.0%	0.32%	0.35%	0.0%	0.52%	0.0%	0.12%	0.13%	0.45%	0.08%	0.52%	0.0%	0.53%	0.80%	0.17%	0.20%	0.0%	0.33%	0.28%	0.0%	0.10%	0.15%	0.0%	0.07%	0.0%	0.19%	0.21%	0.0%	0.52%	0.25%	0.56%	0.59%	0.28%	0.60%	0.08%	0.08%	0.22%	0.11%	0.19%	0.0%	0.18%	0.0%	0.75%	0.17%	0.24%	0.16%	0.0%	0.09%	0.21%	0.38%	0.0%	0.21%	0.30%	0.08%	0.14%	0.15%					
24	"7. ""Новый курс - Автомобильная Россия"""	565	8	11	9	4	7	2	9	12	15	3	9	3	4	2	9	7	8	7	3	4	6	6	6	5	5	12	6	3	11	9	5	9	10	1	16	3	6	0	0	0	6	7	6	6	26	5	0	0	10	2	3	12	8	1	9	7	5	11	11	6	2	4	5	2	14	8	16	2	9	4	5	4	2	1	5	1	1	4	4	5	5	4	8	3	12	3	8	9	11	8					
		0.72%	1.01%	0.97%	0.66%	0.94%	0.68%	0.51%	0.73%	0.96%	1.23%	0.46%	0.76%	0.37%	0.68%	0.75%	0.85%	0.66%	1.02%	0.90%	0.79%	0.85%	0.70%	1.04%	0.56%	0.74%	0.55%	0.90%	0.63%	0.27%	0.74%	0.71%	0.49%	1.24%	0.73%	0.19%	1.38%	0.49%	0.71%	0.0%	0.0%	0.0%	0.77%	0.46%	0.91%	0.49%	1.70%	0.88%	0.0%	0.0%	0.89%	0.40%	0.55%	1.00%	0.77%	1.02%	0.91%	0.52%	0.80%	0.82%	0.83%	0.59%	0.43%	0.31%	0.43%	0.25%	1.13%	0.95%	1.51%	0.30%	0.74%	0.34%	0.57%	0.47%	0.38%	0.19%	0.91%	0.31%	0.18%	0.69%	0.33%	0.40%	0.88%	0.38%	0.57%	0.38%	0.82%	0.31%	1.23%	0.80%	0.80%	1.20%					
25	"8. ""Народно-республиканская партия России"""	70	1	1	1	0	0	0	0	2	1	0	1	1	0	0	2	0	0	0	0	0	1	2	1	0	1	1	1	0	1	1	0	0	0	1	7	1	0	0	0	0	0	1	0	0	3	0	0	0	1	0	1	1	1	0	3	1	0	0	0	3	0	0	0	5	0	0	3	3	4	1	0	0	0	0	1	1	0	0	1	1	0	1	1	0	1	1	2	0	1	0					
		0.08%	0.12%	0.08%	0.07%	0.0%	0.0%	0.0%	0.0%	0.16%	0.08%	0.0%	0.08%	0.12%	0.0%	0.0%	0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.11%	0.34%	0.09%	0.0%	0.11%	0.07%	0.10%	0.0%	0.06%	0.07%	0.0%	0.0%	0.0%	0.19%	0.60%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.06%	0.0%	0.0%	0.19%	0.0%	0.0%	0.0%	0.08%	0.0%	0.18%	0.08%	0.09%	0.0%	0.30%	0.07%	0.0%	0.0%	0.0%	0.29%	0.0%	0.0%	0.0%	0.64%	0.0%	0.0%	0.28%	0.45%	0.33%	0.08%	0.0%	0.0%	0.0%	0.0%	0.18%	0.31%	0.0%	0.0%	0.08%	0.08%	0.0%	0.09%	0.07%	0.0%	0.06%	0.10%	0.30%	0.0%	0.07%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	457	2	11	11	5	3	1	6	7	11	8	9	3	4	1	6	5	6	6	0	2	4	4	4	5	8	7	6	8	6	6	5	2	5	6	9	2	4	0	0	1	2	11	0	6	9	4	2	1	4	3	0	13	5	0	8	6	6	8	12	4	2	7	6	2	13	4	8	5	8	6	1	1	11	2	0	2	2	3	5	17	4	4	7	8	8	9	2	3	4	0					
		0.58%	0.25%	0.97%	0.81%	1.18%	0.29%	0.25%	0.48%	0.56%	0.90%	1.23%	0.76%	0.37%	0.68%	0.37%	0.56%	0.47%	0.76%	0.77%	0.0%	0.42%	0.47%	0.69%	0.37%	0.74%	0.88%	0.52%	0.63%	0.72%	0.40%	0.47%	0.49%	0.27%	0.36%	1.16%	0.78%	0.32%	0.47%	0.0%	0.0%	2.43%	0.25%	0.72%	0.0%	0.49%	0.58%	0.70%	0.53%	0.40%	0.35%	0.61%	0.0%	1.09%	0.48%	0.0%	0.81%	0.45%	0.97%	0.60%	0.91%	0.39%	0.43%	0.55%	0.52%	0.25%	1.05%	0.47%	0.75%	0.75%	0.66%	0.52%	0.11%	0.11%	2.14%	0.39%	0.0%	0.62%	0.37%	0.52%	0.41%	1.38%	0.70%	0.38%	0.50%	1.03%	0.54%	0.95%	0.30%	0.26%	0.29%	0.0%					
27	"10. ""Аграрная партия России"""	2353	22	33	35	12	45	12	25	48	42	15	28	37	14	10	29	32	20	16	20	13	23	14	21	24	17	35	27	36	34	40	27	20	39	17	22	30	17	2	8	0	15	45	23	40	14	23	16	9	40	15	33	24	22	5	15	52	17	55	53	29	17	60	32	13	26	25	21	12	27	27	19	23	21	15	13	9	23	17	35	47	18	24	55	38	58	29	21	50	47	25					
		3.00%	2.77%	2.91%	2.59%	2.84%	4.43%	3.09%	2.03%	3.87%	3.46%	2.30%	2.36%	4.68%	2.39%	3.75%	2.74%	3.05%	2.55%	2.05%	5.31%	2.78%	2.71%	2.43%	1.97%	3.58%	1.87%	2.64%	2.87%	3.24%	2.30%	3.16%	2.64%	2.76%	2.86%	3.30%	1.90%	4.91%	2.01%	2.81%	4.23%	0.0%	1.94%	2.96%	3.49%	3.26%	0.91%	4.05%	4.25%	3.64%	3.56%	3.05%	6.15%	2.01%	2.11%	5.10%	1.52%	3.93%	2.75%	4.13%	4.03%	2.86%	3.71%	4.73%	2.79%	1.66%	2.10%	2.99%	1.99%	1.80%	2.24%	2.35%	2.16%	2.75%	4.09%	2.95%	2.38%	2.83%	4.32%	2.95%	2.90%	3.82%	3.19%	2.32%	3.95%	4.93%	3.96%	3.08%	3.24%	4.49%	3.44%	3.75%					
28	"11. ""Истинные патриоты России"""	110	3	0	2	2	1	1	1	2	0	0	1	1	1	0	0	0	0	0	0	0	2	0	1	0	2	0	1	0	2	0	0	0	1	2	17	1	11	0	1	0	1	2	0	1	6	1	0	1	1	1	0	2	0	1	1	2	2	2	0	0	0	0	0	0	4	1	12	1	1	0	1	2	0	1	0	0	1	0	0	0	0	0	1	1	1	0	0	1	2	0					
		0.14%	0.37%	0.0%	0.14%	0.47%	0.09%	0.25%	0.08%	0.16%	0.0%	0.0%	0.08%	0.12%	0.17%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.23%	0.0%	0.09%	0.0%	0.22%	0.0%	0.10%	0.0%	0.13%	0.0%	0.0%	0.0%	0.07%	0.38%	1.47%	0.16%	1.30%	0.0%	0.52%	0.0%	0.12%	0.13%	0.0%	0.08%	0.39%	0.17%	0.0%	0.40%	0.08%	0.20%	0.0%	0.16%	0.0%	1.02%	0.10%	0.15%	0.32%	0.15%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.32%	0.11%	1.13%	0.15%	0.08%	0.0%	0.11%	0.23%	0.0%	0.19%	0.0%	0.0%	0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.07%	0.12%	0.06%	0.0%	0.0%	0.08%	0.14%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	471	9	2	7	2	4	1	9	5	8	4	10	4	6	0	8	8	5	3	0	1	4	4	4	3	4	5	9	6	3	5	2	7	7	1	10	6	8	1	2	0	1	3	2	10	11	2	2	1	7	3	3	13	9	0	10	9	2	12	6	7	3	7	8	4	9	6	10	6	5	7	1	7	0	5	8	1	2	12	8	7	2	8	8	2	4	6	7	6	7	5					
		0.60%	1.13%	0.17%	0.51%	0.47%	0.39%	0.25%	0.73%	0.40%	0.66%	0.61%	0.84%	0.50%	1.02%	0.0%	0.75%	0.76%	0.63%	0.38%	0.0%	0.21%	0.47%	0.69%	0.37%	0.44%	0.44%	0.37%	0.95%	0.54%	0.20%	0.39%	0.19%	0.96%	0.51%	0.19%	0.86%	0.98%	0.94%	1.40%	1.05%	0.0%	0.12%	0.19%	0.30%	0.81%	0.71%	0.35%	0.53%	0.40%	0.62%	0.61%	0.55%	1.09%	0.86%	0.0%	1.01%	0.68%	0.32%	0.90%	0.45%	0.69%	0.65%	0.55%	0.69%	0.51%	0.72%	0.71%	0.94%	0.90%	0.41%	0.61%	0.11%	0.83%	0.0%	0.98%	1.46%	0.31%	0.37%	2.08%	0.66%	0.56%	0.35%	0.77%	0.57%	0.25%	0.27%	0.63%	1.08%	0.53%	0.51%	0.75%					
30	"13. ""Демократическая партия России"""	227	3	3	6	1	2	1	5	1	2	1	5	3	2	0	2	1	2	4	1	0	5	3	1	2	2	0	2	4	4	5	5	3	1	2	6	1	4	0	1	0	2	3	1	0	2	0	2	0	3	3	2	3	2	2	0	0	3	7	4	4	0	0	6	6	6	2	7	1	7	5	2	2	1	3	0	2	0	4	2	6	0	3	3	1	1	7	0	3	6	2					
		0.28%	0.37%	0.26%	0.44%	0.23%	0.19%	0.25%	0.40%	0.08%	0.16%	0.15%	0.42%	0.37%	0.34%	0.0%	0.18%	0.09%	0.25%	0.51%	0.26%	0.0%	0.59%	0.52%	0.09%	0.29%	0.22%	0.0%	0.21%	0.36%	0.27%	0.39%	0.49%	0.41%	0.07%	0.38%	0.52%	0.16%	0.47%	0.0%	0.52%	0.0%	0.25%	0.19%	0.15%	0.0%	0.13%	0.0%	0.53%	0.0%	0.26%	0.61%	0.37%	0.25%	0.19%	2.04%	0.0%	0.0%	0.48%	0.52%	0.30%	0.39%	0.0%	0.0%	0.52%	0.77%	0.48%	0.23%	0.66%	0.15%	0.58%	0.43%	0.22%	0.23%	0.19%	0.59%	0.0%	0.62%	0.0%	0.69%	0.16%	0.48%	0.0%	0.29%	0.21%	0.12%	0.06%	0.74%	0.0%	0.26%	0.43%	0.30%					
