Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																												
Дата голосования: 18.09.2016																																																																												
																																																																												
Наименование Избирательной комиссии:    Учалинская																																																																												
																																																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																																																												
																																																																												
		Сумма	УИК №3091	УИК №3092	УИК №3093	УИК №3094	УИК №3095	УИК №3096	УИК №3097	УИК №3098	УИК №3099	УИК №3100	УИК №3101	УИК №3102	УИК №3103	УИК №3104	УИК №3105	УИК №3106	УИК №3107	УИК №3108	УИК №3109	УИК №3110	УИК №3111	УИК №3112	УИК №3113	УИК №3114	УИК №3115	УИК №3116	УИК №3117	УИК №3118	УИК №3119	УИК №3120	УИК №3121	УИК №3122	УИК №3123	УИК №3124	УИК №3125	УИК №3126	УИК №3127	УИК №3128	УИК №3129	УИК №3130	УИК №3131	УИК №3132	УИК №3133	УИК №3134	УИК №3135	УИК №3136	УИК №3137	УИК №3138	УИК №3139	УИК №3140	УИК №3141	УИК №3142	УИК №3143	УИК №3144	УИК №3145	УИК №3146	УИК №3147	УИК №3148	УИК №3149	УИК №3150	УИК №3151	УИК №3152	УИК №3153	УИК №3154	УИК №3155									
		0.19%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.73%	0.15%	0.00%	0.42%	0.23%	0.35%	0.00%	1.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.09%	0.00%	0.00%	0.46%	0.82%	0.00%	0.00%	0.37%	0.00%	0.00%	0.21%	0.00%	0.00%	0.00%	0.09%	0.00%	0.42%	0.23%	0.09%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.08%	0.19%	0.20%	0.00%	0.11%	0.00%	0.00%	0.73%	0.08%	0.09%	0.11%	0.09%	1.28%	1.42%	0.09%	0.27%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	34	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	5	0	0	2	0	0	2	0	0	0	1	2	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	3	2	1	1	1	2	1	1	1	0									
		0.08%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.11%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.78%	0.00%	0.00%	0.46%	0.00%	0.00%	1.19%	0.00%	0.00%	0.00%	0.07%	1.06%	0.00%	0.00%	0.09%	0.00%	0.21%	0.00%	0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.08%	0.00%	0.10%	0.00%	0.11%	0.00%	0.00%	0.27%	0.17%	0.09%	0.11%	0.09%	0.28%	0.14%	0.09%	0.09%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	136	1	1	0	0	3	0	0	0	1	3	1	1	3	1	2	0	4	4	0	1	1	3	0	10	0	0	1	2	1	0	2	0	0	3	0	0	0	2	2	1	1	1	1	2	0	0	0	1	0	5	3	2	1	0	4	15	3	2	11	2	7	16	1	4	0									
		0.30%	0.35%	0.22%	0.00%	0.00%	0.58%	0.00%	0.00%	0.00%	0.27%	0.55%	0.15%	0.32%	0.32%	0.23%	0.35%	0.00%	0.79%	0.32%	0.00%	0.32%	0.48%	0.42%	0.00%	1.56%	0.00%	0.00%	0.23%	0.55%	0.30%	0.00%	0.75%	0.00%	0.00%	0.21%	0.00%	0.00%	0.00%	0.19%	0.37%	0.21%	0.23%	0.09%	0.33%	0.83%	0.00%	0.00%	0.00%	0.14%	0.00%	0.47%	0.30%	0.17%	0.11%	0.00%	0.41%	1.36%	0.25%	0.18%	1.26%	0.18%	0.99%	2.28%	0.09%	0.36%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	6803	32	50	214	47	72	28	40	204	92	121	67	43	106	99	79	39	68	327	66	39	17	108	104	38	189	70	90	47	44	29	37	119	102	313	35	60	151	142	82	75	51	124	45	36	141	128	53	117	154	143	184	321	123	148	103	151	183	165	97	146	97	116	147	127	18									
		15.10%	11.15%	11.06%	12.05%	8.90%	13.93%	13.73%	13.99%	25.09%	25.00%	22.08%	10.36%	13.92%	11.17%	22.76%	13.88%	8.16%	13.44%	26.35%	20.69%	12.38%	8.17%	14.98%	18.91%	5.94%	19.25%	13.23%	20.74%	12.84%	13.21%	17.26%	13.86%	16.02%	27.13%	22.04%	18.52%	15.04%	11.62%	13.42%	14.99%	15.82%	11.86%	11.27%	14.85%	14.94%	13.45%	12.94%	14.80%	15.81%	13.05%	13.41%	18.11%	28.03%	13.00%	13.36%	10.49%	13.73%	15.33%	15.14%	11.11%	13.36%	13.82%	16.52%	13.34%	11.58%	8.96%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	164	0	1	0	0	3	0	0	0	0	5	1	2	1	1	1	0	0	5	2	9	0	1	0	8	0	0	1	0	0	0	0	1	0	16	2	0	0	1	0	1	0	1	1	0	0	0	5	0	1	2	1	0	1	0	68	3	1	1	3	6	1	3	2	1	1									
		0.36%	0.00%	0.22%	0.00%	0.00%	0.58%	0.00%	0.00%	0.00%	0.00%	0.91%	0.15%	0.65%	0.11%	0.23%	0.18%	0.00%	0.00%	0.40%	0.63%	2.86%	0.00%	0.14%	0.00%	1.25%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.13%	0.00%	1.13%	1.06%	0.00%	0.00%	0.09%	0.00%	0.21%	0.00%	0.09%	0.33%	0.00%	0.00%	0.00%	1.40%	0.00%	0.08%	0.19%	0.10%	0.00%	0.11%	0.00%	6.92%	0.27%	0.08%	0.09%	0.34%	0.55%	0.14%	0.43%	0.18%	0.09%	0.50%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	4011	25	41	125	42	26	10	14	49	22	19	58	24	23	60	34	73	10	130	26	3	9	36	44	51	59	44	35	18	10	28	48	90	10	119	5	48	297	95	68	59	19	246	37	29	95	89	32	70	305	96	38	7	85	92	0	39	113	99	78	98	61	81	99	108	8									
		8.90%	8.71%	9.07%	7.04%	7.95%	5.03%	4.90%	4.90%	6.03%	5.98%	3.47%	8.96%	7.77%	2.42%	13.79%	5.98%	15.27%	1.98%	10.48%	8.15%	0.95%	4.33%	4.99%	8.00%	7.97%	6.01%	8.32%	8.06%	4.92%	3.00%	16.67%	17.98%	12.11%	2.66%	8.38%	2.65%	12.03%	22.85%	8.98%	12.43%	12.45%	4.42%	22.36%	12.21%	12.03%	9.06%	8.99%	8.94%	9.46%	25.85%	9.01%	3.74%	0.61%	8.99%	8.30%	0.00%	3.55%	9.46%	9.08%	8.93%	8.97%	8.69%	11.54%	8.98%	9.85%	3.98%									
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
																																																																												
