Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																						
Дата голосования: 18.09.2016																																																																						
																																																																						
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №14																																																																						
																																																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																																																						
																																																																						
		Сумма	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №8429									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2745	50	50	40	50	50	40	50	50	40	50	30	40	50	50	50	40	50	40	50	40	40	50	50	40	50	40	50	40	50	40	50	50	50	50	40	50	40	200	40	30	30	30	40	30	30	50	40	50	50	50	50	40	40	50	50	40	50	40	25									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1227	20	26	16	20	34	8	15	18	10	9	13	19	18	23	24	12	18	15	24	10	19	19	19	16	20	9	18	15	22	13	35	22	32	16	8	16	13	183	17	2	6	15	10	3	13	41	31	26	48	28	25	18	17	23	15	12	19	11	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	640	10	13	5	6	9	7	4	16	13	3	8	13	9	0	7	7	15	3	15	13	25	9	3	16	24	3	26	3	4	2	11	5	12	12	5	10	11	21	19	7	12	7	4	12	6	19	15	6	15	20	14	38	7	16	13	12	7	8	5									
14	Число погашенных неиспользованных открепительных удостоверений	1518	30	24	24	30	16	32	35	32	30	41	17	21	32	27	26	28	32	25	26	30	21	31	31	24	30	31	32	25	28	27	15	28	18	34	32	34	27	17	23	28	24	15	30	27	17	9	9	24	2	22	25	22	23	27	35	28	31	29	25									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	196	3	6	1	6	6	6	3	0	2	2	2	2	3	4	1	1	10	0	1	4	1	2	3	1	3	0	3	1	5	2	3	4	2	2	7	2	2	31	2	0	1	2	1	0	1	4	6	7	8	1	3	3	2	3	2	2	11	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	1052	28	26	16	28	34	11	18	38	6	14	8	15	25	12	21	20	29	19	26	9	21	18	17	11	19	9	17	20	25	10	23	13	14	25	9	18	9	13	18	5	10	10	8	11	5	15	22	28	34	19	24	19	13	35	21	14	40	5	2									
		2.83%	3.96%	3.57%	2.87%	3.41%	4.04%	2.23%	2.11%	4.41%	1.67%	1.88%	2.57%	1.93%	3.81%	1.54%	2.57%	4.21%	4.24%	4.03%	3.08%	1.46%	2.90%	2.11%	2.36%	1.84%	2.39%	2.36%	2.37%	3.26%	4.04%	2.01%	2.98%	2.03%	2.19%	3.05%	1.88%	3.00%	2.05%	1.56%	2.45%	1.41%	3.39%	2.00%	1.58%	2.68%	1.53%	2.08%	2.84%	3.75%	3.94%	2.41%	3.16%	3.93%	2.32%	4.49%	3.83%	3.37%	4.52%	1.11%	2.82%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	409	6	7	8	13	8	6	11	8	2	6	3	6	9	10	10	3	6	5	9	12	7	10	3	12	9	5	16	5	7	6	7	5	4	11	4	2	2	10	9	7	3	3	7	4	10	5	10	8	11	7	5	6	8	8	5	4	11	5	0									
		1.10%	0.85%	0.96%	1.44%	1.58%	0.95%	1.21%	1.29%	0.93%	0.56%	0.80%	0.96%	0.77%	1.37%	1.29%	1.23%	0.63%	0.88%	1.06%	1.07%	1.94%	0.97%	1.17%	0.42%	2.00%	1.13%	1.31%	2.23%	0.81%	1.13%	1.20%	0.91%	0.78%	0.63%	1.34%	0.84%	0.33%	0.46%	1.20%	1.22%	1.98%	1.02%	0.60%	1.38%	0.98%	3.06%	0.69%	1.29%	1.07%	1.27%	0.89%	0.66%	1.24%	1.43%	1.03%	0.91%	0.96%	1.24%	1.11%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	801	18	19	11	13	13	12	19	13	17	19	6	16	19	20	22	9	17	9	28	20	11	19	14	8	22	5	26	9	19	14	10	14	14	18	13	15	8	13	17	9	9	4	7	13	6	16	28	8	18	9	9	9	9	16	9	6	17	8	2									
		2.16%	2.55%	2.61%	1.97%	1.58%	1.54%	2.43%	2.22%	1.51%	4.72%	2.55%	1.93%	2.05%	2.90%	2.57%	2.70%	1.89%	2.49%	1.91%	3.32%	3.24%	1.52%	2.23%	1.94%	1.34%	2.76%	1.31%	3.62%	1.47%	3.07%	2.81%	1.29%	2.19%	2.19%	2.19%	2.71%	2.50%	1.82%	1.56%	2.31%	2.54%	3.05%	0.80%	1.38%	3.17%	1.83%	2.22%	3.62%	1.07%	2.09%	1.14%	1.18%	1.86%	1.60%	2.05%	1.64%	1.44%	1.92%	1.78%	2.82%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	14712	220	241	191	351	259	162	278	314	133	294	122	273	301	304	317	177	237	177	352	284	311	346	323	319	351	183	272	238	247	191	322	295	277	340	163	252	143	507	323	162	103	236	239	162	129	285	296	310	325	337	290	153	199	232	188	134	276	241	25									
		39.63%	31.12%	33.10%	34.29%	42.70%	30.76%	32.79%	32.55%	36.47%	36.94%	39.41%	39.23%	35.04%	45.88%	39.07%	38.85%	37.26%	34.65%	37.58%	41.71%	46.03%	42.96%	40.56%	44.86%	53.26%	44.10%	47.91%	37.88%	38.76%	39.90%	38.35%	41.66%	46.17%	43.28%	41.41%	34.03%	42.00%	32.57%	60.86%	43.95%	45.76%	34.92%	47.20%	47.23%	39.51%	39.45%	39.47%	38.24%	41.50%	37.66%	42.82%	38.16%	31.68%	35.47%	29.74%	34.31%	32.21%	31.19%	53.56%	35.21%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	523	4	14	13	7	17	6	12	9	5	5	3	16	8	14	13	5	15	9	9	10	10	9	9	3	8	9	7	9	8	5	6	5	9	6	6	15	4	4	9	6	9	9	5	9	2	9	13	10	8	12	18	8	16	18	9	9	16	2	0									
		1.41%	0.57%	1.92%	2.33%	0.85%	2.02%	1.21%	1.41%	1.05%	1.39%	0.67%	0.96%	2.05%	1.22%	1.80%	1.59%	1.05%	2.19%	1.91%	1.07%	1.62%	1.38%	1.06%	1.25%	0.50%	1.01%	2.36%	0.97%	1.47%	1.29%	1.00%	0.78%	0.78%	1.41%	0.73%	1.25%	2.50%	0.91%	0.48%	1.22%	1.69%	3.05%	1.80%	0.99%	2.20%	0.61%	1.25%	1.68%	1.34%	0.93%	1.52%	2.37%	1.66%	2.85%	2.31%	1.64%	2.16%	1.81%	0.44%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	96	1	0	0	4	2	2	2	1	1	0	1	3	2	1	1	1	4	1	0	2	3	1	5	1	1	0	0	2	2	0	1	3	3	3	2	1	1	1	3	1	0	3	2	1	1	5	0	0	2	5	0	2	3	3	2	1	2	0	1									
		0.26%	0.14%	0.00%	0.00%	0.49%	0.24%	0.40%	0.23%	0.12%	0.28%	0.00%	0.32%	0.39%	0.30%	0.13%	0.12%	0.21%	0.58%	0.21%	0.00%	0.32%	0.41%	0.12%	0.69%	0.17%	0.13%	0.00%	0.00%	0.33%	0.32%	0.00%	0.13%	0.47%	0.47%	0.37%	0.42%	0.17%	0.23%	0.12%	0.41%	0.28%	0.00%	0.60%	0.40%	0.24%	0.31%	0.69%	0.00%	0.00%	0.23%	0.64%	0.00%	0.41%	0.53%	0.38%	0.36%	0.24%	0.23%	0.00%	1.41%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	4830	81	86	80	88	93	57	102	83	48	81	33	94	76	106	92	51	62	39	111	70	76	131	87	63	82	40	99	72	94	67	79	97	89	95	73	64	32	131	84	47	42	68	60	49	47	147	142	144	145	157	109	69	69	126	69	60	129	57	6									
		13.01%	11.46%	11.81%	14.36%	10.71%	11.05%	11.54%	11.94%	9.64%	13.33%	10.86%	10.61%	12.07%	11.59%	13.62%	11.27%	10.74%	9.06%	8.28%	13.15%	11.35%	10.50%	15.36%	12.08%	10.52%	10.30%	10.47%	13.79%	11.73%	15.19%	13.45%	10.22%	15.18%	13.91%	11.57%	15.24%	10.67%	7.29%	15.73%	11.43%	13.28%	14.24%	13.60%	11.86%	11.95%	14.37%	20.36%	18.35%	19.28%	16.80%	19.95%	14.34%	14.29%	12.30%	16.15%	12.59%	14.42%	14.58%	12.67%	8.45%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	989	34	17	12	29	26	13	14	28	5	14	4	17	20	17	13	14	34	21	18	7	21	17	21	10	17	6	17	15	14	12	19	11	14	15	10	18	21	10	13	6	12	10	14	11	4	10	12	14	12	10	26	31	26	41	38	23	44	4	3									
		2.66%	4.81%	2.34%	2.15%	3.53%	3.09%	2.63%	1.64%	3.25%	1.39%	1.88%	1.29%	2.18%	3.05%	2.19%	1.59%	2.95%	4.97%	4.46%	2.13%	1.13%	2.90%	1.99%	2.92%	1.67%	2.14%	1.57%	2.37%	2.44%	2.26%	2.41%	2.46%	1.72%	2.19%	1.83%	2.09%	3.00%	4.78%	1.20%	1.77%	1.69%	4.07%	2.00%	2.77%	2.68%	1.22%	1.39%	1.55%	1.87%	1.39%	1.27%	3.42%	6.42%	4.63%	5.26%	6.93%	5.53%	4.97%	0.89%	4.23%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	2842	87	77	40	85	79	38	85	78	40	76	25	76	64	67	65	35	63	46	66	47	54	52	52	22	43	21	41	63	37	32	56	38	47	56	51	37	49	16	78	20	25	37	30	35	22	31	32	21	40	31	60	52	53	87	44	34	63	36	5									
		7.66%	12.31%	10.58%	7.18%	10.34%	9.38%	7.69%	9.95%	9.06%	11.11%	10.19%	8.04%	9.76%	9.76%	8.61%	7.97%	7.37%	9.21%	9.77%	7.82%	7.62%	7.46%	6.10%	7.22%	3.67%	5.40%	5.50%	5.71%	10.26%	5.98%	6.43%	7.24%	5.95%	7.34%	6.82%	10.65%	6.17%	11.16%	1.92%	10.61%	5.65%	8.47%	7.40%	5.93%	8.54%	6.73%	4.29%	4.13%	2.81%	4.63%	3.94%	7.89%	10.77%	9.45%	11.15%	8.03%	8.17%	7.12%	8.00%	7.04%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	91	4	1	1	0	3	2	5	1	0	0	2	2	2	2	1	0	0	0	4	1	0	0	3	1	1	0	3	4	3	0	3	1	1	2	0	0	2	0	1	1	1	0	3	3	1	1	0	5	0	0	3	2	2	2	0	4	4	3	0									
		0.25%	0.57%	0.14%	0.18%	0.00%	0.36%	0.40%	0.59%	0.12%	0.00%	0.00%	0.64%	0.26%	0.30%	0.26%	0.12%	0.00%	0.00%	0.00%	0.47%	0.16%	0.00%	0.00%	0.42%	0.17%	0.13%	0.00%	0.42%	0.65%	0.48%	0.00%	0.39%	0.16%	0.16%	0.24%	0.00%	0.00%	0.46%	0.00%	0.14%	0.28%	0.34%	0.00%	0.59%	0.73%	0.31%	0.14%	0.00%	0.67%	0.00%	0.00%	0.39%	0.41%	0.36%	0.26%	0.00%	0.96%	0.45%	0.67%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	3148	104	103	59	61	90	64	109	118	24	65	29	77	67	72	89	57	94	62	53	45	66	58	38	41	55	35	45	61	43	30	60	41	49	51	50	55	81	18	55	24	23	40	26	41	25	22	29	17	32	33	77	46	51	70	60	32	100	10	16									
		8.48%	14.71%	14.15%	10.59%	7.42%	10.69%	12.96%	12.76%	13.70%	6.67%	8.71%	9.32%	9.88%	10.21%	9.25%	10.91%	12.00%	13.74%	13.16%	6.28%	7.29%	9.12%	6.80%	5.28%	6.84%	6.91%	9.16%	6.27%	9.93%	6.95%	6.02%	7.76%	6.42%	7.66%	6.21%	10.44%	9.17%	18.45%	2.16%	7.48%	6.78%	7.80%	8.00%	5.14%	10.00%	7.65%	3.05%	3.75%	2.28%	3.71%	4.19%	10.13%	9.52%	9.09%	8.97%	10.95%	7.69%	11.30%	2.22%	22.54%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	4222	68	92	78	50	154	50	111	100	48	97	59	115	9	98	91	57	82	53	102	39	78	93	72	61	102	41	89	50	67	80	92	67	62	100	53	57	58	51	78	39	32	47	54	45	52	97	114	89	128	94	68	54	60	78	63	51	94	49	10									
		11.37%	9.62%	12.64%	14.00%	6.08%	18.29%	10.12%	12.99%	11.61%	13.33%	13.00%	18.97%	14.76%	1.37%	12.60%	11.15%	12.00%	11.99%	11.25%	12.09%	6.32%	10.77%	10.90%	10.00%	10.18%	12.81%	10.73%	12.40%	8.14%	10.82%	16.06%	11.90%	10.49%	9.69%	12.18%	11.06%	9.50%	13.21%	6.12%	10.61%	11.02%	10.85%	9.40%	10.67%	10.98%	15.90%	13.43%	14.73%	11.91%	14.83%	11.94%	8.95%	11.18%	10.70%	10.00%	11.50%	12.26%	10.62%	10.89%	14.08%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	149	3	4	1	5	3	1	5	1	2	2	1	2	1	3	2	5	2	2	4	3	1	3	0	0	2	2	2	2	1	3	3	0	7	4	2	2	0	3	2	1	0	2	1	0	4	2	7	5	11	11	3	1	2	1	1	3	3	0	0									
		0.40%	0.42%	0.55%	0.18%	0.61%	0.36%	0.20%	0.59%	0.12%	0.56%	0.27%	0.32%	0.26%	0.15%	0.39%	0.25%	1.05%	0.29%	0.42%	0.47%	0.49%	0.14%	0.35%	0.00%	0.00%	0.25%	0.52%	0.28%	0.33%	0.16%	0.60%	0.39%	0.00%	1.09%	0.49%	0.42%	0.33%	0.00%	0.36%	0.27%	0.28%	0.00%	0.40%	0.20%	0.00%	1.22%	0.28%	0.90%	0.67%	1.27%	1.40%	0.39%	0.21%	0.36%	0.13%	0.18%	0.72%	0.34%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2408	37	32	29	65	48	49	61	45	20	58	9	53	41	35	57	32	29	23	43	54	55	73	46	30	63	16	63	40	43	36	70	36	37	68	29	40	15	23	28	17	21	20	35	16	15	62	58	67	83	62	56	17	36	56	31	37	70	17	1									
		6.49%	5.23%	4.40%	5.21%	7.91%	5.70%	9.92%	7.14%	5.23%	5.56%	7.77%	2.89%	6.80%	6.25%	4.50%	6.99%	6.74%	4.24%	4.88%	5.09%	8.75%	7.60%	8.56%	6.39%	5.01%	7.91%	4.19%	8.77%	6.51%	6.95%	7.23%	9.06%	5.63%	5.78%	8.28%	6.05%	6.67%	3.42%	2.76%	3.81%	4.80%	7.12%	4.00%	6.92%	3.90%	4.59%	8.59%	7.49%	8.97%	9.62%	7.88%	7.37%	3.52%	6.42%	7.18%	5.66%	8.89%	7.91%	3.78%	1.41%									
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
