Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																																														
Дата голосования: 18.09.2016																																																																																																																														
																																																																																																																														
"Наименование Избирательной комиссии:    Саратов, Ленинская"																																																																																																																														
																																																																																																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																																														
																																																																																																																														
		Сумма	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291									
14	Число погашенных неиспользованных открепительных удостоверений	3147	0	30	38	17	17	24	29	28	23	44	27	24	30	26	30	24	16	27	17	0	24	35	15	39	30	23	39	30	40	29	36	22	36	24	23	34	28	33	39	0	25	29	16	24	22	30	28	15	22	34	24	38	38	34	28	20	22	31	29	20	35	22	30	25	34	20	20	27	36	22	32	30	32	20	45	37	35	26	31	33	45	31	28	32	29	39	34	24	31	31	35	28	31	36	28	31	4	32	32	24	29	30	6	28	38	22	11	31	17	35	30	30	22	21	21									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	798	11	4	3	5	9	7	5	7	9	3	9	11	4	11	10	11	5	8	10	0	10	6	11	6	3	9	12	6	3	2	8	6	15	5	6	3	1	1	3	0	5	3	7	11	5	9	4	15	7	8	12	4	15	12	7	6	10	10	16	10	4	13	8	1	4	11	7	2	12	4	5	3	7	4	0	11	10	12	6	17	3	7	4	2	8	4	7	8	3	8	9	7	7	8	10	11	17	8	5	5	3	12	8	4	5	13	2	2	5	4	8	3	6	3	4									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																																																														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	2866	26	66	23	24	8	21	28	33	26	19	34	32	30	29	34	30	28	31	34	0	28	32	28	22	27	27	32	6	1	23	34	33	13	40	33	26	25	27	27	0	28	31	7	34	30	29	31	20	33	31	0	21	4	26	33	9	34	38	35	29	22	30	7	23	21	22	23	21	29	36	32	22	24	11	4	32	35	6	29	23	3	29	29	22	31	27	3	31	2	31	28	28	27	8	25	24	39	32	21	31	24	29	34	20	20	24	29	22	32	26	26	26	33	25	30									
		2.08%	2.31%	8.10%	2.30%	2.25%	0.73%	1.57%	1.61%	2.31%	1.98%	2.24%	2.29%	2.27%	2.29%	2.32%	2.31%	2.25%	2.33%	2.38%	2.31%	0.00%	2.27%	2.34%	2.30%	2.30%	2.28%	2.26%	2.28%	0.60%	0.19%	2.35%	2.31%	2.35%	2.61%	2.32%	1.98%	2.34%	2.24%	2.31%	2.27%	0.00%	2.29%	2.31%	0.48%	2.34%	2.30%	2.32%	2.32%	1.40%	2.27%	2.22%	0.00%	2.33%	0.33%	2.26%	2.30%	0.61%	2.29%	3.05%	2.26%	2.28%	2.32%	2.31%	0.54%	2.33%	2.26%	2.23%	2.33%	2.25%	2.28%	2.30%	2.27%	2.35%	2.33%	0.97%	2.15%	2.27%	2.28%	0.41%	2.27%	2.21%	0.98%	2.33%	2.32%	2.31%	2.32%	2.32%	0.31%	2.30%	0.16%	2.36%	2.33%	2.25%	2.28%	0.76%	2.32%	2.32%	1.96%	2.28%	2.22%	2.28%	2.15%	2.31%	2.42%	2.16%	2.27%	2.29%	2.33%	2.31%	2.30%	2.30%	2.30%	2.32%	2.31%	2.26%	2.32%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	3999	37	42	33	20	28	20	29	47	39	6	49	46	43	41	49	43	40	40	49	0	41	45	40	32	39	39	46	30	3	31	49	9	13	49	51	37	36	39	39	0	41	44	22	48	43	41	44	27	48	45	4	20	4	38	47	25	49	40	45	42	31	43	11	11	31	32	33	31	42	51	48	31	34	10	6	46	51	48	42	34	3	41	41	31	44	38	3	44	23	43	40	40	39	11	36	34	56	46	31	45	32	41	40	25	29	35	41	31	46	37	37	37	48	36	43									
		2.90%	3.29%	5.15%	3.29%	1.88%	2.56%	1.49%	1.67%	3.28%	2.97%	0.71%	3.30%	3.26%	3.28%	3.28%	3.32%	3.23%	3.32%	3.07%	3.33%	0.00%	3.32%	3.29%	3.28%	3.34%	3.29%	3.27%	3.27%	2.98%	0.58%	3.16%	3.33%	0.64%	2.61%	2.85%	3.06%	3.33%	3.23%	3.34%	3.27%	0.00%	3.35%	3.27%	1.50%	3.31%	3.30%	3.28%	3.29%	1.89%	3.31%	3.22%	0.29%	2.22%	0.33%	3.30%	3.27%	1.70%	3.30%	3.21%	2.91%	3.30%	3.27%	3.32%	0.84%	1.11%	3.34%	3.24%	3.35%	3.33%	3.30%	3.26%	3.40%	3.31%	3.31%	0.88%	3.23%	3.27%	3.32%	3.31%	3.28%	3.27%	0.98%	3.29%	3.29%	3.26%	3.30%	3.27%	0.31%	3.27%	1.81%	3.27%	3.33%	3.21%	3.30%	1.05%	3.35%	3.28%	2.82%	3.28%	3.28%	3.31%	2.87%	3.27%	2.85%	2.70%	3.29%	3.34%	3.29%	3.25%	3.31%	3.28%	3.28%	3.30%	3.35%	3.26%	3.33%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	440	3	0	3	2	2	2	18	4	3	2	4	4	4	4	4	4	4	4	4	0	4	4	4	3	4	4	4	3	3	3	4	6	5	5	5	3	2	4	4	0	4	4	10	4	4	4	4	4	4	5	0	3	6	4	4	17	4	4	0	4	3	0	7	2	3	3	3	3	4	5	4	3	3	4	1	4	5	4	4	3	2	4	4	3	4	3	0	4	8	4	4	4	3	7	3	5	5	4	4	4	3	4	4	4	3	3	4	2	4	3	3	3	4	3	4									
		0.32%	0.27%	0.00%	0.30%	0.19%	0.18%	0.15%	1.04%	0.28%	0.23%	0.24%	0.27%	0.28%	0.31%	0.32%	0.27%	0.30%	0.33%	0.31%	0.27%	0.00%	0.32%	0.29%	0.33%	0.31%	0.34%	0.34%	0.28%	0.30%	0.58%	0.31%	0.27%	0.43%	1.00%	0.29%	0.30%	0.27%	0.18%	0.34%	0.34%	0.00%	0.33%	0.30%	0.68%	0.28%	0.31%	0.32%	0.30%	0.28%	0.28%	0.36%	0.00%	0.33%	0.49%	0.35%	0.28%	1.16%	0.27%	0.32%	0.00%	0.31%	0.32%	0.00%	0.54%	0.20%	0.32%	0.30%	0.30%	0.32%	0.31%	0.32%	0.28%	0.32%	0.29%	0.35%	0.54%	0.28%	0.33%	0.28%	0.31%	0.29%	0.65%	0.32%	0.32%	0.32%	0.30%	0.26%	0.00%	0.30%	0.63%	0.30%	0.33%	0.32%	0.25%	0.67%	0.28%	0.48%	0.25%	0.28%	0.42%	0.29%	0.27%	0.32%	0.28%	0.43%	0.34%	0.29%	0.32%	0.21%	0.29%	0.27%	0.27%	0.27%	0.28%	0.27%	0.31%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	87985	699	384	623	746	677	905	1185	892	820	616	926	878	814	777	919	833	749	827	915	574	768	852	758	594	737	742	874	659	254	610	915	862	232	1119	1043	692	740	737	741	499	766	839	925	913	811	777	833	991	903	868	988	560	860	750	896	997	924	773	1030	793	590	848	980	661	575	627	614	580	791	932	877	582	638	838	116	877	954	938	796	649	166	778	775	592	831	723	799	843	837	819	753	827	739	849	667	643	1349	872	588	844	702	780	885	558	548	651	775	593	865	702	704	698	891	688	804									
		63.78%	62.19%	47.12%	62.18%	69.98%	61.94%	67.49%	68.18%	62.33%	62.45%	72.47%	62.40%	62.18%	62.18%	62.21%	62.31%	62.54%	62.21%	63.42%	62.20%	95.99%	62.19%	62.24%	62.23%	62.07%	62.19%	62.20%	62.16%	65.44%	48.75%	62.24%	62.20%	61.48%	46.49%	64.98%	62.68%	62.23%	66.43%	63.15%	62.16%	96.89%	62.53%	62.43%	63.10%	62.88%	62.24%	62.16%	62.21%	69.50%	62.23%	62.18%	72.75%	62.22%	70.49%	65.10%	62.35%	67.87%	62.22%	62.09%	66.54%	62.24%	62.17%	65.38%	75.10%	66.97%	61.96%	63.46%	62.27%	62.23%	62.23%	59.55%	62.20%	62.18%	62.06%	73.64%	62.37%	62.29%	62.19%	64.69%	62.19%	62.34%	54.25%	62.44%	62.10%	62.25%	62.29%	62.17%	83.66%	62.58%	65.85%	62.33%	62.70%	66.43%	62.47%	80.78%	61.99%	62.07%	67.96%	62.11%	62.22%	62.15%	63.02%	62.15%	63.03%	60.19%	62.20%	62.18%	62.20%	62.22%	62.19%	62.23%	62.36%	62.27%	62.26%	62.26%	62.18%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	834	8	0	7	3	5	5	2	10	9	6	10	10	9	9	10	9	9	9	11	0	9	10	9	7	8	8	10	4	0	6	10	5	5	2	10	8	7	8	8	0	9	9	7	1	9	9	9	6	10	11	0	6	3	0	10	8	10	8	0	9	7	0	2	7	6	7	7	7	9	11	10	7	7	10	1	10	9	10	9	7	5	9	9	7	9	8	3	9	8	9	8	8	8	5	8	5	12	10	7	10	8	9	10	10	6	7	9	6	9	8	8	8	10	8	9									
		0.60%	0.71%	0.00%	0.70%	0.28%	0.46%	0.37%	0.12%	0.70%	0.69%	0.71%	0.67%	0.71%	0.69%	0.72%	0.68%	0.68%	0.75%	0.69%	0.75%	0.00%	0.73%	0.73%	0.74%	0.73%	0.68%	0.67%	0.71%	0.40%	0.00%	0.61%	0.68%	0.36%	1.00%	0.12%	0.60%	0.72%	0.63%	0.69%	0.67%	0.00%	0.73%	0.67%	0.48%	0.07%	0.69%	0.72%	0.67%	0.42%	0.69%	0.79%	0.00%	0.67%	0.25%	0.00%	0.70%	0.54%	0.67%	0.64%	0.00%	0.71%	0.74%	0.00%	0.15%	0.71%	0.65%	0.71%	0.71%	0.75%	0.71%	0.70%	0.71%	0.75%	0.68%	0.88%	0.54%	0.71%	0.59%	0.69%	0.70%	0.67%	1.63%	0.72%	0.72%	0.74%	0.67%	0.69%	0.31%	0.67%	0.63%	0.68%	0.67%	0.64%	0.68%	0.48%	0.74%	0.48%	0.60%	0.71%	0.74%	0.74%	0.72%	0.72%	0.71%	1.08%	0.68%	0.67%	0.72%	0.63%	0.65%	0.71%	0.71%	0.71%	0.70%	0.72%	0.70%									
24	"6. Политическая партия ""Гражданская Платформа"""	226	2	0	2	0	0	3	3	3	2	0	3	3	3	2	3	2	2	3	3	0	3	3	2	2	2	2	3	2	0	1	3	0	1	3	3	2	1	0	2	0	2	2	1	1	3	3	3	0	3	3	0	2	0	0	3	1	3	2	0	3	2	0	1	2	2	2	2	2	3	3	3	2	2	1	0	3	3	3	2	2	0	2	2	2	3	2	0	3	1	2	2	2	2	0	2	5	3	3	0	3	2	3	3	3	2	3	3	2	3	2	2	2	3	2	3									
		0.16%	0.18%	0.00%	0.20%	0.00%	0.00%	0.22%	0.17%	0.21%	0.15%	0.00%	0.20%	0.21%	0.23%	0.16%	0.20%	0.15%	0.17%	0.23%	0.20%	0.00%	0.24%	0.22%	0.16%	0.21%	0.17%	0.17%	0.21%	0.20%	0.00%	0.10%	0.20%	0.00%	0.20%	0.17%	0.18%	0.18%	0.09%	0.00%	0.17%	0.00%	0.16%	0.15%	0.07%	0.07%	0.23%	0.24%	0.22%	0.00%	0.21%	0.21%	0.00%	0.22%	0.00%	0.00%	0.21%	0.07%	0.20%	0.16%	0.00%	0.24%	0.21%	0.00%	0.08%	0.20%	0.22%	0.20%	0.20%	0.21%	0.24%	0.19%	0.21%	0.21%	0.19%	0.09%	0.00%	0.21%	0.20%	0.21%	0.16%	0.19%	0.00%	0.16%	0.16%	0.21%	0.22%	0.17%	0.00%	0.22%	0.08%	0.15%	0.17%	0.16%	0.17%	0.00%	0.19%	0.48%	0.15%	0.21%	0.00%	0.22%	0.18%	0.24%	0.21%	0.32%	0.23%	0.29%	0.24%	0.21%	0.22%	0.18%	0.18%	0.18%	0.21%	0.18%	0.23%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	12159	102	52	91	74	98	122	134	130	118	80	134	128	119	114	134	121	110	107	134	2	112	118	111	87	108	108	128	93	63	89	130	130	79	147	153	101	81	106	108	5	112	122	127	133	119	114	122	125	132	127	123	82	111	105	131	124	135	113	140	116	86	118	93	90	84	87	90	85	116	158	128	85	94	65	17	128	140	132	116	94	42	113	113	86	121	108	15	121	80	119	110	109	107	55	98	94	153	127	86	124	102	114	124	100	80	95	113	87	127	103	102	102	130	101	118									
		8.81%	9.07%	6.38%	9.08%	6.94%	8.97%	9.10%	7.71%	9.08%	8.99%	9.41%	9.03%	9.07%	9.09%	9.13%	9.08%	9.08%	9.14%	8.21%	9.11%	0.33%	9.07%	8.62%	9.11%	9.09%	9.11%	9.05%	9.10%	9.24%	12.09%	9.08%	8.84%	9.27%	15.83%	8.54%	9.19%	9.08%	7.27%	9.08%	9.06%	0.97%	9.14%	9.08%	8.66%	9.16%	9.13%	9.12%	9.11%	8.77%	9.10%	9.10%	9.06%	9.11%	9.10%	9.11%	9.12%	8.44%	9.09%	9.08%	9.04%	9.11%	9.06%	9.10%	7.13%	9.12%	9.05%	8.81%	9.13%	9.12%	9.13%	10.10%	9.08%	9.08%	9.14%	5.71%	9.14%	9.09%	9.13%	9.10%	9.06%	9.03%	13.73%	9.07%	9.05%	9.04%	9.07%	9.29%	1.57%	8.98%	6.29%	9.06%	9.16%	8.76%	9.04%	5.23%	9.11%	9.07%	7.71%	9.05%	9.10%	9.13%	9.16%	9.08%	8.83%	10.79%	9.08%	9.07%	9.07%	9.13%	9.13%	9.13%	9.03%	9.10%	9.08%	9.14%	9.13%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	236	1	0	1	4	12	1	11	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	5	1	2	10	9	2	2	1	1	1	1	0	3	1	10	0	1	1	1	1	1	2	0	1	4	1	1	19	2	1	1	1	1	1	6	2	1	1	1	1	1	2	1	1	1	13	0	1	2	2	1	1	6	2	1	1	1	1	0	2	12	1	1	1	1	4	1	1	2	2	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1									
		0.17%	0.09%	0.00%	0.10%	0.38%	1.10%	0.07%	0.63%	0.07%	0.08%	0.12%	0.07%	0.07%	0.08%	0.08%	0.07%	0.08%	0.08%	0.08%	0.07%	0.00%	0.08%	0.07%	0.08%	0.10%	0.08%	0.08%	0.07%	0.10%	0.96%	0.10%	0.14%	0.71%	1.80%	0.12%	0.12%	0.09%	0.09%	0.09%	0.08%	0.00%	0.24%	0.07%	0.68%	0.00%	0.08%	0.08%	0.07%	0.07%	0.07%	0.14%	0.00%	0.11%	0.33%	0.09%	0.07%	1.29%	0.13%	0.08%	0.06%	0.08%	0.11%	0.08%	0.46%	0.20%	0.11%	0.10%	0.10%	0.11%	0.08%	0.13%	0.07%	0.11%	0.10%	1.14%	0.00%	0.07%	0.13%	0.14%	0.08%	0.10%	1.96%	0.16%	0.08%	0.11%	0.07%	0.09%	0.00%	0.15%	0.94%	0.08%	0.08%	0.08%	0.08%	0.38%	0.09%	0.10%	0.10%	0.14%	0.32%	0.07%	0.09%	0.08%	0.07%	0.11%	0.11%	0.10%	0.08%	0.10%	0.07%	0.09%	0.09%	0.09%	0.07%	0.09%	0.08%									
