Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																								
Дата голосования: 07.12.2003 0:00:00																																																																								
																																																																								
Наименование Избирательной комиссии:    Красногвардейская № 4																																																																								
																																																																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																								
																																																																								
		Сумма	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	3389	54	54	54	54	54	54	54	54	54	54	54	54	54	35	54	54	54	54	54	54	54	54	54	54	21	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	93	54	54	54	54	54	0	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	642	27	13	11	10	11	11	8	5	8	8	4	9	11	7	16	12	13	9	12	14	17	13	5	9	7	6	15	10	3	8	11	19	19	8	10	0	2	13	5	2	13	8	4	9	12	16	12	6	3	7	7	8	4	4	3	12	6	74	5	8	10	3	7	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	425	15	2	5	7	4	8	6	4	7	3	9	6	5	8	3	8	4	3	5	16	9	9	9	5	5	3	7	8	7	4	5	11	7	10	8	9	2	4	2	5	5	6	6	10	12	13	13	4	6	9	13	7	7	1	4	6	2	12	1	6	2	11	3	6	3					
14	Число погашенных открепительных удостоверений	2747	27	41	43	44	43	43	46	49	46	46	50	45	43	28	38	42	41	45	42	40	37	41	49	45	14	48	39	44	51	46	43	35	35	46	44	54	52	41	49	52	41	46	50	45	42	38	42	48	51	47	47	46	50	50	51	42	48	19	49	46	44	51	47	0	0					
15	Число открепительных удостоверений выданных ТИК	11	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																								
18	"1. ""ЕДИНЕНИЕ"""	437	18	16	10	11	5	5	5	7	9	4	6	4	4	9	0	7	4	4	10	3	7	6	9	16	5	2	9	5	1	5	5	9	7	14	12	4	1	12	3	5	9	6	3	7	8	15	5	6	7	5	11	11	2	6	3	8	5	7	7	6	6	9	7	0	0					
		0.78%	1.61%	1.46%	0.93%	0.95%	0.64%	0.65%	0.57%	0.79%	1.09%	0.47%	0.64%	0.41%	0.49%	0.97%	0.0%	0.75%	0.33%	0.46%	0.92%	0.26%	0.68%	0.57%	0.94%	1.72%	0.49%	0.55%	0.70%	0.57%	0.16%	0.50%	0.58%	0.77%	0.58%	1.31%	1.05%	0.65%	0.32%	1.11%	0.44%	0.65%	0.87%	0.56%	0.90%	0.70%	0.82%	1.56%	0.59%	0.84%	0.92%	0.52%	1.22%	1.27%	0.23%	0.81%	0.41%	1.20%	0.74%	0.62%	0.86%	0.77%	0.74%	1.44%	0.85%	0.0%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	5218	55	74	96	88	78	46	88	70	63	77	88	81	56	89	69	65	130	57	119	101	83	113	84	96	76	45	184	79	76	109	75	124	118	66	96	43	28	81	59	78	101	80	33	147	99	95	70	63	49	83	87	66	66	103	107	105	92	144	62	90	63	52	58	0	0					
		9.31%	4.91%	6.75%	8.97%	7.60%	10.09%	6.05%	10.19%	7.90%	7.68%	9.09%	9.48%	8.41%	6.98%	9.62%	7.54%	7.04%	10.84%	6.65%	10.96%	8.87%	8.16%	10.85%	8.77%	10.33%	7.50%	12.5%	14.45%	9.08%	12.47%	11.08%	8.79%	10.73%	9.78%	6.21%	8.45%	6.99%	9.15%	7.55%	8.76%	10.29%	9.87%	7.59%	9.90%	14.84%	10.16%	9.91%	8.37%	8.82%	6.44%	8.63%	9.67%	7.66%	7.59%	13.93%	14.92%	15.83%	13.77%	12.86%	7.69%	11.68%	7.77%	8.37%	7.09%	0.0%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1797	51	39	28	34	28	17	20	21	34	26	32	46	31	31	34	23	44	22	27	53	33	23	24	32	31	12	33	23	15	23	18	42	57	28	40	14	7	40	16	26	24	48	15	15	42	21	35	33	26	34	33	23	35	16	18	19	16	22	29	25	21	21	40	1	7					
		3.20%	4.56%	3.56%	2.61%	2.93%	3.62%	2.23%	2.31%	2.37%	4.14%	3.06%	3.44%	4.77%	3.86%	3.35%	3.71%	2.49%	3.66%	2.56%	2.48%	4.65%	3.24%	2.20%	2.50%	3.44%	3.06%	3.33%	2.59%	2.64%	2.46%	2.33%	2.11%	3.63%	4.72%	2.63%	3.52%	2.27%	2.28%	3.73%	2.37%	3.43%	2.34%	4.55%	4.50%	1.51%	4.31%	2.19%	4.18%	4.62%	3.42%	3.53%	3.67%	2.67%	4.02%	2.16%	2.51%	2.86%	2.39%	1.96%	3.59%	3.24%	2.59%	3.38%	4.88%	10.0%	17.07%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	4960	70	81	88	102	84	46	77	70	61	73	80	72	63	74	53	72	108	73	98	112	76	98	93	72	89	31	153	64	67	121	75	118	89	74	100	36	20	68	78	66	78	84	32	131	119	93	59	72	71	71	79	74	67	87	82	78	67	98	73	90	97	48	62	0	3					
		8.85%	6.26%	7.39%	8.22%	8.81%	10.86%	6.05%	8.92%	7.90%	7.43%	8.61%	8.62%	7.47%	7.85%	8.0%	5.79%	7.80%	9.00%	8.51%	9.03%	9.84%	7.47%	9.41%	9.71%	7.75%	8.79%	8.61%	12.01%	7.35%	11.00%	12.30%	8.79%	10.21%	7.37%	6.96%	8.81%	5.85%	6.53%	6.34%	11.58%	8.70%	7.62%	7.96%	9.60%	13.23%	12.21%	9.70%	7.05%	10.08%	9.34%	7.38%	8.78%	8.59%	7.71%	11.77%	11.43%	11.76%	10.02%	8.75%	9.05%	11.68%	11.97%	7.72%	7.57%	0.0%	7.31%					
22	"5. ""За Русь Святую"""	280	5	7	1	6	5	2	4	3	5	4	4	5	7	6	5	11	5	6	6	4	5	6	0	5	4	3	4	4	4	7	11	6	6	8	7	5	0	7	2	2	5	8	1	6	8	2	6	2	10	2	5	3	2	1	0	2	1	0	9	3	1	0	6	0	0					
		0.49%	0.44%	0.63%	0.09%	0.51%	0.64%	0.26%	0.46%	0.33%	0.60%	0.47%	0.43%	0.51%	0.87%	0.64%	0.54%	1.19%	0.41%	0.70%	0.55%	0.35%	0.49%	0.57%	0.0%	0.53%	0.39%	0.83%	0.31%	0.45%	0.65%	0.71%	1.28%	0.51%	0.49%	0.75%	0.61%	0.81%	0.0%	0.65%	0.29%	0.26%	0.48%	0.75%	0.30%	0.60%	0.82%	0.20%	0.71%	0.28%	1.31%	0.20%	0.55%	0.34%	0.23%	0.13%	0.0%	0.30%	0.14%	0.0%	1.11%	0.38%	0.12%	0.0%	0.73%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	127	3	3	2	2	0	2	0	1	4	3	4	2	2	4	3	3	2	5	2	3	1	1	3	0	1	0	2	0	3	4	3	2	2	3	3	1	0	3	1	1	3	2	1	0	2	1	2	1	2	1	9	1	0	1	1	0	1	5	1	1	4	2	2	0	0					
		0.22%	0.26%	0.27%	0.18%	0.17%	0.0%	0.26%	0.0%	0.11%	0.48%	0.35%	0.43%	0.20%	0.24%	0.43%	0.32%	0.32%	0.16%	0.58%	0.18%	0.26%	0.09%	0.09%	0.31%	0.0%	0.09%	0.0%	0.15%	0.0%	0.49%	0.40%	0.35%	0.17%	0.16%	0.28%	0.26%	0.16%	0.0%	0.27%	0.14%	0.13%	0.29%	0.18%	0.30%	0.0%	0.20%	0.10%	0.23%	0.14%	0.26%	0.10%	1.00%	0.11%	0.0%	0.13%	0.13%	0.0%	0.14%	0.44%	0.12%	0.12%	0.49%	0.32%	0.24%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	374	18	8	7	5	6	5	7	5	7	9	10	3	6	8	6	7	7	6	4	5	10	3	7	7	7	4	9	0	2	8	4	8	7	6	7	3	7	8	3	3	10	9	0	6	4	4	6	4	4	8	5	3	4	4	6	8	8	10	5	3	6	2	2	0	1					
		0.66%	1.61%	0.73%	0.65%	0.43%	0.77%	0.65%	0.81%	0.56%	0.85%	1.06%	1.07%	0.31%	0.74%	0.86%	0.65%	0.75%	0.58%	0.70%	0.36%	0.43%	0.98%	0.28%	0.73%	0.75%	0.69%	1.11%	0.70%	0.0%	0.32%	0.81%	0.46%	0.69%	0.58%	0.56%	0.61%	0.48%	2.28%	0.74%	0.44%	0.39%	0.97%	0.85%	0.0%	0.60%	0.41%	0.41%	0.71%	0.56%	0.52%	0.83%	0.55%	0.34%	0.46%	0.54%	0.83%	1.20%	1.19%	0.89%	0.62%	0.38%	0.74%	0.32%	0.24%	0.0%	2.43%					
25	"8. ""Народно-республиканская партия России"""	49	3	1	2	1	0	0	2	0	3	0	0	0	0	2	0	0	0	0	1	3	1	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	3	0	0	0	1	0	2	0	1	7	1	0	1	1	0	1	0	3	0	2	0	2	0	0	0					
		0.08%	0.26%	0.09%	0.18%	0.08%	0.0%	0.0%	0.23%	0.0%	0.36%	0.0%	0.0%	0.0%	0.0%	0.21%	0.0%	0.0%	0.0%	0.0%	0.09%	0.26%	0.09%	0.0%	0.0%	0.0%	0.09%	0.0%	0.07%	0.0%	0.0%	0.0%	0.11%	0.0%	0.0%	0.09%	0.0%	0.0%	0.32%	0.0%	0.0%	0.0%	0.29%	0.0%	0.0%	0.0%	0.10%	0.0%	0.23%	0.0%	0.13%	0.72%	0.11%	0.0%	0.11%	0.13%	0.0%	0.15%	0.0%	0.26%	0.0%	0.25%	0.0%	0.32%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	297	11	0	5	4	3	8	10	2	6	4	6	8	6	2	3	5	6	2	10	2	3	1	6	5	6	6	10	0	2	5	3	3	7	8	7	3	1	7	1	5	6	8	2	3	3	6	7	7	3	10	5	4	4	7	0	5	3	6	0	6	4	4	2	0	0					
		0.53%	0.98%	0.0%	0.46%	0.34%	0.38%	1.05%	1.15%	0.22%	0.73%	0.47%	0.64%	0.83%	0.74%	0.21%	0.32%	0.54%	0.50%	0.23%	0.92%	0.17%	0.29%	0.09%	0.62%	0.53%	0.59%	1.66%	0.78%	0.0%	0.32%	0.50%	0.35%	0.25%	0.58%	0.75%	0.61%	0.48%	0.32%	0.65%	0.14%	0.65%	0.58%	0.75%	0.60%	0.30%	0.30%	0.62%	0.83%	0.98%	0.39%	1.04%	0.55%	0.46%	0.46%	0.94%	0.0%	0.75%	0.44%	0.53%	0.0%	0.77%	0.49%	0.64%	0.24%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	828	36	23	5	17	15	12	10	22	11	7	13	17	21	18	18	9	26	13	18	19	15	12	15	17	14	1	21	7	8	10	11	17	28	11	8	5	3	22	15	15	13	13	6	14	8	12	19	14	9	8	10	10	7	7	10	10	4	15	9	10	19	4	10	1	1					
		1.47%	3.22%	2.10%	0.46%	1.46%	1.94%	1.57%	1.15%	2.48%	1.34%	0.82%	1.40%	1.76%	2.61%	1.94%	1.96%	0.97%	2.16%	1.51%	1.65%	1.66%	1.47%	1.15%	1.56%	1.82%	1.38%	0.27%	1.64%	0.80%	1.31%	1.01%	1.28%	1.47%	2.32%	1.03%	0.70%	0.81%	0.98%	2.05%	2.22%	1.97%	1.27%	1.23%	1.80%	1.41%	0.82%	1.25%	2.27%	1.96%	1.18%	0.83%	1.11%	1.16%	0.80%	0.94%	1.39%	1.50%	0.59%	1.34%	1.11%	1.29%	2.34%	0.64%	1.22%	10.0%	2.43%					
28	"11. ""Истинные патриоты России"""	35	0	0	0	0	0	0	0	2	1	0	0	0	0	1	2	7	0	0	0	0	1	0	2	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	2	0	0	1	0	0	0	1	1	2	0	0	1	0	0	0	0	3	0	0	1	0	1	0	0					
		0.06%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.22%	0.12%	0.0%	0.0%	0.0%	0.0%	0.10%	0.21%	0.75%	0.0%	0.0%	0.0%	0.0%	0.09%	0.0%	0.20%	0.0%	0.19%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.08%	0.0%	0.0%	0.0%	0.32%	0.0%	0.29%	0.0%	0.19%	0.0%	0.0%	0.10%	0.0%	0.0%	0.0%	0.14%	0.13%	0.20%	0.0%	0.0%	0.11%	0.0%	0.0%	0.0%	0.0%	0.26%	0.0%	0.0%	0.12%	0.0%	0.12%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	532	17	8	8	4	15	7	6	6	14	11	9	4	16	7	9	0	16	8	7	21	12	10	14	6	6	6	7	3	2	1	8	12	15	14	16	10	5	16	6	9	10	6	2	11	6	15	5	5	12	0	10	7	12	4	9	4	1	8	0	10	14	3	6	0	1					
		0.94%	1.52%	0.73%	0.74%	0.34%	1.94%	0.92%	0.69%	0.67%	1.70%	1.29%	0.96%	0.41%	1.99%	0.75%	0.98%	0.0%	1.33%	0.93%	0.64%	1.84%	1.17%	0.96%	1.46%	0.64%	0.59%	1.66%	0.54%	0.34%	0.32%	0.10%	0.93%	1.03%	1.24%	1.31%	1.40%	1.62%	1.63%	1.49%	0.89%	1.18%	0.97%	0.56%	0.60%	1.11%	0.61%	1.56%	0.59%	0.70%	1.57%	0.0%	1.11%	0.81%	1.38%	0.54%	1.25%	0.60%	0.14%	0.71%	0.0%	1.29%	1.72%	0.48%	0.73%	0.0%	2.43%					
30	"13. ""Демократическая партия России"""	83	5	4	1	3	0	1	0	2	0	1	0	0	4	1	0	3	2	1	2	0	0	1	1	2	4	0	2	0	0	0	1	0	2	3	1	1	1	1	1	1	1	2	1	8	1	3	0	0	1	7	1	1	1	3	1	0	0	0	0	0	0	0	0	0	0					
		0.14%	0.44%	0.36%	0.09%	0.25%	0.0%	0.13%	0.0%	0.22%	0.0%	0.11%	0.0%	0.0%	0.49%	0.10%	0.0%	0.32%	0.16%	0.11%	0.18%	0.0%	0.0%	0.09%	0.10%	0.21%	0.39%	0.0%	0.15%	0.0%	0.0%	0.0%	0.11%	0.0%	0.16%	0.28%	0.08%	0.16%	0.32%	0.09%	0.14%	0.13%	0.09%	0.18%	0.30%	0.80%	0.10%	0.31%	0.0%	0.0%	0.13%	0.72%	0.11%	0.11%	0.11%	0.40%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	143	4	6	2	2	0	5	4	2	3	0	2	1	2	1	1	0	0	3	2	2	3	4	3	4	0	0	2	38	2	1	1	5	1	0	3	2	0	1	1	2	0	3	0	2	1	1	2	2	2	3	3	1	0	2	0	0	0	1	1	1	2	0	1	0	0					
		0.25%	0.35%	0.54%	0.18%	0.17%	0.0%	0.65%	0.46%	0.22%	0.36%	0.0%	0.21%	0.10%	0.24%	0.10%	0.10%	0.0%	0.0%	0.35%	0.18%	0.17%	0.29%	0.38%	0.31%	0.43%	0.0%	0.0%	0.15%	4.36%	0.32%	0.10%	0.11%	0.43%	0.08%	0.0%	0.26%	0.32%	0.0%	0.09%	0.14%	0.26%	0.0%	0.28%	0.0%	0.20%	0.10%	0.10%	0.23%	0.28%	0.26%	0.31%	0.33%	0.11%	0.0%	0.27%	0.0%	0.0%	0.0%	0.08%	0.12%	0.12%	0.24%	0.0%	0.12%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	92	15	1	2	0	1	0	2	0	0	1	1	1	0	0	4	3	1	1	1	1	1	0	0	1	2	0	1	1	2	2	1	2	3	4	0	0	1	3	1	0	0	1	0	3	0	0	5	1	1	2	3	4	2	2	0	0	1	1	2	1	0	2	1	0	0					
		0.16%	1.34%	0.09%	0.18%	0.0%	0.12%	0.0%	0.23%	0.0%	0.0%	0.11%	0.10%	0.10%	0.0%	0.0%	0.43%	0.32%	0.08%	0.11%	0.09%	0.08%	0.09%	0.0%	0.0%	0.10%	0.19%	0.0%	0.07%	0.11%	0.32%	0.20%	0.11%	0.17%	0.24%	0.37%	0.0%	0.0%	0.32%	0.27%	0.14%	0.0%	0.0%	0.09%	0.0%	0.30%	0.0%	0.0%	0.59%	0.14%	0.13%	0.20%	0.33%	0.46%	0.23%	0.27%	0.0%	0.0%	0.14%	0.08%	0.24%	0.12%	0.0%	0.32%	0.12%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	7648	110	143	160	157	113	104	127	140	113	117	145	139	83	135	138	132	198	110	173	170	135	189	154	94	136	37	201	92	60	121	93	181	155	136	173	71	39	126	110	108	115	140	27	124	166	121	116	93	81	124	110	135	131	89	98	79	96	176	87	102	110	83	121	2	4					
		13.65%	9.83%	13.05%	14.95%	13.56%	14.61%	13.68%	14.71%	15.80%	13.78%	13.81%	15.62%	14.43%	10.34%	14.59%	15.09%	14.30%	16.51%	12.83%	15.94%	14.93%	13.27%	18.15%	16.09%	10.11%	13.43%	10.27%	15.78%	10.57%	9.85%	12.30%	10.90%	15.67%	12.85%	12.80%	15.24%	11.54%	12.74%	11.75%	16.34%	14.24%	11.24%	13.28%	8.10%	12.52%	17.04%	12.63%	13.87%	13.02%	10.65%	12.90%	12.23%	15.67%	15.07%	12.04%	13.66%	11.91%	14.37%	15.72%	10.79%	13.24%	13.58%	13.36%	14.79%	20.0%	9.75%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	47	4	2	0	1	1	1	1	0	0	1	0	1	1	1	0	1	1	0	1	0	0	0	0	2	0	1	0	0	1	1	1	1	0	3	2	1	0	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	2	0	1	3	1	0	1	3	0	0					
		0.08%	0.35%	0.18%	0.0%	0.08%	0.12%	0.13%	0.11%	0.0%	0.0%	0.11%	0.0%	0.10%	0.12%	0.10%	0.0%	0.10%	0.08%	0.0%	0.09%	0.0%	0.0%	0.0%	0.0%	0.21%	0.0%	0.27%	0.0%	0.0%	0.16%	0.10%	0.11%	0.08%	0.0%	0.28%	0.17%	0.16%	0.0%	0.0%	0.14%	0.0%	0.09%	0.09%	0.30%	0.10%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.13%	0.30%	0.0%	0.08%	0.37%	0.12%	0.0%	0.16%	0.36%	0.0%	0.0%					
35	"18. ""ЛДПР"""	4187	136	98	83	73	40	76	72	51	64	75	72	55	62	59	73	45	70	64	60	72	86	71	73	68	85	42	51	86	66	62	98	64	105	101	67	42	18	76	57	58	69	81	16	41	55	74	64	43	65	82	85	64	74	46	62	42	49	109	65	42	56	55	70	0	2					
		7.47%	12.16%	8.94%	7.75%	6.30%	5.17%	10.0%	8.34%	5.75%	7.80%	8.85%	7.75%	5.71%	7.73%	6.37%	7.98%	4.87%	5.83%	7.46%	5.52%	6.32%	8.45%	6.82%	7.62%	7.31%	8.39%	11.66%	4.00%	9.88%	10.83%	6.30%	11.48%	5.54%	8.70%	9.51%	5.90%	6.82%	5.88%	7.08%	8.46%	7.65%	6.74%	7.68%	4.80%	4.14%	5.64%	7.72%	7.65%	6.02%	8.55%	8.53%	9.45%	7.43%	8.51%	6.22%	8.64%	6.33%	7.33%	9.74%	8.06%	5.45%	6.91%	8.85%	8.55%	0.0%	4.87%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	2704	42	54	73	99	28	29	53	34	44	32	42	50	46	42	46	43	56	47	51	70	54	44	35	44	57	14	41	37	19	44	49	52	49	56	49	42	20	58	35	39	53	59	21	43	44	48	55	28	27	56	45	46	35	25	20	31	30	35	42	35	39	26	37	2	3					
		4.82%	3.75%	4.93%	6.82%	8.55%	3.62%	3.81%	6.14%	3.83%	5.36%	3.77%	4.52%	5.19%	5.73%	4.54%	5.03%	4.65%	4.67%	5.48%	4.70%	6.15%	5.30%	4.22%	3.65%	4.73%	5.63%	3.88%	3.22%	4.25%	3.11%	4.47%	5.74%	4.50%	4.06%	5.27%	4.31%	6.82%	6.53%	5.41%	5.20%	5.14%	5.18%	5.59%	6.30%	4.34%	4.51%	5.01%	6.57%	3.92%	3.55%	5.82%	5.00%	5.34%	4.02%	3.38%	2.78%	4.67%	4.49%	3.12%	5.21%	4.54%	4.81%	4.18%	4.52%	20.0%	7.31%					
37	"20. ""Политическая партия ""Единая Россия"""	16937	267	365	328	354	231	256	258	273	224	242	272	297	251	265	280	305	336	308	295	303	330	289	292	269	298	103	324	292	194	310	256	321	374	348	334	233	100	360	187	218	367	352	99	274	270	290	252	217	251	314	236	266	286	218	217	177	170	304	292	218	237	185	288	3	12					
		30.23%	23.88%	33.33%	30.65%	30.59%	29.88%	33.68%	29.89%	30.81%	27.31%	28.57%	29.31%	30.84%	31.29%	28.64%	30.63%	33.04%	28.02%	35.93%	27.18%	26.62%	32.44%	27.76%	30.51%	28.95%	29.44%	28.61%	25.45%	33.56%	31.85%	31.53%	30.01%	27.79%	31.01%	32.76%	29.42%	37.88%	32.67%	33.58%	27.78%	28.75%	35.87%	33.39%	29.72%	27.67%	27.72%	30.27%	30.14%	30.39%	33.02%	32.67%	26.25%	30.89%	32.91%	29.49%	30.26%	26.69%	25.44%	27.16%	36.22%	28.31%	29.25%	29.79%	35.20%	30.0%	29.26%					
38	"21. ""Российская Конституционно-демократическая партия"""	63	4	0	1	1	0	2	1	0	0	0	6	0	1	0	0	1	0	1	0	0	1	2	2	1	1	0	2	3	2	1	1	1	1	1	0	3	0	1	2	1	1	2	1	2	1	0	0	1	1	0	0	3	0	0	1	1	1	0	2	0	0	0	2	0	0					
