Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																														
Дата голосования: 07.12.2003 0:00:00																														
																														
Наименование Избирательной комиссии:    Юрьевецкая																														
																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																														
																														
		Сумма	УИК  832	УИК  833	УИК  834	УИК  835	УИК  836	УИК  837	УИК  838	УИК  839	УИК  840	УИК  841	УИК  842	УИК  843	УИК  844	УИК  845	УИК  846	УИК  847	УИК  848	УИК  849	УИК  850	УИК  851	УИК  852	УИК  853	УИК  854					
		0.24%	0.34%	0.47%	0.0%	0.25%	0.40%	0.57%	0.11%	0.09%	0.56%	0.0%	0.23%	0.0%	0.0%	0.0%	0.35%	0.0%	0.0%	0.0%	1.14%	0.0%	1.14%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	37	8	2	0	1	1	3	9	3	0	0	0	0	3	0	2	2	0	0	1	0	0	0	2					
		0.43%	0.68%	0.47%	0.0%	0.25%	0.20%	0.34%	1.02%	0.29%	0.0%	0.0%	0.0%	0.0%	0.73%	0.0%	0.70%	0.99%	0.0%	0.0%	1.14%	0.0%	0.0%	0.0%	1.12%					
25	"8. ""Народно-республиканская партия России"""	13	0	0	0	0	0	3	2	1	0	2	0	1	0	0	0	1	0	0	1	0	1	0	1					
		0.15%	0.0%	0.0%	0.0%	0.0%	0.0%	0.34%	0.22%	0.09%	0.0%	1.29%	0.0%	0.87%	0.0%	0.0%	0.0%	0.49%	0.0%	0.0%	1.14%	0.0%	1.14%	0.0%	0.56%					
26	"9. ""Российская экологическая партия ""Зеленые"""	24	4	1	1	2	0	0	4	0	0	1	1	1	1	0	0	2	0	1	1	0	0	2	2					
		0.27%	0.34%	0.23%	0.24%	0.50%	0.0%	0.0%	0.45%	0.0%	0.0%	0.64%	0.23%	0.87%	0.24%	0.0%	0.0%	0.99%	0.0%	0.60%	1.14%	0.0%	0.0%	0.76%	1.12%					
27	"10. ""Аграрная партия России"""	549	59	19	13	21	20	32	23	38	48	18	27	17	48	2	37	23	6	10	7	14	2	34	31					
		6.40%	5.08%	4.55%	3.23%	5.26%	4.03%	3.66%	2.60%	3.76%	26.96%	11.68%	6.22%	14.91%	11.73%	1.92%	12.98%	11.38%	7.59%	6.09%	8.04%	6.96%	2.29%	12.97%	17.41%					
28	"11. ""Истинные патриоты России"""	5	1	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.05%	0.08%	0.0%	0.0%	0.0%	0.0%	0.22%	0.11%	0.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	91	21	5	1	3	4	8	5	13	4	0	3	2	2	2	3	0	1	4	0	6	0	3	1					
		1.06%	1.80%	1.19%	0.24%	0.75%	0.80%	0.91%	0.56%	1.28%	2.24%	0.0%	0.69%	1.75%	0.48%	1.92%	1.05%	0.0%	1.26%	2.43%	0.0%	2.98%	0.0%	1.14%	0.56%					
30	"13. ""Демократическая партия России"""	21	6	0	0	0	2	1	1	2	0	1	1	0	2	0	0	0	2	1	0	0	0	2	0					
		0.24%	0.51%	0.0%	0.0%	0.0%	0.40%	0.11%	0.11%	0.19%	0.0%	0.64%	0.23%	0.0%	0.48%	0.0%	0.0%	0.0%	2.53%	0.60%	0.0%	0.0%	0.0%	0.76%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	16	3	2	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	5	0	1	0	0	1					
		0.18%	0.25%	0.47%	0.0%	0.0%	0.0%	0.0%	0.11%	0.0%	0.0%	0.0%	0.23%	0.0%	0.24%	0.0%	0.35%	0.0%	0.0%	3.04%	0.0%	0.49%	0.0%	0.0%	0.56%					
32	"15. ""Партия СЛОН"""	12	1	0	1	1	1	1	2	1	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0					
		0.13%	0.08%	0.0%	0.24%	0.25%	0.20%	0.11%	0.22%	0.09%	0.0%	0.0%	0.23%	0.0%	0.48%	0.0%	0.35%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	664	103	31	22	24	38	73	65	117	4	9	35	8	30	5	19	15	6	12	5	9	12	16	6					
		7.74%	8.87%	7.43%	5.47%	6.01%	7.66%	8.36%	7.36%	11.58%	2.24%	5.84%	8.06%	7.01%	7.33%	4.80%	6.66%	7.42%	7.59%	7.31%	5.74%	4.47%	13.79%	6.10%	3.37%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	14	3	0	0	0	0	0	0	1	1	0	2	0	1	1	0	0	1	2	0	0	1	1	0					
		0.16%	0.25%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.09%	0.56%	0.0%	0.46%	0.0%	0.24%	0.96%	0.0%	0.0%	1.26%	1.21%	0.0%	0.0%	1.14%	0.38%	0.0%					
35	"18. ""ЛДПР"""	1247	146	71	57	56	68	125	127	126	24	15	88	6	50	19	43	29	14	29	15	45	17	42	35					
		14.53%	12.57%	17.02%	14.17%	14.03%	13.70%	14.31%	14.39%	12.47%	13.48%	9.74%	20.27%	5.26%	12.22%	18.26%	15.08%	14.35%	17.72%	17.68%	17.24%	22.38%	19.54%	16.03%	19.66%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	242	29	18	9	10	25	18	29	34	1	5	7	6	9	2	6	5	2	6	3	0	5	7	6					
		2.82%	2.49%	4.31%	2.23%	2.50%	5.04%	2.06%	3.28%	3.36%	0.56%	3.24%	1.61%	5.26%	2.20%	1.92%	2.10%	2.47%	2.53%	3.65%	3.44%	0.0%	5.74%	2.67%	3.37%					
37	"20. ""Политическая партия ""Единая Россия"""	3442	469	151	193	161	201	352	380	413	73	77	160	46	184	45	84	80	33	46	31	88	30	92	53					
		40.12%	40.39%	36.21%	48.00%	40.35%	40.52%	40.32%	43.08%	40.89%	41.01%	50.0%	36.86%	40.35%	44.98%	43.26%	29.47%	39.60%	41.77%	28.04%	35.63%	43.78%	34.48%	35.11%	29.77%					
38	"21. ""Российская Конституционно-демократическая партия"""	14	2	1	0	0	0	2	4	0	0	1	2	0	1	0	0	0	0	0	0	1	0	0	0					
		0.16%	0.17%	0.23%	0.0%	0.0%	0.0%	0.22%	0.45%	0.0%	0.0%	0.64%	0.46%	0.0%	0.24%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.49%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	21	1	0	0	0	6	3	3	3	0	0	0	0	1	0	1	1	0	0	1	0	0	1	0					
		0.24%	0.08%	0.0%	0.0%	0.0%	1.20%	0.34%	0.34%	0.29%	0.0%	0.0%	0.0%	0.0%	0.24%	0.0%	0.35%	0.49%	0.0%	0.0%	1.14%	0.0%	0.0%	0.38%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	941	124	52	41	58	67	118	96	128	11	3	47	7	36	8	43	21	2	14	8	8	8	25	16					
		10.96%	10.68%	12.47%	10.19%	14.53%	13.50%	13.51%	10.88%	12.67%	6.17%	1.94%	10.82%	6.14%	8.80%	7.69%	15.08%	10.39%	2.53%	8.53%	9.19%	3.98%	9.19%	9.54%	8.98%					
																														
41	Против всех	352	58	16	10	17	17	26	47	52	4	4	15	7	11	10	16	10	3	5	3	7	2	5	7					
		4.10%	4.99%	3.83%	2.48%	4.26%	3.42%	2.97%	5.32%	5.14%	2.24%	2.59%	3.45%	6.14%	2.68%	9.61%	5.61%	4.95%	3.79%	3.04%	3.44%	3.48%	2.29%	1.90%	3.93%					
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
