Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																													
Дата голосования: 07.12.2003 0:00:00																																													
																																													
Наименование Избирательной комиссии:    Обнинская городская																																													
																																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																													
																																													
		Сумма	УИК  544	УИК  545	УИК  546	УИК  547	УИК  548	УИК  549	УИК  550	УИК  551	УИК  552	УИК  553	УИК  554	УИК  555	УИК  556	УИК  557	УИК  558	УИК  559	УИК  560	УИК  561	УИК  562	УИК  563	УИК  564	УИК  565	УИК  566	УИК  567	УИК  568	УИК  569	УИК  570	УИК  571	УИК  572	УИК  573	УИК  574	УИК  575	УИК  576	УИК  577	УИК  578	УИК  579	УИК  580	УИК  581					
14	Число погашенных открепительных удостоверений	1123	17	14	19	26	41	34	15	25	35	0	28	28	33	29	29	34	30	36	36	37	36	24	32	11	36	37	39	33	38	30	30	19	42	39	38	32	31	30					
15	Число открепительных удостоверений выданных ТИК	32	0	1	0	0	1	0	2	0	0	0	2	1	0	1	0	1	0	1	1	6	0	3	2	1	0	2	0	1	2	1	1	0	0	1	0	0	1	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																													
18	"1. ""ЕДИНЕНИЕ"""	153	8	1	3	3	9	2	0	2	6	1	6	5	4	3	2	8	2	6	2	3	1	5	5	5	2	8	7	1	6	4	6	1	2	1	2	6	8	7					
		0.35%	1.46%	0.31%	0.30%	0.31%	0.56%	0.15%	0.0%	0.20%	0.51%	0.59%	0.52%	0.44%	0.30%	0.30%	0.12%	0.53%	0.25%	0.46%	0.14%	0.23%	0.07%	0.47%	0.36%	0.45%	0.13%	0.56%	0.45%	0.06%	0.43%	0.30%	0.54%	0.5%	0.16%	0.07%	0.23%	0.46%	0.73%	0.44%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	3109	35	17	108	96	129	69	27	44	70	11	87	47	93	46	142	121	51	81	108	91	104	74	128	95	94	108	103	120	105	98	60	25	93	96	32	91	77	133					
		7.26%	6.41%	5.43%	10.88%	10.18%	8.04%	5.45%	7.45%	4.50%	6.05%	6.58%	7.54%	4.14%	6.99%	4.66%	9.18%	8.15%	6.47%	6.27%	7.76%	7.14%	7.64%	7.08%	9.40%	8.59%	6.56%	7.60%	6.65%	8.07%	7.69%	7.41%	5.43%	12.5%	7.54%	7.64%	3.72%	6.97%	7.09%	8.39%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1735	31	17	39	36	76	60	9	51	74	9	47	83	67	65	68	51	27	43	34	37	44	16	22	31	53	65	70	54	49	64	46	1	44	29	19	83	46	75					
		4.05%	5.67%	5.43%	3.93%	3.81%	4.74%	4.74%	2.48%	5.22%	6.40%	5.38%	4.07%	7.31%	5.04%	6.59%	4.39%	3.43%	3.42%	3.33%	2.44%	2.90%	3.23%	1.53%	1.61%	2.80%	3.70%	4.57%	4.52%	3.63%	3.59%	4.84%	4.16%	0.5%	3.57%	2.30%	2.20%	6.36%	4.23%	4.73%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	3343	44	12	101	77	125	69	25	81	82	13	91	67	133	53	131	92	49	103	135	89	129	92	128	99	135	103	126	131	81	112	99	13	107	97	49	87	69	114					
		7.81%	8.05%	3.83%	10.18%	8.16%	7.79%	5.45%	6.90%	8.29%	7.09%	7.78%	7.89%	5.90%	10.00%	5.37%	8.47%	6.19%	6.21%	7.97%	9.70%	6.98%	9.48%	8.80%	9.40%	8.95%	9.43%	7.24%	8.13%	8.81%	5.93%	8.47%	8.96%	6.5%	8.68%	7.72%	5.69%	6.67%	6.35%	7.19%					
22	"5. ""За Русь Святую"""	415	8	2	4	3	16	14	0	11	9	2	14	15	14	8	14	20	12	9	4	16	15	10	11	8	14	13	12	13	17	12	9	6	10	13	19	9	13	16					
		0.97%	1.46%	0.63%	0.40%	0.31%	0.99%	1.10%	0.0%	1.12%	0.77%	1.19%	1.21%	1.32%	1.05%	0.81%	0.90%	1.34%	1.52%	0.69%	0.28%	1.25%	1.10%	0.95%	0.80%	0.72%	0.97%	0.91%	0.77%	0.87%	1.24%	0.90%	0.81%	3.0%	0.81%	1.03%	2.20%	0.69%	1.19%	1.00%					
23	"6. ""Объединенная Российская партия ""Русь"""	83	0	1	2	2	2	1	1	4	3	0	2	3	0	3	0	1	1	1	1	6	3	2	2	2	2	4	6	1	3	2	2	0	5	7	0	3	3	2					
		0.19%	0.0%	0.31%	0.20%	0.21%	0.12%	0.07%	0.27%	0.40%	0.25%	0.0%	0.17%	0.26%	0.0%	0.30%	0.0%	0.06%	0.12%	0.07%	0.07%	0.47%	0.22%	0.19%	0.14%	0.18%	0.13%	0.28%	0.38%	0.06%	0.21%	0.15%	0.18%	0.0%	0.40%	0.55%	0.0%	0.23%	0.27%	0.12%					
24	"7. ""Новый курс - Автомобильная Россия"""	423	3	4	14	13	22	13	4	8	12	0	8	9	12	4	11	17	7	19	20	12	12	15	7	9	13	16	11	23	14	15	10	0	8	13	5	17	11	12					
		0.98%	0.54%	1.27%	1.41%	1.37%	1.37%	1.02%	1.10%	0.81%	1.03%	0.0%	0.69%	0.79%	0.90%	0.40%	0.71%	1.14%	0.88%	1.47%	1.43%	0.94%	0.88%	1.43%	0.51%	0.81%	0.90%	1.12%	0.71%	1.54%	1.02%	1.13%	0.90%	0.0%	0.64%	1.03%	0.58%	1.30%	1.01%	0.75%					
25	"8. ""Народно-республиканская партия России"""	29	1	0	2	1	2	1	1	2	0	0	0	2	2	0	1	0	1	0	0	1	1	1	0	0	1	0	2	1	1	2	1	0	1	0	0	0	0	1					
		0.06%	0.18%	0.0%	0.20%	0.10%	0.12%	0.07%	0.27%	0.20%	0.0%	0.0%	0.0%	0.17%	0.15%	0.0%	0.06%	0.0%	0.12%	0.0%	0.0%	0.07%	0.07%	0.09%	0.0%	0.0%	0.06%	0.0%	0.12%	0.06%	0.07%	0.15%	0.09%	0.0%	0.08%	0.0%	0.0%	0.0%	0.0%	0.06%					
26	"9. ""Российская экологическая партия ""Зеленые"""	177	2	0	6	1	5	8	6	1	7	0	4	5	1	3	3	4	7	3	8	7	5	7	8	5	6	3	11	4	8	5	4	4	7	7	3	3	4	2					
		0.41%	0.36%	0.0%	0.60%	0.10%	0.31%	0.63%	1.65%	0.10%	0.60%	0.0%	0.34%	0.44%	0.07%	0.30%	0.19%	0.26%	0.88%	0.23%	0.57%	0.54%	0.36%	0.66%	0.58%	0.45%	0.41%	0.21%	0.71%	0.26%	0.58%	0.37%	0.36%	2.0%	0.56%	0.55%	0.34%	0.23%	0.36%	0.12%					
27	"10. ""Аграрная партия России"""	1157	15	12	27	34	30	34	3	30	48	9	32	51	43	16	50	41	19	30	30	31	32	15	31	18	57	31	51	27	37	34	31	1	22	35	34	42	27	47					
		2.70%	2.74%	3.83%	2.72%	3.60%	1.87%	2.68%	0.82%	3.07%	4.15%	5.38%	2.77%	4.49%	3.23%	1.62%	3.23%	2.76%	2.41%	2.32%	2.15%	2.43%	2.35%	1.43%	2.27%	1.62%	3.98%	2.18%	3.29%	1.81%	2.71%	2.57%	2.80%	0.5%	1.78%	2.78%	3.95%	3.22%	2.48%	2.96%					
28	"11. ""Истинные патриоты России"""	18	0	0	1	0	2	1	0	0	0	1	0	2	1	0	0	0	0	1	0	0	1	0	3	0	1	0	0	0	0	0	1	0	0	0	2	0	0	1					
		0.04%	0.0%	0.0%	0.10%	0.0%	0.12%	0.07%	0.0%	0.0%	0.0%	0.59%	0.0%	0.17%	0.07%	0.0%	0.0%	0.0%	0.0%	0.07%	0.0%	0.0%	0.07%	0.0%	0.22%	0.0%	0.06%	0.0%	0.0%	0.0%	0.0%	0.0%	0.09%	0.0%	0.0%	0.0%	0.23%	0.0%	0.0%	0.06%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	450	3	4	9	6	19	16	7	15	16	1	11	9	16	6	11	14	7	9	11	18	13	17	18	15	13	11	13	12	14	11	12	0	17	12	11	12	18	23					
		1.05%	0.54%	1.27%	0.90%	0.63%	1.18%	1.26%	1.93%	1.53%	1.38%	0.59%	0.95%	0.79%	1.20%	0.60%	0.71%	0.94%	0.88%	0.69%	0.79%	1.41%	0.95%	1.62%	1.32%	1.35%	0.90%	0.77%	0.83%	0.80%	1.02%	0.83%	1.08%	0.0%	1.37%	0.95%	1.27%	0.92%	1.65%	1.45%					
30	"13. ""Демократическая партия России"""	58	0	0	3	0	3	2	0	0	2	0	0	3	3	3	0	3	1	1	0	3	0	2	1	3	0	1	3	1	0	3	0	0	4	4	3	2	2	2					
		0.13%	0.0%	0.0%	0.30%	0.0%	0.18%	0.15%	0.0%	0.0%	0.17%	0.0%	0.0%	0.26%	0.22%	0.30%	0.0%	0.20%	0.12%	0.07%	0.0%	0.23%	0.0%	0.19%	0.07%	0.27%	0.0%	0.07%	0.19%	0.06%	0.0%	0.22%	0.0%	0.0%	0.32%	0.31%	0.34%	0.15%	0.18%	0.12%					
31	"14. ""Великая Россия - Евразийский Союз"""	172	8	3	5	3	10	5	4	7	4	0	5	3	7	5	3	4	4	5	4	8	6	6	8	5	5	5	4	1	2	3	7	1	1	6	4	2	4	5					
		0.40%	1.46%	0.95%	0.50%	0.31%	0.62%	0.39%	1.10%	0.71%	0.34%	0.0%	0.43%	0.26%	0.52%	0.50%	0.19%	0.26%	0.50%	0.38%	0.28%	0.62%	0.44%	0.57%	0.58%	0.45%	0.34%	0.35%	0.25%	0.06%	0.14%	0.22%	0.63%	0.5%	0.08%	0.47%	0.46%	0.15%	0.36%	0.31%					
32	"15. ""Партия СЛОН"""	156	2	0	4	7	5	5	0	3	4	1	7	4	4	3	8	7	8	4	1	6	5	0	6	1	7	2	1	5	8	3	4	3	6	2	4	6	2	8					
		0.36%	0.36%	0.0%	0.40%	0.74%	0.31%	0.39%	0.0%	0.30%	0.34%	0.59%	0.60%	0.35%	0.30%	0.30%	0.51%	0.47%	1.01%	0.30%	0.07%	0.47%	0.36%	0.0%	0.44%	0.09%	0.48%	0.14%	0.06%	0.33%	0.58%	0.22%	0.36%	1.5%	0.48%	0.15%	0.46%	0.46%	0.18%	0.50%					
33	"16. ""Родина"" (народно-патриотический союз)"""	7555	63	47	164	179	271	213	44	149	197	31	198	164	216	180	239	307	128	259	234	219	273	208	231	232	269	274	299	306	214	253	184	7	212	233	124	217	194	323					
		17.66%	11.53%	15.01%	16.53%	18.98%	16.90%	16.85%	12.15%	15.25%	17.04%	18.56%	17.17%	14.44%	16.25%	18.25%	15.45%	20.68%	16.24%	20.06%	16.82%	17.18%	20.07%	19.90%	16.97%	20.99%	18.79%	19.28%	19.31%	20.59%	15.68%	19.15%	16.66%	3.5%	17.20%	18.55%	14.41%	16.64%	17.86%	20.37%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	33	1	0	0	0	4	1	0	1	0	1	2	1	2	2	3	0	0	1	2	1	0	1	1	0	1	3	0	0	1	1	1	0	0	1	1	0	0	0					
		0.07%	0.18%	0.0%	0.0%	0.0%	0.24%	0.07%	0.0%	0.10%	0.0%	0.59%	0.17%	0.08%	0.15%	0.20%	0.19%	0.0%	0.0%	0.07%	0.14%	0.07%	0.0%	0.09%	0.07%	0.0%	0.06%	0.21%	0.0%	0.0%	0.07%	0.07%	0.09%	0.0%	0.0%	0.07%	0.11%	0.0%	0.0%	0.0%					
35	"18. ""ЛДПР"""	3452	45	34	67	59	130	101	36	100	87	10	87	92	111	66	131	104	83	113	152	108	86	97	117	86	96	100	101	108	118	118	97	28	112	101	117	82	86	86					
		8.07%	8.24%	10.86%	6.75%	6.25%	8.10%	7.99%	9.94%	10.23%	7.52%	5.98%	7.54%	8.10%	8.35%	6.69%	8.47%	7.00%	10.53%	8.75%	10.92%	8.47%	6.32%	9.28%	8.59%	7.78%	6.70%	7.03%	6.52%	7.26%	8.65%	8.93%	8.78%	14.0%	9.09%	8.04%	13.60%	6.28%	7.91%	5.42%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	1534	30	10	23	49	36	49	11	22	50	6	37	35	45	43	63	45	36	55	47	58	52	57	48	44	42	38	37	35	56	49	35	5	48	55	50	58	33	42					
		3.58%	5.49%	3.19%	2.31%	5.19%	2.24%	3.87%	3.03%	2.25%	4.32%	3.59%	3.20%	3.08%	3.38%	4.36%	4.07%	3.03%	4.56%	4.26%	3.37%	4.55%	3.82%	5.45%	3.52%	3.98%	2.93%	2.67%	2.39%	2.35%	4.10%	3.70%	3.17%	2.5%	3.89%	4.37%	5.81%	4.44%	3.03%	2.64%					
37	"20. ""Политическая партия ""Единая Россия"""	11548	155	84	245	180	435	390	120	290	290	36	310	337	309	289	409	383	233	361	371	354	393	260	352	310	355	398	397	357	408	360	317	75	357	339	257	337	284	411					
		27.00%	28.38%	26.83%	24.69%	19.08%	27.13%	30.85%	33.14%	29.68%	25.08%	21.55%	26.88%	29.69%	23.25%	29.31%	26.45%	25.80%	29.56%	27.96%	26.67%	27.78%	28.89%	24.88%	25.86%	28.05%	24.80%	28.00%	25.64%	24.02%	29.91%	27.25%	28.71%	37.5%	28.97%	26.99%	29.88%	25.84%	26.15%	25.93%					
38	"21. ""Российская Конституционно-демократическая партия"""	25	0	0	1	0	1	1	0	1	1	0	2	0	1	0	1	0	0	1	1	0	0	0	2	2	1	1	1	1	1	1	0	0	1	0	0	2	1	0					
		0.05%	0.0%	0.0%	0.10%	0.0%	0.06%	0.07%	0.0%	0.10%	0.08%	0.0%	0.17%	0.0%	0.07%	0.0%	0.06%	0.0%	0.0%	0.07%	0.07%	0.0%	0.0%	0.0%	0.14%	0.18%	0.06%	0.07%	0.06%	0.06%	0.07%	0.07%	0.0%	0.0%	0.08%	0.0%	0.0%	0.15%	0.09%	0.0%					
39	"22. ""Развитие предпринимательства"""	116	0	0	4	6	2	3	1	4	1	0	7	2	2	2	7	3	1	0	4	4	1	3	5	3	7	2	12	4	4	2	2	0	5	1	6	2	1	3					
		0.27%	0.0%	0.0%	0.40%	0.63%	0.12%	0.23%	0.27%	0.40%	0.08%	0.0%	0.60%	0.17%	0.15%	0.20%	0.45%	0.20%	0.12%	0.0%	0.28%	0.31%	0.07%	0.28%	0.36%	0.27%	0.48%	0.14%	0.77%	0.26%	0.29%	0.15%	0.18%	0.0%	0.40%	0.07%	0.69%	0.15%	0.09%	0.18%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	4302	61	42	106	123	172	117	22	109	111	23	138	131	153	115	160	177	73	99	133	112	104	92	125	78	150	163	169	172	117	109	118	7	84	101	59	184	121	172					
		10.05%	11.17%	13.41%	10.68%	13.04%	10.72%	9.25%	6.07%	11.15%	9.60%	13.77%	11.96%	11.54%	11.51%	11.66%	10.34%	11.92%	9.26%	7.66%	9.56%	8.79%	7.64%	8.80%	9.18%	7.05%	10.48%	11.47%	10.91%	11.57%	8.57%	8.25%	10.68%	3.5%	6.81%	8.04%	6.86%	14.11%	11.14%	10.85%					
																																													
41	Против всех	2432	25	21	50	57	83	83	38	36	65	10	52	53	86	69	80	69	33	81	83	85	74	63	93	51	89	61	101	97	85	55	50	23	73	96	56	54	66	86					
		5.68%	4.57%	6.70%	5.04%	6.04%	5.17%	6.56%	10.49%	3.68%	5.62%	5.98%	4.50%	4.66%	6.47%	6.99%	5.17%	4.64%	4.18%	6.27%	5.96%	6.67%	5.44%	6.02%	6.83%	4.61%	6.21%	4.29%	6.52%	6.52%	6.23%	4.16%	4.52%	11.5%	5.92%	7.64%	6.51%	4.14%	6.07%	5.42%					
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
