Выборы Президента Российской Федерации																																				
																																				
Наименование Избирательной комиссии:    Усинская городская																																				
																																				
Итоги голосования 																																				
																																				
		Сумма	УИК  279	УИК  280	УИК  281	УИК  282	УИК  283	УИК  284	УИК  285	УИК  286	УИК  287	УИК  288	УИК  289	УИК  290	УИК  291	УИК  292	УИК  293	УИК  294	УИК  295	УИК  296	УИК  297	УИК  298	УИК  299	УИК  300	УИК  301	УИК  302	УИК  303	УИК  304	УИК  305	УИК  306	УИК  307					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	200	8	4	13	9	5	10	1	7	7	2	1	5	8	9	3	13	15	24	3	29	2	9	5	3	1	1	0	3	0					
14	Число неиспользованных открепительных удостоверений	553	0	23	14	23	15	14	13	28	22	19	22	13	19	22	19	22	19	13	24	26	11	19	20	13	24	26	30	25	15					
15	"Число открепительных удостоверений, выданных в ТИК"	41	0	4	4	0	1	0	2	3	2	4	1	2	2	3	1	4	1	5	0	0	0	1	1	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																				
18	. Глазьев Сергей Юрьевич	638	0	41	60	19	36	36	22	48	27	27	16	44	30	23	32	41	38	51	10	4	7	7	4	2	0	3	1	6	3					
		2.70%	0.00%	2.58%	3.45%	1.82%	3.13%	2.97%	2.37%	4.32%	3.02%	2.82%	1.73%	3.76%	2.67%	2.23%	2.61%	3.50%	3.05%	3.11%	1.96%	1.20%	3.72%	1.29%	1.90%	1.03%	0.00%	1.03%	0.44%	1.12%	1.28%					
19	. Малышкин Олег Александрович	520	3	46	39	24	29	27	24	22	19	12	23	20	23	32	30	29	20	27	18	9	5	6	2	4	0	9	5	12	1					
		2.20%	3.16%	2.89%	2.24%	2.30%	2.52%	2.23%	2.59%	1.98%	2.13%	1.25%	2.49%	1.71%	2.05%	3.10%	2.45%	2.47%	1.60%	1.64%	3.53%	2.71%	2.66%	1.11%	0.95%	2.06%	0.00%	3.10%	2.18%	2.24%	0.43%					
20	. Миронов Сергей Михайлович	142	0	11	10	9	9	2	5	4	2	7	9	8	2	9	10	7	5	12	2	3	1	4	3	1	0	2	0	4	1					
		0.60%	0.00%	0.69%	0.58%	0.86%	0.78%	0.17%	0.54%	0.36%	0.22%	0.73%	0.98%	0.68%	0.18%	0.87%	0.82%	0.60%	0.40%	0.73%	0.39%	0.90%	0.53%	0.74%	1.43%	0.52%	0.00%	0.69%	0.00%	0.75%	0.43%					
21	. Путин Владимир Владимирович	18842	79	1254	1351	862	905	964	731	896	704	778	762	910	907	811	971	913	990	1334	430	268	147	425	165	165	74	225	201	433	187					
		79.82%	83.16%	78.77%	77.69%	82.73%	78.63%	79.54%	78.77%	80.58%	78.75%	81.21%	82.56%	77.78%	80.84%	78.51%	79.33%	77.83%	79.39%	81.24%	84.31%	80.72%	78.19%	78.56%	78.57%	85.05%	88.10%	77.59%	87.77%	80.78%	79.57%					
22	. Хакамада Ирина Муцуовна	780	1	54	78	29	36	39	29	43	32	43	27	41	39	35	39	41	57	60	5	8	11	9	4	2	3	3	2	4	6					
		3.30%	1.05%	3.39%	4.49%	2.78%	3.13%	3.22%	3.12%	3.87%	3.58%	4.49%	2.93%	3.50%	3.48%	3.39%	3.19%	3.50%	4.57%	3.65%	0.98%	2.41%	5.85%	1.66%	1.90%	1.03%	3.57%	1.03%	0.87%	0.75%	2.55%					
23	. Харитонов Николай Михайлович	1851	9	123	125	72	95	91	79	70	72	63	61	115	70	83	92	93	84	102	25	32	11	76	26	17	7	42	18	69	29					
		7.84%	9.47%	7.73%	7.19%	6.91%	8.25%	7.51%	8.51%	6.29%	8.05%	6.58%	6.61%	9.83%	6.24%	8.03%	7.52%	7.93%	6.74%	6.21%	4.90%	9.64%	5.85%	14.05%	12.38%	8.76%	8.33%	14.48%	7.86%	12.87%	12.34%					
																																				
24	Против всех	657	2	51	58	18	33	41	29	29	35	26	23	27	39	28	41	39	44	50	11	7	1	7	2	2	0	4	2	4	4					
		2.78%	2.11%	3.20%	3.34%	1.73%	2.87%	3.38%	3.12%	2.61%	3.91%	2.71%	2.49%	2.31%	3.48%	2.71%	3.35%	3.32%	3.53%	3.05%	2.16%	2.11%	0.53%	1.29%	0.95%	1.03%	0.00%	1.38%	0.87%	0.75%	1.70%					
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
