11	Число полученных открепительных  удостоверений	3200	0	40	40	50	40	20	40	30	40	40	40	100	60	60	40	190	50	50	50	60	50	60	50	50	40	40	40	40	60	50	50	40	40	60	30	40	60	40	50	40	40	50	60	50	50	50	40	50	50	50	50	50	40	50	60	50	50	50	40	50	40	40	0	40	40	30	30	0	0	0	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1750	0	11	20	27	20	13	27	9	24	19	18	90	38	22	17	51	25	26	18	40	19	23	23	20	24	26	12	27	25	21	17	24	26	51	19	20	29	17	32	29	34	32	43	20	32	29	26	27	34	30	35	33	38	33	39	31	26	34	24	23	22	20	0	29	20	12	8	0	0	0	17					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	2203	201	91	24	32	28	19	32	16	29	26	22	0	75	50	53	40	24	51	27	57	19	13	19	33	8	20	37	41	38	26	15	29	58	70	15	19	25	14	38	21	19	19	20	28	17	21	18	23	27	16	30	29	20	13	42	32	14	32	16	25	39	18	9	41	23	20	3	15	19	72	28					
14	Число неиспользованных открепительных удостоверений	1450	0	29	20	23	20	7	13	21	16	21	22	10	22	38	23	139	25	24	32	20	31	37	27	30	16	14	28	13	35	29	33	16	14	9	11	20	31	23	18	11	6	18	17	30	18	21	14	23	16	20	15	17	2	17	21	19	24	16	16	27	18	20	0	11	20	18	22	0	0	0	13					
15	"Число открепительных удостоверений, выданных избирателям ТИК"	23	0	0	0	2	0	0	2	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	"Число открепительных удостоверений, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																														
18	Богданов Андрей Владимирович	2220	17	16	26	33	32	4	34	8	27	48	25	46	45	60	27	78	34	21	33	48	27	39	42	31	32	28	33	44	46	46	33	38	30	29	17	33	45	31	39	33	41	36	39	24	18	31	24	36	27	29	31	17	20	27	35	41	53	50	43	33	39	26	3	62	26	18	9	3	2	7	12					
		2.90%	3.85%	2.96%	3.39%	2.94%	3.86%	1.04%	3.98%	2.56%	3.40%	3.85%	2.47%	3.27%	3.20%	4.93%	3.26%	7.47%	3.64%	1.72%	2.53%	2.95%	2.23%	3.37%	3.45%	2.15%	2.90%	3.01%	3.86%	2.83%	3.11%	4.76%	3.43%	2.83%	2.68%	2.58%	2.58%	2.82%	3.28%	2.69%	2.50%	2.82%	2.98%	2.85%	2.94%	2.25%	1.78%	2.49%	1.88%	2.97%	2.35%	2.16%	2.49%	1.71%	2.02%	2.38%	2.38%	2.70%	3.63%	3.45%	2.91%	2.47%	3.04%	2.42%	5.56%	3.83%	2.20%	1.93%	1.16%	1.27%	1.23%	1.47%	2.13%					
19	Жириновский Владимир Вольфович	10046	76	68	89	112	93	61	112	34	91	153	119	225	169	150	106	182	129	181	148	205	157	135	167	169	150	127	107	202	205	95	126	139	149	153	92	159	167	149	213	179	154	155	149	130	115	164	160	149	147	166	169	138	137	122	208	196	207	223	199	175	175	168	6	222	200	138	112	18	26	46	129					
		13.12%	17.19%	12.59%	11.62%	9.97%	11.20%	15.80%	13.10%	10.90%	11.46%	12.27%	11.76%	15.99%	12.03%	12.33%	12.80%	17.43%	13.81%	14.80%	11.34%	12.58%	12.99%	11.67%	13.70%	11.70%	13.61%	13.67%	12.53%	12.99%	13.87%	9.82%	13.08%	10.35%	13.33%	13.64%	13.94%	13.60%	12.16%	12.91%	13.65%	15.29%	11.19%	12.28%	11.25%	12.21%	11.34%	13.19%	12.53%	12.29%	12.78%	12.38%	13.57%	13.84%	13.81%	10.75%	14.17%	12.92%	14.19%	15.38%	13.48%	13.11%	13.63%	15.61%	11.11%	13.70%	16.92%	14.82%	14.40%	7.63%	15.95%	9.64%	22.87%					
20	Зюганов Геннадий Андреевич	10186	22	90	109	176	137	50	122	33	123	162	146	119	172	174	125	114	119	180	179	226	207	170	172	187	159	164	117	212	158	146	117	194	159	130	84	156	145	153	199	152	191	160	180	146	161	166	192	151	158	198	157	141	140	163	180	178	208	206	188	179	155	119	3	192	127	102	103	34	18	73	58					
		13.31%	4.98%	16.67%	14.23%	15.67%	16.51%	12.95%	14.27%	10.58%	15.49%	12.99%	14.43%	8.46%	12.24%	14.30%	15.10%	10.92%	12.74%	14.72%	13.72%	13.87%	17.12%	14.69%	14.11%	12.94%	14.43%	17.65%	13.70%	13.63%	10.69%	15.10%	12.15%	14.45%	14.22%	11.59%	12.73%	13.34%	10.56%	13.26%	12.75%	12.98%	13.88%	12.68%	13.58%	13.71%	15.88%	13.35%	15.04%	12.46%	13.74%	14.77%	12.61%	14.14%	14.11%	14.36%	12.26%	11.73%	14.26%	14.21%	12.74%	13.41%	12.07%	11.06%	5.56%	11.85%	10.74%	10.96%	13.24%	14.41%	11.04%	15.30%	10.28%					
21	Медведев Дмитрий Анатольевич	52465	315	353	511	762	547	263	566	228	539	848	698	999	987	795	556	613	629	823	924	1106	782	799	820	1020	734	591	575	1063	1044	660	666	946	761	788	456	798	990	800	1083	792	961	877	936	743	702	853	880	842	788	923	862	667	685	805	1016	1077	960	937	1013	930	882	746	42	1105	810	657	542	178	114	343	359					
		68.54%	71.27%	65.37%	66.71%	67.85%	65.90%	68.13%	66.20%	73.08%	67.88%	68.00%	68.97%	71.00%	70.25%	65.32%	67.15%	58.72%	67.34%	67.29%	70.80%	67.89%	64.68%	69.06%	67.27%	70.59%	66.61%	63.62%	67.33%	68.36%	70.64%	68.25%	69.16%	70.44%	68.07%	70.23%	69.09%	68.26%	72.10%	69.32%	69.38%	67.63%	69.84%	69.49%	70.64%	69.77%	69.23%	68.62%	68.91%	69.47%	68.52%	68.83%	69.24%	66.90%	69.05%	70.93%	69.21%	70.99%	65.80%	64.62%	68.63%	69.66%	68.69%	69.33%	77.78%	68.21%	68.53%	70.57%	69.67%	75.42%	69.94%	71.91%	63.65%					
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
