Выборы Президента Российской Федерации																																																																													
																																																																													
"Наименование Избирательной комиссии:    Екатеринбург, Ленинская"																																																																													
																																																																													
Итоги голосования 																																																																													
																																																																													
		Сумма	УИК №1471	УИК №1472	УИК №1473	УИК №1474	УИК №1475	УИК №1476	УИК №1477	УИК №1478	УИК №1479	УИК №1480	УИК №1481	УИК №1482	УИК №1483	УИК №1484	УИК №1485	УИК №1486	УИК №1487	УИК №1488	УИК №1489	УИК №1490	УИК №1491	УИК №1492	УИК №1493	УИК №1494	УИК №1495	УИК №1496	УИК №1497	УИК №1498	УИК №1499	УИК №1500	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	983	51	8	31	17	3	14	14	13	13	11	13	5	46	18	21	14	18	16	9	11	24	13	13	15	8	10	16	20	11	32	13	22	18	9	22	16	9	19	12	4	13	12	9	10	8	5	3	7	7	12	17	10	6	12	14	14	16	11	9	6	14	5	10	7	23	9	4	11	20	27					
14	Число неиспользованных открепительных удостоверений	1060	10	17	14	8	4	8	9	5	0	16	3	4	2	19	29	6	14	17	31	5	24	12	17	20	24	10	16	19	21	10	22	15	17	17	11	14	29	14	32	32	20	26	16	12	28	16	16	14	8	21	17	16	27	15	25	12	12	20	21	28	16	8	20	7	36	0	0	0	0	6					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																													
18	. Глазьев Сергей Юрьевич	3589	22	41	80	55	5	24	15	47	68	61	38	44	40	45	48	42	71	55	49	50	51	56	102	74	58	29	50	67	58	46	54	58	31	31	66	54	51	44	47	71	62	89	45	57	82	61	56	73	68	77	55	71	63	72	68	86	78	62	56	46	37	22	73	48	49	1	8	5	8	13					
		4.99%	3.87%	5.31%	6.69%	6.31%	1.75%	4.63%	5.91%	5.56%	5.25%	6.73%	2.77%	4.11%	3.34%	5.75%	4.82%	4.61%	5.81%	4.70%	3.64%	4.19%	4.39%	4.73%	7.12%	7.03%	6.55%	3.68%	4.15%	4.72%	6.66%	4.88%	4.31%	5.33%	4.07%	3.41%	5.95%	4.95%	4.45%	3.47%	4.27%	5.44%	5.28%	6.66%	4.48%	5.61%	6.50%	4.87%	4.70%	6.50%	4.84%	6.07%	5.70%	7.16%	5.47%	5.27%	4.70%	5.96%	5.46%	4.38%	4.71%	4.46%	4.00%	3.44%	6.07%	4.27%	3.15%	1.27%	5.97%	4.46%	3.17%	2.11%					
19	. Малышкин Олег Александрович	958	6	4	12	10	1	6	3	11	8	13	18	7	14	6	16	11	13	16	17	19	6	22	14	9	4	7	15	16	6	9	13	21	9	27	15	15	26	22	19	20	14	15	20	18	18	14	24	9	26	20	12	13	23	17	12	18	25	18	17	19	11	6	18	20	22	3	0	2	2	16					
		1.33%	1.05%	0.52%	1.00%	1.15%	0.35%	1.16%	1.18%	1.30%	0.62%	1.43%	1.31%	0.65%	1.17%	0.77%	1.61%	1.21%	1.06%	1.37%	1.26%	1.59%	0.52%	1.86%	0.98%	0.85%	0.45%	0.89%	1.24%	1.13%	0.69%	0.95%	1.04%	1.93%	1.18%	2.97%	1.35%	1.37%	2.27%	1.73%	1.73%	1.53%	1.19%	1.12%	1.99%	1.77%	1.43%	1.12%	2.02%	0.80%	1.85%	1.58%	1.24%	1.31%	2.00%	1.24%	0.83%	1.25%	1.75%	1.27%	1.43%	1.84%	1.19%	0.94%	1.50%	1.78%	1.41%	3.80%	0.00%	1.79%	0.79%	2.60%					
20	. Миронов Сергей Михайлович	468	2	6	10	2	3	3	3	3	7	8	9	8	10	10	3	8	15	8	8	8	2	12	13	5	7	2	9	14	3	6	6	8	2	1	8	5	12	7	5	8	7	7	9	3	9	5	9	11	8	5	7	6	4	4	9	8	12	9	13	13	5	8	6	4	11	1	2	1	2	1					
		0.65%	0.35%	0.78%	0.84%	0.23%	1.05%	0.58%	1.18%	0.36%	0.54%	0.88%	0.66%	0.75%	0.83%	1.28%	0.30%	0.88%	1.23%	0.68%	0.59%	0.67%	0.17%	1.01%	0.91%	0.47%	0.79%	0.25%	0.75%	0.99%	0.34%	0.64%	0.48%	0.73%	0.26%	0.11%	0.72%	0.46%	1.05%	0.55%	0.45%	0.61%	0.60%	0.52%	0.90%	0.30%	0.71%	0.40%	0.76%	0.98%	0.57%	0.39%	0.73%	0.61%	0.35%	0.29%	0.62%	0.55%	0.84%	0.64%	1.09%	1.26%	0.54%	1.25%	0.50%	0.36%	0.71%	1.27%	1.49%	0.89%	0.79%	0.16%					
21	. Путин Владимир Владимирович	51995	380	507	795	583	248	361	168	587	879	622	1105	810	878	546	671	633	843	822	948	841	887	861	996	721	618	577	895	982	590	710	910	765	587	669	784	820	841	962	861	936	867	935	727	723	889	937	870	820	1012	900	701	712	832	1014	1104	1032	1016	1007	850	751	709	479	837	871	1244	66	108	93	195	495					
		72.36%	66.78%	65.67%	66.47%	66.86%	87.02%	69.69%	66.14%	69.47%	67.82%	68.58%	80.48%	75.70%	73.23%	69.73%	67.37%	69.41%	68.99%	70.26%	70.43%	70.55%	76.27%	72.78%	69.55%	68.47%	69.75%	73.32%	74.21%	69.25%	67.74%	75.29%	72.63%	70.25%	77.14%	73.60%	70.63%	75.09%	73.39%	75.81%	78.20%	71.67%	73.85%	69.93%	72.41%	71.16%	70.50%	74.84%	73.05%	73.02%	71.98%	70.98%	72.64%	71.85%	72.22%	74.23%	76.30%	71.47%	71.10%	71.17%	71.43%	72.84%	76.65%	74.84%	69.63%	77.56%	79.95%	83.54%	80.60%	83.04%	77.38%	80.49%					
22	. Хакамада Ирина Муцуовна	7976	89	127	172	104	7	66	39	119	191	119	107	110	142	92	142	116	126	143	203	134	124	114	184	130	95	100	120	232	116	100	149	123	73	102	127	125	105	116	76	139	118	158	99	115	144	141	126	95	144	134	97	93	124	124	130	164	170	182	160	110	86	66	168	99	83	3	4	2	15	24					
		11.10%	15.64%	16.45%	14.38%	11.93%	2.46%	12.74%	15.35%	14.08%	14.74%	13.12%	7.79%	10.28%	11.84%	11.75%	14.26%	12.72%	10.31%	12.22%	15.08%	11.24%	10.66%	9.64%	12.85%	12.35%	10.72%	12.71%	9.95%	16.36%	13.32%	10.60%	11.89%	11.29%	9.59%	11.22%	11.44%	11.45%	9.16%	9.14%	6.90%	10.64%	10.05%	11.82%	9.86%	11.32%	11.42%	11.26%	10.58%	8.46%	10.24%	10.57%	10.05%	9.38%	10.76%	9.08%	8.98%	11.36%	11.90%	12.86%	13.45%	10.67%	9.30%	10.31%	13.98%	8.82%	5.33%	3.80%	2.99%	1.79%	5.95%	3.90%					
23	. Харитонов Николай Михайлович	3850	46	49	69	78	2	33	11	45	67	45	36	49	67	47	42	54	92	79	79	83	69	82	76	49	68	40	77	49	56	43	68	58	26	50	72	44	61	63	54	72	47	68	64	60	72	58	65	69	100	87	61	58	65	70	66	68	75	68	48	60	39	36	48	28	64	3	9	5	17	22					
		5.36%	8.08%	6.35%	5.77%	8.94%	0.70%	6.37%	4.33%	5.33%	5.17%	4.96%	2.62%	4.58%	5.59%	6.00%	4.22%	5.92%	7.53%	6.75%	5.87%	6.96%	5.93%	6.93%	5.31%	4.65%	7.67%	5.08%	6.38%	3.46%	6.43%	4.56%	5.43%	5.33%	3.42%	5.50%	6.49%	4.03%	5.32%	4.96%	4.90%	5.51%	4.00%	5.09%	6.37%	5.91%	5.71%	4.63%	5.46%	6.14%	7.11%	6.86%	6.32%	5.85%	5.64%	5.12%	4.56%	4.71%	5.25%	4.81%	4.03%	5.82%	4.22%	5.62%	3.99%	2.49%	4.11%	3.80%	6.72%	4.46%	6.75%	3.58%					
																																																																													
24	Против всех	2501	24	38	53	32	12	22	12	29	70	34	55	37	43	33	70	38	51	31	35	41	20	36	43	55	27	29	34	53	37	28	44	44	27	21	37	24	42	44	32	49	47	46	33	34	34	34	34	35	39	38	24	31	33	55	48	52	42	57	41	30	28	18	50	41	37	2	3	4	10	35					
		3.48%	4.22%	4.92%	4.43%	3.67%	4.21%	4.25%	4.72%	3.43%	5.40%	3.75%	4.01%	3.46%	3.59%	4.21%	7.03%	4.17%	4.17%	2.65%	2.60%	3.44%	1.72%	3.04%	3.00%	5.22%	3.05%	3.68%	2.82%	3.74%	4.25%	2.97%	3.51%	4.04%	3.55%	2.31%	3.33%	2.20%	3.66%	3.47%	2.91%	3.75%	4.00%	3.44%	3.29%	3.35%	2.70%	2.72%	2.85%	3.12%	2.77%	3.00%	2.49%	3.13%	2.86%	4.03%	3.32%	3.60%	2.94%	4.03%	3.45%	2.91%	3.03%	2.81%	4.16%	3.65%	2.38%	2.53%	2.24%	3.57%	3.97%	5.69%					
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
