Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																												
Дата голосования: 18.09.2016																												
																												
Наименование Избирательной комиссии:    Каракулинская																												
																												
Сводная таблица итогов голосования по федеральному избирательному округу																												
																												
		Сумма	УИК №2001	УИК №2002	УИК №2003	УИК №2004	УИК №2005	УИК №2006	УИК №2007	УИК №2008	УИК №2009	УИК №2010	УИК №2011	УИК №2012	УИК №2013	УИК №2014	УИК №2015	УИК №2016	УИК №2017									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	57	1	3	1	3	5	0	8	3	8	9	6	3	2	1	2	2	0									
		0.97%	0.25%	1.20%	0.83%	0.71%	1.39%	0.00%	2.96%	0.54%	1.38%	1.78%	1.27%	1.44%	1.07%	0.36%	0.95%	0.51%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3516	268	166	60	248	238	151	146	283	266	281	240	130	121	182	147	296	293									
		60.03%	66.83%	66.14%	50.00%	58.63%	66.30%	60.16%	54.07%	50.54%	45.94%	55.64%	50.74%	62.50%	64.71%	65.94%	69.67%	74.94%	75.52%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	20	2	1	0	1	2	1	2	0	2	2	2	1	0	0	2	0	2									
		0.34%	0.50%	0.40%	0.00%	0.24%	0.56%	0.40%	0.74%	0.00%	0.35%	0.40%	0.42%	0.48%	0.00%	0.00%	0.95%	0.00%	0.52%									
24	"6. Политическая партия ""Гражданская Платформа"""	7	0	0	0	0	0	0	2	0	1	2	1	0	0	0	1	0	0									
		0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.74%	0.00%	0.17%	0.40%	0.21%	0.00%	0.00%	0.00%	0.47%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	949	50	34	26	73	51	40	55	136	124	95	105	24	28	19	25	38	26									
		16.20%	12.47%	13.55%	21.67%	17.26%	14.21%	15.94%	20.37%	24.29%	21.42%	18.81%	22.20%	11.54%	14.97%	6.88%	11.85%	9.62%	6.70%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	12	1	0	0	2	0	0	1	2	3	1	1	0	0	1	0	0	0									
		0.20%	0.25%	0.00%	0.00%	0.47%	0.00%	0.00%	0.37%	0.36%	0.52%	0.20%	0.21%	0.00%	0.00%	0.36%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	26	5	0	1	2	1	0	0	0	5	3	1	1	0	3	0	0	4									
		0.44%	1.25%	0.00%	0.83%	0.47%	0.28%	0.00%	0.00%	0.00%	0.86%	0.59%	0.21%	0.48%	0.00%	1.09%	0.00%	0.00%	1.03%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	5	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	1									
		0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.48%	0.00%	0.00%	0.95%	0.00%	0.26%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	22	1	0	1	1	3	0	1	5	3	0	4	1	0	0	1	1	0									
		0.38%	0.25%	0.00%	0.83%	0.24%	0.84%	0.00%	0.37%	0.89%	0.52%	0.00%	0.85%	0.48%	0.00%	0.00%	0.47%	0.25%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	585	34	32	18	25	16	38	25	49	84	58	56	20	17	40	12	29	32									
		9.99%	8.48%	12.75%	15.00%	5.91%	4.46%	15.14%	9.26%	8.75%	14.51%	11.49%	11.84%	9.62%	9.09%	14.49%	5.69%	7.34%	8.25%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	18	0	0	0	2	1	0	0	2	1	2	4	2	2	0	0	1	1									
		0.31%	0.00%	0.00%	0.00%	0.47%	0.28%	0.00%	0.00%	0.36%	0.17%	0.40%	0.85%	0.96%	1.07%	0.00%	0.00%	0.25%	0.26%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	305	19	4	5	47	14	3	13	36	53	22	25	17	8	10	6	14	9									
		5.21%	4.74%	1.59%	4.17%	11.11%	3.90%	1.20%	4.81%	6.43%	9.15%	4.36%	5.29%	8.17%	4.28%	3.62%	2.84%	3.54%	2.32%									
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
