Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																																																																																																																																							
Дата голосования: 07.12.2003 0:00:00																																																																																																																																																																																																							
																																																																																																																																																																																																							
Наименование Избирательной комиссии:    Кировская №3																																																																																																																																																																																																							
																																																																																																																																																																																																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																																																																																																																																							
																																																																																																																																																																																																							
		Сумма	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №1814	УИК №1816	УИК №1817	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1835	УИК №1836	УИК №1837	УИК №1838	УИК №1839	УИК №1840	УИК №1842	УИК №1843	УИК №1844	УИК №1845	УИК №1846	УИК №1847	УИК №1848	УИК №1849	УИК №1850	УИК №1851	УИК №1852	УИК №1854	УИК №1855	УИК №1856	УИК №1857	УИК №1858	УИК №1859	УИК №1860	УИК №1861	УИК №1862	УИК №1864	УИК №1865	УИК №1866	УИК №1867	УИК №1869	УИК №1870	УИК №1871	УИК №1872	УИК №1873	УИК №1874	УИК №1875	УИК №1876	УИК №1877	УИК №1878	УИК №1879	УИК №1880	УИК №1881	УИК №1882	УИК №1883	УИК №1884	УИК №1885	УИК №1886	УИК №1887	УИК №1888	УИК №1889	УИК №1890	УИК №1891	УИК №1892	УИК №1893	УИК №1894	УИК №1895	УИК №1896	УИК №1897	УИК №1898	УИК №1900	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №1914	УИК №1915	УИК №1916	УИК №1917					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	4016	50	30	30	30	30	40	50	40	30	60	30	30	40	40	40	30	40	40	50	60	60	20	50	40	40	50	40	50	50	60	40	50	40	30	30	40	40	20	50	50	60	40	50	50	50	40	40	50	50	50	50	40	40	60	50	50	40	50	60	50	70	50	70	50	60	50	60	50	60	60	60	50	50	60	60	80	70	70	70	50	60	60	70	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	563	7	0	4	5	6	11	6	3	7	5	2	3	4	3	2	6	8	4	5	7	8	1	10	4	5	8	7	11	7	7	5	5	4	9	6	5	5	2	5	6	10	8	9	7	10	4	2	12	5	10	6	12	7	13	7	7	5	7	8	9	12	8	9	13	16	8	3	4	7	9	7	9	9	14	3	6	5	7	11	9	8	7	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	572	8	3	1	5	5	9	1	0	9	6	2	9	9	8	3	7	7	7	9	19	11	0	7	5	5	2	7	8	10	8	13	8	1	10	6	6	3	23	13	4	14	9	6	9	6	5	7	7	5	4	3	11	4	16	1	2	2	3	3	4	7	7	9	7	2	12	10	1	10	7	6	1	5	8	8	5	11	11	9	5	6	8	8	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
14	Число погашенных открепительных удостоверений	3447	43	30	26	25	24	29	44	37	23	55	28	27	36	37	38	24	32	36	45	53	52	19	40	36	35	42	33	39	43	53	35	45	36	21	24	35	35	18	45	44	50	32	41	43	40	36	38	38	45	40	44	28	33	47	43	43	35	43	52	41	58	42	61	37	44	42	57	46	53	51	53	41	41	46	57	74	65	63	59	41	52	53	67	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	Число открепительных удостоверений выданных ТИК	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																																																																																																																							
18	"1. ""ЕДИНЕНИЕ"""	540	8	2	5	3	2	7	7	3	4	19	1	0	3	4	15	6	7	7	4	10	11	3	11	4	5	6	7	10	6	12	6	4	1	4	2	3	7	2	7	4	9	4	8	10	5	6	10	6	10	5	4	1	7	10	4	8	4	8	6	4	8	5	13	5	6	6	6	11	6	9	8	11	6	7	4	5	3	7	10	5	9	8	10	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0					
		0.81%	1.22%	0.36%	1.34%	0.72%	0.40%	1.13%	1.26%	0.59%	0.83%	2.47%	0.49%	0.0%	0.47%	0.63%	2.16%	1.51%	1.22%	1.15%	0.48%	1.48%	1.29%	0.87%	1.34%	0.60%	0.99%	0.71%	1.02%	1.02%	0.71%	1.23%	0.76%	0.49%	0.16%	0.67%	0.43%	0.41%	0.99%	0.55%	0.83%	0.50%	0.95%	0.56%	0.95%	1.32%	0.67%	0.94%	1.32%	0.75%	1.23%	0.54%	0.49%	0.13%	0.87%	0.94%	0.48%	1.03%	0.62%	0.88%	0.57%	0.40%	0.68%	0.64%	1.16%	0.56%	0.65%	0.65%	0.55%	1.51%	0.55%	0.77%	0.89%	1.44%	0.60%	0.70%	0.47%	0.40%	0.23%	0.66%	0.77%	0.56%	0.91%	0.88%	0.90%	2.47%	3.33%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	9.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	9.09%	0.0%	10.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	11.11%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.51%	0.0%	0.0%	0.0%	8.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	6156	54	56	35	35	54	54	46	28	61	49	20	51	59	57	53	34	58	54	78	47	59	23	66	39	49	75	79	84	86	63	111	98	78	47	56	93	79	44	116	136	93	91	101	48	59	62	88	104	84	81	81	88	54	90	66	54	48	69	91	83	113	58	121	71	89	79	97	52	107	124	74	63	112	93	76	100	130	69	106	78	116	61	109	10	3	0	1	0	1	0	1	0	0	0	0	3	0	0	0	0	0	0	1	2	1	2	1	0	1	0	0	1	1	1	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	1	0	0	1	3	0	0	1	0	0	0	0	0	1	1	0	0	5	0					
		9.28%	8.25%	10.27%	9.40%	8.51%	10.86%	8.75%	8.30%	5.57%	12.73%	6.37%	9.90%	10.64%	9.42%	9.04%	7.64%	8.58%	10.15%	8.88%	9.48%	6.99%	6.95%	6.74%	8.06%	5.85%	9.76%	8.87%	11.51%	8.58%	10.21%	6.46%	14.12%	12.05%	12.56%	7.97%	12.20%	12.89%	11.17%	12.22%	13.77%	17.21%	9.87%	12.94%	12.00%	6.38%	7.99%	9.71%	11.70%	13.09%	10.34%	8.79%	10.02%	11.78%	6.75%	8.54%	7.98%	6.97%	7.54%	7.64%	8.75%	8.41%	9.73%	7.51%	10.86%	7.99%	9.66%	8.61%	8.96%	7.14%	9.96%	10.61%	8.31%	8.25%	11.22%	9.32%	8.94%	8.06%	10.18%	6.52%	8.17%	8.78%	11.76%	6.73%	9.86%	8.26%	10.0%	0.0%	10.0%	0.0%	9.09%	0.0%	10.0%	0.0%	0.0%	0.0%	0.0%	100.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	9.09%	18.18%	12.5%	18.18%	9.09%	0.0%	9.09%	0.0%	0.0%	9.09%	9.09%	8.33%	10.0%	0.0%	10.0%	0.0%	0.0%	0.0%	0.0%	9.09%	9.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	10.0%	0.0%	0.0%	0.0%	8.33%	0.0%	9.09%	0.0%	0.0%	0.0%	0.0%	9.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	8.33%	0.0%	0.0%	0.0%	18.18%	0.0%	9.09%	0.0%	0.0%	0.0%	0.0%	14.28%	11.11%	0.0%	0.0%	0.0%	7.69%	0.0%	0.0%	0.0%	9.09%	0.0%	5.26%	0.0%	0.0%	8.33%	4.54%	0.0%	0.0%	4.54%	0.0%	0.0%	0.0%	0.0%	0.0%	10.0%	4.76%	0.0%	0.0%	8.77%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	2233	19	21	23	7	18	27	25	19	14	3	4	19	20	26	21	12	18	17	37	35	34	14	22	24	10	27	22	19	29	43	17	24	25	24	21	20	16	13	15	19	35	33	17	25	18	30	24	24	18	22	26	26	17	35	35	24	31	29	38	18	37	23	28	39	22	43	32	29	32	38	38	30	44	46	23	44	64	35	48	35	42	30	35	1	4	0	0	0	0	0	1	0	0	1	0	0	1	3	2	0	0	0	0	0	1	0	1	1	0	0	0	2	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	2	1	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	4	0					
