Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																				
Дата голосования: 07.12.2003 0:00:00																																																																				
																																																																				
"Наименование Избирательной комиссии:    Сочи, Адлерская"																																																																				
																																																																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																				
																																																																				
		Сумма	УИК  4301	УИК  4302	УИК  4303	УИК  4304	УИК  4305	УИК  4306	УИК  4307	УИК  4308	УИК  4309	УИК  4310	УИК  4311	УИК  4312	УИК  4313	УИК  4314	УИК  4315	УИК  4316	УИК  4317	УИК  4318	УИК  4319	УИК  4320	УИК  4321	УИК  4322	УИК  4323	УИК  4324	УИК  4325	УИК  4326	УИК  4327	УИК  4328	УИК  4329	УИК  4330	УИК  4331	УИК  4332	УИК  4333	УИК  4334	УИК  4335	УИК  4336	УИК  4337	УИК  4338	УИК  4339	УИК  4340	УИК  4341	УИК  4342	УИК  4343	УИК  4344	УИК  4345	УИК  4346	УИК  4347	УИК  4348	УИК  4349	УИК  4350	УИК  4351	УИК  4352	УИК  4353	УИК  4354	УИК  4355	УИК  4356	УИК  4357	УИК  4358	УИК  4359	УИК  4360	УИК  4361					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	900	10	10	10	20	20	10	10	20	15	15	20	20	10	20	10	10	20	10	20	10	20	10	10	20	15	10	10	10	25	10	25	20	20	20	25	20	25	10	10	10	10	10	10	20	10	25	20	20	20	10	10	10	10	20	10	10	10	20	10	10	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	172	0	0	0	3	3	0	0	4	2	3	11	0	2	4	2	1	11	0	3	1	7	5	2	4	2	1	1	5	3	0	4	0	4	3	3	15	14	1	1	3	1	0	2	4	3	4	2	2	1	0	3	1	2	2	0	4	3	1	4	5	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	216	0	0	0	3	0	0	1	1	6	4	0	1	1	6	1	2	3	6	3	1	7	56	2	3	3	3	2	3	4	27	6	4	1	4	5	2	2	1	0	10	2	0	2	1	0	0	3	1	1	2	1	3	1	9	0	2	1	0	1	1	1					
14	Число погашенных открепительных удостоверений	728	10	10	10	17	17	10	10	16	13	12	9	20	8	16	8	9	9	10	17	9	13	5	8	16	13	9	9	5	22	10	21	20	16	17	22	5	11	9	9	7	9	10	8	16	7	21	18	18	19	10	7	9	8	18	10	6	7	19	6	5	10					
15	Число открепительных удостоверений выданных ТИК	5	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																				
18	"1. ""ЕДИНЕНИЕ"""	469	1	0	0	14	11	2	15	20	6	8	4	10	6	19	2	5	10	5	8	12	4	5	6	8	11	3	1	6	9	5	3	10	10	7	10	19	5	4	0	12	0	5	5	15	4	12	10	10	14	10	7	7	1	7	2	2	4	14	16	14	14					
		1.55%	1.02%	0.0%	0.0%	1.83%	2.03%	1.03%	2.20%	2.17%	1.33%	1.27%	0.39%	1.42%	3.10%	2.51%	0.78%	1.28%	1.24%	1.60%	1.09%	2.05%	0.42%	0.91%	0.85%	0.67%	1.34%	0.89%	0.16%	1.55%	1.2%	1.74%	0.41%	1.39%	1.33%	1.49%	1.39%	2.04%	0.42%	2.38%	0.0%	2.91%	0.0%	2.01%	2.36%	3.30%	1.91%	1.58%	1.50%	1.88%	2.38%	4.13%	3.21%	4.02%	0.39%	1.09%	2.04%	1.05%	3.17%	2.8%	6.58%	3.75%	5.24%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	1076	2	2	0	41	16	1	10	35	16	28	22	22	2	41	10	16	33	17	28	24	45	39	41	44	34	13	20	14	36	11	20	22	21	18	31	27	32	5	3	45	4	5	2	5	5	29	20	16	20	7	7	7	13	17	3	6	0	5	2	13	3					
		3.57%	2.04%	1.19%	0.0%	5.37%	2.95%	0.51%	1.46%	3.80%	3.55%	4.47%	2.15%	3.14%	1.03%	5.42%	3.90%	4.12%	4.10%	5.44%	3.83%	4.10%	4.78%	7.11%	5.81%	3.70%	4.16%	3.89%	3.38%	3.61%	4.8%	3.84%	2.74%	3.07%	2.79%	3.83%	4.31%	2.90%	2.69%	2.97%	2.54%	10.92%	2.77%	2.01%	0.94%	1.10%	2.39%	3.83%	3.00%	3.01%	3.40%	2.89%	3.21%	4.02%	5.09%	2.66%	3.06%	3.15%	0.0%	1.0%	0.82%	3.48%	1.12%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	737	0	0	0	17	4	0	8	27	11	8	35	17	6	11	8	5	16	4	22	24	26	13	19	34	23	9	13	5	11	9	25	22	16	9	30	35	33	1	2	6	3	4	6	15	6	15	11	13	8	8	2	5	6	36	1	6	3	0	4	8	13					
		2.44%	0.0%	0.0%	0.0%	2.22%	0.73%	0.0%	1.17%	2.93%	2.44%	1.27%	3.42%	2.42%	3.10%	1.45%	3.12%	1.28%	1.99%	1.28%	3.01%	4.10%	2.76%	2.37%	2.69%	2.86%	2.81%	2.69%	2.20%	1.29%	1.46%	3.14%	3.42%	3.07%	2.13%	1.91%	4.17%	3.75%	2.77%	0.59%	1.69%	1.45%	2.08%	1.61%	2.84%	3.30%	2.87%	1.98%	1.65%	2.45%	1.36%	3.30%	0.91%	2.87%	2.35%	5.63%	1.02%	3.15%	2.38%	0.0%	1.64%	2.14%	4.86%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	1276	3	2	5	44	14	1	6	39	20	26	39	23	9	26	21	9	54	17	40	31	44	44	35	86	44	16	26	25	34	22	51	26	25	10	22	48	59	4	9	25	5	4	10	13	11	17	16	12	16	12	4	2	9	21	4	11	0	3	16	4	2					
		4.23%	3.06%	1.19%	7.81%	5.76%	2.58%	0.51%	0.88%	4.23%	4.44%	4.15%	3.81%	3.28%	4.66%	3.43%	8.20%	2.31%	6.71%	5.44%	5.47%	5.29%	4.68%	8.02%	4.96%	7.24%	5.39%	4.79%	4.40%	6.45%	4.53%	7.69%	6.99%	3.63%	3.32%	2.13%	3.06%	5.15%	4.96%	2.38%	7.62%	6.06%	3.47%	1.61%	4.73%	2.86%	5.26%	2.24%	2.40%	2.26%	2.72%	4.95%	1.83%	1.14%	3.52%	3.28%	4.08%	5.78%	0.0%	0.6%	6.58%	1.07%	0.74%					
22	"5. ""За Русь Святую"""	177	1	0	0	7	3	0	1	6	2	2	8	5	0	9	0	1	5	2	4	6	4	6	7	13	9	3	0	3	3	1	4	4	6	2	2	6	6	3	1	1	1	2	1	3	0	4	3	2	1	1	0	0	4	4	0	0	1	1	1	1	1					
		0.58%	1.02%	0.0%	0.0%	0.91%	0.55%	0.0%	0.14%	0.65%	0.44%	0.31%	0.78%	0.71%	0.0%	1.19%	0.0%	0.25%	0.62%	0.64%	0.54%	1.02%	0.42%	1.09%	0.99%	1.09%	1.10%	0.89%	0.0%	0.77%	0.4%	0.34%	0.54%	0.55%	0.79%	0.42%	0.27%	0.64%	0.50%	1.78%	0.84%	0.24%	0.69%	0.80%	0.47%	0.66%	0.0%	0.52%	0.45%	0.37%	0.17%	0.41%	0.0%	0.0%	1.56%	0.62%	0.0%	0.0%	0.79%	0.2%	0.41%	0.26%	0.37%					
23	"6. ""Объединенная Российская партия ""Русь"""	70	0	0	0	4	5	0	0	5	0	4	3	4	2	2	1	2	1	0	0	0	0	1	0	1	1	1	0	0	2	2	1	3	1	0	1	3	1	0	2	1	0	0	0	1	1	2	4	0	3	0	0	0	0	2	0	1	0	0	1	1	0					
		0.23%	0.0%	0.0%	0.0%	0.52%	0.92%	0.0%	0.0%	0.54%	0.0%	0.63%	0.29%	0.57%	1.03%	0.26%	0.39%	0.51%	0.12%	0.0%	0.0%	0.0%	0.0%	0.18%	0.0%	0.08%	0.12%	0.29%	0.0%	0.0%	0.26%	0.69%	0.13%	0.41%	0.13%	0.0%	0.13%	0.32%	0.08%	0.0%	1.69%	0.24%	0.0%	0.0%	0.0%	0.22%	0.47%	0.26%	0.60%	0.0%	0.51%	0.0%	0.0%	0.0%	0.0%	0.31%	0.0%	0.52%	0.0%	0.0%	0.41%	0.26%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	233	0	0	0	11	4	2	2	10	4	6	4	2	1	13	2	0	11	3	4	7	5	4	3	11	3	4	2	8	5	3	8	6	4	1	6	2	9	0	3	4	2	2	1	6	0	9	3	8	6	0	1	0	1	5	3	3	1	2	1	2	0					
		0.77%	0.0%	0.0%	0.0%	1.44%	0.73%	1.03%	0.29%	1.08%	0.88%	0.95%	0.39%	0.28%	0.51%	1.71%	0.78%	0.0%	1.36%	0.96%	0.54%	1.19%	0.53%	0.72%	0.42%	0.92%	0.36%	1.19%	0.33%	2.06%	0.66%	1.04%	1.09%	0.83%	0.53%	0.21%	0.83%	0.21%	0.75%	0.0%	2.54%	0.97%	1.38%	0.80%	0.47%	1.32%	0.0%	1.19%	0.45%	1.50%	1.02%	0.0%	0.45%	0.0%	0.39%	0.78%	3.06%	1.57%	0.79%	0.4%	0.41%	0.53%	0.0%					
25	"8. ""Народно-республиканская партия России"""	49	0	0	0	5	3	0	2	2	0	0	0	1	1	0	0	0	2	0	1	1	1	3	0	0	1	0	0	0	1	0	3	1	0	0	1	2	1	0	0	0	1	0	0	1	0	1	3	2	0	0	0	0	3	0	0	0	0	3	2	0	1					
		0.16%	0.0%	0.0%	0.0%	0.65%	0.55%	0.0%	0.29%	0.21%	0.0%	0.0%	0.0%	0.14%	0.51%	0.0%	0.0%	0.0%	0.24%	0.0%	0.13%	0.17%	0.10%	0.54%	0.0%	0.0%	0.12%	0.0%	0.0%	0.0%	0.13%	0.0%	0.41%	0.13%	0.0%	0.0%	0.13%	0.21%	0.08%	0.0%	0.0%	0.0%	0.69%	0.0%	0.0%	0.22%	0.0%	0.13%	0.45%	0.37%	0.0%	0.0%	0.0%	0.0%	1.17%	0.0%	0.0%	0.0%	0.0%	0.6%	0.82%	0.0%	0.37%					
26	"9. ""Российская экологическая партия ""Зеленые"""	104	0	0	0	4	3	0	1	2	1	5	3	5	0	3	0	2	2	1	4	1	4	1	2	3	3	1	1	2	2	0	5	3	4	2	0	4	5	0	0	0	0	1	0	3	1	5	6	3	0	0	1	1	1	1	0	1	0	0	0	1	0					
		0.34%	0.0%	0.0%	0.0%	0.52%	0.55%	0.0%	0.14%	0.21%	0.22%	0.79%	0.29%	0.71%	0.0%	0.39%	0.0%	0.51%	0.24%	0.32%	0.54%	0.17%	0.42%	0.18%	0.28%	0.25%	0.36%	0.29%	0.16%	0.51%	0.26%	0.0%	0.68%	0.41%	0.53%	0.42%	0.0%	0.42%	0.42%	0.0%	0.0%	0.0%	0.0%	0.40%	0.0%	0.66%	0.47%	0.66%	0.90%	0.56%	0.0%	0.0%	0.45%	0.57%	0.39%	0.15%	0.0%	0.52%	0.0%	0.0%	0.0%	0.26%	0.0%					
27	"10. ""Аграрная партия России"""	599	6	0	1	9	4	0	6	36	15	15	21	23	7	16	3	2	16	8	7	12	23	13	18	29	16	9	15	6	14	4	13	15	12	7	12	12	16	1	0	4	2	1	7	18	13	9	10	5	8	9	5	10	8	16	2	6	0	4	6	14	0					
		1.98%	6.12%	0.0%	1.56%	1.17%	0.73%	0.0%	0.88%	3.90%	3.33%	2.39%	2.05%	3.28%	3.62%	2.11%	1.17%	0.51%	1.99%	2.56%	0.95%	2.05%	2.44%	2.37%	2.55%	2.44%	1.96%	2.69%	2.54%	1.55%	1.86%	1.39%	1.78%	2.09%	1.59%	1.49%	1.67%	1.28%	1.34%	0.59%	0.0%	0.97%	1.38%	0.40%	3.31%	3.96%	6.22%	1.19%	1.50%	0.94%	1.36%	3.71%	2.29%	5.74%	3.13%	2.50%	2.04%	3.15%	0.0%	0.8%	2.46%	3.75%	0.0%					
28	"11. ""Истинные патриоты России"""	49	0	0	0	9	0	1	1	2	2	3	0	1	2	0	0	3	0	0	1	0	1	0	2	0	0	0	0	1	2	0	0	2	1	0	0	1	1	0	1	0	0	0	0	0	1	1	1	3	0	0	0	2	1	0	0	0	0	1	0	2	0					
		0.16%	0.0%	0.0%	0.0%	1.17%	0.0%	0.51%	0.14%	0.21%	0.44%	0.47%	0.0%	0.14%	1.03%	0.0%	0.0%	0.77%	0.0%	0.0%	0.13%	0.0%	0.10%	0.0%	0.28%	0.0%	0.0%	0.0%	0.0%	0.25%	0.26%	0.0%	0.0%	0.27%	0.13%	0.0%	0.0%	0.10%	0.08%	0.0%	0.84%	0.0%	0.0%	0.0%	0.0%	0.0%	0.47%	0.13%	0.15%	0.56%	0.0%	0.0%	0.0%	1.14%	0.39%	0.0%	0.0%	0.0%	0.0%	0.2%	0.0%	0.53%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	270	1	0	0	8	4	2	12	6	2	7	3	1	3	12	1	3	4	2	5	7	3	9	0	16	7	6	7	1	3	1	10	10	7	5	8	8	15	2	0	6	1	0	2	6	1	11	7	3	1	2	2	5	0	7	0	1	2	1	4	5	2					
		0.89%	1.02%	0.0%	0.0%	1.04%	0.73%	1.03%	1.76%	0.65%	0.44%	1.11%	0.29%	0.14%	1.55%	1.58%	0.39%	0.77%	0.49%	0.64%	0.68%	1.19%	0.31%	1.64%	0.0%	1.34%	0.85%	1.79%	1.18%	0.25%	0.4%	0.34%	1.37%	1.39%	0.93%	1.06%	1.11%	0.85%	1.26%	1.19%	0.0%	1.45%	0.69%	0.0%	0.94%	1.32%	0.47%	1.45%	1.05%	0.56%	0.17%	0.82%	0.91%	2.87%	0.0%	1.09%	0.0%	0.52%	1.58%	0.2%	1.64%	1.34%	0.74%					
30	"13. ""Демократическая партия России"""	63	1	0	0	3	1	0	2	0	1	2	2	1	0	3	0	3	1	0	1	1	2	1	0	1	2	0	0	3	2	0	1	3	0	3	0	0	2	0	0	0	0	2	0	3	0	2	2	0	0	1	0	1	1	3	0	0	0	1	4	1	0					
		0.20%	1.02%	0.0%	0.0%	0.39%	0.18%	0.0%	0.29%	0.0%	0.22%	0.31%	0.19%	0.14%	0.0%	0.39%	0.0%	0.77%	0.12%	0.0%	0.13%	0.17%	0.21%	0.18%	0.0%	0.08%	0.24%	0.0%	0.0%	0.77%	0.26%	0.0%	0.13%	0.41%	0.0%	0.63%	0.0%	0.0%	0.16%	0.0%	0.0%	0.0%	0.0%	0.80%	0.0%	0.66%	0.0%	0.26%	0.30%	0.0%	0.0%	0.41%	0.0%	0.57%	0.39%	0.46%	0.0%	0.0%	0.0%	0.2%	1.64%	0.26%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	63	0	0	0	1	3	1	0	1	0	1	0	5	0	2	0	0	0	0	3	1	2	1	0	2	1	0	4	3	4	0	2	1	5	0	1	2	0	0	0	2	0	1	0	0	1	2	0	2	1	0	0	3	0	1	0	1	0	0	1	1	1					
		0.20%	0.0%	0.0%	0.0%	0.13%	0.55%	0.51%	0.0%	0.10%	0.0%	0.15%	0.0%	0.71%	0.0%	0.26%	0.0%	0.0%	0.0%	0.0%	0.41%	0.17%	0.21%	0.18%	0.0%	0.16%	0.12%	0.0%	0.67%	0.77%	0.53%	0.0%	0.27%	0.13%	0.66%	0.0%	0.13%	0.21%	0.0%	0.0%	0.0%	0.48%	0.0%	0.40%	0.0%	0.0%	0.47%	0.26%	0.0%	0.37%	0.17%	0.0%	0.0%	1.72%	0.0%	0.15%	0.0%	0.52%	0.0%	0.0%	0.41%	0.26%	0.37%					
32	"15. ""Партия СЛОН"""	25	0	0	0	1	0	0	1	0	1	0	0	0	0	5	0	0	0	0	1	0	0	1	1	0	1	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	3	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0					
		0.08%	0.0%	0.0%	0.0%	0.13%	0.0%	0.0%	0.14%	0.0%	0.22%	0.0%	0.0%	0.0%	0.0%	0.66%	0.0%	0.0%	0.0%	0.0%	0.13%	0.0%	0.0%	0.18%	0.14%	0.0%	0.12%	0.0%	0.0%	0.25%	0.26%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.10%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.94%	0.0%	0.0%	0.39%	0.0%	0.0%	0.0%	0.0%	0.45%	0.0%	0.0%	0.15%	0.0%	0.0%	0.0%	0.2%	0.41%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	2314	2	0	1	27	3	0	19	55	20	40	75	52	13	66	16	16	61	20	73	54	117	48	63	120	90	26	96	26	48	37	75	46	50	36	61	104	125	18	7	27	17	8	12	18	6	67	66	41	21	13	7	11	32	89	7	8	1	2	17	23	15					
		7.68%	2.04%	0.0%	1.56%	3.53%	0.55%	0.0%	2.79%	5.97%	4.44%	6.38%	7.33%	7.42%	6.73%	8.73%	6.25%	4.12%	7.58%	6.41%	10.0%	9.23%	12.44%	8.75%	8.93%	10.10%	11.02%	7.78%	16.27%	6.71%	6.4%	12.93%	10.28%	6.42%	6.65%	7.67%	8.49%	11.17%	10.51%	10.71%	5.93%	6.55%	11.80%	3.22%	5.68%	3.96%	2.87%	8.86%	9.92%	7.73%	3.57%	5.37%	3.21%	6.32%	12.54%	13.92%	7.14%	4.21%	0.79%	0.4%	6.99%	6.16%	5.61%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	80	1	0	0	6	2	1	0	1	3	0	2	4	0	3	1	1	1	3	2	0	1	2	1	0	0	1	0	2	3	0	0	2	1	2	1	1	3	0	0	2	0	2	1	4	0	2	0	1	1	2	1	1	0	3	0	0	0	2	1	4	2					
		0.26%	1.02%	0.0%	0.0%	0.78%	0.36%	0.51%	0.0%	0.10%	0.66%	0.0%	0.19%	0.57%	0.0%	0.39%	0.39%	0.25%	0.12%	0.96%	0.27%	0.0%	0.10%	0.36%	0.14%	0.0%	0.0%	0.29%	0.0%	0.51%	0.4%	0.0%	0.0%	0.27%	0.13%	0.42%	0.13%	0.10%	0.25%	0.0%	0.0%	0.48%	0.0%	0.80%	0.47%	0.88%	0.0%	0.26%	0.0%	0.18%	0.17%	0.82%	0.45%	0.57%	0.0%	0.46%	0.0%	0.0%	0.0%	0.4%	0.41%	1.07%	0.74%					
35	"18. ""ЛДПР"""	3404	28	22	6	117	18	2	16	100	55	79	159	77	26	91	53	35	97	30	73	53	94	51	80	115	86	43	45	40	115	31	82	101	100	59	99	103	152	18	25	40	23	29	30	24	8	98	88	79	41	20	12	43	36	103	18	31	9	25	16	36	19					
		11.29%	28.57%	13.09%	9.37%	15.33%	3.32%	1.03%	2.34%	10.85%	12.22%	12.61%	15.54%	11.0%	13.47%	12.03%	20.70%	9.02%	12.06%	9.61%	10.0%	9.05%	10.0%	9.30%	11.34%	9.68%	10.53%	12.87%	7.62%	10.33%	15.33%	10.83%	11.24%	14.10%	13.31%	12.57%	13.78%	11.06%	12.78%	10.71%	21.18%	9.70%	15.97%	11.69%	14.21%	5.28%	3.82%	12.96%	13.23%	14.90%	6.97%	8.26%	5.50%	24.71%	14.11%	16.11%	18.36%	16.31%	7.14%	5.0%	6.58%	9.65%	7.11%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	501	0	3	5	11	7	0	5	12	8	26	31	16	5	9	0	6	4	3	14	10	18	7	9	15	13	5	10	6	8	4	17	11	22	14	17	20	17	7	0	6	2	3	8	4	6	11	7	7	5	4	2	5	2	15	1	3	0	5	4	4	2					
		1.66%	0.0%	1.78%	7.81%	1.44%	1.29%	0.0%	0.73%	1.30%	1.77%	4.15%	3.03%	2.28%	2.59%	1.19%	0.0%	1.54%	0.49%	0.96%	1.91%	1.70%	1.91%	1.27%	1.27%	1.26%	1.59%	1.49%	1.69%	1.55%	1.06%	1.39%	2.33%	1.53%	2.92%	2.98%	2.36%	2.14%	1.42%	4.16%	0.0%	1.45%	1.38%	1.20%	3.79%	0.88%	2.87%	1.45%	1.05%	1.32%	0.85%	1.65%	0.91%	2.87%	0.78%	2.34%	1.02%	1.57%	0.0%	1.0%	1.64%	1.07%	0.74%					
37	"20. ""Политическая партия ""Единая Россия"""	13393	36	134	31	284	359	161	489	406	198	272	444	302	74	306	103	210	335	148	290	234	367	202	306	455	303	117	245	177	322	78	281	315	319	207	298	364	456	69	47	164	56	146	83	217	106	346	302	254	359	112	141	48	97	216	47	69	71	386	116	174	139					
		44.45%	36.73%	79.76%	48.43%	37.22%	66.35%	82.98%	71.80%	44.08%	44.0%	43.45%	43.40%	43.14%	38.34%	40.47%	40.23%	54.12%	41.66%	47.43%	39.72%	39.99%	39.04%	36.86%	43.40%	38.33%	37.13%	35.02%	41.52%	45.73%	42.93%	27.27%	38.54%	43.99%	42.47%	44.13%	41.50%	39.09%	38.35%	41.07%	39.83%	39.80%	38.88%	58.87%	39.33%	47.79%	50.71%	45.76%	45.41%	47.92%	61.05%	46.28%	64.67%	27.58%	38.03%	33.80%	47.95%	36.31%	56.34%	77.2%	47.73%	46.64%	52.05%					
38	"21. ""Российская Конституционно-демократическая партия"""	75	0	0	0	0	8	3	5	1	2	0	2	4	0	3	0	0	1	0	1	0	1	0	2	0	3	0	1	0	4	1	2	1	2	1	0	3	1	0	0	0	0	0	1	0	0	0	0	2	4	2	1	0	2	4	0	1	1	1	2	1	1					
		0.24%	0.0%	0.0%	0.0%	0.0%	1.47%	1.54%	0.73%	0.10%	0.44%	0.0%	0.19%	0.57%	0.0%	0.39%	0.0%	0.0%	0.12%	0.0%	0.13%	0.0%	0.10%	0.0%	0.28%	0.0%	0.36%	0.0%	0.16%	0.0%	0.53%	0.34%	0.27%	0.13%	0.26%	0.21%	0.0%	0.32%	0.08%	0.0%	0.0%	0.0%	0.0%	0.0%	0.47%	0.0%	0.0%	0.0%	0.0%	0.37%	0.68%	0.82%	0.45%	0.0%	0.78%	0.62%	0.0%	0.52%	0.79%	0.2%	0.82%	0.26%	0.37%					
39	"22. ""Развитие предпринимательства"""	111	1	0	0	2	5	0	1	5	1	3	1	2	0	1	0	0	9	2	1	4	6	2	1	8	3	1	3	1	4	1	1	2	2	0	1	2	3	1	1	3	0	0	2	2	0	3	4	1	1	0	1	0	0	4	0	1	0	1	3	0	4					
