Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																						
Дата голосования: 04.12.2011																																																																																						
																																																																																						
Наименование Избирательной комиссии:    Курганская Восточная																																																																																						
																																																																																						
Сводная таблица результатов выборов																																																																																						
																																																																																						
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №74	УИК №75	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №131	УИК №132	УИК №134	УИК №137	УИК №1103	УИК №1128	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																						
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	11735	68	78	76	80	36	64	131	75	98	95	143	219	153	235	153	242	237	249	208	263	193	224	177	220	179	150	149	197	146	223	222	223	113	138	141	103	23	65	126	145	92	158	113	190	116	132	141	210	223	160	153	240	173	143	120	192	279	179	232	179	191	177	225	190	182	246	85	112	144	132	86	118	62	116	42	29	17	47	49					
		17.41%	15.78%	17.57%	17.43%	15.30%	10.03%	13.79%	17.28%	11.90%	12.83%	16.44%	13.65%	19.18%	16.17%	16.85%	16.68%	19.76%	21.84%	16.81%	18.44%	20.28%	20.38%	21.60%	17.68%	16.95%	18.42%	19.79%	19.38%	18.34%	16.20%	22.37%	18.33%	19.43%	14.30%	14.65%	16.65%	13.04%	13.53%	22.34%	14.08%	14.29%	16.43%	16.11%	16.38%	17.63%	15.41%	16.94%	15.03%	16.94%	19.13%	15.09%	16.67%	18.42%	19.98%	18.22%	15.69%	20.51%	20.96%	15.91%	18.27%	16.13%	20.04%	21.38%	18.43%	19.10%	22.41%	14.51%	15.71%	18.27%	17.00%	17.44%	11.24%	16.71%	15.50%	23.82%	17.72%	17.26%	13.71%	12.34%	15.46%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	12268	105	111	101	131	88	131	151	184	209	129	218	186	192	241	156	189	175	230	198	212	141	137	172	210	141	98	108	169	158	130	219	212	152	166	193	184	45	55	184	210	120	213	108	214	173	185	207	250	180	247	191	257	176	149	141	113	180	142	173	141	108	91	212	150	107	361	124	133	189	98	184	151	72	94	35	31	13	71	63					
		18.20%	24.36%	25.00%	23.17%	25.05%	24.51%	28.23%	19.92%	29.21%	27.36%	22.32%	20.80%	16.29%	20.30%	17.28%	17.01%	15.43%	16.13%	15.53%	17.55%	16.35%	14.89%	13.21%	17.18%	16.18%	14.51%	12.93%	14.04%	15.74%	17.54%	13.04%	18.08%	18.47%	19.24%	17.62%	22.79%	23.29%	26.47%	18.90%	20.56%	20.69%	21.43%	21.71%	15.65%	19.85%	22.97%	23.75%	22.07%	20.16%	15.44%	23.30%	20.81%	19.72%	20.32%	18.98%	18.43%	12.07%	13.52%	12.62%	13.62%	12.70%	11.33%	10.99%	17.36%	15.08%	13.18%	21.30%	22.92%	21.70%	22.31%	12.95%	24.05%	21.39%	18.00%	19.30%	14.77%	18.45%	10.48%	18.64%	19.87%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	623	2	2	3	5	3	3	5	4	7	6	8	14	11	13	5	16	7	12	13	11	7	8	7	15	15	7	6	5	11	7	11	5	8	6	9	11	2	2	7	7	5	10	4	10	8	2	8	10	17	12	10	15	5	7	10	10	12	15	11	11	13	6	11	7	10	25	4	6	8	5	8	9	1	2	2	1	0	3	4					
		0.92%	0.46%	0.45%	0.69%	0.96%	0.84%	0.65%	0.66%	0.63%	0.92%	1.04%	0.76%	1.23%	1.16%	0.93%	0.55%	1.31%	0.65%	0.81%	1.15%	0.85%	0.74%	0.77%	0.70%	1.16%	1.54%	0.92%	0.78%	0.47%	1.22%	0.70%	0.91%	0.44%	1.01%	0.64%	1.06%	1.39%	1.18%	0.69%	0.78%	0.69%	0.89%	1.02%	0.58%	0.93%	1.06%	0.26%	0.85%	0.81%	1.46%	1.13%	1.09%	1.15%	0.58%	0.89%	1.31%	1.07%	0.90%	1.33%	0.87%	0.99%	1.36%	0.72%	0.90%	0.70%	1.23%	1.47%	0.74%	0.98%	0.94%	0.66%	1.05%	1.27%	0.25%	0.41%	0.84%	0.60%	0.00%	0.79%	1.26%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	16456	77	92	86	107	71	80	156	110	145	124	267	259	253	389	238	314	308	382	339	359	261	295	259	343	273	253	222	287	282	281	316	257	155	241	181	195	27	49	217	218	102	203	170	232	150	129	184	275	287	204	184	321	202	176	195	258	362	351	401	330	280	219	336	282	222	283	105	113	171	194	127	160	102	96	54	40	43	86	59					
		24.41%	17.87%	20.72%	19.72%	20.46%	19.78%	17.24%	20.58%	17.46%	18.98%	21.45%	25.48%	22.68%	26.74%	27.89%	25.95%	25.63%	28.39%	25.79%	30.05%	27.68%	27.56%	28.45%	25.87%	26.43%	28.09%	33.38%	28.87%	26.72%	31.30%	28.18%	26.09%	22.39%	19.62%	25.58%	21.37%	24.68%	15.88%	16.84%	24.25%	21.48%	18.21%	20.69%	24.64%	21.52%	19.92%	16.56%	19.62%	22.18%	24.61%	19.25%	20.04%	24.64%	23.33%	22.42%	25.49%	27.56%	27.20%	31.20%	31.57%	29.73%	29.38%	26.45%	27.52%	28.34%	27.34%	16.70%	19.41%	18.43%	20.19%	25.63%	16.60%	22.66%	25.50%	19.71%	22.78%	23.81%	34.68%	22.57%	18.61%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	2507	8	10	12	14	2	9	11	26	9	16	38	43	25	37	41	49	46	79	46	38	26	56	49	59	49	29	44	59	46	57	55	41	15	28	27	20	4	26	28	23	11	21	9	34	15	24	24	39	38	27	18	26	19	19	19	55	89	64	78	66	57	58	62	64	62	33	12	9	25	55	17	14	8	9	2	7	1	7	10					
		3.72%	1.86%	2.25%	2.75%	2.68%	0.56%	1.94%	1.45%	4.13%	1.18%	2.77%	3.63%	3.77%	2.64%	2.65%	4.47%	4.00%	4.24%	5.33%	4.08%	2.93%	2.75%	5.40%	4.90%	4.55%	5.04%	3.83%	5.72%	5.49%	5.11%	5.72%	4.54%	3.57%	1.90%	2.97%	3.19%	2.53%	2.35%	8.93%	3.13%	2.27%	1.96%	2.14%	1.30%	3.15%	1.99%	3.08%	2.56%	3.15%	3.26%	2.55%	1.96%	1.99%	2.19%	2.42%	2.48%	5.88%	6.69%	5.69%	6.14%	5.95%	5.98%	7.00%	5.08%	6.43%	7.64%	1.95%	2.22%	1.47%	2.95%	7.27%	2.22%	1.98%	2.00%	1.85%	0.84%	4.17%	0.81%	1.84%	3.15%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	22634	166	145	145	182	153	172	293	223	282	198	350	400	297	452	312	400	297	505	306	391	306	300	309	429	288	211	233	335	244	284	364	388	333	340	281	266	69	87	315	396	225	356	281	378	276	299	360	428	397	383	342	423	280	276	266	291	387	355	347	366	285	259	358	279	212	724	199	234	297	260	329	242	145	160	98	60	45	157	128					
		33.58%	38.52%	32.66%	33.26%	34.80%	42.62%	37.07%	38.65%	35.40%	36.91%	34.26%	33.40%	35.03%	31.40%	32.40%	34.02%	32.65%	27.37%	34.10%	27.13%	30.15%	32.31%	28.93%	30.87%	33.05%	29.63%	27.84%	30.30%	31.19%	27.08%	28.49%	30.06%	33.80%	42.15%	36.09%	33.18%	33.67%	40.59%	29.90%	35.20%	39.01%	40.18%	36.29%	40.72%	35.06%	36.65%	38.38%	38.38%	34.52%	34.05%	36.13%	37.25%	32.46%	32.33%	35.16%	34.77%	31.09%	29.08%	31.56%	27.32%	32.97%	29.91%	31.28%	29.32%	28.04%	26.11%	42.71%	36.78%	38.17%	35.06%	34.35%	43.01%	34.28%	36.25%	32.85%	41.35%	35.71%	36.29%	41.21%	40.38%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	392	0	1	2	1	2	2	4	1	4	1	5	7	10	11	4	8	8	14	8	10	3	6	4	13	8	3	3	8	7	2	5	9	4	5	7	5	0	5	5	5	1	4	2	3	3	2	2	6	7	5	4	4	3	5	4	6	9	9	9	10	13	8	5	6	8	8	4	1	3	6	5	2	2	2	2	0	0	5	4					
		0.58%	0.00%	0.23%	0.46%	0.19%	0.56%	0.43%	0.53%	0.16%	0.52%	0.17%	0.48%	0.61%	1.06%	0.79%	0.44%	0.65%	0.74%	0.95%	0.71%	0.77%	0.32%	0.58%	0.40%	1.00%	0.82%	0.40%	0.39%	0.74%	0.78%	0.20%	0.41%	0.78%	0.51%	0.53%	0.83%	0.63%	0.00%	1.72%	0.56%	0.49%	0.18%	0.41%	0.29%	0.28%	0.40%	0.26%	0.21%	0.48%	0.60%	0.47%	0.44%	0.31%	0.35%	0.64%	0.52%	0.64%	0.68%	0.80%	0.71%	0.90%	1.36%	0.97%	0.41%	0.60%	0.99%	0.47%	0.74%	0.16%	0.35%	0.79%	0.65%	0.28%	0.50%	0.41%	0.84%	0.00%	0.00%	1.31%	1.26%					
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
