Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																													
Дата голосования: 18.09.2016																																																																													
																																																																													
Наименование Избирательной комиссии:    Абзелиловская																																																																													
																																																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																																																													
																																																																													
		Сумма	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	355	2	3	1	5	2	15	1	5	2	6	2	30	15	20	15	3	11	2	2	2	3	2	15	3	8	5	3	2	2	5	3	1	2	1	5	10	0	10	1	1	5	2	10	2	3	7	2	2	12	2	2	6	0	5	7	5	5	2	8	4	2	9	5	0	2	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	346	2	3	1	5	2	15	0	5	2	6	2	30	15	20	15	3	11	2	2	2	3	2	15	3	8	5	3	0	0	5	3	1	2	1	5	10	0	10	0	1	5	2	10	2	0	7	2	2	12	2	2	6	0	5	7	5	5	2	8	4	2	9	5	0	2	20									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	203	2	3	1	0	1	2	2	4	2	0	1	5	2	6	6	5	1	0	1	2	2	2	3	3	5	0	8	1	0	3	3	1	4	2	2	6	3	5	1	1	1	0	2	1	0	38	4	1	5	26	1	0	3	2	4	1	1	3	1	2	1	2	0	0	0	3									
14	Число погашенных неиспользованных открепительных удостоверений	9	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	45	0	1	0	0	0	3	0	0	1	0	0	2	5	1	2	2	0	0	0	0	0	0	0	1	0	0	1	0	0	2	1	1	0	0	0	1	0	5	0	0	1	0	0	1	0	1	1	0	0	2	0	0	2	2	1	1	1	0	0	0	0	0	0	0	0	3									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	192	3	1	0	3	1	1	0	5	1	6	4	16	12	10	4	1	7	1	5	0	0	0	1	3	0	3	2	3	1	6	0	0	1	0	6	15	7	1	0	1	0	4	0	4	1	5	2	0	4	2	1	0	0	5	3	4	4	5	0	10	1	0	0	1	2	3									
		0.87%	0.92%	0.28%	0.00%	1.94%	0.71%	0.17%	0.00%	1.51%	0.38%	2.47%	1.59%	1.85%	1.71%	1.06%	0.82%	0.45%	0.89%	0.65%	2.63%	0.00%	0.00%	0.00%	0.20%	1.60%	0.00%	0.66%	0.74%	1.41%	0.68%	1.21%	0.00%	0.00%	0.57%	0.00%	1.97%	1.78%	2.99%	0.34%	0.00%	1.45%	0.00%	1.36%	0.00%	3.25%	0.40%	1.45%	1.17%	0.00%	0.56%	0.75%	0.45%	0.00%	0.00%	1.60%	0.60%	1.19%	0.48%	1.57%	0.00%	2.59%	0.72%	0.00%	0.00%	0.47%	0.67%	0.49%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1105	6	11	9	8	8	34	15	21	15	27	18	41	46	33	21	19	61	14	26	3	7	8	15	5	13	26	17	10	7	20	10	1	12	7	15	41	10	15	4	3	14	21	5	14	4	10	10	3	41	12	14	28	1	28	33	21	10	5	25	15	8	11	14	15	3	58									
		4.99%	1.83%	3.03%	9.78%	5.16%	5.71%	5.90%	8.77%	6.34%	5.73%	11.11%	7.17%	4.75%	6.56%	3.49%	4.33%	8.48%	7.72%	9.03%	13.68%	1.64%	2.09%	5.59%	2.97%	2.66%	12.62%	5.74%	6.30%	4.69%	4.76%	4.03%	5.75%	1.02%	6.90%	8.43%	4.93%	4.86%	4.27%	5.10%	4.17%	4.35%	1.92%	7.14%	3.42%	11.38%	1.61%	2.90%	5.85%	2.40%	5.73%	4.49%	6.33%	3.66%	0.62%	8.95%	6.55%	6.25%	1.20%	1.57%	3.31%	3.89%	5.80%	6.04%	4.78%	7.08%	1.01%	9.54%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	357	2	3	3	4	10	14	6	5	0	1	7	16	4	12	19	0	27	0	7	2	5	0	3	1	1	8	1	2	2	5	3	2	1	2	4	28	7	8	1	0	7	9	0	3	5	10	5	0	16	6	4	3	1	5	16	2	10	5	0	3	1	0	1	8	1	10									
		1.61%	0.61%	0.83%	3.26%	2.58%	7.14%	2.43%	3.51%	1.51%	0.00%	0.41%	2.79%	1.85%	0.57%	1.27%	3.92%	0.00%	3.42%	0.00%	3.68%	1.09%	1.49%	0.00%	0.59%	0.53%	0.97%	1.77%	0.37%	0.94%	1.36%	1.01%	1.72%	2.04%	0.57%	2.41%	1.32%	3.32%	2.99%	2.72%	1.04%	0.00%	0.96%	3.06%	0.00%	2.44%	2.02%	2.90%	2.92%	0.00%	2.23%	2.25%	1.81%	0.39%	0.62%	1.60%	3.17%	0.60%	1.20%	1.57%	0.00%	0.78%	0.72%	0.00%	0.34%	3.77%	0.34%	1.64%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	13811	263	301	32	92	82	323	118	150	195	137	145	441	373	492	233	132	478	112	93	122	274	107	379	123	70	218	170	141	84	256	121	76	113	57	224	393	144	166	66	52	474	188	95	73	149	213	94	103	340	172	154	591	123	158	341	183	682	180	682	230	95	90	174	142	196	341									
		62.34%	80.43%	82.92%	34.78%	59.35%	58.57%	56.08%	69.01%	45.32%	74.43%	56.38%	57.77%	51.04%	53.21%	52.01%	48.04%	58.93%	60.51%	72.26%	48.95%	66.67%	81.79%	74.83%	75.05%	65.43%	67.96%	48.12%	62.96%	66.20%	57.14%	51.61%	69.54%	77.55%	64.94%	68.67%	73.68%	46.62%	61.54%	56.46%	68.75%	75.36%	65.11%	63.95%	65.07%	59.35%	60.08%	61.74%	54.97%	82.40%	47.49%	64.42%	69.68%	77.25%	75.93%	50.48%	67.66%	54.46%	82.07%	56.60%	90.21%	59.59%	68.84%	49.45%	59.39%	66.98%	65.99%	56.09%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	133	2	1	1	2	0	7	2	3	0	3	3	13	11	11	4	1	1	2	1	1	1	0	1	0	0	1	2	0	1	1	1	0	0	0	1	6	2	2	0	0	4	2	0	1	0	8	0	0	7	1	3	6	1	0	2	2	3	1	0	2	0	0	0	0	0	2									
		0.60%	0.61%	0.28%	1.09%	1.29%	0.00%	1.22%	1.17%	0.91%	0.00%	1.23%	1.20%	1.50%	1.57%	1.16%	0.82%	0.45%	0.13%	1.29%	0.53%	0.55%	0.30%	0.00%	0.20%	0.00%	0.00%	0.22%	0.74%	0.00%	0.68%	0.20%	0.57%	0.00%	0.00%	0.00%	0.33%	0.71%	0.85%	0.68%	0.00%	0.00%	0.55%	0.68%	0.00%	0.81%	0.00%	2.32%	0.00%	0.00%	0.98%	0.37%	1.36%	0.78%	0.62%	0.00%	0.40%	0.60%	0.36%	0.31%	0.00%	0.52%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%									
24	"6. Политическая партия ""Гражданская Платформа"""	82	2	0	0	5	0	1	0	2	0	0	1	8	4	0	1	0	4	2	0	0	1	0	1	0	0	1	0	0	7	3	0	0	1	0	0	3	0	0	0	0	2	0	0	2	0	2	1	0	5	1	0	0	0	1	0	1	0	5	7	3	1	0	0	1	1	2									
		0.37%	0.61%	0.00%	0.00%	3.23%	0.00%	0.17%	0.00%	0.60%	0.00%	0.00%	0.40%	0.93%	0.57%	0.00%	0.21%	0.00%	0.51%	1.29%	0.00%	0.00%	0.30%	0.00%	0.20%	0.00%	0.00%	0.22%	0.00%	0.00%	4.76%	0.60%	0.00%	0.00%	0.57%	0.00%	0.00%	0.36%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.00%	1.63%	0.00%	0.58%	0.58%	0.00%	0.70%	0.37%	0.00%	0.00%	0.00%	0.32%	0.00%	0.30%	0.00%	1.57%	0.93%	0.78%	0.72%	0.00%	0.00%	0.47%	0.34%	0.33%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1139	10	11	4	13	11	48	3	16	3	2	7	66	43	58	46	6	39	3	3	5	9	6	9	3	8	45	20	2	0	14	9	9	12	3	14	141	19	21	9	6	24	19	6	6	16	28	16	0	13	30	11	26	11	13	22	26	20	6	0	3	6	13	9	10	12	37									
		5.14%	3.06%	3.03%	4.35%	8.39%	7.86%	8.33%	1.75%	4.83%	1.15%	0.82%	2.79%	7.64%	6.13%	6.13%	9.48%	2.68%	4.94%	1.94%	1.58%	2.73%	2.69%	4.20%	1.78%	1.60%	7.77%	9.93%	7.41%	0.94%	0.00%	2.82%	5.17%	9.18%	6.90%	3.61%	4.61%	16.73%	8.12%	7.14%	9.38%	8.70%	3.30%	6.46%	4.11%	4.88%	6.45%	8.12%	9.36%	0.00%	1.82%	11.24%	4.98%	3.40%	6.79%	4.15%	4.37%	7.74%	2.41%	1.89%	0.00%	0.78%	4.35%	7.14%	3.07%	4.72%	4.04%	6.09%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	51	0	2	0	1	0	1	0	0	0	0	0	4	3	10	2	0	1	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	1	0	0	0	1	1	0	0	2	2	0	0	0	5	0	0	2	2	0	5	0	1	1	0	0	0	0	0	0	0	0	0	0	0									
		0.23%	0.00%	0.55%	0.00%	0.65%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.46%	0.43%	1.06%	0.41%	0.00%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.44%	0.00%	0.47%	0.00%	0.20%	0.00%	0.00%	0.57%	0.00%	0.00%	0.00%	0.43%	0.34%	0.00%	0.00%	0.27%	0.68%	0.00%	0.00%	0.00%	1.45%	0.00%	0.00%	0.28%	0.75%	0.00%	0.65%	0.00%	0.32%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	68	0	0	1	0	1	3	0	0	0	0	0	11	4	5	1	1	3	0	1	0	0	0	0	0	0	2	0	0	0	4	0	0	0	0	5	6	3	3	0	0	2	0	0	0	0	3	1	0	0	1	1	0	0	2	1	0	0	0	0	0	0	0	0	0	1	2									
		0.31%	0.00%	0.00%	1.09%	0.00%	0.71%	0.52%	0.00%	0.00%	0.00%	0.00%	0.00%	1.27%	0.57%	0.53%	0.21%	0.45%	0.38%	0.00%	0.53%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.44%	0.00%	0.00%	0.00%	0.81%	0.00%	0.00%	0.00%	0.00%	1.64%	0.71%	1.28%	1.02%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.00%	0.87%	0.58%	0.00%	0.00%	0.37%	0.45%	0.00%	0.00%	0.64%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.34%	0.33%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	38	0	0	0	1	0	3	0	1	1	0	2	1	2	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	3	1	1	0	0	0	0	1	0	0	0	1	0	0	1	0	2	0	3	0	0	0	0	0	3	1	0	0	0	0	1									
		0.17%	0.00%	0.00%	0.00%	0.65%	0.00%	0.52%	0.00%	0.30%	0.38%	0.00%	0.80%	0.12%	0.29%	0.42%	0.00%	0.00%	0.00%	0.00%	0.53%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.68%	0.20%	0.00%	0.00%	1.15%	0.00%	0.00%	0.36%	0.43%	0.34%	0.00%	0.00%	0.00%	0.00%	0.68%	0.00%	0.00%	0.00%	0.58%	0.00%	0.00%	0.37%	0.00%	0.26%	0.00%	0.96%	0.00%	0.00%	0.00%	0.00%	0.00%	0.78%	0.72%	0.00%	0.00%	0.00%	0.00%	0.16%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	95	3	0	0	3	0	8	0	1	0	1	1	7	7	5	1	1	1	2	0	1	0	0	1	1	0	3	1	2	0	4	0	0	0	1	3	6	3	0	0	0	2	1	0	0	1	0	2	0	5	1	1	2	0	1	0	0	1	1	0	1	0	0	2	0	6	1									
		0.43%	0.92%	0.00%	0.00%	1.94%	0.00%	1.39%	0.00%	0.30%	0.00%	0.41%	0.40%	0.81%	0.99%	0.53%	0.21%	0.45%	0.13%	1.29%	0.00%	0.55%	0.00%	0.00%	0.20%	0.53%	0.00%	0.66%	0.37%	0.94%	0.00%	0.81%	0.00%	0.00%	0.00%	1.20%	0.99%	0.71%	1.28%	0.00%	0.00%	0.00%	0.27%	0.34%	0.00%	0.00%	0.40%	0.00%	1.17%	0.00%	0.70%	0.37%	0.45%	0.26%	0.00%	0.32%	0.00%	0.00%	0.12%	0.31%	0.00%	0.26%	0.00%	0.00%	0.68%	0.00%	2.02%	0.16%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2727	9	21	24	16	16	70	13	75	25	27	35	133	105	147	90	44	74	15	33	33	22	8	46	23	9	73	30	38	19	93	14	6	18	7	12	108	16	44	8	2	85	29	21	12	46	33	25	14	140	17	19	47	16	58	53	52	50	57	32	51	12	53	41	25	53	85									
		12.31%	2.75%	5.79%	26.09%	10.32%	11.43%	12.15%	7.60%	22.66%	9.54%	11.11%	13.94%	15.39%	14.98%	15.54%	18.56%	19.64%	9.37%	9.68%	17.37%	18.03%	6.57%	5.59%	9.11%	12.23%	8.74%	16.11%	11.11%	17.84%	12.93%	18.75%	8.05%	6.12%	10.34%	8.43%	3.95%	12.81%	6.84%	14.97%	8.33%	2.90%	11.68%	9.86%	14.38%	9.76%	18.55%	9.57%	14.62%	11.20%	19.55%	6.37%	8.60%	6.14%	9.88%	18.53%	10.52%	15.48%	6.02%	17.92%	4.23%	13.21%	8.70%	29.12%	13.99%	11.79%	17.85%	13.98%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	68	0	1	0	0	0	3	2	0	0	0	0	4	4	3	3	0	2	0	0	1	1	0	0	0	0	2	2	0	1	1	0	0	2	0	1	2	0	4	0	0	4	0	0	0	0	1	0	0	1	2	1	5	3	2	2	1	1	3	0	1	2	0	0	0	0	0									
		0.31%	0.00%	0.28%	0.00%	0.00%	0.00%	0.52%	1.17%	0.00%	0.00%	0.00%	0.00%	0.46%	0.57%	0.32%	0.62%	0.00%	0.25%	0.00%	0.00%	0.55%	0.30%	0.00%	0.00%	0.00%	0.00%	0.44%	0.74%	0.00%	0.68%	0.20%	0.00%	0.00%	1.15%	0.00%	0.33%	0.24%	0.00%	1.36%	0.00%	0.00%	0.55%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	0.14%	0.75%	0.45%	0.65%	1.85%	0.64%	0.40%	0.30%	0.12%	0.94%	0.00%	0.26%	1.45%	0.00%	0.00%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1777	27	7	16	6	8	37	9	33	15	26	23	81	77	138	50	8	84	3	6	4	10	12	42	26	0	46	16	13	23	70	7	1	8	1	18	56	11	17	7	1	102	19	9	7	22	27	8	5	119	13	6	30	4	22	22	25	44	45	9	57	8	15	52	10	13	41									
		8.02%	8.26%	1.93%	17.39%	3.87%	5.71%	6.42%	5.26%	9.97%	5.73%	10.70%	9.16%	9.38%	10.98%	14.59%	10.31%	3.57%	10.63%	1.94%	3.16%	2.19%	2.99%	8.39%	8.32%	13.83%	0.00%	10.15%	5.93%	6.10%	15.65%	14.11%	4.02%	1.02%	4.60%	1.20%	5.92%	6.64%	4.70%	5.78%	7.29%	1.45%	14.01%	6.46%	6.16%	5.69%	8.87%	7.83%	4.68%	4.00%	16.62%	4.87%	2.71%	3.92%	2.47%	7.03%	4.37%	7.44%	5.29%	14.15%	1.19%	14.77%	5.80%	8.24%	17.75%	4.72%	4.38%	6.74%									
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
