Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																									
Дата голосования: 18.09.2016																									
																									
Наименование Избирательной комиссии:    Лотошинская																									
																									
Сводная таблица итогов голосования по федеральному избирательному округу																									
																									
		Сумма	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	40	5	5	4	8	0	1	1	0	3	2	4	4	2	1									
		0.66%	0.73%	0.76%	0.53%	0.94%	0.00%	0.53%	0.61%	0.00%	0.55%	0.62%	1.39%	0.79%	0.58%	0.70%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	231	21	36	30	40	16	4	6	8	19	14	7	14	13	3									
		3.82%	3.08%	5.50%	3.96%	4.71%	3.97%	2.13%	3.66%	4.04%	3.50%	4.31%	2.44%	2.77%	3.75%	2.11%									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
