Выборы Президента Российской Федерации																																																								
																																																								
Наименование Избирательной комиссии:    Аргаяшская																																																								
																																																								
Итоги голосования 																																																								
																																																								
		Сумма	УИК  1	УИК  2	УИК  3	УИК  4	УИК  5	УИК  6	УИК  7	УИК  8	УИК  9	УИК  10	УИК  11	УИК  12	УИК  13	УИК  14	УИК  15	УИК  16	УИК  17	УИК  18	УИК  19	УИК  20	УИК  21	УИК  22	УИК  23	УИК  24	УИК  25	УИК  26	УИК  27	УИК  28	УИК  29	УИК  30	УИК  31	УИК  32	УИК  33	УИК  34	УИК  35	УИК  36	УИК  37	УИК  38	УИК  39	УИК  40	УИК  41	УИК  42	УИК  43	УИК  44	УИК  2199	УИК  2200	УИК  2201	УИК  2202	УИК  2203					
11	Число полученных открепительных  удостоверений	304	5	10	5	5	5	5	5	5	4	5	5	5	5	5	35	5	5	5	5	5	5	10	5	5	5	5	5	5	5	5	5	15	5	5	5	5	10	5	10	5	5	5	5	5	5	5	5	5	5					
12	Число выданных открепительных удостоверений	113	2	4	3	3	2	4	1	1	0	0	0	2	0	1	6	0	1	5	0	0	5	1	2	5	5	0	1	5	0	2	4	6	2	3	0	0	6	3	7	2	4	4	5	2	0	1	2	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	256	6	12	6	10	7	14	1	4	1	3	1	2	0	1	5	0	1	2	2	1	10	3	6	2	2	3	3	82	5	18	7	6	2	3	1	2	2	0	3	2	1	3	1	2	2	1	1	0	4					
14	Число неиспользованных открепительных удостоверений	191	3	6	2	2	3	1	4	4	4	5	5	3	5	4	29	5	4	0	5	5	0	9	3	0	0	5	4	0	5	3	1	9	3	2	5	5	4	2	3	3	1	1	0	3	5	4	3	5	4					
15	"Число открепительных удостоверений, выданных в ТИК"	78	10	14	9	14	1	1	0	0	0	1	0	2	0	1	0	0	0	2	0	0	3	0	0	0	0	3	0	1	2	0	1	5	0	0	0	0	2	2	3	1	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																								
18	. Глазьев Сергей Юрьевич	589	47	49	34	30	10	11	4	12	10	6	9	7	1	6	22	3	0	31	21	7	39	7	15	0	2	14	2	15	1	3	7	11	7	4	8	10	28	26	9	1	20	5	4	0	7	12	0	5	7					
		2.74%	4.16%	4.26%	3.13%	2.77%	2.87%	1.59%	2.96%	5.53%	2.63%	3.00%	6.38%	1.51%	0.71%	1.36%	2.33%	0.66%	0.00%	4.05%	6.95%	2.14%	4.33%	1.61%	3.98%	0.00%	1.34%	2.95%	0.68%	3.63%	0.34%	1.01%	1.19%	1.48%	1.84%	0.93%	3.29%	2.49%	3.55%	6.48%	1.29%	0.49%	2.92%	1.84%	1.49%	0.00%	4.55%	7.69%	0.00%	5.81%	3.02%					
19	. Малышкин Олег Александрович	372	25	20	26	37	4	2	0	4	6	1	1	4	4	5	12	3	0	8	6	12	10	4	3	0	0	27	11	23	13	8	7	7	0	9	5	1	3	7	25	11	5	4	3	1	2	1	0	0	2					
		1.73%	2.21%	1.74%	2.40%	3.42%	1.15%	0.29%	0.00%	1.84%	1.58%	0.50%	0.71%	0.86%	2.84%	1.13%	1.27%	0.66%	0.00%	1.04%	1.99%	3.67%	1.11%	0.92%	0.80%	0.00%	0.00%	5.68%	3.77%	5.57%	4.36%	2.69%	1.19%	0.94%	0.00%	2.10%	2.06%	0.25%	0.38%	1.75%	3.58%	5.39%	0.73%	1.47%	1.12%	0.60%	1.30%	0.64%	0.00%	0.00%	0.86%					
20	. Миронов Сергей Михайлович	130	8	10	12	5	0	3	2	1	0	0	1	1	3	0	2	1	0	8	1	1	4	4	2	0	3	4	3	5	0	1	12	6	0	1	4	1	3	1	7	0	5	0	1	0	1	2	0	1	0					
		0.61%	0.71%	0.87%	1.11%	0.46%	0.00%	0.43%	1.48%	0.46%	0.00%	0.00%	0.71%	0.22%	2.13%	0.00%	0.21%	0.22%	0.00%	1.04%	0.33%	0.31%	0.44%	0.92%	0.53%	0.00%	2.01%	0.84%	1.03%	1.21%	0.00%	0.34%	2.05%	0.81%	0.00%	0.23%	1.65%	0.25%	0.38%	0.25%	1.00%	0.00%	0.73%	0.00%	0.37%	0.00%	0.65%	1.28%	0.00%	1.16%	0.00%					
21	. Путин Владимир Владимирович	13534	729	758	743	749	252	392	108	116	271	129	72	332	106	299	670	304	169	406	138	183	678	295	238	144	90	278	199	267	180	228	295	329	143	209	162	253	536	245	495	156	314	101	165	114	79	77	120	59	159					
		63.03%	64.46%	65.91%	68.48%	69.22%	72.21%	56.81%	80.00%	53.46%	71.32%	64.50%	51.06%	71.40%	75.18%	67.65%	70.90%	66.96%	82.04%	53.00%	45.70%	55.96%	75.25%	67.97%	63.13%	71.29%	60.40%	58.53%	68.15%	64.65%	60.40%	76.77%	50.34%	44.22%	37.53%	48.83%	66.67%	63.09%	67.93%	61.10%	70.92%	76.47%	45.77%	37.13%	61.57%	68.67%	51.30%	49.36%	92.31%	68.60%	68.53%					
22	. Хакамада Ирина Муцуовна	462	31	41	32	16	14	12	3	11	7	3	4	12	2	11	21	6	1	14	7	11	39	6	2	2	4	10	2	11	3	1	12	21	14	4	3	8	13	4	10	0	14	3	7	1	3	3	0	3	0					
		2.15%	2.74%	3.57%	2.95%	1.48%	4.01%	1.74%	2.22%	5.07%	1.84%	1.50%	2.84%	2.58%	1.42%	2.49%	2.22%	1.32%	0.49%	1.83%	2.32%	3.36%	4.33%	1.38%	0.53%	0.99%	2.68%	2.11%	0.68%	2.66%	1.01%	0.34%	2.05%	2.82%	3.67%	0.93%	1.23%	2.00%	1.65%	1.00%	1.43%	0.00%	2.04%	1.10%	2.61%	0.60%	1.95%	1.92%	0.00%	3.49%	0.00%					
23	. Харитонов Николай Михайлович	5590	227	212	198	197	48	245	15	69	74	57	46	96	25	108	199	119	26	280	123	105	90	101	108	46	37	120	62	64	87	50	241	353	204	193	57	122	168	111	125	34	305	139	73	45	51	59	8	14	54					
		26.04%	20.07%	18.43%	18.25%	18.21%	13.75%	35.51%	11.11%	31.80%	19.47%	28.50%	32.62%	20.65%	17.73%	24.43%	21.06%	26.21%	12.62%	36.55%	40.73%	32.11%	9.99%	23.27%	28.65%	22.77%	24.83%	25.26%	21.23%	15.50%	29.19%	16.84%	41.13%	47.45%	53.54%	45.09%	23.46%	30.42%	21.29%	27.68%	17.91%	16.67%	44.46%	51.10%	27.24%	27.11%	33.12%	37.82%	6.15%	16.28%	23.28%					
																																																								
24	Против всех	441	43	41	38	33	18	12	1	2	2	1	4	4	0	6	14	5	2	7	0	4	25	8	7	4	8	16	7	24	4	2	8	8	6	5	1	2	10	5	18	0	10	5	7	4	1	0	2	2	5					
		2.05%	3.80%	3.57%	3.50%	3.05%	5.16%	1.74%	0.74%	0.92%	0.53%	0.50%	2.84%	0.86%	0.00%	1.36%	1.48%	1.10%	0.97%	0.91%	0.00%	1.22%	2.77%	1.84%	1.86%	1.98%	5.37%	3.37%	2.40%	5.81%	1.34%	0.67%	1.37%	1.08%	1.57%	1.17%	0.41%	0.50%	1.27%	1.25%	2.58%	0.00%	1.46%	1.84%	2.61%	2.41%	0.65%	0.00%	1.54%	2.33%	2.16%					
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
