Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																																				
Дата голосования: 07.12.2003 0:00:00																																																																																																				
																																																																																																				
Наименование Избирательной комиссии:    Наро-Фоминская																																																																																																				
																																																																																																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																																				
																																																																																																				
		Сумма	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540	УИК №1541	УИК №1542	УИК №1543	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №1574	УИК №1575	УИК №1576	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №1581	УИК №1582	УИК №1583	УИК №1584	УИК №1585	УИК №1586	УИК №1587	УИК №1588	УИК №1589	УИК №1590	УИК №1591	УИК №1592	УИК №1593	УИК №1594	УИК №1595	УИК №1596	УИК №1597	УИК №1598	УИК №1599	УИК №1600	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1891	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	25	55	35	75	30	15	15	45	25	15	15	25	25	15	15	15	15	15	15	15	15	25	30	25	15	15	15	20	15	15	16	15	20	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	25	25	15	15	15	15	15	15	15	15	15	15	45	65	65	65	15	25	25	40	15	15	15	15	15	15	15					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	1035	10	10	13	8	8	14	6	11	3	8	2	8	3	10	12	5	2	6	24	55	29	31	21	8	6	40	23	1	8	15	25	3	14	11	9	2	14	3	14	12	14	13	15	2	15	20	8	5	16	8	13	2	6	5	4	6	9	6	5	0	10	9	10	5	5	0	13	12	1	1	10	3	7	6	10	2	8	1	33	50	18	41	15	22	20	27	0	2	1	1	1	0	12					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	642	12	8	20	7	9	7	4	4	3	0	8	3	5	10	5	6	1	6	1	13	4	0	9	4	4	2	8	24	10	11	7	4	11	3	16	3	7	5	34	8	15	12	38	3	5	12	4	15	7	2	3	1	6	4	1	1	2	10	3	3	4	13	14	1	9	3	6	8	2	3	5	2	8	4	5	7	14	7	12	9	11	4	7	4	2	9	2	0	3	4	1	3	3					
14	Число погашенных открепительных удостоверений	856	5	5	2	7	7	1	9	4	12	7	13	7	12	5	3	10	13	9	1	0	6	44	9	7	9	5	2	14	7	10	0	12	1	4	6	13	1	12	1	13	16	12	0	13	0	0	7	10	0	7	7	13	9	10	11	9	6	9	10	15	5	6	5	10	10	15	12	13	14	14	5	12	8	9	5	13	7	14	12	15	47	24	0	3	5	13	15	13	14	14	14	15	3					
15	Число открепительных удостоверений выданных ТИК	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																				
18	"1. ""ЕДИНЕНИЕ"""	916	11	11	10	5	18	18	1	12	4	8	6	3	9	16	10	19	6	9	12	14	10	16	10	23	13	17	5	2	3	4	3	3	8	2	4	2	11	12	13	10	6	10	11	1	9	12	16	10	9	3	9	5	10	17	7	7	13	30	14	4	9	8	6	6	8	3	9	13	1	2	13	1	4	10	10	3	9	1	71	30	15	41	10	16	9	13	0	3	1	3	6	0	6					
		1.13%	1.05%	1.13%	0.92%	0.59%	1.57%	1.31%	0.17%	1.05%	0.41%	0.75%	0.79%	0.32%	1.16%	1.03%	1.0%	2.67%	2.05%	2.06%	0.76%	1.23%	0.63%	0.81%	0.69%	1.20%	0.74%	1.37%	0.47%	0.91%	0.42%	0.43%	0.24%	0.43%	0.84%	0.23%	0.78%	0.80%	0.99%	1.51%	0.96%	0.65%	0.45%	0.67%	0.67%	0.41%	0.72%	0.99%	2.33%	0.99%	1.03%	0.48%	0.89%	1.53%	0.94%	2.09%	1.58%	2.02%	1.61%	3.87%	2.09%	1.26%	1.47%	1.28%	0.87%	1.00%	1.46%	3.03%	0.79%	1.76%	0.42%	0.64%	1.09%	0.24%	0.49%	1.69%	1.49%	1.13%	1.42%	0.77%	3.08%	1.70%	1.29%	2.67%	1.08%	1.51%	0.98%	0.93%	0.0%	1.61%	0.92%	1.49%	1.16%	0.0%	1.82%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	2743	28	21	34	39	22	38	18	45	22	34	21	27	7	56	41	27	9	14	42	53	50	76	41	60	66	63	40	7	27	33	51	36	61	44	26	7	62	8	23	75	54	76	93	7	32	25	20	42	32	26	38	5	39	25	9	5	7	18	16	11	24	21	21	14	20	3	35	15	2	14	20	7	23	24	23	10	37	2	75	65	42	40	36	40	31	44	1	5	0	3	10	1	1					
		3.39%	2.67%	2.17%	3.14%	4.67%	1.92%	2.78%	3.12%	3.94%	2.30%	3.19%	2.78%	2.93%	0.90%	3.63%	4.1%	3.79%	3.08%	3.21%	2.66%	4.67%	3.17%	3.85%	2.84%	3.14%	3.80%	5.08%	3.83%	3.19%	3.86%	3.58%	4.24%	5.26%	6.44%	5.26%	5.07%	2.83%	5.60%	1.01%	1.70%	4.92%	4.13%	5.13%	5.71%	2.90%	2.58%	2.07%	2.91%	4.18%	3.68%	4.19%	3.76%	1.53%	3.66%	3.08%	2.03%	1.44%	0.86%	2.32%	2.39%	3.49%	3.94%	3.38%	3.07%	2.34%	3.66%	3.03%	3.09%	2.03%	0.85%	4.51%	1.68%	1.72%	2.86%	4.07%	3.44%	3.77%	5.85%	1.55%	3.26%	3.69%	3.63%	2.61%	3.91%	3.78%	3.40%	3.14%	1.13%	2.68%	0.0%	1.49%	1.93%	1.13%	0.30%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1996	24	28	31	26	30	36	12	45	34	39	28	30	23	45	29	19	7	15	34	23	28	28	36	22	22	18	14	7	22	26	50	19	22	22	10	7	28	29	42	24	37	45	45	12	50	37	31	31	32	24	25	10	26	6	7	9	19	25	11	15	22	23	18	12	11	4	27	16	7	5	15	6	11	9	13	9	11	4	23	12	18	31	19	27	24	45	2	8	1	7	6	7	12					
		2.46%	2.29%	2.90%	2.87%	3.11%	2.62%	2.63%	2.08%	3.94%	3.56%	3.66%	3.70%	3.26%	2.97%	2.92%	2.9%	2.67%	2.39%	3.44%	2.15%	2.03%	1.78%	1.41%	2.49%	1.15%	1.26%	1.45%	1.34%	3.19%	3.15%	2.82%	4.16%	2.77%	2.32%	2.63%	1.95%	2.83%	2.52%	3.66%	3.11%	1.57%	2.83%	3.04%	2.76%	4.97%	4.04%	3.07%	4.51%	3.09%	3.68%	3.87%	2.47%	3.07%	2.44%	0.74%	1.58%	2.60%	2.35%	3.22%	1.64%	4.76%	3.61%	3.70%	2.63%	2.01%	2.01%	4.04%	2.38%	2.17%	3.00%	1.61%	1.26%	1.48%	1.36%	1.52%	1.94%	3.39%	1.74%	3.10%	1.00%	0.68%	1.55%	2.02%	2.06%	2.55%	2.63%	3.22%	2.27%	4.30%	0.92%	3.48%	1.16%	7.95%	3.64%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	3451	34	49	69	28	53	53	27	51	51	40	43	56	35	109	49	26	20	23	48	47	45	58	37	45	43	32	37	12	42	53	74	44	62	83	19	17	78	35	50	122	85	93	125	9	57	26	18	59	51	48	71	8	34	26	9	5	15	32	4	7	32	29	22	8	22	5	34	17	7	23	37	11	25	26	33	11	23	4	52	39	40	49	41	43	43	59	6	3	6	2	11	0	7					
		4.26%	3.25%	5.07%	6.38%	3.35%	4.64%	3.87%	4.68%	4.47%	5.35%	3.76%	5.69%	6.08%	4.52%	7.07%	4.9%	3.65%	6.84%	5.28%	3.04%	4.14%	2.86%	2.94%	2.56%	2.35%	2.47%	2.58%	3.54%	5.47%	6.01%	5.76%	6.16%	6.43%	6.54%	9.92%	3.71%	6.88%	7.04%	4.41%	3.70%	8.01%	6.51%	6.28%	7.68%	3.73%	4.60%	2.16%	2.62%	5.88%	5.87%	7.74%	7.03%	2.46%	3.19%	3.20%	2.03%	1.44%	1.85%	4.12%	0.59%	2.22%	5.25%	4.66%	3.22%	1.34%	4.03%	5.05%	3.00%	2.30%	3.00%	7.41%	3.10%	2.71%	3.10%	4.41%	4.94%	4.15%	3.63%	3.10%	2.26%	2.21%	3.45%	3.20%	4.45%	4.06%	4.72%	4.22%	6.81%	1.61%	5.55%	0.99%	2.13%	0.0%	2.12%					
22	"5. ""За Русь Святую"""	411	2	5	3	2	2	8	3	8	5	8	5	3	0	6	6	5	1	2	3	5	9	5	8	7	4	8	2	1	5	8	5	4	3	5	1	0	2	7	5	8	5	3	8	0	12	5	4	11	11	2	5	4	8	7	2	2	4	12	1	1	5	1	3	2	5	1	4	3	3	4	4	6	5	4	4	3	5	1	9	6	6	6	7	7	3	10	0	3	1	0	3	0	1					
		0.50%	0.19%	0.51%	0.27%	0.23%	0.17%	0.58%	0.52%	0.70%	0.52%	0.75%	0.66%	0.32%	0.0%	0.38%	0.6%	0.70%	0.34%	0.45%	0.19%	0.44%	0.57%	0.25%	0.55%	0.36%	0.23%	0.64%	0.19%	0.45%	0.71%	0.86%	0.41%	0.58%	0.31%	0.59%	0.19%	0.0%	0.18%	0.88%	0.37%	0.52%	0.38%	0.20%	0.49%	0.0%	0.97%	0.41%	0.58%	1.09%	1.26%	0.32%	0.49%	1.23%	0.75%	0.86%	0.45%	0.57%	0.49%	1.54%	0.14%	0.31%	0.82%	0.16%	0.43%	0.33%	0.91%	1.01%	0.35%	0.40%	1.28%	1.29%	0.33%	1.48%	0.62%	0.67%	0.59%	1.13%	0.79%	0.77%	0.39%	0.34%	0.51%	0.39%	0.76%	0.66%	0.32%	0.71%	0.0%	1.61%	0.92%	0.0%	0.58%	0.0%	0.30%					
23	"6. ""Объединенная Российская партия ""Русь"""	203	0	3	0	2	0	0	0	3	0	1	2	0	4	3	0	0	3	0	3	4	2	5	2	3	6	15	3	0	4	2	1	1	1	2	1	1	1	1	2	5	1	3	1	0	1	7	2	1	2	2	2	1	0	2	1	1	2	6	2	1	5	5	3	0	2	0	2	0	0	0	5	2	2	2	2	0	1	0	19	8	3	5	0	2	1	4	0	0	0	1	2	1	2					
		0.25%	0.0%	0.31%	0.0%	0.23%	0.0%	0.0%	0.0%	0.26%	0.0%	0.09%	0.26%	0.0%	0.51%	0.19%	0.0%	0.0%	1.02%	0.0%	0.19%	0.35%	0.12%	0.25%	0.13%	0.15%	0.34%	1.21%	0.28%	0.0%	0.57%	0.21%	0.08%	0.14%	0.10%	0.23%	0.19%	0.40%	0.09%	0.12%	0.14%	0.32%	0.07%	0.20%	0.06%	0.0%	0.08%	0.58%	0.29%	0.09%	0.23%	0.32%	0.19%	0.30%	0.0%	0.24%	0.22%	0.28%	0.24%	0.77%	0.29%	0.31%	0.82%	0.80%	0.43%	0.0%	0.36%	0.0%	0.17%	0.0%	0.0%	0.0%	0.42%	0.49%	0.24%	0.33%	0.29%	0.0%	0.15%	0.0%	0.82%	0.45%	0.25%	0.32%	0.0%	0.18%	0.10%	0.28%	0.0%	0.0%	0.0%	0.49%	0.38%	1.13%	0.60%					
24	"7. ""Новый курс - Автомобильная Россия"""	1048	11	11	13	11	15	14	2	12	12	14	6	6	12	15	12	13	7	3	16	10	23	47	14	33	27	26	9	5	8	5	19	7	10	9	5	9	12	6	32	32	11	17	32	4	9	11	8	9	11	4	9	4	10	7	12	3	6	10	10	2	5	13	12	13	15	1	13	10	2	4	12	3	19	4	4	2	7	1	29	43	16	24	14	7	6	9	2	5	1	2	4	2	2					
		1.29%	1.05%	1.13%	1.20%	1.31%	1.31%	1.02%	0.34%	1.05%	1.25%	1.31%	0.79%	0.65%	1.55%	0.97%	1.2%	1.82%	2.39%	0.68%	1.01%	0.88%	1.46%	2.38%	0.97%	1.73%	1.55%	2.09%	0.86%	2.28%	1.14%	0.54%	1.58%	1.02%	1.05%	1.07%	0.97%	3.64%	1.08%	0.75%	2.37%	2.10%	0.84%	1.14%	1.96%	1.65%	0.72%	0.91%	1.16%	0.89%	1.26%	0.64%	0.89%	1.23%	0.94%	0.86%	2.71%	0.86%	0.74%	1.29%	1.49%	0.63%	0.82%	2.09%	1.75%	2.18%	2.75%	1.01%	1.15%	1.35%	0.85%	1.29%	1.00%	0.74%	2.36%	0.67%	0.59%	0.75%	1.10%	0.77%	1.26%	2.44%	1.38%	1.56%	1.52%	0.66%	0.65%	0.64%	2.27%	2.68%	0.92%	0.99%	0.77%	2.27%	0.60%					
25	"8. ""Народно-республиканская партия России"""	132	2	2	0	2	4	2	1	4	0	1	0	1	0	8	1	3	0	1	1	2	1	1	0	1	1	2	0	0	0	2	2	0	0	5	0	0	1	3	2	2	1	2	0	0	2	0	0	0	0	1	0	0	25	1	2	1	0	2	0	1	0	0	0	4	0	0	2	0	0	1	0	2	1	2	0	0	2	0	7	4	1	1	2	1	1	2	0	0	0	1	1	0	1					
		0.16%	0.19%	0.20%	0.0%	0.23%	0.35%	0.14%	0.17%	0.35%	0.0%	0.09%	0.0%	0.10%	0.0%	0.51%	0.1%	0.42%	0.0%	0.22%	0.06%	0.17%	0.06%	0.05%	0.0%	0.05%	0.05%	0.16%	0.0%	0.0%	0.0%	0.21%	0.16%	0.0%	0.0%	0.59%	0.0%	0.0%	0.09%	0.37%	0.14%	0.13%	0.07%	0.13%	0.0%	0.0%	0.16%	0.0%	0.0%	0.0%	0.0%	0.16%	0.0%	0.0%	2.35%	0.12%	0.45%	0.28%	0.0%	0.25%	0.0%	0.31%	0.0%	0.0%	0.0%	0.67%	0.0%	0.0%	0.17%	0.0%	0.0%	0.32%	0.0%	0.49%	0.12%	0.33%	0.0%	0.0%	0.31%	0.0%	0.30%	0.22%	0.08%	0.06%	0.21%	0.09%	0.10%	0.14%	0.0%	0.0%	0.0%	0.49%	0.19%	0.0%	0.30%					
26	"9. ""Российская экологическая партия ""Зеленые"""	412	4	2	4	1	10	4	7	5	5	3	1	2	4	11	4	3	1	0	15	5	7	17	8	16	4	15	6	2	2	7	6	4	3	5	3	0	5	1	0	7	9	5	14	0	7	8	3	4	12	6	6	0	5	5	0	0	0	4	2	0	1	3	2	2	4	0	4	4	1	2	2	2	2	1	3	1	1	0	14	14	5	13	6	8	5	8	0	1	0	0	2	2	0					
		0.50%	0.38%	0.20%	0.37%	0.11%	0.87%	0.29%	1.21%	0.43%	0.52%	0.28%	0.13%	0.21%	0.51%	0.71%	0.4%	0.42%	0.34%	0.0%	0.95%	0.44%	0.44%	0.86%	0.55%	0.83%	0.23%	1.21%	0.57%	0.91%	0.28%	0.76%	0.49%	0.58%	0.31%	0.59%	0.58%	0.0%	0.45%	0.12%	0.0%	0.45%	0.68%	0.33%	0.86%	0.0%	0.56%	0.66%	0.43%	0.39%	1.38%	0.96%	0.59%	0.0%	0.47%	0.61%	0.0%	0.0%	0.0%	0.51%	0.29%	0.0%	0.16%	0.48%	0.29%	0.33%	0.73%	0.0%	0.35%	0.54%	0.42%	0.64%	0.16%	0.49%	0.24%	0.16%	0.44%	0.37%	0.15%	0.0%	0.60%	0.79%	0.43%	0.84%	0.65%	0.75%	0.54%	0.57%	0.0%	0.53%	0.0%	0.0%	0.38%	2.27%	0.0%					
27	"10. ""Аграрная партия России"""	1801	36	22	11	10	21	31	12	26	12	19	23	12	9	26	23	11	5	4	16	20	22	10	33	18	17	15	11	2	10	11	22	15	25	21	12	6	28	27	32	65	25	38	25	6	28	26	17	17	7	21	18	10	25	21	29	12	50	78	45	11	20	20	19	28	6	5	43	27	10	0	22	8	30	15	12	8	23	8	34	16	19	24	16	15	14	27	1	5	4	9	30	5	18					
		2.22%	3.44%	2.27%	1.01%	1.19%	1.84%	2.26%	2.08%	2.28%	1.25%	1.78%	3.04%	1.30%	1.16%	1.68%	2.3%	1.54%	1.71%	0.91%	1.01%	1.76%	1.39%	0.50%	2.28%	0.94%	0.97%	1.21%	1.05%	0.91%	1.43%	1.19%	1.83%	2.19%	2.63%	2.51%	2.34%	2.42%	2.52%	3.40%	2.37%	4.26%	1.91%	2.56%	1.53%	2.48%	2.26%	2.16%	2.47%	1.69%	0.80%	3.38%	1.78%	3.07%	2.35%	2.59%	6.56%	3.47%	6.19%	10.06%	6.72%	3.49%	3.28%	3.22%	2.78%	4.69%	1.10%	5.05%	3.80%	3.66%	4.29%	0.0%	1.84%	1.97%	3.73%	2.54%	1.79%	3.01%	3.63%	6.20%	1.47%	0.91%	1.64%	1.56%	1.73%	1.41%	1.53%	1.93%	1.13%	2.68%	3.70%	4.47%	5.81%	5.68%	5.47%					
28	"11. ""Истинные патриоты России"""	153	1	0	0	0	0	1	1	0	0	1	4	0	1	5	2	2	0	0	3	5	6	18	1	24	11	5	0	1	0	0	5	0	2	0	0	0	0	0	0	0	1	1	1	0	0	1	3	2	0	0	0	0	0	1	0	1	1	1	5	0	0	0	0	1	0	0	0	0	0	0	1	0	4	3	4	0	0	0	6	7	0	4	1	0	0	0	0	1	0	0	0	0	4					
		0.18%	0.09%	0.0%	0.0%	0.0%	0.0%	0.07%	0.17%	0.0%	0.0%	0.09%	0.52%	0.0%	0.12%	0.32%	0.2%	0.28%	0.0%	0.0%	0.19%	0.44%	0.38%	0.91%	0.06%	1.25%	0.63%	0.40%	0.0%	0.45%	0.0%	0.0%	0.41%	0.0%	0.21%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.07%	0.06%	0.06%	0.0%	0.0%	0.08%	0.43%	0.19%	0.0%	0.0%	0.0%	0.0%	0.0%	0.12%	0.0%	0.28%	0.12%	0.12%	0.74%	0.0%	0.0%	0.0%	0.0%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.08%	0.0%	0.49%	0.50%	0.59%	0.0%	0.0%	0.0%	0.26%	0.39%	0.0%	0.26%	0.10%	0.0%	0.0%	0.0%	0.0%	0.53%	0.0%	0.0%	0.0%	0.0%	1.21%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	971	12	7	7	7	24	14	7	17	12	15	11	17	10	17	12	5	0	3	19	19	22	26	21	15	17	11	10	4	9	17	16	4	14	16	3	3	10	9	22	10	20	18	12	5	20	16	9	11	11	6	17	6	16	16	5	3	6	14	10	1	4	8	8	10	4	1	18	13	6	4	10	5	11	6	7	4	9	1	15	20	11	17	5	12	7	20	1	2	0	1	9	1	5					
		1.20%	1.14%	0.72%	0.64%	0.83%	2.10%	1.02%	1.21%	1.49%	1.25%	1.41%	1.45%	1.84%	1.29%	1.10%	1.2%	0.70%	0.0%	0.68%	1.20%	1.67%	1.39%	1.31%	1.45%	0.78%	0.97%	0.88%	0.95%	1.82%	1.28%	1.84%	1.33%	0.58%	1.47%	1.91%	0.58%	1.21%	0.90%	1.13%	1.63%	0.65%	1.53%	1.21%	0.73%	2.07%	1.61%	1.33%	1.31%	1.09%	1.26%	0.96%	1.68%	1.84%	1.50%	1.97%	1.13%	0.86%	0.74%	1.80%	1.49%	0.31%	0.65%	1.28%	1.17%	1.67%	0.73%	1.01%	1.59%	1.76%	2.57%	1.29%	0.84%	1.23%	1.36%	1.01%	1.04%	1.50%	1.42%	0.77%	0.65%	1.13%	0.95%	1.11%	0.54%	1.13%	0.76%	1.43%	1.13%	1.07%	0.0%	0.49%	1.74%	1.13%	1.51%					
