Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																	
Дата голосования: 07.12.2003 0:00:00																																																																																	
																																																																																	
Наименование Избирательной комиссии:    Норильская городская																																																																																	
																																																																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																	
																																																																																	
		Сумма	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665					
15	Число открепительных удостоверений выданных ТИК	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0					
16	Число утраченных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																	
18	"1. ""ЕДИНЕНИЕ"""	603	5	2	18	7	6	7	20	12	10	13	9	14	4	8	9	11	5	15	13	8	8	7	11	6	7	6	4	6	5	15	6	8	13	4	6	7	4	15	8	10	6	7	9	5	5	4	10	4	2	11	2	7	11	8	6	5	8	6	11	7	8	5	8	8	7	5	9	9	15	9	4	16	14	0					
		1.09%	0.58%	0.21%	2.02%	0.87%	0.72%	0.93%	1.75%	1.49%	1.14%	1.35%	0.91%	1.21%	0.42%	0.95%	1.04%	1.45%	0.86%	1.74%	1.50%	1.09%	1.42%	0.86%	1.27%	1.09%	1.06%	0.99%	0.60%	0.90%	0.72%	2.06%	0.77%	1.07%	2.17%	0.48%	0.72%	1.08%	1.22%	1.46%	0.81%	1.20%	1.29%	1.01%	0.87%	0.98%	0.89%	0.83%	1.51%	0.81%	0.41%	1.27%	0.35%	1.05%	1.62%	1.26%	0.88%	0.78%	1.28%	0.81%	1.64%	0.91%	1.40%	0.64%	1.17%	1.07%	1.18%	0.77%	1.45%	0.84%	1.35%	1.10%	0.45%	1.32%	2.06%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	1962	43	51	41	41	36	31	31	33	50	53	40	49	40	40	42	21	19	31	34	27	18	29	33	27	17	20	20	26	24	38	27	35	14	32	43	21	9	49	29	18	18	29	33	22	11	6	15	14	14	27	14	21	19	20	20	32	13	10	17	22	9	19	19	24	18	16	19	38	21	27	23	43	23	4					
		3.56%	5.07%	5.41%	4.60%	5.12%	4.37%	4.14%	2.71%	4.10%	5.74%	5.51%	4.05%	4.25%	4.20%	4.79%	4.85%	2.78%	3.27%	3.60%	3.92%	3.69%	3.20%	3.58%	3.81%	4.90%	2.59%	3.32%	3.03%	3.90%	3.48%	5.22%	3.47%	4.71%	2.33%	3.87%	5.21%	3.24%	2.76%	4.78%	2.97%	2.17%	3.87%	4.20%	3.19%	4.34%	1.97%	1.24%	2.27%	2.86%	2.93%	3.12%	2.49%	3.15%	2.80%	3.16%	2.94%	5.04%	2.08%	1.35%	2.54%	2.86%	1.58%	2.46%	2.78%	3.21%	3.05%	2.48%	3.06%	3.55%	1.89%	3.32%	2.59%	3.55%	3.39%	4.59%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1467	21	19	24	26	25	18	25	31	17	25	33	38	30	22	18	18	16	22	20	11	13	22	26	18	16	16	25	23	24	20	23	22	19	24	20	11	9	37	29	28	24	18	25	10	12	7	15	9	12	16	23	25	15	18	18	18	21	14	13	20	20	15	15	14	18	8	12	27	32	20	19	22	25	3					
		2.66%	2.47%	2.01%	2.69%	3.25%	3.03%	2.40%	2.19%	3.85%	1.95%	2.60%	3.34%	3.29%	3.15%	2.63%	2.08%	2.38%	2.75%	2.55%	2.30%	1.50%	2.31%	2.71%	3.00%	3.27%	2.43%	2.65%	3.79%	3.45%	3.48%	2.75%	2.95%	2.96%	3.17%	2.90%	2.42%	1.70%	2.76%	3.61%	2.97%	3.38%	5.17%	2.61%	2.42%	1.97%	2.15%	1.45%	2.27%	1.84%	2.51%	1.84%	4.10%	3.75%	2.21%	2.84%	2.64%	2.83%	3.36%	1.89%	1.94%	2.60%	3.51%	1.94%	2.19%	1.87%	3.05%	1.24%	1.93%	2.52%	2.88%	2.46%	2.14%	1.81%	3.69%	3.44%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	3047	57	64	49	61	55	60	59	40	73	78	65	63	66	41	65	45	46	51	48	50	25	38	63	31	40	38	40	31	34	51	49	54	35	46	53	36	25	62	46	43	16	45	48	41	28	20	20	21	20	47	20	29	31	37	30	37	25	36	29	44	19	32	17	31	29	22	28	59	46	35	40	54	29	6					
		5.53%	6.72%	6.80%	5.49%	7.62%	6.68%	8.03%	5.17%	4.97%	8.38%	8.11%	6.58%	5.46%	6.93%	4.91%	7.51%	5.96%	7.93%	5.93%	5.54%	6.84%	4.44%	4.69%	7.28%	5.63%	6.09%	6.31%	6.06%	4.66%	4.94%	7.01%	6.29%	7.26%	5.84%	5.56%	6.43%	5.56%	7.66%	6.05%	4.71%	5.19%	3.44%	6.53%	4.65%	8.10%	5.02%	4.15%	3.03%	4.30%	4.19%	5.43%	3.57%	4.36%	4.57%	5.85%	4.41%	5.83%	4.00%	4.87%	4.33%	5.73%	3.33%	4.15%	2.49%	4.14%	4.91%	3.41%	4.52%	5.52%	4.15%	4.31%	4.51%	4.45%	4.28%	6.89%					
22	"5. ""За Русь Святую"""	200	2	3	4	0	2	0	3	2	4	3	3	3	9	3	0	3	2	0	4	3	2	3	6	4	5	2	5	2	1	3	3	2	3	7	2	1	3	2	2	3	5	0	4	3	4	1	1	2	2	2	3	4	6	1	2	1	2	4	5	0	3	4	3	2	3	1	0	1	2	4	4	5	1	1					
		0.36%	0.23%	0.31%	0.44%	0.0%	0.24%	0.0%	0.26%	0.24%	0.45%	0.31%	0.30%	0.26%	0.94%	0.35%	0.0%	0.39%	0.34%	0.0%	0.46%	0.41%	0.35%	0.37%	0.69%	0.72%	0.76%	0.33%	0.75%	0.30%	0.14%	0.41%	0.38%	0.26%	0.50%	0.84%	0.24%	0.15%	0.92%	0.19%	0.20%	0.36%	1.07%	0.0%	0.38%	0.59%	0.71%	0.20%	0.15%	0.40%	0.41%	0.23%	0.53%	0.60%	0.88%	0.15%	0.29%	0.15%	0.32%	0.54%	0.74%	0.0%	0.52%	0.51%	0.43%	0.26%	0.50%	0.15%	0.0%	0.09%	0.18%	0.49%	0.45%	0.41%	0.14%	1.14%					
23	"6. ""Объединенная Российская партия ""Русь"""	129	5	4	2	0	1	3	3	0	0	2	1	1	3	4	4	1	1	2	0	3	1	0	3	2	2	1	0	2	5	2	2	3	1	1	0	2	2	1	0	1	0	2	0	3	1	1	1	1	1	0	0	1	2	3	2	1	1	3	3	5	2	1	2	0	2	1	0	6	1	3	1	6	2	0					
		0.23%	0.58%	0.42%	0.22%	0.0%	0.12%	0.40%	0.26%	0.0%	0.0%	0.20%	0.10%	0.08%	0.31%	0.47%	0.46%	0.13%	0.17%	0.23%	0.0%	0.41%	0.17%	0.0%	0.34%	0.36%	0.30%	0.16%	0.0%	0.30%	0.72%	0.27%	0.25%	0.40%	0.16%	0.12%	0.0%	0.30%	0.61%	0.09%	0.0%	0.12%	0.0%	0.29%	0.0%	0.59%	0.17%	0.20%	0.15%	0.20%	0.20%	0.0%	0.0%	0.15%	0.29%	0.47%	0.29%	0.15%	0.16%	0.40%	0.44%	0.65%	0.35%	0.12%	0.29%	0.0%	0.33%	0.15%	0.0%	0.56%	0.09%	0.36%	0.11%	0.49%	0.29%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	400	2	8	12	2	6	5	18	8	9	6	8	13	6	13	2	5	2	2	4	3	2	2	5	2	6	4	8	3	7	5	7	8	4	9	8	2	5	5	9	4	2	4	10	5	3	3	3	0	6	4	4	5	3	6	1	3	1	7	6	7	3	7	10	8	1	5	2	5	6	7	8	6	9	1					
		0.72%	0.23%	0.85%	1.34%	0.25%	0.72%	0.66%	1.57%	0.99%	1.03%	0.62%	0.81%	1.12%	0.63%	1.55%	0.23%	0.66%	0.34%	0.23%	0.46%	0.41%	0.35%	0.24%	0.57%	0.36%	0.91%	0.66%	1.21%	0.45%	1.01%	0.68%	0.89%	1.07%	0.66%	1.08%	0.97%	0.30%	1.53%	0.48%	0.92%	0.48%	0.43%	0.58%	0.96%	0.98%	0.53%	0.62%	0.45%	0.0%	1.25%	0.46%	0.71%	0.75%	0.44%	0.94%	0.14%	0.47%	0.16%	0.94%	0.89%	0.91%	0.52%	0.90%	1.46%	1.07%	0.16%	0.77%	0.32%	0.46%	0.54%	0.86%	0.90%	0.49%	1.32%	1.14%					
25	"8. ""Народно-республиканская партия России"""	28	3	0	0	0	1	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	2	0	2	1	1	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	2	1	1	0	0	0	0	0					
		0.05%	0.35%	0.0%	0.0%	0.0%	0.12%	0.0%	0.08%	0.0%	0.0%	0.0%	0.20%	0.0%	0.0%	0.0%	0.0%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.15%	0.14%	0.13%	0.0%	0.0%	0.16%	0.0%	0.0%	0.0%	0.0%	0.19%	0.0%	0.24%	0.21%	0.14%	0.0%	0.19%	0.0%	0.0%	0.30%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.17%	0.12%	0.0%	0.0%	0.0%	0.0%	0.32%	0.09%	0.09%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	293	3	6	3	3	3	5	4	7	3	5	7	7	4	4	7	10	2	5	10	4	1	9	2	5	7	6	2	4	4	0	6	6	2	9	6	1	1	7	9	0	0	4	6	4	4	1	5	4	2	9	2	2	2	0	6	0	3	4	1	3	2	4	3	4	4	3	1	4	8	4	0	4	1	0					
		0.53%	0.35%	0.63%	0.33%	0.37%	0.36%	0.66%	0.35%	0.87%	0.34%	0.52%	0.70%	0.60%	0.42%	0.47%	0.80%	1.32%	0.34%	0.58%	1.15%	0.54%	0.17%	1.11%	0.23%	0.90%	1.06%	0.99%	0.30%	0.60%	0.58%	0.0%	0.77%	0.80%	0.33%	1.08%	0.72%	0.15%	0.30%	0.68%	0.92%	0.0%	0.0%	0.58%	0.58%	0.79%	0.71%	0.20%	0.75%	0.81%	0.41%	1.04%	0.35%	0.30%	0.29%	0.0%	0.88%	0.0%	0.48%	0.54%	0.14%	0.39%	0.35%	0.51%	0.43%	0.53%	0.67%	0.46%	0.16%	0.37%	0.72%	0.49%	0.0%	0.33%	0.14%	0.0%					
27	"10. ""Аграрная партия России"""	709	11	10	12	6	13	8	17	13	12	11	7	19	15	9	12	7	10	18	12	7	10	15	11	3	13	4	11	5	10	9	8	12	10	12	9	6	3	14	10	9	2	13	16	10	8	5	4	7	6	7	7	9	5	11	8	11	13	7	11	7	6	9	8	7	9	10	7	10	9	10	20	16	8	0					
		1.28%	1.29%	1.06%	1.34%	0.75%	1.57%	1.07%	1.48%	1.61%	1.37%	1.14%	0.70%	1.64%	1.57%	1.07%	1.38%	0.92%	1.72%	2.09%	1.38%	0.95%	1.77%	1.85%	1.27%	0.54%	1.98%	0.66%	1.66%	0.75%	1.45%	1.23%	1.02%	1.61%	1.66%	1.45%	1.09%	0.92%	0.92%	1.36%	1.02%	1.08%	0.43%	1.88%	1.55%	1.97%	1.43%	1.03%	0.60%	1.43%	1.25%	0.80%	1.24%	1.35%	0.73%	1.74%	1.17%	1.73%	2.08%	0.94%	1.64%	0.91%	1.05%	1.16%	1.17%	0.93%	1.52%	1.55%	1.13%	0.93%	0.81%	1.23%	2.25%	1.32%	1.18%	0.0%					
28	"11. ""Истинные патриоты России"""	91	1	0	3	0	1	0	2	0	0	2	0	2	0	3	4	0	0	2	4	1	1	1	1	0	1	2	2	5	2	2	4	1	2	3	0	0	0	2	0	0	0	0	1	0	1	2	6	5	0	3	0	0	0	1	0	0	2	1	1	0	2	1	0	1	0	2	0	1	3	2	0	1	1	0					
		0.16%	0.11%	0.0%	0.33%	0.0%	0.12%	0.0%	0.17%	0.0%	0.0%	0.20%	0.0%	0.17%	0.0%	0.35%	0.46%	0.0%	0.0%	0.23%	0.46%	0.13%	0.17%	0.12%	0.11%	0.0%	0.15%	0.33%	0.30%	0.75%	0.29%	0.27%	0.51%	0.13%	0.33%	0.36%	0.0%	0.0%	0.0%	0.19%	0.0%	0.0%	0.0%	0.0%	0.09%	0.0%	0.17%	0.41%	0.90%	1.02%	0.0%	0.34%	0.0%	0.0%	0.0%	0.15%	0.0%	0.0%	0.32%	0.13%	0.14%	0.0%	0.35%	0.12%	0.0%	0.13%	0.0%	0.31%	0.0%	0.09%	0.27%	0.24%	0.0%	0.08%	0.14%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	331	3	6	4	9	3	9	5	3	8	6	8	6	2	2	7	3	1	4	8	4	5	6	3	2	6	7	4	5	3	5	8	2	1	7	5	2	1	9	10	6	4	3	7	1	2	4	4	1	2	5	3	5	2	1	4	4	5	1	2	2	1	3	11	5	2	6	2	7	9	7	8	5	5	0					
		0.60%	0.35%	0.63%	0.44%	1.12%	0.36%	1.20%	0.43%	0.37%	0.91%	0.62%	0.81%	0.52%	0.21%	0.23%	0.80%	0.39%	0.17%	0.46%	0.92%	0.54%	0.88%	0.74%	0.34%	0.36%	0.91%	1.16%	0.60%	0.75%	0.43%	0.68%	1.02%	0.26%	0.16%	0.84%	0.60%	0.30%	0.30%	0.87%	1.02%	0.72%	0.86%	0.43%	0.67%	0.19%	0.35%	0.83%	0.60%	0.20%	0.41%	0.57%	0.53%	0.75%	0.29%	0.15%	0.58%	0.63%	0.80%	0.13%	0.29%	0.26%	0.17%	0.38%	1.61%	0.66%	0.33%	0.93%	0.32%	0.65%	0.81%	0.86%	0.90%	0.41%	0.73%	0.0%					
30	"13. ""Демократическая партия России"""	109	3	0	4	1	0	2	5	0	3	3	1	0	1	1	1	0	1	0	3	1	0	2	0	1	0	2	1	0	3	3	0	2	1	0	0	0	0	1	3	1	0	2	1	0	0	1	4	4	1	2	2	3	2	1	0	2	1	2	2	0	2	0	4	2	1	3	1	5	3	1	4	2	0	1					
		0.19%	0.35%	0.0%	0.44%	0.12%	0.0%	0.26%	0.43%	0.0%	0.34%	0.31%	0.10%	0.0%	0.10%	0.11%	0.11%	0.0%	0.17%	0.0%	0.34%	0.13%	0.0%	0.24%	0.0%	0.18%	0.0%	0.33%	0.15%	0.0%	0.43%	0.41%	0.0%	0.26%	0.16%	0.0%	0.0%	0.0%	0.0%	0.09%	0.30%	0.12%	0.0%	0.29%	0.09%	0.0%	0.0%	0.20%	0.60%	0.81%	0.20%	0.23%	0.35%	0.45%	0.29%	0.15%	0.0%	0.31%	0.16%	0.27%	0.29%	0.0%	0.35%	0.0%	0.58%	0.26%	0.16%	0.46%	0.16%	0.46%	0.27%	0.12%	0.45%	0.16%	0.0%	1.14%					
31	"14. ""Великая Россия - Евразийский Союз"""	95	1	2	2	2	0	2	1	0	1	3	2	3	1	3	3	4	1	1	2	0	1	3	0	1	1	1	1	2	1	1	0	1	1	1	1	4	0	1	1	1	4	0	1	1	1	2	2	0	0	1	0	1	3	1	0	0	1	1	3	0	0	2	1	2	0	0	0	3	3	1	2	2	0	0					
		0.17%	0.11%	0.21%	0.22%	0.25%	0.0%	0.26%	0.08%	0.0%	0.11%	0.31%	0.20%	0.26%	0.10%	0.35%	0.34%	0.53%	0.17%	0.11%	0.23%	0.0%	0.17%	0.37%	0.0%	0.18%	0.15%	0.16%	0.15%	0.30%	0.14%	0.13%	0.0%	0.13%	0.16%	0.12%	0.12%	0.61%	0.0%	0.09%	0.10%	0.12%	0.86%	0.0%	0.09%	0.19%	0.17%	0.41%	0.30%	0.0%	0.0%	0.11%	0.0%	0.15%	0.44%	0.15%	0.0%	0.0%	0.16%	0.13%	0.44%	0.0%	0.0%	0.25%	0.14%	0.26%	0.0%	0.0%	0.0%	0.28%	0.27%	0.12%	0.22%	0.16%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	68	1	0	3	1	0	0	1	0	3	0	0	0	0	0	2	0	0	0	1	2	1	0	2	1	0	1	0	1	0	0	1	2	0	0	2	1	2	0	3	0	1	1	3	1	0	2	0	1	0	1	1	2	0	4	0	0	0	4	0	2	0	1	0	0	2	2	0	2	1	2	1	1	2	0					
		0.12%	0.11%	0.0%	0.33%	0.12%	0.0%	0.0%	0.08%	0.0%	0.34%	0.0%	0.0%	0.0%	0.0%	0.0%	0.23%	0.0%	0.0%	0.0%	0.11%	0.27%	0.17%	0.0%	0.23%	0.18%	0.0%	0.16%	0.0%	0.15%	0.0%	0.0%	0.12%	0.26%	0.0%	0.0%	0.24%	0.15%	0.61%	0.0%	0.30%	0.0%	0.21%	0.14%	0.29%	0.19%	0.0%	0.41%	0.0%	0.20%	0.0%	0.11%	0.17%	0.30%	0.0%	0.63%	0.0%	0.0%	0.0%	0.54%	0.0%	0.26%	0.0%	0.12%	0.0%	0.0%	0.33%	0.31%	0.0%	0.18%	0.09%	0.24%	0.11%	0.08%	0.29%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	4532	68	105	84	86	104	59	100	72	65	73	77	103	76	83	52	66	57	67	59	69	58	68	62	56	44	55	36	58	73	63	57	72	45	48	61	64	36	73	84	48	39	50	81	47	46	36	36	40	38	70	35	63	49	45	51	54	61	53	51	63	41	66	61	63	37	38	58	81	104	59	90	86	47	7					
		8.22%	8.01%	11.15%	9.42%	10.75%	12.63%	7.89%	8.76%	8.95%	7.46%	7.59%	7.80%	8.94%	7.98%	9.94%	6.01%	8.75%	9.82%	7.79%	6.81%	9.45%	10.32%	8.40%	7.16%	10.18%	6.70%	9.13%	5.46%	8.72%	10.61%	8.66%	7.32%	9.69%	7.51%	5.81%	7.40%	9.89%	11.04%	7.12%	8.60%	5.79%	8.40%	7.25%	7.84%	9.28%	8.25%	7.48%	5.45%	8.19%	7.96%	8.09%	6.24%	9.47%	7.22%	7.12%	7.5%	8.51%	9.77%	7.18%	7.62%	8.21%	7.20%	8.57%	8.94%	8.43%	6.27%	5.89%	9.36%	7.58%	9.38%	7.27%	10.15%	7.10%	6.94%	8.04%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	70	0	1	3	0	0	0	4	0	1	0	1	2	4	0	2	1	0	0	0	2	0	2	0	1	1	1	3	1	0	0	1	1	0	1	0	1	0	0	1	3	1	0	0	2	2	1	0	2	0	1	0	0	2	0	2	0	2	0	1	2	0	1	2	1	0	0	1	1	2	2	0	2	2	0					
		0.12%	0.0%	0.10%	0.33%	0.0%	0.0%	0.0%	0.35%	0.0%	0.11%	0.0%	0.10%	0.17%	0.42%	0.0%	0.23%	0.13%	0.0%	0.0%	0.0%	0.27%	0.0%	0.24%	0.0%	0.18%	0.15%	0.16%	0.45%	0.15%	0.0%	0.0%	0.12%	0.13%	0.0%	0.12%	0.0%	0.15%	0.0%	0.0%	0.10%	0.36%	0.21%	0.0%	0.0%	0.39%	0.35%	0.20%	0.0%	0.40%	0.0%	0.11%	0.0%	0.0%	0.29%	0.0%	0.29%	0.0%	0.32%	0.0%	0.14%	0.26%	0.0%	0.12%	0.29%	0.13%	0.0%	0.0%	0.16%	0.09%	0.18%	0.24%	0.0%	0.16%	0.29%	0.0%					
