Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																	
Дата голосования: 02.12.2007																																																																																	
																																																																																	
Наименование Избирательной комиссии:    Шебекинская																																																																																	
																																																																																	
Сводная таблица результатов выборов																																																																																	
																																																																																	
		Сумма	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																	
18	1.Политическая партия «Аграрная партия России»	919	11	24	25	19	19	13	13	18	24	20	12	32	17	25	19	13	19	6	10	7	14	6	7	0	4	4	23	5	2	4	8	8	8	26	9	2	13	28	6	22	4	8	2	12	8	10	10	7	22	7	17	5	5	18	3	20	25	36	5	1	21	5	1	16	21	15	8	23	7	11	6	12	1	2					
		1.75%	1.69%	1.30%	1.36%	1.57%	1.28%	1.97%	0.83%	1.31%	1.58%	1.04%	1.06%	2.32%	1.33%	2.70%	1.54%	1.15%	1.95%	1.27%	1.93%	0.81%	1.09%	2.90%	2.23%	0.00%	1.69%	1.84%	2.29%	1.89%	1.16%	0.95%	1.77%	2.45%	4.28%	6.05%	1.91%	0.75%	2.80%	1.99%	1.49%	2.87%	0.98%	2.05%	1.89%	2.08%	1.20%	1.40%	1.14%	1.45%	2.62%	1.65%	3.66%	1.58%	1.89%	3.15%	0.88%	4.54%	1.39%	2.67%	3.40%	0.33%	2.38%	2.67%	0.63%	1.22%	1.67%	3.02%	1.67%	3.73%	1.48%	2.49%	1.35%	1.94%	0.38%	2.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	311	6	12	14	8	15	9	24	10	10	10	5	16	8	2	7	4	12	5	7	4	6	5	0	0	1	0	5	1	0	1	2	0	1	1	3	3	0	1	0	0	0	1	0	3	2	3	7	3	6	2	1	2	0	2	1	2	11	7	1	0	5	0	0	10	8	2	1	0	2	3	1	5	1	1					
		0.59%	0.92%	0.65%	0.76%	0.66%	1.01%	1.36%	1.54%	0.73%	0.66%	0.52%	0.44%	1.16%	0.63%	0.22%	0.57%	0.35%	1.23%	1.06%	1.35%	0.46%	0.47%	2.42%	0.00%	0.00%	0.42%	0.00%	0.50%	0.38%	0.00%	0.24%	0.44%	0.00%	0.53%	0.23%	0.64%	1.12%	0.00%	0.07%	0.00%	0.00%	0.00%	0.26%	0.00%	0.52%	0.30%	0.42%	0.80%	0.62%	0.71%	0.47%	0.22%	0.63%	0.00%	0.35%	0.29%	0.45%	0.61%	0.52%	0.68%	0.00%	0.57%	0.00%	0.00%	0.76%	0.64%	0.40%	0.21%	0.00%	0.42%	0.68%	0.23%	0.81%	0.38%	1.00%					
20	3.Политическая партия «Демократическая партия России»	61	1	0	1	5	2	1	2	1	1	3	4	2	2	2	0	0	1	0	1	1	1	5	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	3	0	1	1	6	0	0	1	1	0	0	1	2	0	0	0	0	2	0	1	0	0					
		0.12%	0.15%	0.00%	0.05%	0.41%	0.13%	0.15%	0.13%	0.07%	0.07%	0.16%	0.35%	0.14%	0.16%	0.22%	0.00%	0.00%	0.10%	0.00%	0.19%	0.12%	0.08%	2.42%	0.00%	0.00%	0.42%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.14%	0.00%	0.00%	0.12%	0.00%	0.00%	0.00%	1.14%	0.00%	0.29%	0.23%	0.33%	0.00%	0.00%	0.33%	0.11%	0.00%	0.00%	0.08%	0.16%	0.00%	0.00%	0.00%	0.00%	0.45%	0.00%	0.16%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	10678	120	496	410	311	349	171	466	366	454	523	276	328	363	185	305	256	200	136	107	198	273	13	33	10	31	29	103	28	19	50	84	98	41	94	78	41	56	237	69	127	60	48	12	70	128	121	87	80	180	62	83	55	50	78	60	75	292	226	23	39	96	25	20	246	221	82	65	97	61	88	78	182	40	14					
		20.30%	18.49%	26.83%	22.26%	25.66%	23.50%	25.91%	29.93%	26.54%	29.85%	27.31%	24.32%	23.77%	28.36%	19.98%	24.72%	22.65%	20.58%	28.87%	20.62%	22.84%	21.16%	6.28%	10.51%	8.70%	13.14%	13.36%	10.25%	10.57%	10.98%	11.82%	18.63%	30.06%	21.93%	21.86%	16.60%	15.30%	12.04%	16.81%	17.12%	16.58%	14.71%	12.28%	11.32%	12.13%	19.19%	16.92%	9.92%	16.60%	21.43%	14.59%	17.89%	17.35%	18.94%	13.66%	17.54%	17.01%	16.22%	16.78%	15.65%	12.79%	10.90%	13.37%	12.58%	18.78%	17.57%	16.53%	13.60%	15.75%	12.92%	19.91%	17.57%	29.45%	15.33%	14.00%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	160	2	5	8	10	5	5	7	6	7	10	4	3	3	3	7	3	5	4	0	0	1	2	0	0	2	0	4	1	0	3	0	1	0	0	0	0	1	1	0	2	1	0	2	1	2	1	3	2	3	0	0	0	2	0	3	0	5	4	0	0	3	0	0	1	8	0	0	3	0	0	1	0	0	0					
		0.30%	0.31%	0.27%	0.43%	0.83%	0.34%	0.76%	0.45%	0.44%	0.46%	0.52%	0.35%	0.22%	0.23%	0.32%	0.57%	0.27%	0.51%	0.85%	0.00%	0.00%	0.08%	0.97%	0.00%	0.00%	0.85%	0.00%	0.40%	0.38%	0.00%	0.71%	0.00%	0.31%	0.00%	0.00%	0.00%	0.00%	0.22%	0.07%	0.00%	0.26%	0.25%	0.00%	1.89%	0.17%	0.30%	0.14%	0.34%	0.41%	0.36%	0.00%	0.00%	0.00%	0.76%	0.00%	0.88%	0.00%	0.28%	0.30%	0.00%	0.00%	0.34%	0.00%	0.00%	0.08%	0.64%	0.00%	0.00%	0.49%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	84	2	2	1	3	3	0	0	3	5	6	3	3	4	3	6	1	2	2	0	5	0	2	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	1	1	4	0	0	0	0	2	0	4	0	1	0	0	0	0	0	1	2	1	0	2	0	0	1	1	0	0	0	1	1	0	1	0	0					
		0.16%	0.31%	0.11%	0.05%	0.25%	0.20%	0.00%	0.00%	0.22%	0.33%	0.31%	0.26%	0.22%	0.31%	0.32%	0.49%	0.09%	0.21%	0.42%	0.00%	0.58%	0.00%	0.97%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.44%	0.00%	0.00%	0.23%	0.21%	0.00%	0.00%	0.00%	0.00%	0.13%	0.25%	1.02%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.48%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.06%	0.15%	0.68%	0.00%	0.23%	0.00%	0.00%	0.08%	0.08%	0.00%	0.00%	0.00%	0.21%	0.23%	0.00%	0.16%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	3450	26	146	111	74	113	39	94	110	94	135	88	103	89	60	94	88	64	24	40	70	115	13	16	6	5	10	54	18	7	20	24	23	3	29	19	20	19	97	29	57	28	11	3	37	48	56	46	35	66	35	29	15	10	34	25	27	119	86	3	14	38	8	8	89	95	37	26	42	23	31	26	32	15	7					
		6.56%	4.01%	7.90%	6.03%	6.11%	7.61%	5.91%	6.04%	7.98%	6.18%	7.05%	7.75%	7.46%	6.95%	6.48%	7.62%	7.79%	6.58%	5.10%	7.71%	8.07%	8.91%	6.28%	5.10%	5.22%	2.12%	4.61%	5.37%	6.79%	4.05%	4.73%	5.32%	7.06%	1.60%	6.74%	4.04%	7.46%	4.09%	6.88%	7.20%	7.44%	6.86%	2.81%	2.83%	6.41%	7.20%	7.83%	5.25%	7.26%	7.86%	8.24%	6.25%	4.73%	3.79%	5.95%	7.31%	6.12%	6.61%	6.38%	2.04%	4.59%	4.31%	4.28%	5.03%	6.79%	7.55%	7.46%	5.44%	6.82%	4.87%	7.01%	5.86%	5.18%	5.75%	7.00%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	3479	47	108	109	87	104	52	81	96	118	114	80	68	80	71	68	74	59	37	41	61	69	12	11	7	8	10	45	16	9	16	9	16	7	21	29	16	11	121	30	51	22	27	1	37	47	47	82	42	54	24	25	16	3	38	26	18	241	123	2	57	44	7	5	81	98	25	20	33	30	25	27	62	17	4					
		6.61%	7.24%	5.84%	5.92%	7.18%	7.00%	7.88%	5.20%	6.96%	7.76%	5.95%	7.05%	4.93%	6.25%	7.67%	5.51%	6.55%	6.07%	7.86%	7.90%	7.04%	5.35%	5.80%	3.50%	6.09%	3.39%	4.61%	4.48%	6.04%	5.20%	3.78%	1.99%	4.91%	3.74%	4.88%	6.17%	5.97%	2.37%	8.58%	7.44%	6.66%	5.39%	6.91%	0.94%	6.41%	7.05%	6.57%	9.35%	8.71%	6.43%	5.65%	5.39%	5.05%	1.14%	6.65%	7.60%	4.08%	13.39%	9.13%	1.36%	18.69%	4.99%	3.74%	3.14%	6.18%	7.79%	5.04%	4.18%	5.36%	6.36%	5.66%	6.08%	10.03%	6.51%	4.00%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	393	8	8	10	10	7	0	23	13	20	20	5	11	13	8	8	8	6	3	6	10	7	6	1	1	4	0	1	2	1	2	4	2	2	8	3	4	2	3	2	5	0	6	2	3	3	2	3	10	8	2	2	4	2	0	6	4	14	8	2	3	6	0	2	8	4	9	8	4	2	2	3	2	1	1					
		0.75%	1.23%	0.43%	0.54%	0.83%	0.47%	0.00%	1.48%	0.94%	1.31%	1.04%	0.44%	0.80%	1.02%	0.86%	0.65%	0.71%	0.62%	0.64%	1.16%	1.15%	0.54%	2.90%	0.32%	0.87%	1.69%	0.00%	0.10%	0.75%	0.58%	0.47%	0.89%	0.61%	1.07%	1.86%	0.64%	1.49%	0.43%	0.21%	0.50%	0.65%	0.00%	1.53%	1.89%	0.52%	0.45%	0.28%	0.34%	2.07%	0.95%	0.47%	0.43%	1.26%	0.76%	0.00%	1.75%	0.91%	0.78%	0.59%	1.36%	0.98%	0.68%	0.00%	1.26%	0.61%	0.32%	1.81%	1.67%	0.65%	0.42%	0.45%	0.68%	0.32%	0.38%	1.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	32068	421	1014	1100	667	821	354	805	728	755	1036	633	783	666	542	681	662	584	245	300	498	774	133	243	88	176	162	761	192	130	320	315	172	118	242	314	176	349	906	263	486	286	279	80	402	416	469	621	295	479	278	296	212	183	395	215	287	1063	838	110	185	650	140	119	836	784	318	344	404	341	272	289	312	185	70					
		60.95%	64.87%	54.84%	59.72%	55.03%	55.29%	53.64%	51.70%	52.79%	49.64%	54.10%	55.77%	56.74%	52.03%	58.53%	55.19%	58.58%	60.08%	52.02%	57.80%	57.44%	60.00%	64.25%	77.39%	76.52%	74.58%	74.65%	75.72%	72.45%	75.14%	75.65%	69.84%	52.76%	63.10%	56.28%	66.81%	65.67%	75.05%	64.26%	65.26%	63.45%	70.10%	71.36%	75.47%	69.67%	62.37%	65.59%	70.81%	61.20%	57.02%	65.41%	63.79%	66.88%	69.32%	69.18%	62.87%	65.08%	59.06%	62.21%	74.83%	60.66%	73.78%	74.87%	74.84%	63.82%	62.32%	64.11%	71.97%	65.58%	72.25%	61.54%	65.09%	50.49%	70.88%	70.00%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	415	2	21	26	9	32	4	22	11	20	18	16	17	18	16	21	13	7	6	1	7	13	8	0	0	0	0	1	0	2	5	1	0	0	1	0	1	5	5	4	3	0	2	0	6	5	0	2	3	6	1	1	3	0	3	1	2	8	3	0	0	8	0	0	6	4	3	3	1	3	0	0	4	1	0					
		0.79%	0.31%	1.14%	1.41%	0.74%	2.15%	0.61%	1.41%	0.80%	1.31%	0.94%	1.41%	1.23%	1.41%	1.73%	1.70%	1.15%	0.72%	1.27%	0.19%	0.81%	1.01%	3.86%	0.00%	0.00%	0.00%	0.00%	0.10%	0.00%	1.16%	1.18%	0.22%	0.00%	0.00%	0.23%	0.00%	0.37%	1.08%	0.35%	0.99%	0.39%	0.00%	0.51%	0.00%	1.04%	0.75%	0.00%	0.23%	0.62%	0.71%	0.24%	0.22%	0.95%	0.00%	0.53%	0.29%	0.45%	0.44%	0.22%	0.00%	0.00%	0.91%	0.00%	0.00%	0.46%	0.32%	0.60%	0.63%	0.16%	0.64%	0.00%	0.00%	0.65%	0.38%	0.00%					
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
