Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																					
Дата голосования: 04.12.2011																																																																																					
																																																																																					
Наименование Избирательной комиссии:    Шебекинская																																																																																					
																																																																																					
Сводная таблица результатов выборов																																																																																					
																																																																																					
		Сумма	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1193	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200	УИК №1201	УИК №1202	УИК №1203					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	916	13	36	28	20	21	32	16	34	30	20	18	27	30	31	40	30	30	34	20	14	8	20	14	2	1	0	3	0	7	0	2	6	0	1	2	1	3	1	12	11	6	14	1	0	9	9	9	15	22	20	6	3	5	1	1	5	4	28	24	21	0	0	9	1	2	12	21	6	10	11	1	3	2	6	2	4	1	4					
		1.81%	1.95%	2.65%	2.21%	2.21%	2.26%	2.67%	1.70%	2.90%	2.66%	1.79%	1.42%	2.40%	2.65%	3.63%	3.22%	2.53%	2.64%	3.63%	1.93%	3.24%	1.51%	2.02%	1.39%	0.73%	0.29%	0.00%	1.10%	0.00%	0.70%	0.00%	1.26%	1.52%	0.00%	0.35%	1.16%	0.26%	0.74%	0.43%	2.47%	0.80%	1.45%	1.80%	0.24%	0.00%	1.41%	1.38%	1.33%	1.72%	4.42%	2.39%	1.39%	0.72%	1.45%	0.41%	0.16%	1.42%	0.90%	2.48%	2.39%	2.10%	0.00%	0.00%	1.11%	0.55%	1.11%	1.67%	2.45%	0.81%	1.79%	2.48%	0.16%	0.61%	0.45%	1.37%	0.50%	1.52%	0.99%	1.75%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	20215	209	452	404	309	267	376	316	414	355	359	428	347	335	358	451	407	401	324	352	121	161	350	319	183	207	82	174	145	459	113	94	199	173	110	55	128	178	97	247	614	152	318	191	326	305	253	282	443	258	280	209	215	193	140	383	145	222	432	408	381	70	104	482	108	96	333	371	312	202	171	305	281	179	167	147	141	61	76					
		40.02%	31.33%	33.31%	31.89%	34.18%	28.74%	31.36%	33.55%	35.29%	31.47%	32.08%	33.78%	30.87%	29.57%	41.87%	36.34%	34.26%	35.27%	34.62%	34.01%	28.01%	30.43%	35.39%	31.68%	67.03%	59.31%	78.85%	63.97%	67.44%	45.76%	42.97%	59.12%	50.51%	45.41%	38.06%	31.79%	33.07%	43.73%	42.17%	50.82%	44.92%	36.80%	40.87%	45.37%	62.21%	47.88%	38.69%	41.53%	50.69%	51.81%	33.45%	48.38%	51.44%	55.78%	57.85%	60.79%	41.19%	49.89%	38.23%	40.68%	38.02%	49.65%	41.43%	59.58%	59.67%	53.33%	46.25%	43.24%	41.99%	36.20%	38.51%	48.34%	57.23%	40.04%	38.22%	36.57%	53.61%	60.40%	33.33%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	199	3	5	5	3	1	3	4	3	5	5	8	4	3	5	7	8	7	7	2	5	5	3	2	2	0	0	0	0	1	1	0	3	2	1	0	1	0	2	2	5	1	2	1	1	3	8	1	2	2	1	1	1	2	0	2	1	1	11	9	2	1	1	0	2	1	1	2	2	0	3	3	1	2	1	1	1	1	1					
		0.39%	0.45%	0.37%	0.39%	0.33%	0.11%	0.25%	0.42%	0.26%	0.44%	0.45%	0.63%	0.36%	0.26%	0.58%	0.56%	0.67%	0.62%	0.75%	0.19%	1.16%	0.95%	0.30%	0.20%	0.73%	0.00%	0.00%	0.00%	0.00%	0.10%	0.38%	0.00%	0.76%	0.52%	0.35%	0.00%	0.26%	0.00%	0.87%	0.41%	0.37%	0.24%	0.26%	0.24%	0.19%	0.47%	1.22%	0.15%	0.23%	0.40%	0.12%	0.23%	0.24%	0.58%	0.00%	0.32%	0.28%	0.22%	0.97%	0.90%	0.20%	0.71%	0.40%	0.00%	1.10%	0.56%	0.14%	0.23%	0.27%	0.00%	0.68%	0.48%	0.20%	0.45%	0.23%	0.25%	0.38%	0.99%	0.44%					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
