Выборы Президента Российской Федерации																													
																													
Наименование Избирательной комиссии:    район Ховрино																													
																													
Итоги голосования 																													
																													
		Сумма	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК  3066					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																													
18	. Глазьев Сергей Юрьевич	2204	116	117	107	110	75	115	114	113	103	131	115	101	78	96	97	181	93	79	74	82	98	9					
		6.99%	6.07%	8.84%	8.46%	7.93%	5.52%	7.95%	6.66%	7.07%	7.22%	8.40%	7.09%	5.47%	6.01%	6.69%	7.39%	12.41%	5.77%	5.25%	5.13%	6.07%	6.49%	6.62%					
19	. Малышкин Олег Александрович	297	13	7	3	5	11	12	12	13	12	14	17	27	15	25	7	15	15	27	12	15	18	2					
		0.94%	0.68%	0.53%	0.24%	0.36%	0.81%	0.83%	0.70%	0.81%	0.84%	0.90%	1.05%	1.46%	1.16%	1.74%	0.53%	1.03%	0.93%	1.79%	0.83%	1.11%	1.19%	1.47%					
20	. Миронов Сергей Михайлович	145	4	11	4	3	6	12	9	3	7	11	7	10	12	6	6	5	5	6	4	10	3	1					
		0.46%	0.21%	0.83%	0.32%	0.22%	0.44%	0.83%	0.53%	0.19%	0.49%	0.71%	0.43%	0.54%	0.93%	0.42%	0.46%	0.34%	0.31%	0.40%	0.28%	0.74%	0.20%	0.74%					
21	. Путин Владимир Владимирович	21072	1357	805	681	799	879	956	1135	1009	895	1008	1112	1320	894	952	866	978	1197	1115	1107	909	1010	88					
		66.86%	70.97%	60.85%	53.83%	57.61%	64.68%	66.11%	66.34%	63.10%	62.72%	64.66%	68.52%	71.47%	68.93%	66.39%	66.01%	67.03%	74.30%	74.09%	76.72%	67.33%	66.84%	64.71%					
22	. Хакамада Ирина Муцуовна	3261	174	208	250	236	179	121	183	159	197	142	136	142	114	130	147	99	117	109	116	127	171	4					
		10.35%	9.10%	15.72%	19.76%	17.02%	13.17%	8.37%	10.70%	9.94%	13.81%	9.11%	8.38%	7.69%	8.79%	9.07%	11.20%	6.79%	7.26%	7.24%	8.04%	9.41%	11.32%	2.94%					
23	. Харитонов Николай Михайлович	2279	122	84	107	114	118	113	127	175	112	149	117	126	84	91	98	87	95	85	70	88	97	20					
		7.23%	6.38%	6.35%	8.46%	8.22%	8.68%	7.81%	7.42%	10.94%	7.85%	9.56%	7.21%	6.82%	6.48%	6.35%	7.47%	5.96%	5.90%	5.65%	4.85%	6.52%	6.42%	14.71%					
																													
24	Против всех	2034	117	81	105	109	87	105	103	120	92	98	107	115	82	126	83	83	80	74	52	101	106	8					
		6.45%	6.12%	6.12%	8.30%	7.86%	6.40%	7.26%	6.02%	7.50%	6.45%	6.29%	6.59%	6.23%	6.32%	8.79%	6.33%	5.69%	4.97%	4.92%	3.60%	7.48%	7.02%	5.88%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
