Выборы Президента Российской Федерации																																		
																																		
Наименование Избирательной комиссии:    Минусинская городская																																		
																																		
Итоги голосования 																																		
																																		
		Сумма	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК  569					
18	. Глазьев Сергей Юрьевич	6794	269	143	343	238	201	12	229	151	202	324	281	241	243	261	188	398	347	350	413	391	320	359	364	261	38	162	65					
		21.30%	21.96%	18.89%	23.14%	21.72%	22.84%	1.60%	19.51%	20.41%	19.54%	20.48%	22.09%	21.71%	19.47%	19.77%	19.30%	25.56%	21.57%	22.82%	25.05%	25.14%	23.58%	24.22%	23.62%	21.08%	26.76%	13.17%	18.21%					
19	. Малышкин Олег Александрович	822	37	22	54	44	26	25	40	36	28	33	22	37	43	31	19	30	40	35	27	38	23	35	29	38	2	20	8					
		2.58%	3.02%	2.91%	3.64%	4.01%	2.95%	3.33%	3.41%	4.86%	2.71%	2.09%	1.73%	3.33%	3.45%	2.35%	1.95%	1.93%	2.49%	2.28%	1.64%	2.44%	1.69%	2.36%	1.88%	3.07%	1.41%	1.63%	2.24%					
20	. Миронов Сергей Михайлович	194	9	7	12	7	5	7	6	8	5	12	9	8	6	5	7	10	6	3	14	3	12	5	8	12	1	4	3					
		0.61%	0.73%	0.92%	0.81%	0.64%	0.57%	0.93%	0.51%	1.08%	0.48%	0.76%	0.71%	0.72%	0.48%	0.38%	0.72%	0.64%	0.37%	0.20%	0.85%	0.19%	0.88%	0.34%	0.52%	0.97%	0.70%	0.33%	0.84%					
21	. Путин Владимир Владимирович	17499	621	391	747	545	470	611	648	350	574	884	675	597	710	767	527	792	864	831	885	819	725	802	860	633	75	899	197					
		54.86%	50.69%	51.65%	50.40%	49.73%	53.41%	81.36%	55.20%	47.30%	55.51%	55.88%	53.07%	53.78%	56.89%	58.11%	54.11%	50.87%	53.70%	54.17%	53.67%	52.67%	53.43%	54.12%	55.81%	51.13%	52.82%	73.09%	55.18%					
22	. Хакамада Ирина Муцуовна	1096	36	23	34	34	38	18	40	26	32	74	46	27	50	45	26	60	51	52	54	54	59	68	66	23	2	28	30					
		3.44%	2.94%	3.04%	2.29%	3.10%	4.32%	2.40%	3.41%	3.51%	3.09%	4.68%	3.62%	2.43%	4.01%	3.41%	2.67%	3.85%	3.17%	3.39%	3.27%	3.47%	4.35%	4.59%	4.28%	1.86%	1.41%	2.28%	8.40%					
23	. Харитонов Николай Михайлович	4097	193	140	235	181	120	9	172	108	163	181	183	165	150	157	141	203	229	203	184	183	153	150	149	208	15	77	45					
		12.84%	15.76%	18.49%	15.86%	16.51%	13.64%	1.20%	14.65%	14.59%	15.76%	11.44%	14.39%	14.86%	12.02%	11.89%	14.48%	13.04%	14.23%	13.23%	11.16%	11.77%	11.27%	10.12%	9.67%	16.80%	10.56%	6.26%	12.61%					
																																		
24	Против всех	1083	41	23	49	41	16	22	28	17	25	66	40	29	39	51	28	56	58	54	64	59	61	57	59	48	9	34	9					
		3.40%	3.35%	3.04%	3.31%	3.74%	1.82%	2.93%	2.39%	2.30%	2.42%	4.17%	3.14%	2.61%	3.12%	3.86%	2.87%	3.60%	3.60%	3.52%	3.88%	3.79%	4.50%	3.85%	3.83%	3.88%	6.34%	2.76%	2.52%					
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
