Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																				
Дата голосования: 07.12.2003 0:00:00																																																																																				
																																																																																				
Наименование Избирательной комиссии:    Баймакская																																																																																				
																																																																																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																				
																																																																																				
		Сумма	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	400	25	15	27	20	14	14	30	5	5	0	10	2	5	5	2	8	2	2	2	8	8	2	8	2	2	8	2	2	8	8	8	0	6	4	0	2	2	0	0	13	2	2	2	2	5	8	2	0	8	8	5	1	0	10	0	0	0	0	10	2	2	0	2	2	20	2	0	0	0	2	2	2	0	2	8	2	1					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	357	25	15	27	20	14	14	30	5	5	0	10	2	5	5	2	7	1	0	0	8	6	1	8	0	2	8	2	2	3	8	8	0	6	3	0	2	2	0	0	10	0	2	1	1	5	8	2	0	2	8	5	1	0	10	0	0	0	0	10	0	0	0	2	1	15	2	0	0	0	0	2	1	0	2	8	2	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	323	9	15	28	35	0	4	9	3	7	3	10	0	5	15	2	6	1	0	1	5	0	2	3	2	2	4	3	0	2	4	3	3	5	3	2	1	2	2	1	4	1	3	4	2	2	3	3	1	8	6	2	1	0	5	0	2	1	1	11	4	0	10	1	6	8	3	2	0	0	2	1	4	2	5	6	4	3					
14	Число погашенных открепительных удостоверений	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	2	0	2	1	0	2	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	3	2	0	1	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	2	2	0	0	1	5	0	0	0	0	2	0	1	0	0	0	0	0					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																				
18	"1. ""ЕДИНЕНИЕ"""	1296	47	30	37	51	28	3	73	10	27	11	24	7	12	6	34	27	14	1	1	7	17	4	32	10	3	24	8	19	15	27	7	8	19	3	2	10	3	18	10	42	5	8	17	4	3	38	15	12	24	27	29	11	9	37	6	29	7	3	43	3	8	18	5	14	36	5	9	8	5	1	4	23	5	40	44	4	6					
		3.71%	3.31%	3.64%	2.83%	3.50%	3.46%	0.40%	4.27%	1.94%	6.60%	8.14%	2.5%	3.68%	3.26%	5.21%	8.80%	3.92%	4.53%	0.90%	0.51%	1.38%	2.99%	3.00%	5.09%	4.32%	2.15%	4.33%	2.13%	7.66%	3.19%	4.30%	1.08%	2.46%	3.19%	1.18%	1.81%	3.55%	1.17%	7.56%	3.13%	2.40%	1.88%	2.69%	4.40%	1.74%	1.27%	6.62%	4.67%	3.16%	2.95%	5.07%	8.97%	5.94%	7.03%	5.30%	5.82%	6.44%	3.30%	2.58%	3.50%	1.53%	3.11%	7.2%	3.24%	5.80%	2.61%	3.70%	5.05%	3.44%	2.76%	0.70%	1.14%	6.42%	4.95%	11.20%	7.50%	1.87%	2.09%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	271	24	13	28	22	9	10	20	2	2	1	15	0	2	0	3	3	4	4	0	0	2	1	2	0	2	3	1	1	3	4	1	2	5	0	2	1	0	0	0	1	1	0	1	0	0	3	0	0	9	3	4	4	0	0	0	5	1	1	12	1	0	1	1	2	3	2	5	2	3	1	1	1	1	3	2	1	4					
		0.77%	1.69%	1.58%	2.14%	1.51%	1.11%	1.36%	1.17%	0.38%	0.48%	0.74%	1.56%	0.0%	0.54%	0.0%	0.77%	0.43%	1.29%	3.63%	0.0%	0.0%	0.35%	0.75%	0.31%	0.0%	1.43%	0.54%	0.26%	0.40%	0.63%	0.63%	0.15%	0.61%	0.84%	0.0%	1.81%	0.35%	0.0%	0.0%	0.0%	0.05%	0.37%	0.0%	0.25%	0.0%	0.0%	0.52%	0.0%	0.0%	1.10%	0.56%	1.23%	2.16%	0.0%	0.0%	0.0%	1.11%	0.47%	0.86%	0.97%	0.51%	0.0%	0.4%	0.64%	0.82%	0.21%	1.48%	2.80%	0.86%	1.65%	0.70%	0.28%	0.27%	0.99%	0.84%	0.34%	0.46%	1.39%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	515	52	13	33	27	21	14	49	15	9	1	11	2	1	2	8	12	13	1	0	1	9	1	4	0	0	13	4	1	6	6	2	0	12	4	0	1	0	1	0	8	0	4	2	3	3	8	1	4	16	0	6	4	2	7	0	4	7	3	12	5	2	1	0	2	29	2	3	11	2	0	1	2	0	4	1	1	6					
		1.47%	3.66%	1.58%	2.53%	1.85%	2.60%	1.91%	2.87%	2.91%	2.20%	0.74%	1.14%	1.05%	0.27%	1.73%	2.07%	1.74%	4.20%	0.90%	0.0%	0.19%	1.58%	0.75%	0.63%	0.0%	0.0%	2.34%	1.06%	0.40%	1.27%	0.95%	0.30%	0.0%	2.01%	1.57%	0.0%	0.35%	0.0%	0.42%	0.0%	0.45%	0.0%	1.34%	0.51%	1.31%	1.27%	1.39%	0.31%	1.05%	1.97%	0.0%	1.85%	2.16%	1.56%	1.00%	0.0%	0.88%	3.30%	2.58%	0.97%	2.56%	0.77%	0.4%	0.0%	0.82%	2.10%	1.48%	1.68%	4.74%	1.10%	0.0%	0.28%	0.55%	0.0%	1.12%	0.17%	0.46%	2.09%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	214	25	15	14	10	13	11	10	4	1	0	2	0	2	0	1	4	2	1	0	0	2	0	0	0	0	1	0	2	14	5	0	0	0	0	2	0	0	0	0	9	1	0	0	0	0	3	1	1	5	2	0	2	2	3	0	3	0	0	14	1	0	1	0	2	7	0	2	1	0	4	1	0	0	2	4	1	1					
		0.61%	1.76%	1.82%	1.07%	0.68%	1.61%	1.50%	0.58%	0.77%	0.24%	0.0%	0.20%	0.0%	0.54%	0.0%	0.25%	0.58%	0.64%	0.90%	0.0%	0.0%	0.35%	0.0%	0.0%	0.0%	0.0%	0.18%	0.0%	0.80%	2.97%	0.79%	0.0%	0.0%	0.0%	0.0%	1.81%	0.0%	0.0%	0.0%	0.0%	0.51%	0.37%	0.0%	0.0%	0.0%	0.0%	0.52%	0.31%	0.26%	0.61%	0.37%	0.0%	1.08%	1.56%	0.43%	0.0%	0.66%	0.0%	0.0%	1.14%	0.51%	0.0%	0.4%	0.0%	0.82%	0.50%	0.0%	1.12%	0.43%	0.0%	2.83%	0.28%	0.0%	0.0%	0.56%	0.68%	0.46%	0.34%					
22	"5. ""За Русь Святую"""	79	7	0	4	5	0	3	15	3	2	0	4	0	0	0	0	0	3	0	1	0	0	0	1	0	0	0	1	0	1	3	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	6	0	0	0	2	0	0	0	0	0	0	1	2					
		0.22%	0.49%	0.0%	0.30%	0.34%	0.0%	0.40%	0.87%	0.58%	0.48%	0.0%	0.41%	0.0%	0.0%	0.0%	0.0%	0.0%	0.97%	0.0%	0.51%	0.0%	0.0%	0.0%	0.15%	0.0%	0.0%	0.0%	0.26%	0.0%	0.21%	0.47%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.40%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.24%	0.0%	0.0%	0.0%	0.78%	0.0%	0.0%	0.0%	0.0%	0.0%	0.40%	0.0%	0.0%	0.0%	0.0%	0.0%	0.43%	0.0%	0.0%	0.0%	1.10%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.46%	0.69%					
23	"6. ""Объединенная Российская партия ""Русь"""	94	7	2	2	0	3	4	2	0	2	1	0	0	0	0	0	4	1	0	0	0	6	0	2	0	0	4	1	1	4	2	3	0	6	1	0	0	0	0	0	1	0	0	1	0	0	4	2	0	2	0	2	0	1	3	0	2	1	1	3	1	0	1	0	3	1	0	0	0	2	0	0	1	0	1	2	0	1					
		0.26%	0.49%	0.24%	0.15%	0.0%	0.37%	0.54%	0.11%	0.0%	0.48%	0.74%	0.0%	0.0%	0.0%	0.0%	0.0%	0.58%	0.32%	0.0%	0.0%	0.0%	1.05%	0.0%	0.31%	0.0%	0.0%	0.72%	0.26%	0.40%	0.85%	0.31%	0.46%	0.0%	1.00%	0.39%	0.0%	0.0%	0.0%	0.0%	0.0%	0.05%	0.0%	0.0%	0.25%	0.0%	0.0%	0.69%	0.62%	0.0%	0.24%	0.0%	0.61%	0.0%	0.78%	0.43%	0.0%	0.44%	0.47%	0.86%	0.24%	0.51%	0.0%	0.4%	0.0%	1.24%	0.07%	0.0%	0.0%	0.0%	1.10%	0.0%	0.0%	0.27%	0.0%	0.28%	0.34%	0.0%	0.34%					
24	"7. ""Новый курс - Автомобильная Россия"""	142	0	11	10	10	8	9	10	2	1	0	2	0	0	0	2	4	3	0	0	1	5	0	5	0	0	3	0	1	2	5	0	0	1	0	2	0	0	0	0	4	0	0	0	0	0	5	1	0	2	2	1	1	0	0	0	2	2	0	7	0	0	1	0	2	4	0	0	0	0	0	2	1	1	4	2	1	0					
		0.40%	0.0%	1.33%	0.76%	0.68%	0.99%	1.22%	0.58%	0.38%	0.24%	0.0%	0.20%	0.0%	0.0%	0.0%	0.51%	0.58%	0.97%	0.0%	0.0%	0.19%	0.88%	0.0%	0.79%	0.0%	0.0%	0.54%	0.0%	0.40%	0.42%	0.79%	0.0%	0.0%	0.16%	0.0%	1.81%	0.0%	0.0%	0.0%	0.0%	0.22%	0.0%	0.0%	0.0%	0.0%	0.0%	0.87%	0.31%	0.0%	0.24%	0.37%	0.30%	0.54%	0.0%	0.0%	0.0%	0.44%	0.94%	0.0%	0.57%	0.0%	0.0%	0.4%	0.0%	0.82%	0.29%	0.0%	0.0%	0.0%	0.0%	0.0%	0.57%	0.27%	0.99%	1.12%	0.34%	0.46%	0.0%					
25	"8. ""Народно-республиканская партия России"""	78	6	0	2	3	2	4	6	0	5	0	1	0	2	0	1	0	3	0	0	1	3	1	1	0	0	1	0	2	1	2	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	3	0	0	2	1	1	0	0	2	0	1	1	1	3	0	0	1	1	2	3	0	0	1	0	0	0	0	0	3	1	0	1					
		0.22%	0.42%	0.0%	0.15%	0.20%	0.24%	0.54%	0.35%	0.0%	1.22%	0.0%	0.10%	0.0%	0.54%	0.0%	0.25%	0.0%	0.97%	0.0%	0.0%	0.19%	0.52%	0.75%	0.15%	0.0%	0.0%	0.18%	0.0%	0.80%	0.21%	0.31%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.42%	0.0%	0.11%	0.0%	0.0%	0.0%	0.0%	0.0%	0.52%	0.0%	0.0%	0.24%	0.18%	0.30%	0.0%	0.0%	0.28%	0.0%	0.22%	0.47%	0.86%	0.24%	0.0%	0.0%	0.4%	0.64%	0.82%	0.21%	0.0%	0.0%	0.43%	0.0%	0.0%	0.0%	0.0%	0.0%	0.84%	0.17%	0.0%	0.34%					
26	"9. ""Российская экологическая партия ""Зеленые"""	79	12	0	1	3	3	4	3	1	1	4	1	1	0	0	0	0	2	1	0	3	1	1	2	0	1	0	1	0	0	0	0	0	6	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	1	2	1	0	0	0	0	1	0	7	0	4	1	1	1	1	1	0	0	0	0	0	0	0	0	2	0	0					
		0.22%	0.84%	0.0%	0.07%	0.20%	0.37%	0.54%	0.17%	0.19%	0.24%	2.96%	0.10%	0.52%	0.0%	0.0%	0.0%	0.0%	0.64%	0.90%	0.0%	0.59%	0.17%	0.75%	0.31%	0.0%	0.71%	0.0%	0.26%	0.0%	0.0%	0.0%	0.0%	0.0%	1.00%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.67%	0.0%	0.0%	0.42%	0.0%	0.0%	0.26%	0.0%	0.18%	0.61%	0.54%	0.0%	0.0%	0.0%	0.0%	0.47%	0.0%	0.57%	0.0%	1.55%	0.4%	0.64%	0.41%	0.07%	0.74%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.34%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	1895	60	30	32	38	33	34	62	7	32	10	115	5	20	14	62	79	24	1	2	3	49	4	25	4	1	33	15	14	48	22	6	13	69	28	2	12	2	5	18	33	1	16	18	2	3	14	22	12	15	27	23	21	6	59	1	26	14	0	75	25	12	9	5	9	177	8	34	19	19	10	40	15	6	30	29	24	3					
		5.42%	4.22%	3.64%	2.45%	2.61%	4.08%	4.64%	3.63%	1.36%	7.82%	7.40%	11.97%	2.63%	5.44%	12.17%	16.06%	11.48%	7.76%	0.90%	1.03%	0.59%	8.62%	3.00%	3.98%	1.73%	0.71%	5.95%	4.0%	5.64%	10.21%	3.50%	0.92%	4.0%	11.59%	11.02%	1.81%	4.27%	0.78%	2.10%	5.64%	1.89%	0.37%	5.38%	4.66%	0.87%	1.27%	2.43%	6.85%	3.16%	1.84%	5.07%	7.12%	11.35%	4.68%	8.46%	0.97%	5.77%	6.60%	0.0%	6.10%	12.82%	4.66%	3.6%	3.24%	3.73%	12.84%	5.92%	19.10%	8.18%	10.49%	7.09%	11.49%	4.18%	5.94%	8.40%	4.94%	11.26%	1.04%					
28	"11. ""Истинные патриоты России"""	152	11	5	3	10	6	3	18	3	0	0	1	4	0	0	3	7	1	0	0	0	2	0	3	0	3	1	2	0	3	1	6	1	4	0	0	0	0	0	1	5	2	0	6	1	0	0	1	1	2	3	1	0	1	1	0	1	0	0	4	0	0	1	0	0	8	2	2	1	0	1	1	2	0	0	2	0	1					
		0.43%	0.77%	0.60%	0.23%	0.68%	0.74%	0.40%	1.05%	0.58%	0.0%	0.0%	0.10%	2.10%	0.0%	0.0%	0.77%	1.01%	0.32%	0.0%	0.0%	0.0%	0.35%	0.0%	0.47%	0.0%	2.15%	0.18%	0.53%	0.0%	0.63%	0.15%	0.92%	0.30%	0.67%	0.0%	0.0%	0.0%	0.0%	0.0%	0.31%	0.28%	0.75%	0.0%	1.55%	0.43%	0.0%	0.0%	0.31%	0.26%	0.24%	0.56%	0.30%	0.0%	0.78%	0.14%	0.0%	0.22%	0.0%	0.0%	0.32%	0.0%	0.0%	0.4%	0.0%	0.0%	0.58%	1.48%	1.12%	0.43%	0.0%	0.70%	0.28%	0.55%	0.0%	0.0%	0.34%	0.0%	0.34%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	188	11	2	10	10	10	1	2	4	2	0	11	2	2	3	3	0	1	1	0	0	3	0	1	0	1	1	2	0	3	7	0	1	7	3	1	1	0	0	4	3	0	0	3	2	0	3	2	2	6	1	3	0	1	2	0	3	2	1	4	2	3	2	0	2	8	0	3	5	1	0	4	1	0	1	5	3	0					
		0.53%	0.77%	0.24%	0.76%	0.68%	1.23%	0.13%	0.11%	0.77%	0.48%	0.0%	1.14%	1.05%	0.54%	2.60%	0.77%	0.0%	0.32%	0.90%	0.0%	0.0%	0.52%	0.0%	0.15%	0.0%	0.71%	0.18%	0.53%	0.0%	0.63%	1.11%	0.0%	0.30%	1.17%	1.18%	0.90%	0.35%	0.0%	0.0%	1.25%	0.17%	0.0%	0.0%	0.77%	0.87%	0.0%	0.52%	0.62%	0.52%	0.73%	0.18%	0.92%	0.0%	0.78%	0.28%	0.0%	0.66%	0.94%	0.86%	0.32%	1.02%	1.16%	0.8%	0.0%	0.82%	0.58%	0.0%	1.68%	2.15%	0.55%	0.0%	1.14%	0.27%	0.0%	0.28%	0.85%	1.40%	0.0%					
30	"13. ""Демократическая партия России"""	90	7	3	3	5	5	1	2	1	4	0	3	1	0	0	2	1	1	1	1	0	2	0	0	0	0	0	0	0	2	0	1	1	2	1	0	1	0	0	0	6	0	0	0	0	0	0	3	2	3	0	1	1	1	3	0	1	0	0	3	0	0	1	0	0	3	1	2	1	0	0	0	0	1	4	1	1	0					
		0.25%	0.49%	0.36%	0.23%	0.34%	0.61%	0.13%	0.11%	0.19%	0.97%	0.0%	0.31%	0.52%	0.0%	0.0%	0.51%	0.14%	0.32%	0.90%	0.51%	0.0%	0.35%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.42%	0.0%	0.15%	0.30%	0.33%	0.39%	0.0%	0.35%	0.0%	0.0%	0.0%	0.34%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.93%	0.52%	0.36%	0.0%	0.30%	0.54%	0.78%	0.43%	0.0%	0.22%	0.0%	0.0%	0.24%	0.0%	0.0%	0.4%	0.0%	0.0%	0.21%	0.74%	1.12%	0.43%	0.0%	0.0%	0.0%	0.0%	0.99%	1.12%	0.17%	0.46%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	90	2	3	5	2	2	14	6	3	1	0	2	1	0	0	0	3	0	0	0	0	0	0	6	0	1	1	3	0	0	3	1	1	3	2	0	0	1	0	0	3	0	2	1	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	2	2	0	0	1	2	1	1	0	4	0	0	0	0	0	1	0	0	0					
		0.25%	0.14%	0.36%	0.38%	0.13%	0.24%	1.91%	0.35%	0.58%	0.24%	0.0%	0.20%	0.52%	0.0%	0.0%	0.0%	0.43%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.95%	0.0%	0.71%	0.18%	0.8%	0.0%	0.0%	0.47%	0.15%	0.30%	0.50%	0.78%	0.0%	0.0%	0.39%	0.0%	0.0%	0.17%	0.0%	0.67%	0.25%	0.0%	0.0%	0.0%	0.0%	0.0%	0.12%	0.0%	0.30%	0.0%	0.0%	0.28%	0.0%	0.0%	0.0%	0.0%	0.16%	1.02%	0.0%	0.0%	0.64%	0.82%	0.07%	0.74%	0.0%	1.72%	0.0%	0.0%	0.0%	0.0%	0.0%	0.28%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	44	3	0	1	2	4	0	1	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	7	1	0	0	0	0	1	5	0	0	0	0	0	2	1	1	0	0	1	0	0	1	0	0	2	0					
		0.12%	0.21%	0.0%	0.07%	0.13%	0.49%	0.0%	0.05%	0.58%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.32%	0.0%	0.0%	0.0%	0.0%	0.0%	0.15%	0.0%	0.0%	0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.39%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.43%	0.0%	0.0%	0.0%	0.26%	0.0%	0.18%	0.30%	3.78%	0.78%	0.0%	0.0%	0.0%	0.0%	0.86%	0.40%	0.0%	0.0%	0.0%	0.0%	0.0%	0.14%	0.74%	0.56%	0.0%	0.0%	0.70%	0.0%	0.0%	0.99%	0.0%	0.0%	0.93%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	632	57	25	62	32	21	24	55	31	4	0	24	0	2	1	5	1	3	3	0	3	0	1	8	0	1	8	4	3	17	11	1	1	6	2	0	0	0	0	0	5	3	7	1	0	1	2	2	7	6	1	0	3	0	11	0	8	5	2	31	5	0	4	0	1	47	2	3	11	4	4	13	1	0	6	2	7	11					
		1.80%	4.01%	3.04%	4.75%	2.20%	2.60%	3.27%	3.22%	6.03%	0.97%	0.0%	2.5%	0.0%	0.54%	0.86%	1.29%	0.14%	0.97%	2.72%	0.0%	0.59%	0.0%	0.75%	1.27%	0.0%	0.71%	1.44%	1.06%	1.20%	3.61%	1.75%	0.15%	0.30%	1.00%	0.78%	0.0%	0.0%	0.0%	0.0%	0.0%	0.28%	1.13%	2.35%	0.25%	0.0%	0.42%	0.34%	0.62%	1.84%	0.73%	0.18%	0.0%	1.62%	0.0%	1.57%	0.0%	1.77%	2.35%	1.72%	2.52%	2.56%	0.0%	1.6%	0.0%	0.41%	3.41%	1.48%	1.68%	4.74%	2.20%	2.83%	3.73%	0.27%	0.0%	1.68%	0.34%	3.28%	3.83%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	229	14	4	2	5	7	7	23	6	3	0	3	0	10	0	7	9	1	2	0	2	4	1	1	0	0	10	3	2	1	1	1	2	10	2	0	0	4	1	1	7	0	3	2	1	0	2	4	4	2	2	2	2	7	3	0	8	2	0	5	2	0	2	2	1	2	0	2	2	0	2	2	1	0	3	2	1	0					
