Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																	
Дата голосования: 18.09.2016																																																																	
																																																																	
Наименование Избирательной комиссии:    Верхнеуральская																																																																	
																																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																																	
																																																																	
		Сумма	УИК №1490	УИК №1491	УИК №1492	УИК №1493	УИК №1494	УИК №1495	УИК №1496	УИК №1497	УИК №1498	УИК №1499	УИК №1500	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540	УИК №1541	УИК №1542	УИК №1543									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	326	21	6	6	14	23	33	30	22	3	3	1	7	5	4	3	1	11	2	7	1	11	5	0	3	2	21	1	4	1	0	2	1	2	1	0	15	7	2	19	0	0	0	3	0	3	1	3	2	2	0	1	5	4	2									
		2.18%	2.79%	0.92%	2.28%	1.94%	2.23%	3.23%	3.33%	2.24%	2.04%	5.17%	1.37%	1.62%	3.01%	1.93%	2.07%	0.98%	2.92%	1.87%	1.79%	0.64%	1.67%	3.09%	0.00%	2.16%	1.38%	3.43%	0.98%	3.23%	1.02%	0.00%	2.70%	0.57%	0.74%	1.35%	0.00%	2.57%	7.87%	1.89%	4.12%	0.00%	0.00%	0.00%	2.33%	0.00%	1.01%	1.12%	6.00%	0.41%	2.02%	0.00%	1.20%	2.59%	2.55%	2.08%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6167	291	259	107	283	386	344	342	340	71	26	39	159	50	109	63	30	152	46	179	67	347	66	37	70	79	262	61	53	57	26	20	106	107	32	39	236	31	41	216	74	44	26	66	34	144	36	22	180	34	69	27	92	53	37									
		41.18%	38.59%	39.91%	40.68%	39.31%	37.44%	33.63%	37.92%	34.69%	48.30%	44.83%	53.42%	36.89%	30.12%	52.66%	43.45%	29.41%	40.32%	42.99%	45.78%	42.68%	52.66%	40.74%	77.08%	50.36%	54.48%	42.74%	59.80%	42.74%	58.16%	35.62%	27.03%	60.23%	39.78%	43.24%	33.91%	40.48%	34.83%	38.68%	46.85%	64.91%	59.46%	38.81%	51.16%	44.74%	48.48%	40.45%	44.00%	37.04%	34.34%	40.35%	32.53%	47.67%	33.76%	38.54%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	59	1	2	2	6	4	4	6	5	1	0	0	0	0	1	1	0	3	0	0	1	5	0	1	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	2	0	0	0	1	0	1	0	0	3	1	0	0	0	1	2									
		0.39%	0.13%	0.31%	0.76%	0.83%	0.39%	0.39%	0.67%	0.51%	0.68%	0.00%	0.00%	0.00%	0.00%	0.48%	0.69%	0.00%	0.80%	0.00%	0.00%	0.64%	0.76%	0.00%	2.08%	0.00%	0.00%	0.00%	0.00%	0.00%	1.02%	1.37%	0.00%	0.57%	0.00%	0.00%	0.00%	0.17%	1.12%	0.00%	0.43%	0.00%	0.00%	0.00%	0.78%	0.00%	0.34%	0.00%	0.00%	0.62%	1.01%	0.00%	0.00%	0.00%	0.64%	2.08%									
24	"6. Политическая партия ""Гражданская Платформа"""	35	2	1	0	2	4	1	0	6	0	0	0	1	0	0	0	2	1	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	1	3	0	0	0	0	1	1	0	0	0	0	1	0	1	1	0									
		0.23%	0.27%	0.15%	0.00%	0.28%	0.39%	0.10%	0.00%	0.61%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	1.96%	0.27%	0.00%	0.51%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.49%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.37%	0.00%	0.00%	0.00%	0.00%	0.94%	0.65%	0.00%	0.00%	0.00%	0.00%	1.32%	0.34%	0.00%	0.00%	0.00%	0.00%	0.58%	0.00%	0.52%	0.64%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2718	137	112	47	128	173	229	177	201	27	5	1	85	28	32	22	19	78	12	94	32	94	29	9	16	24	145	17	14	13	21	31	33	53	20	28	74	12	9	88	13	12	17	16	8	44	8	18	84	21	29	8	37	20	14									
		18.15%	18.17%	17.26%	17.87%	17.78%	16.78%	22.39%	19.62%	20.51%	18.37%	8.62%	1.37%	19.72%	16.87%	15.46%	15.17%	18.63%	20.69%	11.21%	24.04%	20.38%	14.26%	17.90%	18.75%	11.51%	16.55%	23.65%	16.67%	11.29%	13.27%	28.77%	41.89%	18.75%	19.70%	27.03%	24.35%	12.69%	13.48%	8.49%	19.09%	11.40%	16.22%	25.37%	12.40%	10.53%	14.81%	8.99%	36.00%	17.28%	21.21%	16.96%	9.64%	19.17%	12.74%	14.58%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	60	5	5	0	3	5	8	4	6	1	0	0	3	1	1	0	0	0	0	2	0	6	0	0	0	2	2	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0									
		0.40%	0.66%	0.77%	0.00%	0.42%	0.48%	0.78%	0.44%	0.61%	0.68%	0.00%	0.00%	0.70%	0.60%	0.48%	0.00%	0.00%	0.00%	0.00%	0.51%	0.00%	0.91%	0.00%	0.00%	0.00%	1.38%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.34%	0.00%	0.00%	0.43%	0.00%	0.00%	0.00%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%	1.01%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	124	6	4	3	5	9	9	5	13	4	1	0	4	2	2	1	0	5	0	3	0	10	3	0	4	0	1	1	0	0	1	0	1	4	2	1	4	0	0	2	0	0	0	1	0	5	0	0	7	0	1	0	0	0	0									
		0.83%	0.80%	0.62%	1.14%	0.69%	0.87%	0.88%	0.55%	1.33%	2.72%	1.72%	0.00%	0.93%	1.20%	0.97%	0.69%	0.00%	1.33%	0.00%	0.77%	0.00%	1.52%	1.85%	0.00%	2.88%	0.00%	0.16%	0.98%	0.00%	0.00%	1.37%	0.00%	0.57%	1.49%	2.70%	0.87%	0.69%	0.00%	0.00%	0.43%	0.00%	0.00%	0.00%	0.78%	0.00%	1.68%	0.00%	0.00%	1.44%	0.00%	0.58%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	14	1	0	0	1	2	0	0	3	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0									
		0.09%	0.13%	0.00%	0.00%	0.14%	0.19%	0.00%	0.00%	0.31%	0.00%	0.00%	0.00%	0.00%	0.00%	0.48%	0.00%	0.98%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.57%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.63%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.52%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	139	10	12	3	11	9	8	8	17	0	0	0	8	1	0	0	1	4	0	5	1	5	0	0	0	1	9	0	0	1	1	1	1	1	0	4	4	0	0	2	0	0	3	1	0	3	0	0	2	0	0	2	0	0	0									
		0.93%	1.33%	1.85%	1.14%	1.53%	0.87%	0.78%	0.89%	1.73%	0.00%	0.00%	0.00%	1.86%	0.60%	0.00%	0.00%	0.98%	1.06%	0.00%	1.28%	0.64%	0.76%	0.00%	0.00%	0.00%	0.69%	1.47%	0.00%	0.00%	1.02%	1.37%	1.35%	0.57%	0.37%	0.00%	3.48%	0.69%	0.00%	0.00%	0.43%	0.00%	0.00%	4.48%	0.78%	0.00%	1.01%	0.00%	0.00%	0.41%	0.00%	0.00%	2.41%	0.00%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1881	52	78	23	81	80	164	153	183	21	7	12	94	32	25	27	21	26	21	38	12	84	5	0	13	10	69	8	19	2	10	6	9	62	6	11	95	15	8	44	5	8	5	6	11	58	11	2	65	10	18	24	16	11	5									
		12.56%	6.90%	12.02%	8.75%	11.25%	7.76%	16.03%	16.96%	18.67%	14.29%	12.07%	16.44%	21.81%	19.28%	12.08%	18.62%	20.59%	6.90%	19.63%	9.72%	7.64%	12.75%	3.09%	0.00%	9.35%	6.90%	11.26%	7.84%	15.32%	2.04%	13.70%	8.11%	5.11%	23.05%	8.11%	9.57%	16.30%	16.85%	7.55%	9.54%	4.39%	10.81%	7.46%	4.65%	14.47%	19.53%	12.36%	4.00%	13.37%	10.10%	10.53%	28.92%	8.29%	7.01%	5.21%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	60	4	0	0	2	3	1	4	3	4	0	2	0	0	0	0	1	2	1	2	0	7	1	0	0	0	0	1	0	0	0	1	1	0	0	1	0	1	2	4	0	0	1	1	0	1	1	0	1	0	2	1	1	1	2									
		0.40%	0.53%	0.00%	0.00%	0.28%	0.29%	0.10%	0.44%	0.31%	2.72%	0.00%	2.74%	0.00%	0.00%	0.00%	0.00%	0.98%	0.53%	0.93%	0.51%	0.00%	1.06%	0.62%	0.00%	0.00%	0.00%	0.00%	0.98%	0.00%	0.00%	0.00%	1.35%	0.57%	0.00%	0.00%	0.87%	0.00%	1.12%	1.89%	0.87%	0.00%	0.00%	1.49%	0.78%	0.00%	0.34%	1.12%	0.00%	0.21%	0.00%	1.17%	1.20%	0.52%	0.64%	2.08%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2418	178	128	54	148	263	130	99	95	10	13	15	44	34	20	14	9	85	13	50	35	65	49	0	25	10	58	7	20	19	11	12	20	25	10	30	111	10	31	45	16	8	10	26	8	16	23	5	114	22	42	18	28	56	31									
		16.15%	23.61%	19.72%	20.53%	20.56%	25.51%	12.71%	10.98%	9.69%	6.80%	22.41%	20.55%	10.21%	20.48%	9.66%	9.66%	8.82%	22.55%	12.15%	12.79%	22.29%	9.86%	30.25%	0.00%	17.99%	6.90%	9.46%	6.86%	16.13%	19.39%	15.07%	16.22%	11.36%	9.29%	13.51%	26.09%	19.04%	11.24%	29.25%	9.76%	14.04%	10.81%	14.93%	20.16%	10.53%	5.39%	25.84%	10.00%	23.46%	22.22%	24.56%	21.69%	14.51%	35.67%	32.29%									
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
