Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																									
Дата голосования: 18.09.2016																									
																									
Наименование Избирательной комиссии:    Лоухская																									
																									
Сводная таблица итогов голосования по федеральному избирательному округу																									
																									
		Сумма	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	51	11	8	7	10	1	4	3	2	2	0	0	1	2	0									
		1.04%	1.13%	1.36%	0.97%	1.04%	0.59%	1.68%	0.76%	1.20%	1.25%	0.00%	0.00%	1.64%	6.25%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	191	44	17	39	40	3	5	12	7	7	4	5	2	1	5									
		3.90%	4.50%	2.89%	5.42%	4.15%	1.76%	2.10%	3.05%	4.22%	4.38%	3.15%	3.85%	3.28%	3.13%	2.91%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	136	22	12	25	36	3	3	11	5	1	3	7	2	0	6									
		2.78%	2.25%	2.04%	3.48%	3.73%	1.76%	1.26%	2.79%	3.01%	0.63%	2.36%	5.38%	3.28%	0.00%	3.49%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1966	391	222	261	348	78	100	176	64	66	72	62	27	17	82									
		40.12%	40.02%	37.69%	36.30%	36.06%	45.88%	42.02%	44.67%	38.55%	41.25%	56.69%	47.69%	44.26%	53.13%	47.67%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	27	8	4	5	3	1	1	1	1	0	1	0	0	0	2									
		0.55%	0.82%	0.68%	0.70%	0.31%	0.59%	0.42%	0.25%	0.60%	0.00%	0.79%	0.00%	0.00%	0.00%	1.16%									
24	"6. Политическая партия ""Гражданская Платформа"""	12	2	1	2	3	0	0	1	2	0	0	0	0	0	1									
		0.24%	0.20%	0.17%	0.28%	0.31%	0.00%	0.00%	0.25%	1.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.58%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	975	181	113	121	196	50	93	73	34	29	20	25	4	4	32									
		19.90%	18.53%	19.19%	16.83%	20.31%	29.41%	39.08%	18.53%	20.48%	18.13%	15.75%	19.23%	6.56%	12.50%	18.60%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	20	3	3	6	3	1	1	0	1	1	0	0	1	0	0									
		0.41%	0.31%	0.51%	0.83%	0.31%	0.59%	0.42%	0.00%	0.60%	0.63%	0.00%	0.00%	1.64%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	30	6	3	8	5	1	0	2	1	0	0	4	0	0	0									
		0.61%	0.61%	0.51%	1.11%	0.52%	0.59%	0.00%	0.51%	0.60%	0.00%	0.00%	3.08%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	7	3	0	1	1	0	1	1	0	0	0	0	0	0	0									
		0.14%	0.31%	0.00%	0.14%	0.10%	0.00%	0.42%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	107	19	16	14	36	2	1	5	3	4	0	3	0	0	4									
		2.18%	1.94%	2.72%	1.95%	3.73%	1.18%	0.42%	1.27%	1.81%	2.50%	0.00%	2.31%	0.00%	0.00%	2.33%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	766	145	123	143	156	15	18	50	14	32	8	19	15	4	24									
		15.63%	14.84%	20.88%	19.89%	16.17%	8.82%	7.56%	12.69%	8.43%	20.00%	6.30%	14.62%	24.59%	12.50%	13.95%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	31	3	3	8	3	3	0	3	4	1	2	1	0	0	0									
		0.63%	0.31%	0.51%	1.11%	0.31%	1.76%	0.00%	0.76%	2.41%	0.63%	1.57%	0.77%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	407	102	47	51	95	8	6	40	15	10	13	2	5	3	10									
		8.31%	10.44%	7.98%	7.09%	9.84%	4.71%	2.52%	10.15%	9.04%	6.25%	10.24%	1.54%	8.20%	9.38%	5.81%									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
