Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																									
Дата голосования: 07.12.2003 0:00:00																																																																																									
																																																																																									
Наименование Избирательной комиссии:    Белорецкая городская																																																																																									
																																																																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																									
																																																																																									
		Сумма	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	996	10	24	32	38	20	15	25	20	13	15	14	15	36	20	20	30	30	30	11	14	17	15	15	15	12	45	10	26	5	8	0	20	15	10	10	6	0	10	4	10	10	10	0	10	0	10	10	10	10	10	10	10	1	7	10	10	10	10	0	10	6	3	3	3	1	10	10	10	2	10	10	18	0	15	5	10	5	10	2	10	0	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	722	10	23	32	35	20	14	23	15	13	13	13	15	36	20	17	22	15	18	11	13	14	15	13	13	12	39	9	25	5	8	0	20	15	6	2	6	0	6	4	0	0	2	0	0	0	2	2	5	5	10	7	0	1	5	2	2	2	1	0	2	6	3	3	2	1	7	0	1	0	3	3	18	0	11	0	3	4	9	2	5	0	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	738	5	14	12	5	13	0	5	4	1	14	5	5	0	5	9	6	8	7	3	4	2	4	3	2	4	3	346	8	5	7	3	3	3	3	3	9	5	2	5	4	6	2	13	3	0	3	2	6	4	2	14	25	0	3	2	2	13	2	1	2	4	5	1	3	2	3	5	6	3	2	7	11	2	2	0	4	7	5	4	1	3	4					
14	Число погашенных открепительных удостоверений	274	0	1	0	3	0	1	2	5	0	2	1	0	0	0	3	8	15	12	0	1	3	0	2	2	0	6	1	1	0	0	0	0	0	4	8	0	0	4	0	10	10	8	0	10	0	8	8	5	5	0	3	10	0	2	8	8	8	9	0	8	0	0	0	1	0	3	10	9	2	7	7	0	0	4	5	7	1	1	0	5	0	7					
15	Число открепительных удостоверений выданных ТИК	4	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																									
18	"1. ""ЕДИНЕНИЕ"""	1306	21	13	31	12	25	21	16	21	15	24	20	18	15	23	14	27	40	16	22	13	16	26	29	35	17	27	22	38	20	13	15	29	28	17	16	35	10	10	15	3	8	4	19	11	3	10	8	12	8	10	50	16	7	13	6	13	18	6	2	1	22	25	0	11	4	2	9	16	6	6	8	32	10	17	4	5	10	16	20	6	16	8					
		2.25%	1.75%	1.06%	2.09%	1.04%	1.91%	1.50%	1.24%	1.66%	1.19%	2.09%	1.55%	1.66%	1.20%	1.78%	1.11%	2.16%	3.05%	1.51%	1.70%	1.25%	1.32%	1.89%	2.36%	2.72%	1.79%	2.61%	1.55%	3.39%	2.73%	1.40%	2.03%	2.59%	2.43%	3.21%	2.56%	3.86%	2.00%	2.38%	3.52%	0.93%	4.81%	2.08%	4.79%	2.75%	3.94%	1.68%	1.29%	2.22%	1.59%	1.29%	6.51%	7.37%	3.76%	4.62%	2.91%	3.35%	4.61%	2.28%	1.73%	0.81%	4.06%	5.30%	0.0%	4.16%	2.10%	0.60%	2.63%	2.57%	2.38%	2.69%	3.49%	3.42%	5.64%	3.46%	4.59%	2.47%	1.37%	4.86%	5.54%	1.55%	6.66%	4.67%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	1218	33	50	38	38	51	43	25	32	32	36	41	46	29	57	38	30	48	23	27	18	24	37	32	39	32	18	29	13	22	37	5	13	24	4	4	7	5	2	2	1	1	1	5	5	1	6	2	5	3	12	13	3	0	5	2	0	2	1	0	0	7	1	0	1	0	3	13	4	2	1	1	8	1	9	2	1	5	2	1	1	1	2					
		2.10%	2.75%	4.09%	2.56%	3.29%	3.89%	3.08%	1.94%	2.53%	2.54%	3.13%	3.18%	4.24%	2.33%	4.43%	3.01%	2.40%	3.66%	2.17%	2.09%	1.73%	1.98%	2.69%	2.61%	3.03%	3.37%	1.74%	2.04%	1.16%	3.00%	3.99%	0.67%	1.16%	2.08%	0.75%	0.64%	0.77%	1.00%	0.47%	0.47%	0.31%	0.60%	0.52%	1.26%	1.25%	1.31%	1.00%	0.32%	0.92%	0.59%	1.55%	1.69%	1.38%	0.0%	1.77%	0.97%	0.0%	0.51%	0.38%	0.0%	0.0%	1.29%	0.21%	0.0%	0.37%	0.0%	0.90%	3.80%	0.64%	0.79%	0.44%	0.43%	0.85%	0.56%	1.83%	2.29%	0.49%	0.68%	0.60%	0.27%	0.25%	0.41%	1.16%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	2425	59	35	32	40	68	47	60	72	61	70	78	47	63	61	45	63	82	69	67	47	61	46	62	65	43	42	62	42	30	43	49	34	43	25	23	34	8	10	29	2	3	0	17	23	9	36	29	40	17	35	15	9	1	8	4	19	4	3	1	2	25	8	0	5	2	21	10	27	6	2	11	35	4	14	6	2	21	7	3	17	3	2					
		4.19%	4.91%	2.86%	2.15%	3.47%	5.19%	3.37%	4.66%	5.70%	4.84%	6.09%	6.05%	4.33%	5.06%	4.74%	3.57%	5.04%	6.25%	6.53%	5.19%	4.52%	5.04%	3.34%	5.06%	5.06%	4.53%	4.06%	4.37%	3.74%	4.09%	4.64%	6.63%	3.04%	3.73%	4.72%	3.69%	3.75%	1.60%	2.38%	6.82%	0.62%	1.80%	0.0%	4.29%	5.76%	11.84%	6.05%	4.68%	7.40%	3.37%	4.53%	1.95%	4.14%	0.53%	2.84%	1.94%	4.90%	1.02%	1.14%	0.86%	1.63%	4.62%	1.69%	0.0%	1.89%	1.05%	6.34%	2.92%	4.34%	2.38%	0.89%	4.80%	3.74%	2.25%	2.85%	6.89%	0.99%	2.88%	2.12%	0.83%	4.41%	1.25%	1.16%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	2447	65	112	87	67	83	106	73	73	75	89	94	60	73	93	60	78	84	88	73	43	52	76	85	68	43	46	66	28	37	24	29	34	26	9	13	16	6	7	5	5	0	2	15	4	2	6	9	11	3	7	10	3	2	8	2	5	5	3	0	1	7	1	0	1	0	4	2	9	3	1	6	18	1	13	0	1	25	0	2	2	2	0					
		4.23%	5.41%	9.16%	5.87%	5.81%	6.34%	7.60%	5.67%	5.77%	5.95%	7.75%	7.29%	5.53%	5.87%	7.23%	4.76%	6.25%	6.41%	8.33%	5.66%	4.14%	4.30%	5.52%	6.93%	5.29%	4.53%	4.44%	4.66%	2.49%	5.05%	2.59%	3.92%	3.04%	2.25%	1.70%	2.08%	1.76%	1.20%	1.66%	1.17%	1.56%	0.0%	1.04%	3.78%	1.00%	2.63%	1.00%	1.45%	2.03%	0.59%	0.90%	1.30%	1.38%	1.07%	2.84%	0.97%	1.29%	1.28%	1.14%	0.0%	0.81%	1.29%	0.21%	0.0%	0.37%	0.0%	1.20%	0.58%	1.44%	1.19%	0.44%	2.62%	1.92%	0.56%	2.64%	0.0%	0.49%	3.43%	0.0%	0.55%	0.51%	0.83%	0.0%					
22	"5. ""За Русь Святую"""	286	7	11	7	4	11	9	7	4	10	9	6	5	5	7	4	5	8	7	5	5	2	2	4	3	7	9	7	4	11	4	5	6	5	6	4	1	0	1	0	0	0	1	3	4	2	6	4	8	4	2	0	0	0	0	1	1	1	0	0	0	2	1	0	0	0	5	6	4	1	0	1	4	0	0	1	0	5	0	0	1	0	1					
		0.49%	0.58%	0.90%	0.47%	0.34%	0.84%	0.64%	0.54%	0.31%	0.79%	0.78%	0.46%	0.46%	0.40%	0.54%	0.31%	0.40%	0.61%	0.66%	0.38%	0.48%	0.16%	0.14%	0.32%	0.23%	0.73%	0.87%	0.49%	0.35%	1.50%	0.43%	0.67%	0.53%	0.43%	1.13%	0.64%	0.11%	0.0%	0.23%	0.0%	0.0%	0.0%	0.52%	0.75%	1.00%	2.63%	1.00%	0.64%	1.48%	0.79%	0.25%	0.0%	0.0%	0.0%	0.0%	0.48%	0.25%	0.25%	0.0%	0.0%	0.0%	0.36%	0.21%	0.0%	0.0%	0.0%	1.51%	1.75%	0.64%	0.39%	0.0%	0.43%	0.42%	0.0%	0.0%	1.14%	0.0%	0.68%	0.0%	0.0%	0.25%	0.0%	0.58%					
23	"6. ""Объединенная Российская партия ""Русь"""	172	8	6	6	1	2	2	0	5	1	1	5	3	2	1	3	2	1	1	5	2	1	3	3	10	0	5	3	5	4	3	5	4	3	0	1	1	0	2	0	0	0	0	5	4	0	0	0	2	2	3	5	0	0	2	2	3	3	0	0	0	3	1	0	2	1	1	0	2	3	2	0	6	1	1	0	1	1	2	2	2	0	0					
		0.29%	0.66%	0.49%	0.40%	0.08%	0.15%	0.14%	0.0%	0.39%	0.07%	0.08%	0.38%	0.27%	0.16%	0.07%	0.23%	0.16%	0.07%	0.09%	0.38%	0.19%	0.08%	0.21%	0.24%	0.77%	0.0%	0.48%	0.21%	0.44%	0.54%	0.32%	0.67%	0.35%	0.26%	0.0%	0.16%	0.11%	0.0%	0.47%	0.0%	0.0%	0.0%	0.0%	1.26%	1.00%	0.0%	0.0%	0.0%	0.37%	0.39%	0.38%	0.65%	0.0%	0.0%	0.71%	0.97%	0.77%	0.76%	0.0%	0.0%	0.0%	0.55%	0.21%	0.0%	0.75%	0.52%	0.30%	0.0%	0.32%	1.19%	0.89%	0.0%	0.64%	0.56%	0.20%	0.0%	0.49%	0.13%	0.60%	0.55%	0.51%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	614	18	27	15	17	19	18	29	23	17	12	9	10	12	22	16	24	17	13	14	14	16	22	14	15	10	16	23	15	5	10	6	5	5	2	10	2	1	2	2	0	0	1	2	3	2	2	3	5	2	15	7	1	0	0	2	0	2	0	0	0	2	4	0	1	0	1	0	3	1	1	1	8	0	2	3	1	1	3	1	4	3	0					
		1.06%	1.5%	2.20%	1.01%	1.47%	1.45%	1.29%	2.25%	1.82%	1.35%	1.04%	0.69%	0.92%	0.96%	1.71%	1.27%	1.92%	1.29%	1.23%	1.08%	1.34%	1.32%	1.6%	1.14%	1.16%	1.05%	1.54%	1.62%	1.33%	0.68%	1.07%	0.81%	0.44%	0.43%	0.37%	1.60%	0.22%	0.20%	0.47%	0.47%	0.0%	0.0%	0.52%	0.50%	0.75%	2.63%	0.33%	0.48%	0.92%	0.39%	1.94%	0.91%	0.46%	0.0%	0.0%	0.97%	0.0%	0.51%	0.0%	0.0%	0.0%	0.36%	0.84%	0.0%	0.37%	0.0%	0.30%	0.0%	0.48%	0.39%	0.44%	0.43%	0.85%	0.0%	0.40%	3.44%	0.49%	0.13%	0.91%	0.27%	1.03%	1.25%	0.0%					
25	"8. ""Народно-республиканская партия России"""	151	2	5	0	0	5	0	1	6	4	1	1	1	3	1	2	2	1	4	5	2	5	0	1	5	6	3	5	5	2	1	1	5	5	0	3	3	0	0	0	0	0	0	1	4	0	0	0	1	1	5	6	0	0	5	2	4	0	1	0	0	6	1	0	0	0	3	1	2	0	0	0	2	1	1	0	0	2	1	0	5	0	0					
		0.26%	0.16%	0.40%	0.0%	0.0%	0.38%	0.0%	0.07%	0.47%	0.31%	0.08%	0.07%	0.09%	0.24%	0.07%	0.15%	0.16%	0.07%	0.37%	0.38%	0.19%	0.41%	0.0%	0.08%	0.38%	0.63%	0.29%	0.35%	0.44%	0.27%	0.10%	0.13%	0.44%	0.43%	0.0%	0.48%	0.33%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.25%	1.00%	0.0%	0.0%	0.0%	0.18%	0.19%	0.64%	0.78%	0.0%	0.0%	1.77%	0.97%	1.03%	0.0%	0.38%	0.0%	0.0%	1.10%	0.21%	0.0%	0.0%	0.0%	0.90%	0.29%	0.32%	0.0%	0.0%	0.0%	0.21%	0.56%	0.20%	0.0%	0.0%	0.27%	0.30%	0.0%	1.29%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	211	7	6	7	5	5	3	10	6	2	7	8	6	4	5	12	3	3	3	8	4	2	6	7	8	4	5	2	6	6	2	3	3	0	1	1	3	4	2	3	0	1	0	0	2	1	0	2	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	5	0	4	1	0	4	1	0	0	1	0					
		0.36%	0.58%	0.49%	0.47%	0.43%	0.38%	0.21%	0.77%	0.47%	0.15%	0.60%	0.62%	0.55%	0.32%	0.38%	0.95%	0.24%	0.22%	0.28%	0.62%	0.38%	0.16%	0.43%	0.57%	0.62%	0.42%	0.48%	0.14%	0.53%	0.81%	0.21%	0.40%	0.26%	0.0%	0.18%	0.16%	0.33%	0.80%	0.47%	0.70%	0.0%	0.60%	0.0%	0.0%	0.50%	1.31%	0.0%	0.32%	0.0%	0.0%	0.25%	0.0%	0.46%	0.53%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.30%	0.29%	0.16%	0.0%	0.0%	0.0%	0.53%	0.0%	0.81%	1.14%	0.0%	0.55%	0.30%	0.0%	0.0%	0.41%	0.0%					
27	"10. ""Аграрная партия России"""	1229	40	27	22	15	13	20	19	25	21	26	10	14	19	16	24	23	17	23	16	29	36	27	29	22	26	12	27	16	20	7	20	16	23	1	10	16	10	7	4	8	6	1	4	6	1	10	16	8	14	20	25	7	6	27	6	26	5	2	0	4	11	7	0	1	0	3	7	34	13	2	4	43	8	29	2	18	39	6	9	12	15	16					
		2.12%	3.33%	2.20%	1.48%	1.30%	0.99%	1.43%	1.47%	1.97%	1.66%	2.26%	0.77%	1.29%	1.52%	1.24%	1.90%	1.84%	1.29%	2.17%	1.24%	2.79%	2.97%	1.96%	2.36%	1.71%	2.74%	1.16%	1.90%	1.42%	2.73%	0.75%	2.71%	1.43%	1.99%	0.18%	1.60%	1.76%	2.00%	1.66%	0.94%	2.5%	3.61%	0.52%	1.01%	1.50%	1.31%	1.68%	2.58%	1.48%	2.78%	2.59%	3.25%	3.22%	3.22%	9.60%	2.91%	6.71%	1.28%	0.76%	0.0%	3.27%	2.03%	1.48%	0.0%	0.37%	0.0%	0.90%	2.04%	5.47%	5.15%	0.89%	1.74%	4.59%	4.51%	5.90%	2.29%	8.91%	5.36%	1.82%	2.49%	3.11%	6.25%	9.35%					
28	"11. ""Истинные патриоты России"""	222	3	3	8	2	2	7	3	6	3	2	4	4	8	1	3	7	3	1	5	18	1	3	4	3	6	2	2	7	2	1	2	2	4	0	0	8	4	4	1	2	3	1	2	1	0	3	5	4	3	3	2	3	1	0	3	1	1	0	0	0	3	3	0	2	0	3	2	1	0	0	0	12	0	0	0	1	0	1	0	7	0	0					
		0.38%	0.25%	0.24%	0.53%	0.17%	0.15%	0.50%	0.23%	0.47%	0.23%	0.17%	0.31%	0.36%	0.64%	0.07%	0.23%	0.56%	0.22%	0.09%	0.38%	1.73%	0.08%	0.21%	0.32%	0.23%	0.63%	0.19%	0.14%	0.62%	0.27%	0.10%	0.27%	0.17%	0.34%	0.0%	0.0%	0.88%	0.80%	0.95%	0.23%	0.62%	1.80%	0.52%	0.50%	0.25%	0.0%	0.50%	0.80%	0.74%	0.59%	0.38%	0.26%	1.38%	0.53%	0.0%	1.45%	0.25%	0.25%	0.0%	0.0%	0.0%	0.55%	0.63%	0.0%	0.75%	0.0%	0.90%	0.58%	0.16%	0.0%	0.0%	0.0%	1.28%	0.0%	0.0%	0.0%	0.49%	0.0%	0.30%	0.0%	1.81%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	525	5	15	11	13	11	12	16	11	16	12	18	16	12	4	9	11	6	11	4	11	7	9	9	12	13	4	12	12	14	18	8	21	17	1	0	7	2	7	5	0	0	1	6	5	1	12	4	4	5	3	13	2	3	2	1	4	2	1	0	1	6	1	0	2	1	2	5	8	0	0	4	1	0	4	0	2	6	3	0	4	2	2					
		0.90%	0.41%	1.22%	0.74%	1.12%	0.84%	0.86%	1.24%	0.87%	1.27%	1.04%	1.39%	1.47%	0.96%	0.31%	0.71%	0.88%	0.45%	1.04%	0.31%	1.05%	0.57%	0.65%	0.73%	0.93%	1.37%	0.38%	0.84%	1.07%	1.91%	1.94%	1.08%	1.88%	1.47%	0.18%	0.0%	0.77%	0.40%	1.66%	1.17%	0.0%	0.0%	0.52%	1.51%	1.25%	1.31%	2.01%	0.64%	0.74%	0.99%	0.38%	1.69%	0.92%	1.61%	0.71%	0.48%	1.03%	0.51%	0.38%	0.0%	0.81%	1.10%	0.21%	0.0%	0.75%	0.52%	0.60%	1.46%	1.28%	0.0%	0.0%	1.74%	0.10%	0.0%	0.81%	0.0%	0.99%	0.82%	0.91%	0.0%	1.03%	0.83%	1.16%					
30	"13. ""Демократическая партия России"""	228	6	4	6	2	1	5	5	4	3	4	2	3	1	5	2	8	5	2	4	1	4	7	4	11	5	4	12	3	1	4	3	1	6	11	3	2	1	3	0	0	0	1	4	3	1	3	0	4	1	2	4	2	1	0	1	2	2	2	0	0	3	3	0	1	1	3	0	4	0	2	0	1	1	3	1	1	7	3	0	2	1	0					
		0.39%	0.5%	0.32%	0.40%	0.17%	0.07%	0.35%	0.38%	0.31%	0.23%	0.34%	0.15%	0.27%	0.08%	0.38%	0.15%	0.64%	0.38%	0.18%	0.31%	0.09%	0.33%	0.50%	0.32%	0.85%	0.52%	0.38%	0.84%	0.26%	0.13%	0.43%	0.40%	0.08%	0.52%	2.07%	0.48%	0.22%	0.20%	0.71%	0.0%	0.0%	0.0%	0.52%	1.01%	0.75%	1.31%	0.50%	0.0%	0.74%	0.19%	0.25%	0.52%	0.92%	0.53%	0.0%	0.48%	0.51%	0.51%	0.76%	0.0%	0.0%	0.55%	0.63%	0.0%	0.37%	0.52%	0.90%	0.0%	0.64%	0.0%	0.89%	0.0%	0.10%	0.56%	0.61%	1.14%	0.49%	0.96%	0.91%	0.0%	0.51%	0.41%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	293	10	6	3	7	6	3	4	4	5	5	5	3	5	7	0	5	5	2	12	8	7	6	4	5	2	13	8	6	5	4	4	4	3	26	4	4	3	4	3	0	0	0	1	3	5	5	2	4	0	1	5	1	1	1	0	1	1	3	0	0	8	1	0	0	0	3	3	4	1	0	1	3	2	1	1	0	6	2	2	1	0	0					
		0.50%	0.83%	0.49%	0.20%	0.60%	0.45%	0.21%	0.31%	0.31%	0.39%	0.43%	0.38%	0.27%	0.40%	0.54%	0.0%	0.40%	0.38%	0.18%	0.93%	0.77%	0.57%	0.43%	0.32%	0.38%	0.21%	1.25%	0.56%	0.53%	0.68%	0.43%	0.54%	0.35%	0.26%	4.91%	0.64%	0.44%	0.60%	0.95%	0.70%	0.0%	0.0%	0.0%	0.25%	0.75%	6.57%	0.84%	0.32%	0.74%	0.0%	0.12%	0.65%	0.46%	0.53%	0.35%	0.0%	0.25%	0.25%	1.14%	0.0%	0.0%	1.47%	0.21%	0.0%	0.0%	0.0%	0.90%	0.87%	0.64%	0.39%	0.0%	0.43%	0.32%	1.12%	0.20%	1.14%	0.0%	0.82%	0.60%	0.55%	0.25%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	118	3	2	1	1	3	1	2	3	2	1	5	4	1	0	2	1	1	3	2	1	1	2	1	4	5	3	3	7	3	0	3	2	11	3	2	2	1	0	1	0	2	0	2	1	0	1	0	2	0	2	0	1	0	2	0	0	0	0	0	0	1	2	0	0	1	3	0	1	0	0	2	1	0	0	0	0	0	1	0	0	0	0					
		0.20%	0.25%	0.16%	0.06%	0.08%	0.22%	0.07%	0.15%	0.23%	0.15%	0.08%	0.38%	0.36%	0.08%	0.0%	0.15%	0.08%	0.07%	0.28%	0.15%	0.09%	0.08%	0.14%	0.08%	0.31%	0.52%	0.29%	0.21%	0.62%	0.40%	0.0%	0.40%	0.17%	0.95%	0.56%	0.32%	0.22%	0.20%	0.0%	0.23%	0.0%	1.20%	0.0%	0.50%	0.25%	0.0%	0.16%	0.0%	0.37%	0.0%	0.25%	0.0%	0.46%	0.0%	0.71%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	0.42%	0.0%	0.0%	0.52%	0.90%	0.0%	0.16%	0.0%	0.0%	0.87%	0.10%	0.0%	0.0%	0.0%	0.0%	0.0%	0.30%	0.0%	0.0%	0.0%	0.0%					
