Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва															
Дата голосования: 07.12.2003 0:00:00															
															
Наименование Избирательной комиссии:    Сургутская															
															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)															
															
		Сумма	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	33	2	7	9	4	0	0	1	10					
		0.82%	0.31%	0.70%	1.01%	1.12%	0.0%	0.0%	1.25%	1.25%					
30	"13. ""Демократическая партия России"""	21	2	3	6	3	2	0	0	5					
		0.52%	0.31%	0.30%	0.67%	0.84%	0.89%	0.0%	0.0%	0.62%					
31	"14. ""Великая Россия - Евразийский Союз"""	7	0	0	3	2	2	0	0	0					
		0.17%	0.0%	0.0%	0.33%	0.56%	0.89%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	6	0	3	1	0	0	0	0	2					
		0.15%	0.0%	0.30%	0.11%	0.0%	0.0%	0.0%	0.0%	0.25%					
33	"16. ""Родина"" (народно-патриотический союз)"""	119	13	22	15	11	7	0	6	45					
		2.97%	2.03%	2.21%	1.68%	3.09%	3.12%	0.0%	7.5%	5.66%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	8	1	5	0	0	0	0	0	2					
		0.20%	0.15%	0.50%	0.0%	0.0%	0.0%	0.0%	0.0%	0.25%					
35	"18. ""ЛДПР"""	1020	180	255	253	106	63	8	8	147					
		25.52%	28.16%	25.70%	28.49%	29.85%	28.12%	34.78%	10.0%	18.49%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	46	4	17	9	0	2	1	0	13					
		1.15%	0.62%	1.71%	1.01%	0.0%	0.89%	4.34%	0.0%	1.63%					
37	"20. ""Политическая партия ""Единая Россия"""	1585	246	404	337	139	80	7	33	339					
		39.66%	38.49%	40.72%	37.95%	39.15%	35.71%	30.43%	41.25%	42.64%					
38	"21. ""Российская Конституционно-демократическая партия"""	6	1	1	1	0	0	0	0	3					
		0.15%	0.15%	0.10%	0.11%	0.0%	0.0%	0.0%	0.0%	0.37%					
39	"22. ""Развитие предпринимательства"""	14	3	3	1	0	2	0	0	5					
		0.35%	0.46%	0.30%	0.11%	0.0%	0.89%	0.0%	0.0%	0.62%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	275	51	63	62	15	15	5	7	57					
		6.88%	7.98%	6.35%	6.98%	4.22%	6.69%	21.73%	8.75%	7.16%					
															
41	Против всех	259	42	65	48	17	17	0	22	48					
		6.48%	6.57%	6.55%	5.40%	4.78%	7.58%	0.0%	27.5%	6.03%					
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
