Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																									
Дата голосования: 18.09.2016																																																									
																																																									
"Наименование Избирательной комиссии:    Смоленск, Заднепровская"																																																									
																																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																																									
																																																									
		Сумма	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	412	6	3	11	7	15	22	8	1	1	13	9	14	16	14	21	10	2	1	15	19	2	4	15	8	12	10	6	16	8	9	6	6	12	1	4	13	4	7	3	5	5	3	12	14	18	1									
		1.47%	2.99%	0.53%	1.63%	1.85%	3.90%	1.33%	1.81%	0.68%	1.16%	2.45%	0.66%	1.70%	1.77%	2.21%	2.58%	1.47%	0.29%	1.32%	2.02%	1.74%	0.37%	0.40%	2.06%	1.63%	1.73%	1.79%	0.82%	1.95%	1.49%	1.39%	0.94%	1.10%	1.95%	0.19%	0.79%	1.85%	0.74%	1.23%	1.46%	2.22%	2.59%	0.70%	1.38%	1.85%	2.69%	0.28%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	563	4	11	21	5	6	23	8	6	3	16	18	15	27	13	17	13	1	2	11	11	3	10	15	10	22	12	19	29	9	15	24	9	12	7	16	17	11	18	4	6	5	10	7	19	12	11									
		2.01%	1.99%	1.95%	3.12%	1.32%	1.56%	1.39%	1.81%	4.08%	3.49%	3.02%	1.32%	1.82%	2.98%	2.05%	2.09%	1.91%	0.14%	2.63%	1.48%	1.01%	0.55%	1.00%	2.06%	2.04%	3.18%	2.14%	2.59%	3.54%	1.68%	2.31%	3.77%	1.65%	1.95%	1.36%	3.15%	2.42%	2.03%	3.16%	1.94%	2.67%	2.59%	2.35%	0.80%	2.52%	1.79%	3.05%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	596	7	18	18	6	12	26	12	2	1	19	10	30	16	24	26	23	4	3	27	16	2	8	12	13	20	20	15	19	13	18	14	18	9	4	3	16	11	14	10	3	2	8	16	9	11	8									
		2.13%	3.48%	3.19%	2.67%	1.58%	3.12%	1.57%	2.71%	1.36%	1.16%	3.58%	0.73%	3.65%	1.77%	3.79%	3.19%	3.38%	0.57%	3.95%	3.63%	1.47%	0.37%	0.80%	1.65%	2.65%	2.89%	3.57%	2.05%	2.32%	2.42%	2.78%	2.20%	3.29%	1.46%	0.78%	0.59%	2.28%	2.03%	2.46%	4.85%	1.33%	1.04%	1.88%	1.84%	1.19%	1.64%	2.22%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	13685	93	259	296	199	139	1027	179	50	45	200	1052	434	396	224	297	222	363	41	283	601	292	692	301	200	263	214	361	308	201	217	238	245	343	417	269	370	283	258	97	87	75	229	412	377	286	250									
		48.89%	46.27%	45.84%	43.92%	52.51%	36.10%	61.87%	40.41%	34.01%	52.33%	37.74%	77.18%	52.73%	43.71%	35.33%	36.44%	32.60%	51.93%	53.95%	38.09%	55.14%	53.78%	69.27%	41.29%	40.82%	38.01%	38.21%	49.25%	37.56%	37.43%	33.49%	37.42%	44.79%	55.68%	81.29%	52.95%	52.71%	52.21%	45.26%	47.09%	38.67%	38.86%	53.76%	47.36%	49.93%	42.69%	69.25%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	267	3	2	3	0	6	26	4	0	1	10	2	11	12	9	15	11	1	0	6	8	4	11	0	7	8	10	7	8	7	9	5	5	9	2	4	5	2	3	1	0	3	4	7	7	9	0									
		0.95%	1.49%	0.35%	0.45%	0.00%	1.56%	1.57%	0.90%	0.00%	1.16%	1.89%	0.15%	1.34%	1.32%	1.42%	1.84%	1.62%	0.14%	0.00%	0.81%	0.73%	0.74%	1.10%	0.00%	1.43%	1.16%	1.79%	0.95%	0.98%	1.30%	1.39%	0.79%	0.91%	1.46%	0.39%	0.79%	0.71%	0.37%	0.53%	0.49%	0.00%	1.55%	0.94%	0.80%	0.93%	1.34%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	60	2	1	3	0	2	2	0	0	0	0	2	2	1	1	1	1	1	0	2	4	1	0	3	0	3	0	3	6	1	3	0	2	0	0	1	0	2	0	2	1	1	1	2	2	1	0									
		0.21%	0.99%	0.18%	0.45%	0.00%	0.52%	0.12%	0.00%	0.00%	0.00%	0.00%	0.15%	0.24%	0.11%	0.16%	0.12%	0.15%	0.14%	0.00%	0.27%	0.37%	0.18%	0.00%	0.41%	0.00%	0.43%	0.00%	0.41%	0.73%	0.19%	0.46%	0.00%	0.37%	0.00%	0.00%	0.20%	0.00%	0.37%	0.00%	0.97%	0.44%	0.52%	0.23%	0.23%	0.26%	0.15%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	4894	40	112	140	77	89	273	74	35	16	118	119	101	147	138	183	152	121	12	145	184	75	101	135	112	122	124	125	187	113	136	111	103	95	31	86	117	91	115	37	53	42	51	143	154	121	38									
		17.48%	19.90%	19.82%	20.77%	20.32%	23.12%	16.45%	16.70%	23.81%	18.60%	22.26%	8.73%	12.27%	16.23%	21.77%	22.45%	22.32%	17.31%	15.79%	19.52%	16.88%	13.81%	10.11%	18.52%	22.86%	17.63%	22.14%	17.05%	22.80%	21.04%	20.99%	17.45%	18.83%	15.42%	6.04%	16.93%	16.67%	16.79%	20.18%	17.96%	23.56%	21.76%	11.97%	16.44%	20.40%	18.06%	10.53%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	192	3	1	2	0	3	13	2	4	0	4	5	0	6	6	3	6	2	0	6	3	2	6	5	4	4	7	5	9	4	5	7	2	7	5	6	5	2	4	0	0	0	1	9	10	11	3									
		0.69%	1.49%	0.18%	0.30%	0.00%	0.78%	0.78%	0.45%	2.72%	0.00%	0.75%	0.37%	0.00%	0.66%	0.95%	0.37%	0.88%	0.29%	0.00%	0.81%	0.28%	0.37%	0.60%	0.69%	0.82%	0.58%	1.25%	0.68%	1.10%	0.74%	0.77%	1.10%	0.37%	1.14%	0.97%	1.18%	0.71%	0.37%	0.70%	0.00%	0.00%	0.00%	0.23%	1.03%	1.32%	1.64%	0.83%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	300	0	2	7	6	2	10	6	1	0	4	4	17	9	6	12	7	1	0	17	16	2	9	15	4	6	5	9	13	3	8	13	6	9	5	5	9	3	3	0	3	2	4	12	6	17	2									
		1.07%	0.00%	0.35%	1.04%	1.58%	0.52%	0.60%	1.35%	0.68%	0.00%	0.75%	0.29%	2.07%	0.99%	0.95%	1.47%	1.03%	0.14%	0.00%	2.29%	1.47%	0.37%	0.90%	2.06%	0.82%	0.87%	0.89%	1.23%	1.59%	0.56%	1.23%	2.04%	1.10%	1.46%	0.97%	0.98%	1.28%	0.55%	0.53%	0.00%	1.33%	1.04%	0.94%	1.38%	0.79%	2.54%	0.55%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	29	0	2	1	2	0	3	1	0	0	0	1	0	0	0	0	0	2	0	1	1	1	0	0	1	0	0	3	0	1	0	0	0	1	2	1	1	0	0	0	1	0	1	2	0	0	0									
		0.10%	0.00%	0.35%	0.15%	0.53%	0.00%	0.18%	0.23%	0.00%	0.00%	0.00%	0.07%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.13%	0.09%	0.18%	0.00%	0.00%	0.20%	0.00%	0.00%	0.41%	0.00%	0.19%	0.00%	0.00%	0.00%	0.16%	0.39%	0.20%	0.14%	0.00%	0.00%	0.00%	0.44%	0.00%	0.23%	0.23%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	407	1	10	6	9	1	33	11	1	4	10	5	11	14	9	10	12	2	2	14	9	5	17	13	5	16	9	10	14	7	17	8	10	7	1	10	4	4	8	4	1	3	9	22	13	14	2									
		1.45%	0.50%	1.77%	0.89%	2.37%	0.26%	1.99%	2.48%	0.68%	4.65%	1.89%	0.37%	1.34%	1.55%	1.42%	1.23%	1.76%	0.29%	2.63%	1.88%	0.83%	0.92%	1.70%	1.78%	1.02%	2.31%	1.61%	1.36%	1.71%	1.30%	2.62%	1.26%	1.83%	1.14%	0.19%	1.97%	0.57%	0.74%	1.40%	1.94%	0.44%	1.55%	2.11%	2.53%	1.72%	2.09%	0.55%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	4957	32	116	122	58	73	145	100	41	12	93	110	140	206	155	177	166	171	12	170	163	90	113	173	82	174	116	127	162	139	172	177	89	72	29	88	114	83	107	36	49	36	48	161	108	121	29									
		17.71%	15.92%	20.53%	18.10%	15.30%	18.96%	8.73%	22.57%	27.89%	13.95%	17.55%	8.07%	17.01%	22.74%	24.45%	21.72%	24.38%	24.46%	15.79%	22.88%	14.95%	16.57%	11.31%	23.73%	16.73%	25.14%	20.71%	17.33%	19.76%	25.88%	26.54%	27.83%	16.27%	11.69%	5.65%	17.32%	16.24%	15.31%	18.77%	17.48%	21.78%	18.65%	11.27%	18.51%	14.30%	18.06%	8.03%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	230	0	6	5	1	8	7	3	1	0	7	5	10	8	5	9	6	1	0	5	5	1	7	4	6	5	4	5	7	7	8	5	3	7	1	2	6	3	3	5	4	1	8	12	7	14	3									
		0.82%	0.00%	1.06%	0.74%	0.26%	2.08%	0.42%	0.68%	0.68%	0.00%	1.32%	0.37%	1.22%	0.88%	0.79%	1.10%	0.88%	0.14%	0.00%	0.67%	0.46%	0.18%	0.70%	0.55%	1.22%	0.72%	0.71%	0.68%	0.85%	1.30%	1.23%	0.79%	0.55%	1.14%	0.19%	0.39%	0.85%	0.55%	0.53%	2.43%	1.78%	0.52%	1.88%	1.38%	0.93%	2.09%	0.83%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	852	5	14	21	7	16	33	29	5	3	23	11	24	36	18	34	36	14	2	31	32	2	11	26	24	24	20	30	30	13	22	21	26	20	7	7	16	20	14	4	11	12	9	37	18	25	9									
		3.04%	2.49%	2.48%	3.12%	1.85%	4.16%	1.99%	6.55%	3.40%	3.49%	4.34%	0.81%	2.92%	3.97%	2.84%	4.17%	5.29%	2.00%	2.63%	4.17%	2.94%	0.37%	1.10%	3.57%	4.90%	3.47%	3.57%	4.09%	3.66%	2.42%	3.40%	3.30%	4.75%	3.25%	1.36%	1.38%	2.28%	3.69%	2.46%	1.94%	4.89%	6.22%	2.11%	4.25%	2.38%	3.73%	2.49%									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
