Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва															
Дата голосования: 07.12.2003 0:00:00															
															
Наименование Избирательной комиссии:    Калевальская															
															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)															
															
		Сумма	УИК  212	УИК  213	УИК  214	УИК  215	УИК  216	УИК  217	УИК  218	УИК  219					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	135	45	38	4	24	3	6	7	8					
		2.60%	2.54%	3.85%	1.73%	2.38%	1.03%	1.57%	2.44%	3.29%					
22	"5. ""За Русь Святую"""	29	9	3	0	5	5	3	3	1					
		0.55%	0.50%	0.30%	0.0%	0.49%	1.72%	0.78%	1.04%	0.41%					
23	"6. ""Объединенная Российская партия ""Русь"""	11	3	2	0	3	0	1	1	1					
		0.21%	0.16%	0.20%	0.0%	0.29%	0.0%	0.26%	0.34%	0.41%					
24	"7. ""Новый курс - Автомобильная Россия"""	41	17	11	0	10	2	1	0	0					
		0.78%	0.96%	1.11%	0.0%	0.99%	0.68%	0.26%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	4	2	0	1	0	1	0	0	0					
		0.07%	0.11%	0.0%	0.43%	0.0%	0.34%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	14	8	1	0	2	1	2	0	0					
		0.26%	0.45%	0.10%	0.0%	0.19%	0.34%	0.52%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	65	14	16	0	17	2	11	2	3					
		1.25%	0.79%	1.62%	0.0%	1.68%	0.68%	2.89%	0.69%	1.23%					
28	"11. ""Истинные патриоты России"""	35	32	1	0	1	1	0	0	0					
		0.67%	1.80%	0.10%	0.0%	0.09%	0.34%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	34	9	8	2	7	3	2	2	1					
		0.65%	0.50%	0.81%	0.86%	0.69%	1.03%	0.52%	0.69%	0.41%					
30	"13. ""Демократическая партия России"""	16	8	0	1	2	2	1	2	0					
		0.30%	0.45%	0.0%	0.43%	0.19%	0.68%	0.26%	0.69%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	17	9	3	0	3	2	0	0	0					
		0.32%	0.50%	0.30%	0.0%	0.29%	0.68%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	10	5	1	0	3	1	0	0	0					
		0.19%	0.28%	0.10%	0.0%	0.29%	0.34%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	173	51	31	6	38	6	17	15	9					
		3.33%	2.88%	3.14%	2.59%	3.77%	2.06%	4.47%	5.24%	3.70%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	14	6	0	1	0	2	2	3	0					
		0.26%	0.33%	0.0%	0.43%	0.0%	0.68%	0.52%	1.04%	0.0%					
35	"18. ""ЛДПР"""	861	343	137	43	155	37	39	50	57					
		16.58%	19.38%	13.88%	18.61%	15.40%	12.75%	10.26%	17.48%	23.45%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	112	32	21	4	14	8	14	9	10					
		2.15%	1.80%	2.12%	1.73%	1.39%	2.75%	3.68%	3.14%	4.11%					
37	"20. ""Политическая партия ""Единая Россия"""	2479	855	524	124	479	116	144	122	115					
		47.74%	48.33%	53.09%	53.67%	47.61%	40.0%	37.89%	42.65%	47.32%					
38	"21. ""Российская Конституционно-демократическая партия"""	11	6	0	1	1	0	1	1	1					
		0.21%	0.33%	0.0%	0.43%	0.09%	0.0%	0.26%	0.34%	0.41%					
39	"22. ""Развитие предпринимательства"""	17	8	4	0	3	0	1	1	0					
		0.32%	0.45%	0.40%	0.0%	0.29%	0.0%	0.26%	0.34%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	338	77	59	9	73	44	45	28	3					
		6.51%	4.35%	5.97%	3.89%	7.25%	15.17%	11.84%	9.79%	1.23%					
															
41	Против всех	262	108	34	2	52	21	18	9	18					
		5.04%	6.10%	3.44%	0.86%	5.16%	7.24%	4.73%	3.14%	7.40%					
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
