Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																										
Дата голосования: 18.09.2016																																																										
																																																										
Наименование Избирательной комиссии:    Рыбно-Слободская																																																										
																																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																																										
																																																										
		Сумма	УИК №2413	УИК №2414	УИК №2415	УИК №2416	УИК №2417	УИК №2418	УИК №2419	УИК №2420	УИК №2421	УИК №2422	УИК №2423	УИК №2424	УИК №2425	УИК №2426	УИК №2427	УИК №2428	УИК №2429	УИК №2430	УИК №2431	УИК №2432	УИК №2433	УИК №2434	УИК №2435	УИК №2436	УИК №2437	УИК №2438	УИК №2439	УИК №2440	УИК №2441	УИК №2442	УИК №2443	УИК №2444	УИК №2445	УИК №2446	УИК №2447	УИК №2448	УИК №2449	УИК №2450	УИК №2451	УИК №2452	УИК №2453	УИК №2454	УИК №2455	УИК №2456	УИК №2457	УИК №2458	УИК №2459									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	109	1	2	3	0	2	0	0	0	0	2	1	5	4	0	0	0	0	0	2	0	4	0	0	0	1	63	1	10	1	0	1	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1									
		0.52%	0.08%	0.15%	0.30%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	1.12%	0.51%	0.81%	1.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.99%	0.00%	1.08%	0.00%	0.00%	0.00%	0.22%	7.12%	0.24%	4.90%	0.17%	0.00%	0.29%	0.71%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	43	1	2	1	0	1	4	4	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	23	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0									
		0.21%	0.08%	0.15%	0.10%	0.00%	0.09%	0.60%	0.71%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.50%	0.00%	0.27%	0.00%	0.00%	0.00%	0.00%	2.60%	0.00%	0.49%	0.35%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	20188	1217	1268	972	572	1066	648	539	303	258	174	193	604	363	799	423	380	158	251	196	235	354	157	492	881	457	688	398	186	555	506	341	545	629	270	420	274	201	128	182	133	146	143	258	128	359	358	380									
		96.41%	96.51%	97.69%	97.01%	98.45%	95.35%	97.01%	95.91%	97.12%	97.73%	97.21%	97.97%	98.05%	98.37%	98.04%	98.14%	96.94%	99.37%	98.43%	97.03%	98.33%	95.93%	97.52%	98.01%	98.11%	98.49%	77.74%	97.31%	91.18%	95.85%	96.56%	98.27%	96.12%	98.59%	96.43%	97.22%	97.86%	95.26%	98.46%	98.91%	97.79%	97.99%	98.62%	95.56%	98.46%	98.09%	97.28%	96.94%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	17	1	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	10	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.08%	0.08%	0.08%	0.10%	0.00%	0.00%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.00%	1.13%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.02%	0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.11%	0.00%	0.49%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	141	7	6	3	1	3	4	8	0	0	1	1	0	2	6	2	5	0	1	1	0	0	0	3	3	1	32	2	4	3	2	1	8	3	3	3	2	5	0	0	0	1	0	7	1	3	2	1									
		0.67%	0.56%	0.46%	0.30%	0.17%	0.27%	0.60%	1.42%	0.00%	0.00%	0.56%	0.51%	0.00%	0.54%	0.74%	0.46%	1.28%	0.00%	0.39%	0.50%	0.00%	0.00%	0.00%	0.60%	0.33%	0.22%	3.62%	0.49%	1.96%	0.52%	0.38%	0.29%	1.41%	0.47%	1.07%	0.69%	0.71%	2.37%	0.00%	0.00%	0.00%	0.67%	0.00%	2.59%	0.77%	0.82%	0.54%	0.26%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	6	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.03%	0.08%	0.08%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	8	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.04%	0.08%	0.15%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.34%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.01%	0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.11%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	16	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	8	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.08%	0.08%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.62%	0.00%	0.11%	0.00%	0.90%	0.00%	0.49%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	248	10	5	4	4	21	3	11	9	5	2	2	5	0	5	4	7	1	3	2	3	7	2	5	8	5	36	7	1	3	14	2	4	2	7	4	3	3	2	0	1	2	2	5	1	3	6	7									
		1.18%	0.79%	0.39%	0.40%	0.69%	1.88%	0.45%	1.96%	2.88%	1.89%	1.12%	1.02%	0.81%	0.00%	0.61%	0.93%	1.79%	0.63%	1.18%	0.99%	1.26%	1.90%	1.24%	0.99%	0.89%	1.08%	4.07%	1.71%	0.49%	0.52%	2.67%	0.58%	0.71%	0.31%	2.50%	0.93%	1.07%	1.42%	1.54%	0.00%	0.74%	1.34%	1.38%	1.85%	0.77%	0.82%	1.63%	1.79%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	4	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.02%	0.08%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	83	14	5	4	1	16	0	0	0	0	0	0	0	0	3	2	0	0	0	0	1	2	1	1	3	0	5	0	0	5	0	0	5	1	0	5	1	2	0	2	2	0	0	0	0	0	0	2									
		0.40%	1.11%	0.39%	0.40%	0.17%	1.43%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.37%	0.46%	0.00%	0.00%	0.00%	0.00%	0.42%	0.54%	0.62%	0.20%	0.33%	0.00%	0.56%	0.00%	0.00%	0.86%	0.00%	0.00%	0.88%	0.16%	0.00%	1.16%	0.36%	0.95%	0.00%	1.09%	1.47%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.51%									
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
