Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																													
Дата голосования: 07.12.2003 0:00:00																																																													
																																																													
Наименование Избирательной комиссии:    Муромцевская																																																													
																																																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																													
																																																													
		Сумма	УИК  516	УИК  517	УИК  518	УИК  519	УИК  520	УИК  521	УИК  522	УИК  523	УИК  524	УИК  525	УИК  526	УИК  527	УИК  528	УИК  529	УИК  530	УИК  531	УИК  532	УИК  533	УИК  534	УИК  535	УИК  536	УИК  537	УИК  538	УИК  539	УИК  540	УИК  541	УИК  542	УИК  543	УИК  544	УИК  545	УИК  546	УИК  547	УИК  548	УИК  549	УИК  550	УИК  551	УИК  552	УИК  553	УИК  554	УИК  555	УИК  556	УИК  557	УИК  558	УИК  559	УИК  560	УИК  561	УИК  562	УИК  563	УИК  564	УИК  565	УИК  566	УИК  567	УИК  568	УИК  569					
		7.21%	4.41%	6.37%	3.90%	5.43%	3.54%	4.55%	4.22%	6.20%	13.21%	11.58%	33.33%	8.73%	14.28%	2.59%	1.61%	4.36%	10.49%	8.38%	6.75%	8.18%	4.44%	6.33%	25.45%	9.24%	7.26%	5.45%	10.88%	4.67%	9.0%	8.97%	14.58%	11.77%	11.11%	0.0%	8.33%	2.77%	4.25%	7.46%	15.51%	12.03%	3.52%	13.63%	1.45%	7.72%	9.09%	0.0%	6.22%	12.0%	1.92%	8.39%	11.11%	2.68%	5.37%	3.03%					
28	"11. ""Истинные патриоты России"""	30	1	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	4	0	1	3	0	1	0	1	0	0	0	0	0	2	0	1	1	0	0	1	1	0	0	2	1	0	1	1	0	0	0	1	0	0	0	3	0	0					
		0.21%	0.09%	0.0%	0.0%	0.0%	0.64%	0.0%	0.0%	0.0%	0.38%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.89%	0.0%	0.42%	1.29%	0.0%	0.33%	0.0%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	2.56%	0.0%	0.24%	0.74%	0.0%	0.0%	0.92%	0.70%	0.0%	0.0%	0.46%	0.58%	0.0%	0.72%	0.42%	0.0%	0.0%	0.0%	1.0%	0.0%	0.0%	0.0%	1.61%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	136	11	10	5	8	2	5	7	3	11	1	1	5	0	0	2	8	6	1	0	1	1	3	1	6	2	0	1	1	0	2	0	2	5	0	3	2	1	1	1	5	0	0	0	5	0	0	0	2	0	4	0	1	0	0					
		0.95%	0.99%	1.15%	0.88%	1.31%	0.64%	0.69%	0.84%	2.32%	2.10%	0.38%	2.38%	1.50%	0.0%	0.0%	1.07%	2.32%	1.33%	0.29%	0.0%	0.43%	1.11%	1.0%	1.81%	0.99%	1.11%	0.0%	0.34%	0.58%	0.0%	2.56%	0.0%	0.48%	3.70%	0.0%	0.80%	1.85%	0.70%	0.26%	1.72%	1.15%	0.0%	0.0%	0.0%	2.14%	0.0%	0.0%	0.0%	2.0%	0.0%	3.05%	0.0%	0.53%	0.0%	0.0%					
30	"13. ""Демократическая партия России"""	29	5	4	1	2	0	1	0	0	1	1	0	3	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	2	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.20%	0.45%	0.46%	0.17%	0.32%	0.0%	0.13%	0.0%	0.0%	0.19%	0.38%	0.0%	0.90%	0.0%	0.0%	0.53%	0.0%	0.0%	0.0%	0.0%	0.43%	0.0%	0.33%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.48%	0.0%	0.53%	1.85%	0.0%	0.53%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	47	3	4	3	0	2	1	0	1	1	2	0	4	6	0	0	0	1	0	2	1	0	0	0	2	1	0	0	0	0	0	0	2	0	0	1	6	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0					
		0.33%	0.27%	0.46%	0.53%	0.0%	0.64%	0.13%	0.0%	0.77%	0.19%	0.77%	0.0%	1.20%	2.95%	0.0%	0.0%	0.0%	0.22%	0.0%	0.84%	0.43%	0.0%	0.0%	0.0%	0.33%	0.55%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.48%	0.0%	0.0%	0.26%	5.55%	0.0%	0.0%	0.0%	0.23%	0.58%	0.0%	0.72%	0.0%	0.0%	0.0%	0.34%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	11	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0					
		0.07%	0.09%	0.0%	0.0%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.38%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.33%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.24%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.92%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.34%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	537	66	39	23	34	10	40	27	0	11	6	0	10	7	2	5	12	9	17	9	2	0	34	9	27	3	11	6	0	3	0	0	19	3	0	3	0	13	8	6	12	0	6	12	3	0	2	10	1	2	10	1	1	2	1					
		3.78%	5.94%	4.51%	4.08%	5.60%	3.22%	5.52%	3.26%	0.0%	2.10%	2.31%	0.0%	3.01%	3.44%	2.59%	2.68%	3.48%	2.00%	5.08%	3.79%	0.86%	0.0%	11.33%	16.36%	4.45%	1.67%	20.0%	2.04%	0.0%	3.0%	0.0%	0.0%	4.56%	2.22%	0.0%	0.80%	0.0%	9.21%	2.13%	10.34%	2.77%	0.0%	6.81%	8.75%	1.28%	0.0%	2.63%	3.46%	1.0%	3.84%	7.63%	0.92%	0.53%	2.15%	3.03%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	51	2	5	2	2	2	7	2	0	2	0	0	3	1	0	0	0	3	1	1	0	0	1	0	4	0	1	0	1	0	0	0	4	1	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	1	1	0	0					
		0.35%	0.18%	0.57%	0.35%	0.32%	0.64%	0.96%	0.24%	0.0%	0.38%	0.0%	0.0%	0.90%	0.49%	0.0%	0.0%	0.0%	0.66%	0.29%	0.42%	0.0%	0.0%	0.33%	0.0%	0.66%	0.0%	1.81%	0.0%	0.58%	0.0%	0.0%	0.0%	0.96%	0.74%	0.0%	0.0%	0.0%	0.0%	0.26%	0.0%	0.23%	0.0%	0.0%	0.0%	0.0%	1.29%	0.0%	0.34%	0.0%	0.0%	0.0%	0.92%	0.53%	0.0%	0.0%					
35	"18. ""ЛДПР"""	1945	103	127	58	107	49	123	96	17	83	43	7	37	30	7	33	36	71	50	30	22	10	50	9	75	20	9	67	12	13	23	24	65	29	3	48	6	21	57	3	38	28	6	13	19	22	7	26	26	8	18	9	27	18	7					
		13.72%	9.27%	14.71%	10.30%	17.62%	15.80%	16.98%	11.59%	13.17%	15.90%	16.60%	16.66%	11.14%	14.77%	9.09%	17.74%	10.46%	15.84%	14.97%	12.65%	9.48%	11.11%	16.66%	16.36%	12.37%	11.17%	16.36%	22.78%	7.01%	13.0%	29.48%	50.0%	15.62%	21.48%	7.89%	12.90%	5.55%	14.89%	15.2%	5.17%	8.79%	16.47%	6.81%	9.48%	8.15%	28.57%	9.21%	8.99%	26.0%	15.38%	13.74%	8.33%	14.51%	19.35%	21.21%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	181	17	22	8	8	1	6	10	0	5	1	0	2	0	0	3	5	4	4	6	2	1	2	1	8	3	2	5	2	0	1	0	9	1	0	3	2	4	2	0	4	0	0	3	3	3	6	2	0	0	2	2	4	2	0					
		1.27%	1.53%	2.54%	1.42%	1.31%	0.32%	0.82%	1.20%	0.0%	0.95%	0.38%	0.0%	0.60%	0.0%	0.0%	1.61%	1.45%	0.89%	1.19%	2.53%	0.86%	1.11%	0.66%	1.81%	1.32%	1.67%	3.63%	1.70%	1.16%	0.0%	1.28%	0.0%	2.16%	0.74%	0.0%	0.80%	1.85%	2.83%	0.53%	0.0%	0.92%	0.0%	0.0%	2.18%	1.28%	3.89%	7.89%	0.69%	0.0%	0.0%	1.52%	1.85%	2.15%	2.15%	0.0%					
37	"20. ""Политическая партия ""Единая Россия"""	5853	403	285	242	190	95	278	429	72	229	114	0	118	78	61	70	101	148	111	92	147	51	118	13	264	101	10	117	137	55	33	9	169	50	26	116	50	49	166	21	211	83	42	73	79	24	13	149	36	21	44	64	115	61	20					
		41.29%	36.30%	33.02%	42.98%	31.30%	30.64%	38.39%	51.81%	55.81%	43.86%	44.01%	0.0%	35.54%	38.42%	79.22%	37.63%	29.36%	33.03%	33.23%	38.81%	63.36%	56.66%	39.33%	23.63%	43.56%	56.42%	18.18%	39.79%	80.11%	55.0%	42.30%	18.75%	40.62%	37.03%	68.42%	31.18%	46.29%	34.75%	44.26%	36.20%	48.84%	48.82%	47.72%	53.28%	33.90%	31.16%	17.10%	51.55%	36.0%	40.38%	33.58%	59.25%	61.82%	65.59%	60.60%					
38	"21. ""Российская Конституционно-демократическая партия"""	42	2	1	0	0	3	0	3	2	4	0	0	0	0	0	0	2	1	0	1	2	2	0	0	2	0	0	1	0	3	1	0	1	0	1	4	0	0	1	0	1	0	1	1	2	0	0	0	0	0	0	0	0	0	0					
		0.29%	0.18%	0.11%	0.0%	0.0%	0.96%	0.0%	0.36%	1.55%	0.76%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.58%	0.22%	0.0%	0.42%	0.86%	2.22%	0.0%	0.0%	0.33%	0.0%	0.0%	0.34%	0.0%	3.0%	1.28%	0.0%	0.24%	0.0%	2.63%	1.07%	0.0%	0.0%	0.26%	0.0%	0.23%	0.0%	1.13%	0.72%	0.85%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	28	7	2	0	2	3	0	1	0	2	0	1	2	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0					
		0.19%	0.63%	0.23%	0.0%	0.32%	0.96%	0.0%	0.12%	0.0%	0.38%	0.0%	2.38%	0.60%	0.0%	0.0%	0.0%	0.29%	0.22%	0.0%	0.42%	0.0%	0.0%	0.0%	0.0%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.24%	0.0%	0.0%	0.26%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.31%	0.0%	0.0%	0.0%	0.0%	0.0%	0.53%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	2588	294	198	133	140	95	129	132	11	60	22	4	56	31	5	43	137	57	82	41	14	10	42	6	101	23	17	35	4	7	4	2	22	13	2	111	24	18	53	14	63	34	19	21	81	15	42	48	8	14	27	12	11	1	0					
		18.25%	26.48%	22.94%	23.62%	23.06%	30.64%	17.81%	15.94%	8.52%	11.49%	8.49%	9.52%	16.86%	15.27%	6.49%	23.11%	39.82%	12.72%	24.55%	17.29%	6.03%	11.11%	14.0%	10.90%	16.66%	12.84%	30.90%	11.90%	2.33%	7.0%	5.12%	4.16%	5.28%	9.62%	5.26%	29.83%	22.22%	12.76%	14.13%	24.13%	14.58%	20.0%	21.59%	15.32%	34.76%	19.48%	55.26%	16.60%	8.0%	26.92%	20.61%	11.11%	5.91%	1.07%	0.0%					
																																																													
41	Против всех	365	32	18	20	18	8	18	24	6	3	7	12	13	5	0	9	8	21	4	10	4	5	7	1	9	3	0	14	0	2	1	4	7	5	1	14	1	3	9	0	5	2	1	3	6	0	2	3	2	1	6	1	6	1	0					
		2.57%	2.88%	2.08%	3.55%	2.96%	2.58%	2.48%	2.89%	4.65%	0.57%	2.70%	28.57%	3.91%	2.46%	0.0%	4.83%	2.32%	4.68%	1.19%	4.21%	1.72%	5.55%	2.33%	1.81%	1.48%	1.67%	0.0%	4.76%	0.0%	2.0%	1.28%	8.33%	1.68%	3.70%	2.63%	3.76%	0.92%	2.12%	2.4%	0.0%	1.15%	1.17%	1.13%	2.18%	2.57%	0.0%	2.63%	1.03%	2.0%	1.92%	4.58%	0.92%	3.22%	1.07%	0.0%					
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
