Выборы Президента Российской Федерации																																																																													
																																																																													
"Наименование Избирательной комиссии:    Курган, Восточная"																																																																													
																																																																													
Итоги голосования 																																																																													
																																																																													
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135					
11	Число полученных открепительных  удостоверений	2780	20	20	20	25	25	35	40	40	40	25	50	50	50	40	50	40	40	60	40	60	40	40	40	40	40	40	50	40	35	35	60	50	35	40	35	35	25	15	40	40	30	35	30	60	35	50	50	40	60	50	50	60	60	20	40	50	40	40	50	60	60	70	30	20	40	40	25	40	0	0					
12	Число выданных открепительных удостоверений	1136	4	6	8	6	4	6	13	8	14	10	19	21	25	16	19	22	24	25	11	32	20	17	21	19	22	23	15	23	24	19	21	20	13	26	26	14	0	4	14	10	11	9	12	26	11	9	16	14	30	14	20	20	20	0	23	23	19	27	26	26	25	55	6	4	2	12	14	18	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1016	9	6	7	12	7	13	14	5	13	11	15	15	15	7	15	7	22	10	12	21	40	13	15	9	13	14	13	27	19	23	12	27	25	22	24	7	11	4	8	10	6	12	5	26	21	9	8	9	14	14	14	17	8	6	13	15	13	12	14	14	19	24	7	26	4	16	7	12	18	61					
14	Число неиспользованных открепительных удостоверений	1643	16	14	12	19	21	29	27	32	26	15	31	29	25	24	31	18	16	35	29	28	20	23	19	21	18	17	35	17	11	16	39	30	22	14	9	21	25	11	26	30	19	26	18	34	24	41	34	26	30	36	29	40	40	20	17	27	21	13	24	34	35	15	24	16	38	28	11	22	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	130	0	2	0	1	3	1	3	3	2	2	1	0	4	1	3	1	2	3	4	1	4	0	0	0	0	0	3	0	1	1	4	1	2	1	4	2	1	0	3	4	3	1	1	2	7	5	1	2	4	2	3	4	4	0	3	2	5	2	2	1	2	1	0	2	0	0	0	3	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																													
18	. Глазьев Сергей Юрьевич	3350	11	23	17	34	18	22	47	23	32	30	63	80	56	68	71	80	67	93	71	94	81	81	83	52	59	82	62	94	56	70	65	55	44	65	40	30	16	7	23	33	27	44	45	74	25	27	55	58	68	35	29	55	48	5	52	58	54	61	56	73	74	40	25	16	11	33	28	61	10	5					
		4.79%	2.21%	4.84%	3.92%	6.56%	2.98%	2.79%	5.20%	3.52%	3.91%	4.26%	4.97%	5.81%	4.38%	5.47%	6.02%	6.07%	5.30%	5.83%	5.68%	5.99%	6.08%	6.41%	7.40%	4.81%	5.40%	6.41%	4.59%	7.34%	4.77%	6.24%	5.09%	4.27%	4.63%	5.94%	4.26%	3.72%	6.48%	4.27%	2.73%	3.49%	3.41%	4.29%	5.18%	5.17%	3.04%	2.99%	4.30%	4.67%	4.42%	2.98%	2.75%	3.71%	3.45%	3.94%	4.50%	4.78%	5.12%	4.91%	4.64%	4.74%	4.85%	3.04%	3.75%	4.21%	5.39%	3.81%	4.62%	5.71%	5.88%	3.65%					
19	. Малышкин Олег Александрович	2696	25	20	20	25	37	49	50	36	40	30	50	32	62	60	31	38	46	51	37	55	29	29	37	41	24	27	50	28	37	45	33	47	46	46	34	38	15	3	41	44	35	43	21	67	47	41	64	58	61	47	47	50	48	9	46	51	44	49	34	61	72	41	36	18	9	44	13	46	3	3					
		3.86%	5.02%	4.21%	4.61%	4.83%	6.13%	6.21%	5.54%	5.50%	4.88%	4.26%	3.95%	2.32%	4.85%	4.83%	2.63%	2.88%	3.64%	3.20%	2.96%	3.51%	2.18%	2.29%	3.30%	3.79%	2.20%	2.11%	3.70%	2.19%	3.15%	4.01%	2.59%	3.65%	4.84%	4.20%	3.62%	4.71%	6.07%	1.83%	4.87%	4.65%	4.42%	4.19%	2.42%	4.69%	5.72%	4.54%	5.00%	4.67%	3.97%	4.00%	4.45%	3.37%	3.45%	7.09%	3.98%	4.20%	4.17%	3.94%	2.81%	3.96%	4.72%	3.12%	5.41%	4.74%	4.41%	5.08%	2.15%	4.31%	1.76%	2.19%					
20	. Миронов Сергей Михайлович	520	0	2	7	3	3	5	6	2	6	10	6	14	10	5	8	12	9	8	17	9	8	15	10	6	8	8	16	5	3	6	6	15	4	7	9	6	0	1	8	7	4	7	8	13	4	6	10	14	14	10	6	11	7	0	12	14	4	9	8	10	9	15	8	1	1	8	8	6	0	3					
		0.74%	0.00%	0.42%	1.61%	0.58%	0.50%	0.63%	0.66%	0.31%	0.73%	1.42%	0.47%	1.02%	0.78%	0.40%	0.68%	0.91%	0.71%	0.50%	1.36%	0.57%	0.60%	1.19%	0.89%	0.55%	0.73%	0.62%	1.18%	0.39%	0.26%	0.54%	0.47%	1.17%	0.42%	0.64%	0.96%	0.74%	0.00%	0.61%	0.95%	0.74%	0.51%	0.68%	0.92%	0.91%	0.49%	0.66%	0.78%	1.13%	0.91%	0.85%	0.57%	0.74%	0.50%	0.00%	1.04%	1.15%	0.38%	0.72%	0.66%	0.65%	0.59%	1.14%	1.20%	0.26%	0.49%	0.92%	1.32%	0.56%	0.00%	2.19%					
21	. Путин Владимир Владимирович	46875	366	322	295	344	405	517	570	431	552	462	815	889	868	770	784	825	816	1062	800	1013	872	807	704	724	697	804	863	850	768	705	858	863	640	708	683	559	171	126	569	692	615	694	613	973	562	631	880	822	1054	837	751	1029	967	83	800	834	719	851	820	1045	1003	997	470	232	152	576	413	690	128	65					
		67.08%	73.49%	67.79%	67.97%	66.41%	67.05%	65.53%	63.12%	65.90%	67.40%	65.62%	64.33%	64.51%	67.87%	61.95%	66.44%	62.55%	64.56%	66.58%	63.95%	64.56%	65.42%	63.84%	62.75%	66.91%	63.83%	62.81%	63.83%	66.35%	65.42%	62.89%	67.24%	67.06%	67.37%	64.72%	72.66%	69.27%	69.23%	76.83%	67.58%	73.15%	77.65%	67.64%	70.62%	68.04%	68.37%	69.88%	68.75%	66.24%	68.53%	71.29%	71.18%	69.34%	69.42%	65.35%	69.26%	68.76%	68.22%	68.46%	67.88%	67.81%	65.77%	75.82%	70.57%	61.05%	74.51%	66.51%	68.15%	64.61%	75.29%	47.45%					
22	. Хакамада Ирина Муцуовна	2333	14	11	13	8	24	27	21	13	18	24	38	54	34	39	41	53	41	97	47	80	50	63	54	60	49	49	62	62	52	66	47	39	29	28	29	28	6	10	23	17	14	29	19	45	17	23	23	32	27	34	16	34	34	5	38	32	27	40	36	52	47	45	24	7	5	38	29	37	2	2					
		3.34%	2.81%	2.32%	3.00%	1.54%	3.97%	3.42%	2.33%	1.99%	2.20%	3.41%	3.00%	3.92%	2.66%	3.14%	3.47%	4.02%	3.24%	6.08%	3.76%	5.10%	3.75%	4.98%	4.81%	5.55%	4.49%	3.83%	4.59%	4.84%	4.43%	5.89%	3.68%	3.03%	3.05%	2.56%	3.09%	3.47%	2.43%	6.10%	2.73%	1.80%	1.77%	2.83%	2.19%	3.15%	2.07%	2.55%	1.80%	2.58%	1.76%	2.90%	1.52%	2.29%	2.44%	3.94%	3.29%	2.64%	2.56%	3.22%	2.98%	3.37%	3.08%	3.42%	3.60%	1.84%	2.45%	4.39%	4.79%	3.46%	1.18%	1.46%					
23	. Харитонов Николай Михайлович	11315	69	82	77	89	93	135	174	120	145	117	232	262	204	251	200	258	235	228	220	253	256	221	179	171	202	248	230	186	217	189	219	214	144	201	102	106	37	11	147	128	70	145	130	199	132	141	196	207	254	170	166	243	228	16	166	169	152	181	202	237	246	129	84	92	19	132	92	194	17	54					
		16.19%	13.86%	17.26%	17.74%	17.18%	15.40%	17.11%	19.27%	18.35%	17.70%	16.62%	18.31%	19.01%	15.95%	20.19%	16.95%	19.56%	18.59%	14.29%	17.59%	16.12%	19.20%	17.48%	15.95%	15.80%	18.50%	19.38%	17.01%	14.52%	18.48%	16.86%	17.16%	16.63%	15.16%	18.37%	10.85%	13.14%	14.98%	6.71%	17.46%	13.53%	8.84%	14.13%	14.98%	13.92%	16.06%	15.61%	15.31%	16.68%	16.51%	14.48%	15.73%	16.37%	16.37%	12.60%	14.37%	13.93%	14.42%	14.56%	16.72%	15.38%	16.13%	9.81%	12.61%	24.21%	9.31%	15.24%	15.18%	18.16%	10.00%	39.42%					
																																																																													
24	Против всех	2345	7	12	2	13	18	28	29	19	20	26	56	41	35	43	35	48	48	53	45	60	33	45	45	25	41	57	56	53	36	34	42	50	35	35	36	34	2	5	21	17	19	52	31	48	26	29	36	45	55	35	24	54	45	6	30	51	47	43	45	53	68	41	14	11	4	30	22	30	9	2					
		3.36%	1.41%	2.53%	0.46%	2.51%	2.98%	3.55%	3.21%	2.91%	2.44%	3.69%	4.42%	2.98%	2.74%	3.46%	2.97%	3.64%	3.80%	3.32%	3.60%	3.82%	2.48%	3.56%	4.01%	2.31%	3.75%	4.45%	4.14%	4.14%	3.07%	3.03%	3.29%	3.89%	3.68%	3.20%	3.83%	4.21%	0.81%	3.05%	2.49%	1.80%	2.40%	5.07%	3.57%	3.36%	3.16%	3.21%	2.81%	3.63%	3.58%	2.98%	2.27%	3.64%	3.23%	4.72%	2.60%	4.20%	4.46%	3.46%	3.73%	3.44%	4.46%	3.12%	2.10%	2.89%	1.96%	3.46%	3.63%	2.81%	5.29%	1.46%					
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
