Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																													
Дата голосования: 07.12.2003 0:00:00																																																													
																																																													
Наименование Избирательной комиссии:    Читинская																																																													
																																																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																													
																																																													
		Сумма	УИК  314	УИК  315	УИК  316	УИК  317	УИК  318	УИК  319	УИК  320	УИК  321	УИК  322	УИК  323	УИК  324	УИК  325	УИК  326	УИК  327	УИК  328	УИК  329	УИК  330	УИК  331	УИК  332	УИК  333	УИК  334	УИК  335	УИК  336	УИК  337	УИК  338	УИК  339	УИК  340	УИК  341	УИК  342	УИК  343	УИК  344	УИК  345	УИК  346	УИК  347	УИК  348	УИК  349	УИК  350	УИК  351	УИК  352	УИК  353	УИК  354	УИК  355	УИК  356	УИК  357	УИК  358	УИК  359	УИК  360	УИК  361	УИК  362	УИК  363	УИК  364	УИК  365	УИК  366	УИК  367					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	684	10	5	5	15	15	10	25	10	5	5	5	10	10	5	10	15	5	15	5	10	20	10	15	5	15	5	20	20	15	5	10	5	20	10	29	10	20	20	20	10	10	15	20	20	20	20	15	15	10	10	10	10	15	15					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	181	0	0	1	3	7	5	18	1	0	0	0	0	1	0	8	4	1	3	0	0	14	5	4	0	5	0	8	9	3	1	1	0	5	0	6	1	4	16	10	0	1	1	4	9	1	9	2	3	0	0	1	1	3	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	146	0	0	0	0	2	4	9	4	11	0	4	2	1	1	1	0	1	5	6	7	11	1	3	2	1	0	0	10	1	3	8	2	0	1	0	1	1	8	7	0	2	2	6	4	1	2	2	0	2	0	0	0	4	3					
14	Число погашенных открепительных удостоверений	503	10	5	4	12	8	5	7	9	5	5	5	10	9	5	2	11	4	12	5	10	6	5	11	5	10	5	12	11	12	4	9	5	15	10	23	9	16	4	10	10	9	14	16	11	19	11	13	12	10	10	9	9	12	13					
15	Число открепительных удостоверений выданных ТИК	22	1	0	0	1	1	0	2	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	1	2	0	0	0	0	2	1	0	0	1	0	0	0	0	2	0	1	0	0	0	1	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																													
18	"1. ""ЕДИНЕНИЕ"""	406	2	1	1	11	10	4	27	4	3	3	1	5	14	9	4	7	2	3	3	3	10	8	9	0	2	1	12	15	2	3	6	8	16	5	9	2	3	27	17	4	7	12	24	9	8	7	3	10	2	5	4	3	14	22					
		1.90%	0.82%	1.26%	1.96%	1.99%	1.81%	1.55%	2.08%	2.29%	3.84%	5.26%	1.17%	3.10%	2.96%	4.24%	1.12%	1.93%	0.97%	1.03%	2.54%	1.97%	1.40%	2.46%	1.31%	0.0%	0.50%	0.68%	1.19%	1.44%	0.58%	3.57%	2.24%	6.10%	2.93%	2.70%	3.94%	1.36%	0.67%	1.80%	1.50%	1.71%	2.22%	2.35%	3.00%	1.23%	2.33%	1.06%	0.91%	2.59%	1.13%	3.24%	2.51%	1.63%	3.09%	3.24%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	312	4	0	0	5	6	6	25	5	2	2	0	2	0	3	12	1	5	0	7	1	8	3	6	3	3	1	56	30	6	2	0	1	11	1	1	1	11	27	17	4	2	3	3	0	2	7	1	1	0	2	1	1	1	10					
		1.46%	1.65%	0.0%	0.0%	0.90%	1.08%	2.32%	1.93%	2.87%	2.56%	3.50%	0.0%	1.24%	0.0%	1.41%	3.38%	0.27%	2.42%	0.0%	5.93%	0.65%	1.12%	0.92%	0.87%	1.38%	0.75%	0.68%	5.56%	2.88%	1.76%	2.38%	0.0%	0.76%	2.01%	0.54%	0.43%	0.68%	2.48%	1.80%	1.50%	1.71%	0.63%	0.58%	0.37%	0.0%	0.58%	1.06%	0.30%	0.25%	0.0%	1.29%	0.62%	0.54%	0.22%	1.47%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	552	2	0	1	11	12	6	10	7	4	2	1	5	12	5	7	13	6	11	10	3	30	9	19	4	10	1	18	10	6	3	4	2	9	14	4	7	13	30	26	19	10	29	19	22	14	12	6	14	8	5	4	10	15	18					
		2.58%	0.82%	0.0%	1.96%	1.99%	2.17%	2.32%	0.77%	4.02%	5.12%	3.50%	1.17%	3.10%	2.54%	2.35%	1.97%	3.59%	2.91%	3.79%	8.47%	1.97%	4.21%	2.77%	2.78%	1.84%	2.51%	0.68%	1.78%	0.96%	1.76%	3.57%	1.49%	1.52%	1.65%	7.56%	1.75%	4.79%	2.94%	2.00%	2.29%	8.15%	3.18%	5.68%	2.37%	3.01%	4.09%	1.83%	1.83%	3.62%	4.54%	3.24%	2.51%	5.46%	3.31%	2.65%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	397	0	0	0	9	26	1	41	4	3	0	0	0	1	1	12	2	0	6	0	2	6	10	20	3	10	0	31	21	6	2	2	0	14	2	4	2	11	42	12	12	3	3	12	14	8	16	3	3	2	1	1	2	5	6					
		1.85%	0.0%	0.0%	0.0%	1.63%	4.71%	0.38%	3.16%	2.29%	3.84%	0.0%	0.0%	0.0%	0.21%	0.47%	3.38%	0.55%	0.0%	2.06%	0.0%	1.31%	0.84%	3.08%	2.92%	1.38%	2.51%	0.0%	3.07%	2.02%	1.76%	2.38%	0.74%	0.0%	2.56%	1.08%	1.75%	1.36%	2.48%	2.81%	1.05%	5.15%	0.95%	0.58%	1.50%	1.91%	2.33%	2.44%	0.91%	0.77%	1.13%	0.64%	0.62%	1.09%	1.10%	0.88%					
22	"5. ""За Русь Святую"""	58	0	0	0	2	0	1	3	0	0	0	0	0	1	0	1	1	0	0	1	2	5	0	0	1	1	1	3	5	2	0	1	0	0	1	0	0	1	5	2	1	1	1	4	2	1	1	3	1	0	0	1	1	0	1					
		0.27%	0.0%	0.0%	0.0%	0.36%	0.0%	0.38%	0.23%	0.0%	0.0%	0.0%	0.0%	0.0%	0.21%	0.0%	0.28%	0.27%	0.0%	0.0%	0.84%	1.31%	0.70%	0.0%	0.0%	0.46%	0.25%	0.68%	0.29%	0.48%	0.58%	0.0%	0.37%	0.0%	0.0%	0.54%	0.0%	0.0%	0.22%	0.33%	0.17%	0.42%	0.31%	0.19%	0.50%	0.27%	0.29%	0.15%	0.91%	0.25%	0.0%	0.0%	0.62%	0.54%	0.0%	0.14%					
23	"6. ""Объединенная Российская партия ""Русь"""	46	0	0	0	1	2	0	1	0	0	2	0	0	0	0	3	0	0	0	0	1	1	0	3	0	1	1	1	0	7	0	0	0	1	0	0	0	1	8	1	1	2	0	3	1	0	0	0	0	0	0	0	0	3	1					
		0.21%	0.0%	0.0%	0.0%	0.18%	0.36%	0.0%	0.07%	0.0%	0.0%	3.50%	0.0%	0.0%	0.0%	0.0%	0.84%	0.0%	0.0%	0.0%	0.0%	0.65%	0.14%	0.0%	0.43%	0.0%	0.25%	0.68%	0.09%	0.0%	2.05%	0.0%	0.0%	0.0%	0.18%	0.0%	0.0%	0.0%	0.22%	0.53%	0.08%	0.42%	0.63%	0.0%	0.37%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.66%	0.14%					
24	"7. ""Новый курс - Автомобильная Россия"""	115	1	0	0	4	3	1	11	2	1	2	1	1	2	0	7	1	0	0	2	1	3	1	4	0	3	0	6	4	0	1	2	0	0	1	0	0	0	14	4	0	2	0	5	3	1	5	3	1	1	3	0	0	7	1					
		0.53%	0.41%	0.0%	0.0%	0.72%	0.54%	0.38%	0.85%	1.14%	1.28%	3.50%	1.17%	0.62%	0.42%	0.0%	1.97%	0.27%	0.0%	0.0%	1.69%	0.65%	0.42%	0.30%	0.58%	0.0%	0.75%	0.0%	0.59%	0.38%	0.0%	1.19%	0.74%	0.0%	0.0%	0.54%	0.0%	0.0%	0.0%	0.93%	0.35%	0.0%	0.63%	0.0%	0.62%	0.41%	0.29%	0.76%	0.91%	0.25%	0.56%	1.94%	0.0%	0.0%	1.54%	0.14%					
25	"8. ""Народно-республиканская партия России"""	28	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	1	1	1	0	1	0	2	0	0	2	0	1	1	0	1	0	3	2	0	0	1	0	2	0	0	0	1	0					
		0.13%	0.82%	0.0%	0.0%	0.18%	0.0%	0.38%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.14%	0.0%	0.14%	0.0%	0.0%	1.37%	0.09%	0.09%	0.29%	0.0%	0.37%	0.0%	0.36%	0.0%	0.0%	1.36%	0.0%	0.06%	0.08%	0.0%	0.31%	0.0%	0.37%	0.27%	0.0%	0.0%	0.30%	0.0%	1.13%	0.0%	0.0%	0.0%	0.22%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	53	0	0	1	1	1	0	3	0	0	0	0	1	0	0	4	0	0	0	0	0	3	0	1	1	0	0	4	6	0	0	1	0	3	1	0	0	0	7	2	1	1	0	2	3	1	1	0	1	0	0	1	0	0	2					
		0.24%	0.0%	0.0%	1.96%	0.18%	0.18%	0.0%	0.23%	0.0%	0.0%	0.0%	0.0%	0.62%	0.0%	0.0%	1.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.42%	0.0%	0.14%	0.46%	0.0%	0.0%	0.39%	0.57%	0.0%	0.0%	0.37%	0.0%	0.55%	0.54%	0.0%	0.0%	0.0%	0.46%	0.17%	0.42%	0.31%	0.0%	0.25%	0.41%	0.29%	0.15%	0.0%	0.25%	0.0%	0.0%	0.62%	0.0%	0.0%	0.29%					
27	"10. ""Аграрная партия России"""	756	26	21	5	26	18	14	28	2	4	4	0	7	20	20	2	19	5	3	1	2	9	6	24	10	25	7	32	17	18	11	4	6	24	2	12	3	14	30	24	2	14	12	14	30	15	13	10	48	18	6	9	7	16	37					
		3.53%	10.78%	26.58%	9.80%	4.71%	3.26%	5.42%	2.16%	1.14%	5.12%	7.01%	0.0%	4.34%	4.23%	9.43%	0.56%	5.24%	2.42%	1.03%	0.84%	1.31%	1.26%	1.85%	3.51%	4.60%	6.29%	4.82%	3.17%	1.63%	5.29%	13.09%	1.49%	4.58%	4.40%	1.08%	5.26%	2.05%	3.16%	2.00%	2.11%	0.85%	4.45%	2.35%	1.75%	4.10%	4.38%	1.98%	3.05%	12.43%	10.22%	3.89%	5.66%	3.82%	3.53%	5.45%					
28	"11. ""Истинные патриоты России"""	28	0	0	0	1	0	0	1	0	0	0	0	0	0	0	4	3	0	0	0	1	1	0	1	0	0	0	1	3	1	0	0	0	0	0	0	0	0	1	0	0	0	2	4	0	0	0	0	1	1	0	0	0	0	2					
		0.13%	0.0%	0.0%	0.0%	0.18%	0.0%	0.0%	0.07%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.12%	0.82%	0.0%	0.0%	0.0%	0.65%	0.14%	0.0%	0.14%	0.0%	0.0%	0.0%	0.09%	0.28%	0.29%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.06%	0.0%	0.0%	0.0%	0.39%	0.50%	0.0%	0.0%	0.0%	0.0%	0.25%	0.56%	0.0%	0.0%	0.0%	0.0%	0.29%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	407	2	1	6	3	5	9	22	1	6	2	1	7	2	10	4	15	51	2	2	7	5	9	4	3	3	5	14	13	5	0	8	3	2	8	6	5	4	15	13	11	8	6	7	6	9	10	10	5	6	4	6	1	21	14					
		1.90%	0.82%	1.26%	11.76%	0.54%	0.90%	3.48%	1.70%	0.57%	7.69%	3.50%	1.17%	4.34%	0.42%	4.71%	1.12%	4.14%	24.75%	0.68%	1.69%	4.60%	0.70%	2.77%	0.58%	1.38%	0.75%	3.44%	1.39%	1.25%	1.47%	0.0%	2.99%	2.29%	0.36%	4.32%	2.63%	3.42%	0.90%	1.00%	1.14%	4.72%	2.54%	1.17%	0.87%	0.82%	2.63%	1.52%	3.05%	1.29%	3.40%	2.59%	3.77%	0.54%	4.64%	2.06%					
30	"13. ""Демократическая партия России"""	64	0	1	0	3	1	1	0	2	1	1	0	1	0	0	2	0	0	0	0	0	5	2	3	1	1	0	1	1	2	0	1	0	3	0	0	0	2	3	2	0	0	3	3	9	3	0	2	1	0	1	0	2	0	0					
		0.29%	0.0%	1.26%	0.0%	0.54%	0.18%	0.38%	0.0%	1.14%	1.28%	1.75%	0.0%	0.62%	0.0%	0.0%	0.56%	0.0%	0.0%	0.0%	0.0%	0.0%	0.70%	0.61%	0.43%	0.46%	0.25%	0.0%	0.09%	0.09%	0.58%	0.0%	0.37%	0.0%	0.55%	0.0%	0.0%	0.0%	0.45%	0.20%	0.17%	0.0%	0.0%	0.58%	0.37%	1.23%	0.87%	0.0%	0.61%	0.25%	0.0%	0.64%	0.0%	1.09%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	26	0	1	0	0	1	1	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	3	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	0	2	0	0	0	0	1	0					
		0.12%	0.0%	1.26%	0.0%	0.0%	0.18%	0.38%	0.54%	0.0%	0.0%	0.0%	1.17%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.46%	0.0%	1.37%	0.29%	0.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.08%	0.0%	0.0%	0.19%	0.12%	0.13%	0.0%	0.15%	0.0%	0.51%	0.0%	0.0%	0.0%	0.0%	0.22%	0.0%					
32	"15. ""Партия СЛОН"""	42	0	0	0	0	0	0	7	0	0	0	0	1	0	0	7	1	0	1	0	0	0	0	1	0	2	0	3	0	0	0	0	0	0	0	0	0	1	3	6	0	0	0	1	1	0	2	0	0	1	0	4	0	0	0					
		0.19%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.54%	0.0%	0.0%	0.0%	0.0%	0.62%	0.0%	0.0%	1.97%	0.27%	0.0%	0.34%	0.0%	0.0%	0.0%	0.0%	0.14%	0.0%	0.50%	0.0%	0.29%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.22%	0.20%	0.52%	0.0%	0.0%	0.0%	0.12%	0.13%	0.0%	0.30%	0.0%	0.0%	0.56%	0.0%	2.51%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	873	14	1	0	17	16	8	71	11	1	1	7	2	4	1	11	5	2	13	2	7	21	19	40	11	24	0	50	66	13	6	9	2	28	3	3	9	19	64	94	3	1	15	28	47	16	18	12	6	4	9	3	7	18	11					
		4.08%	5.80%	1.26%	0.0%	3.07%	2.89%	3.10%	5.48%	6.32%	1.28%	1.75%	8.23%	1.24%	0.84%	0.47%	3.10%	1.38%	0.97%	4.48%	1.69%	4.60%	2.94%	5.86%	5.85%	5.06%	6.04%	0.0%	4.96%	6.35%	3.82%	7.14%	3.37%	1.52%	5.13%	1.62%	1.31%	6.16%	4.29%	4.28%	8.29%	1.28%	0.31%	2.94%	3.50%	6.43%	4.67%	2.74%	3.66%	1.55%	2.27%	5.84%	1.88%	3.82%	3.98%	1.62%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	65	0	0	0	3	2	1	4	1	0	0	0	1	0	1	1	1	0	2	0	0	1	0	3	1	2	0	6	0	3	0	1	2	2	0	2	0	0	2	4	3	1	2	1	1	2	1	0	1	1	1	1	0	2	2					
		0.30%	0.0%	0.0%	0.0%	0.54%	0.36%	0.38%	0.30%	0.57%	0.0%	0.0%	0.0%	0.62%	0.0%	0.47%	0.28%	0.27%	0.0%	0.68%	0.0%	0.0%	0.14%	0.0%	0.43%	0.46%	0.50%	0.0%	0.59%	0.0%	0.88%	0.0%	0.37%	1.52%	0.36%	0.0%	0.87%	0.0%	0.0%	0.13%	0.35%	1.28%	0.31%	0.39%	0.12%	0.13%	0.58%	0.15%	0.0%	0.25%	0.56%	0.64%	0.62%	0.0%	0.44%	0.29%					
35	"18. ""ЛДПР"""	4134	46	25	0	107	86	14	283	19	15	6	6	9	50	27	113	74	21	65	23	33	194	74	149	35	96	26	188	273	66	16	32	21	117	27	28	28	87	315	313	18	30	129	141	118	49	137	64	53	13	26	19	18	84	128					
		19.34%	19.08%	31.64%	0.0%	19.38%	15.57%	5.42%	21.87%	10.91%	19.23%	10.52%	7.05%	5.59%	10.59%	12.73%	31.92%	20.44%	10.19%	22.41%	19.49%	21.71%	27.24%	22.83%	21.81%	16.12%	24.18%	17.93%	18.66%	26.27%	19.41%	19.04%	11.98%	16.03%	21.46%	14.59%	12.28%	19.17%	19.68%	21.08%	27.62%	7.72%	9.55%	25.29%	17.64%	16.16%	14.32%	20.91%	19.57%	13.73%	7.38%	16.88%	11.94%	9.83%	18.58%	18.87%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	362	7	0	0	9	7	1	19	3	0	1	1	0	3	3	1	7	3	4	0	8	9	8	15	4	5	1	16	15	1	6	5	1	7	1	9	3	13	21	27	4	3	26	16	14	10	7	7	4	1	3	3	4	4	12					
		1.69%	2.90%	0.0%	0.0%	1.63%	1.26%	0.38%	1.46%	1.72%	0.0%	1.75%	1.17%	0.0%	0.63%	1.41%	0.28%	1.93%	1.45%	1.37%	0.0%	5.26%	1.26%	2.46%	2.19%	1.84%	1.25%	0.68%	1.58%	1.44%	0.29%	7.14%	1.87%	0.76%	1.28%	0.54%	3.94%	2.05%	2.94%	1.40%	2.38%	1.71%	0.95%	5.09%	2.00%	1.91%	2.92%	1.06%	2.14%	1.03%	0.56%	1.94%	1.88%	2.18%	0.88%	1.76%					
37	"20. ""Политическая партия ""Единая Россия"""	8613	101	20	32	226	250	170	538	77	16	14	24	45	180	57	109	160	81	133	56	47	299	123	268	107	146	83	396	404	143	29	107	61	195	79	112	68	176	681	356	63	150	171	356	294	130	295	98	133	84	68	75	72	190	265					
		40.31%	41.90%	25.31%	62.74%	40.94%	45.28%	65.89%	41.57%	44.25%	20.51%	24.56%	28.23%	27.95%	38.13%	26.88%	30.79%	44.19%	39.32%	45.86%	47.45%	30.92%	41.99%	37.96%	39.23%	49.30%	36.77%	57.24%	39.32%	38.88%	42.05%	34.52%	40.07%	46.56%	35.77%	42.70%	49.12%	46.57%	39.81%	45.58%	31.42%	27.03%	47.77%	33.52%	44.55%	40.27%	38.01%	45.03%	29.96%	34.45%	47.72%	44.15%	47.16%	39.34%	42.03%	39.08%					
38	"21. ""Российская Конституционно-демократическая партия"""	42	0	0	0	0	0	0	2	1	0	1	0	0	1	0	0	1	0	0	0	2	6	0	1	0	1	0	0	0	0	0	0	0	1	2	0	0	1	6	2	5	0	0	2	1	1	1	0	0	2	0	0	0	1	1					
		0.19%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.15%	0.57%	0.0%	1.75%	0.0%	0.0%	0.21%	0.0%	0.0%	0.27%	0.0%	0.0%	0.0%	1.31%	0.84%	0.0%	0.14%	0.0%	0.25%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	1.08%	0.0%	0.0%	0.22%	0.40%	0.17%	2.14%	0.0%	0.0%	0.25%	0.13%	0.29%	0.15%	0.0%	0.0%	1.13%	0.0%	0.0%	0.0%	0.22%	0.14%					
39	"22. ""Развитие предпринимательства"""	51	5	0	0	0	2	1	6	0	0	0	0	0	1	1	1	0	0	0	0	0	2	1	1	2	0	0	5	7	0	0	0	0	4	0	0	0	0	5	1	0	1	0	1	1	0	0	0	1	1	0	1	0	0	0					
		0.23%	2.07%	0.0%	0.0%	0.0%	0.36%	0.38%	0.46%	0.0%	0.0%	0.0%	0.0%	0.0%	0.21%	0.47%	0.28%	0.0%	0.0%	0.0%	0.0%	0.0%	0.28%	0.30%	0.14%	0.92%	0.0%	0.0%	0.49%	0.67%	0.0%	0.0%	0.0%	0.0%	0.73%	0.0%	0.0%	0.0%	0.0%	0.33%	0.08%	0.0%	0.31%	0.0%	0.12%	0.13%	0.0%	0.0%	0.0%	0.25%	0.56%	0.0%	0.62%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	2788	23	8	5	96	86	11	114	31	21	15	39	67	159	60	21	42	11	38	9	20	62	43	70	15	31	9	101	71	35	4	59	20	64	33	27	11	65	122	130	34	43	72	103	114	58	90	84	82	20	14	15	44	47	120					
		13.04%	9.54%	10.12%	9.80%	17.39%	15.57%	4.26%	8.80%	17.81%	26.92%	26.31%	45.88%	41.61%	33.68%	28.30%	5.93%	11.60%	5.33%	13.10%	7.62%	13.15%	8.70%	13.27%	10.24%	6.91%	7.80%	6.20%	10.02%	6.83%	10.29%	4.76%	22.09%	15.26%	11.74%	17.83%	11.84%	7.53%	14.70%	8.16%	11.47%	14.59%	13.69%	14.11%	12.89%	15.61%	16.95%	13.74%	25.68%	21.24%	11.36%	9.09%	9.43%	24.04%	10.39%	17.69%					
																																																													
41	Против всех	841	2	0	0	12	12	2	64	3	1	0	3	4	15	2	28	6	7	7	2	7	27	6	35	8	23	3	46	69	16	0	14	1	28	5	4	4	14	50	66	46	31	13	29	27	7	17	12	8	4	6	6	8	16	15					
		3.93%	0.82%	0.0%	0.0%	2.17%	2.17%	0.77%	4.94%	1.72%	1.28%	0.0%	3.52%	2.48%	3.17%	0.94%	7.90%	1.65%	3.39%	2.41%	1.69%	4.60%	3.79%	1.85%	5.12%	3.68%	5.79%	2.06%	4.56%	6.64%	4.70%	0.0%	5.24%	0.76%	5.13%	2.70%	1.75%	2.73%	3.16%	3.34%	5.82%	19.74%	9.87%	2.54%	3.62%	3.69%	2.04%	2.59%	3.66%	2.07%	2.27%	3.89%	3.77%	4.37%	3.53%	2.21%					
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
