Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																				
Дата голосования: 04.12.2011																																																																																																				
																																																																																																				
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №11																																																																																																				
																																																																																																				
Сводная таблица результатов выборов																																																																																																				
																																																																																																				
		Сумма	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	4010	30	50	60	50	50	30	50	50	60	50	50	30	50	60	30	30	30	30	50	50	30	30	30	50	70	45	50	60	30	45	50	50	30	50	50	50	50	45	40	45	30	30	30	30	30	50	50	30	30	50	50	30	45	30	50	60	50	40	30	50	50	50	50	50	50	45	60	30	40	45	30	50	30	30	30	50	30	50	50	50	30	30	50	50	50	30	30	50	45	40	40	80	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	2950	28	39	30	31	40	26	32	43	38	36	38	29	37	35	30	24	27	30	31	27	25	29	29	25	55	28	35	39	26	30	36	28	20	31	40	22	36	36	29	37	30	25	26	24	24	31	37	30	29	33	29	19	34	28	32	48	26	28	22	37	38	36	42	38	37	33	44	24	33	30	30	35	23	27	26	34	21	33	45	46	17	21	43	25	25	12	28	38	26	39	31	62	29					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1715	50	13	18	18	19	11	19	12	20	22	21	17	17	35	27	16	15	14	29	17	11	17	17	23	14	17	25	19	21	32	24	7	19	17	13	18	22	12	16	20	13	12	19	11	13	10	15	25	19	12	29	29	22	14	13	10	22	36	38	7	20	21	23	23	15	6	10	14	20	19	14	11	14	16	14	21	13	14	14	20	17	12	17	16	17	17	26	31	19	18	14	27	19					
14	Число погашенных неиспользованных открепительных удостоверений	1060	2	11	30	19	10	4	18	7	22	14	12	1	13	25	0	6	3	0	19	23	5	1	1	25	15	17	15	21	4	15	14	22	10	19	10	28	14	9	11	8	0	5	4	6	6	19	13	0	1	17	21	11	11	2	18	12	24	12	8	13	12	14	8	12	13	12	16	6	7	15	0	15	7	3	4	16	9	17	5	4	13	9	7	25	25	18	2	12	19	1	9	18	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	15	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																				
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	31461	273	278	351	334	354	237	435	330	396	367	385	157	376	355	424	320	384	337	432	404	317	269	317	375	383	374	345	298	378	371	362	350	333	339	413	305	337	426	468	417	371	285	230	397	322	443	470	418	358	398	334	348	328	300	389	404	402	199	387	478	449	59	418	452	63	65	63	414	357	51	313	160	271	366	378	328	339	421	248	162	401	320	408	334	331	344	347	411	422	489	350	218	342					
		27.20%	22.90%	24.98%	14.31%	23.86%	23.17%	19.80%	29.33%	28.85%	22.67%	24.40%	28.04%	8.48%	27.61%	23.53%	31.50%	22.86%	24.52%	24.35%	27.78%	22.06%	29.88%	26.53%	26.48%	29.60%	28.20%	30.43%	30.48%	23.76%	28.10%	32.66%	34.54%	34.31%	33.94%	26.18%	31.36%	27.55%	33.84%	33.84%	35.97%	32.35%	34.10%	31.99%	25.27%	31.79%	35.00%	32.91%	32.78%	35.13%	24.37%	34.40%	34.86%	28.55%	26.73%	21.74%	33.91%	34.27%	33.36%	17.58%	37.10%	38.58%	28.56%	3.95%	38.00%	38.67%	4.09%	5.48%	6.15%	38.09%	34.49%	3.79%	22.68%	14.39%	28.98%	26.97%	35.59%	36.28%	36.10%	37.29%	24.15%	15.55%	38.19%	27.87%	29.96%	30.84%	33.47%	27.54%	28.96%	35.28%	34.31%	31.69%	31.36%	19.06%	33.79%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	10588	86	134	588	99	140	133	97	124	131	108	119	73	124	147	107	78	123	110	153	132	79	97	118	139	110	129	86	108	122	122	137	122	80	127	123	47	119	142	151	132	102	105	131	132	91	24	143	114	109	48	83	110	121	84	18	98	132	128	127	132	124	74	123	93	57	38	37	130	114	63	155	93	106	22	129	114	92	145	115	63	80	107	172	93	114	96	139	93	109	149	118	210	93					
		9.15%	7.21%	12.04%	23.97%	7.07%	9.16%	11.11%	6.54%	10.84%	7.50%	7.18%	8.67%	3.94%	9.10%	9.74%	7.95%	5.57%	7.85%	7.95%	9.84%	7.21%	7.45%	9.57%	9.86%	10.97%	8.10%	10.50%	7.60%	8.61%	9.07%	10.74%	13.07%	11.96%	8.15%	9.81%	9.34%	4.25%	11.95%	11.28%	11.61%	10.24%	9.38%	11.78%	14.40%	10.57%	9.89%	1.78%	9.97%	9.58%	7.42%	4.15%	8.66%	9.02%	9.86%	6.09%	1.57%	8.31%	10.95%	11.31%	12.18%	10.65%	7.89%	4.95%	11.18%	7.96%	3.70%	3.20%	3.61%	11.96%	11.01%	4.68%	11.23%	8.36%	11.34%	1.62%	12.15%	12.61%	9.80%	12.84%	11.20%	6.05%	7.62%	9.32%	12.63%	8.59%	11.53%	7.69%	11.60%	7.98%	8.86%	9.66%	10.57%	18.36%	9.19%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	1125	6	21	5	8	5	3	15	11	22	5	23	6	21	8	23	3	10	11	5	10	15	4	5	14	20	9	10	12	17	9	6	10	11	8	19	13	6	8	24	15	13	8	12	13	18	4	22	10	10	2	14	20	19	10	18	8	13	10	18	15	21	12	13	14	12	17	6	29	11	10	11	9	5	15	13	8	14	13	15	15	8	21	14	7	5	12	14	8	8	16	15	8	13					
		0.97%	0.50%	1.89%	0.20%	0.57%	0.33%	0.25%	1.01%	0.96%	1.26%	0.33%	1.68%	0.32%	1.54%	0.53%	1.71%	0.21%	0.64%	0.79%	0.32%	0.55%	1.41%	0.39%	0.42%	1.10%	1.47%	0.73%	0.88%	0.96%	1.26%	0.79%	0.57%	0.98%	1.12%	0.62%	1.44%	1.17%	0.60%	0.64%	1.84%	1.16%	1.19%	0.90%	1.32%	1.04%	1.96%	0.30%	1.53%	0.84%	0.68%	0.17%	1.46%	1.64%	1.55%	0.72%	1.57%	0.68%	1.08%	0.88%	1.73%	1.21%	1.34%	0.80%	1.18%	1.20%	0.78%	1.43%	0.59%	2.67%	1.06%	0.74%	0.80%	0.81%	0.53%	1.11%	1.22%	0.88%	1.49%	1.15%	1.46%	1.44%	0.76%	1.83%	1.03%	0.65%	0.51%	0.96%	1.17%	0.69%	0.65%	1.04%	1.34%	0.70%	1.28%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	18101	190	181	600	158	318	175	266	197	292	196	252	142	215	242	272	230	235	156	228	238	157	178	230	206	274	221	218	242	250	174	170	179	176	198	229	181	155	216	217	234	210	167	149	260	153	246	233	187	198	97	195	195	249	133	91	205	213	169	161	186	255	41	157	213	68	48	27	179	176	53	209	163	133	194	155	146	191	171	70	123	196	148	245	182	171	194	222	237	211	262	201	283	192					
		15.65%	15.94%	16.26%	24.46%	11.29%	20.81%	14.62%	17.94%	17.22%	16.71%	13.03%	18.35%	7.67%	15.79%	16.04%	20.21%	16.43%	15.01%	11.27%	14.66%	12.99%	14.80%	17.55%	19.21%	16.26%	20.18%	17.98%	19.26%	19.30%	18.59%	15.32%	16.22%	17.55%	17.94%	15.29%	17.39%	16.35%	15.56%	17.16%	16.68%	18.15%	19.30%	18.74%	16.37%	20.82%	16.63%	18.28%	16.25%	15.71%	13.48%	8.38%	20.35%	15.99%	20.29%	9.64%	7.93%	17.39%	17.68%	14.93%	15.44%	15.01%	16.22%	2.74%	14.27%	18.22%	4.41%	4.05%	2.64%	16.47%	17.00%	3.94%	15.14%	14.66%	14.22%	14.30%	14.60%	16.15%	20.34%	15.15%	6.82%	11.80%	18.67%	12.89%	17.99%	16.81%	17.29%	15.53%	18.53%	20.34%	17.15%	16.98%	18.01%	24.74%	18.97%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	13366	157	196	132	188	211	164	207	221	208	150	240	67	163	182	215	200	198	186	237	189	178	105	189	170	197	182	196	209	223	128	112	105	154	125	212	43	106	153	164	173	154	112	117	172	132	67	163	137	172	48	126	157	155	116	33	172	115	101	111	129	213	54	139	113	54	37	26	99	115	49	165	59	114	35	97	88	80	126	104	135	152	153	181	124	123	156	205	176	166	213	162	200	129					
		11.56%	13.17%	17.61%	5.38%	13.43%	13.81%	13.70%	13.96%	19.32%	11.91%	9.97%	17.48%	3.62%	11.97%	12.06%	15.97%	14.29%	12.64%	13.44%	15.24%	10.32%	16.78%	10.36%	15.79%	13.42%	14.51%	14.81%	17.31%	16.67%	16.58%	11.27%	10.69%	10.29%	15.70%	9.65%	16.10%	3.88%	10.64%	12.15%	12.61%	13.42%	14.15%	12.57%	12.86%	13.77%	14.35%	4.98%	11.37%	11.51%	11.71%	4.15%	13.15%	12.88%	12.63%	8.41%	2.88%	14.59%	9.54%	8.92%	10.64%	10.41%	13.55%	3.61%	12.64%	9.67%	3.50%	3.12%	2.54%	9.11%	11.11%	3.64%	11.96%	5.31%	12.19%	2.58%	9.13%	9.73%	8.52%	11.16%	10.13%	12.96%	14.48%	13.33%	13.29%	11.45%	12.44%	12.49%	17.11%	15.11%	13.50%	13.80%	14.52%	17.48%	12.75%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	38492	472	277	744	603	484	481	435	234	662	662	312	1397	419	568	272	553	601	557	489	837	295	356	331	333	354	286	256	227	324	301	240	233	200	464	292	476	251	294	265	303	213	195	220	250	175	549	382	305	595	541	185	364	326	708	571	257	306	497	218	268	429	1218	218	255	1255	949	847	221	239	1087	471	607	281	688	271	196	202	221	446	518	193	377	303	320	219	414	239	231	276	344	252	215	225					
		33.28%	39.60%	24.89%	30.33%	43.07%	31.68%	40.18%	29.33%	20.45%	37.89%	44.02%	22.72%	75.43%	30.76%	37.64%	20.21%	39.50%	38.38%	40.25%	31.45%	45.71%	27.80%	35.11%	27.65%	26.28%	26.07%	23.27%	22.61%	18.10%	24.09%	26.50%	22.90%	22.84%	20.39%	35.83%	22.17%	42.99%	25.20%	23.35%	20.37%	23.51%	19.58%	21.89%	24.18%	20.02%	19.02%	40.79%	26.64%	25.63%	40.50%	46.76%	19.31%	29.86%	26.57%	51.30%	49.78%	21.80%	25.39%	43.90%	20.90%	21.63%	27.29%	81.53%	19.82%	21.81%	81.44%	80.02%	82.71%	20.33%	23.09%	80.76%	34.13%	54.59%	30.05%	50.70%	25.52%	21.68%	21.51%	19.57%	43.43%	49.71%	18.38%	32.84%	22.25%	29.55%	22.14%	33.15%	19.95%	19.83%	22.44%	22.29%	22.58%	18.79%	22.23%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	894	4	12	27	6	11	3	14	7	13	10	13	8	7	3	7	8	3	14	2	7	4	2	5	10	6	10	6	10	19	16	10	8	9	16	14	17	9	10	0	5	9	8	7	9	11	4	11	12	6	3	9	17	14	10	9	19	7	9	5	11	16	10	8	14	17	10	12	4	5	8	17	4	13	15	7	5	3	12	11	11	6	11	18	9	11	16	9	9	13	11	8	8	8					
		0.77%	0.34%	1.08%	1.10%	0.43%	0.72%	0.25%	0.94%	0.61%	0.74%	0.66%	0.95%	0.43%	0.51%	0.20%	0.52%	0.57%	0.19%	1.01%	0.13%	0.38%	0.38%	0.20%	0.42%	0.79%	0.44%	0.81%	0.53%	0.80%	1.41%	1.41%	0.95%	0.78%	0.92%	1.24%	1.06%	1.54%	0.90%	0.79%	0.00%	0.39%	0.83%	0.90%	0.77%	0.72%	1.20%	0.30%	0.77%	1.01%	0.41%	0.26%	0.94%	1.39%	1.14%	0.72%	0.78%	1.61%	0.58%	0.80%	0.48%	0.89%	1.02%	0.67%	0.73%	1.20%	1.10%	0.84%	1.17%	0.37%	0.48%	0.59%	1.23%	0.36%	1.39%	1.11%	0.66%	0.55%	0.32%	1.06%	1.07%	1.06%	0.57%	0.96%	1.32%	0.83%	1.11%	1.28%	0.75%	0.77%	1.06%	0.71%	0.72%	0.70%	0.79%					
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
