Выборы Президента Российской Федерации																																																																																																																																													
																																																																																																																																													
"Наименование Избирательной комиссии:    Тольятти, Автозаводская"																																																																																																																																													
																																																																																																																																													
Итоги голосования 																																																																																																																																													
																																																																																																																																													
		Сумма	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540	УИК №1541	УИК №1542	УИК №1543	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №1574	УИК №1575	УИК №1576	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №1581	УИК №1582	УИК №1583	УИК №1584	УИК №1585	УИК №1586	УИК №1587	УИК №1588	УИК №1589	УИК №1590	УИК №1591	УИК №1592	УИК №1593	УИК №1594	УИК №1595	УИК №1596	УИК №1597	УИК №1598	УИК №1599	УИК №1600	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639	УИК №1640					
11	Число полученных открепительных  удостоверений	5250	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	10	0	0	40	40					
12	Число выданных открепительных удостоверений	1413	12	9	14	18	9	21	16	13	7	12	15	5	8	9	13	10	16	10	10	7	12	4	17	12	7	29	11	19	4	15	13	8	9	8	13	14	9	4	14	8	9	10	7	8	7	16	15	11	12	13	12	7	11	10	9	6	12	12	10	8	13	12	4	24	8	15	13	5	6	7	7	13	15	9	10	12	4	10	6	3	14	6	16	12	6	7	7	8	9	7	6	14	11	9	10	9	15	9	7	11	10	10	12	5	12	5	7	6	7	10	12	16	10	9	8	13	5	14	17	21	14	17	9	14	17	9	15	8	10	4	0	0	20	9					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	955	13	9	8	5	11	11	12	1	2	11	5	3	13	8	5	4	3	5	6	3	11	10	11	8	8	8	2	9	9	8	8	7	1	7	6	9	10	7	8	7	12	4	5	4	9	13	9	10	6	3	4	6	6	6	7	12	13	0	18	7	8	19	1	6	10	6	9	5	3	4	11	7	12	7	5	6	4	3	8	0	3	5	9	11	7	7	8	7	15	7	3	7	8	2	4	8	3	5	8	5	3	5	7	5	6	2	0	6	7	2	9	6	7	5	3	7	9	9	14	6	9	2	7	4	5	3	3	13	20	8	14	11	19	7					
14	Число неиспользованных открепительных удостоверений	3837	28	31	26	22	31	19	24	27	33	28	25	35	32	31	27	30	24	30	30	33	28	36	23	28	33	11	29	21	36	25	27	32	31	32	27	26	31	36	26	32	31	30	33	32	33	24	25	29	28	27	28	33	29	30	31	34	28	28	30	32	27	28	36	16	32	25	27	35	34	33	33	27	25	31	30	28	36	30	34	37	26	34	24	28	34	33	33	32	31	33	34	26	29	31	30	31	25	31	33	29	30	30	28	35	28	35	33	34	33	30	28	24	30	31	32	27	35	26	23	19	26	23	31	26	23	31	25	32	30	6	0	0	20	31					
15	"Число открепительных удостоверений, выданных в ТИК"	151	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	139	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																																																																													
18	. Глазьев Сергей Юрьевич	12170	94	122	90	104	92	81	85	101	118	95	111	100	100	81	103	91	97	111	135	70	86	111	99	45	47	25	29	41	7	66	99	92	49	82	147	83	69	79	88	82	84	101	87	72	76	101	114	108	83	80	74	110	65	125	120	116	137	95	89	89	106	119	98	94	72	113	111	123	41	74	92	87	86	62	114	104	76	85	100	106	83	85	71	127	114	79	116	110	88	103	138	112	102	82	72	85	92	95	109	104	91	87	127	138	74	87	113	75	84	90	111	84	82	70	86	137	116	84	141	90	78	87	51	124	93	126	105	95	98	9	2	11	77	84					
		6.69%	6.24%	7.54%	6.66%	7.22%	6.86%	5.62%	6.65%	7.48%	7.67%	7.58%	7.76%	8.20%	7.21%	7.69%	7.59%	6.76%	5.94%	7.02%	9.36%	5.53%	7.07%	8.58%	7.21%	5.40%	5.97%	3.08%	3.85%	5.35%	2.24%	4.76%	7.04%	8.77%	6.43%	5.80%	8.79%	5.81%	5.46%	6.09%	6.66%	6.47%	6.62%	7.73%	7.44%	6.09%	5.79%	6.16%	7.11%	7.09%	7.29%	6.03%	5.26%	7.94%	5.70%	7.69%	8.01%	6.88%	7.97%	6.75%	5.95%	6.40%	7.54%	7.98%	5.21%	5.78%	5.53%	7.82%	6.85%	8.02%	4.27%	5.49%	7.14%	6.50%	6.23%	5.61%	7.71%	7.91%	6.16%	6.93%	7.56%	6.95%	5.78%	6.09%	4.79%	7.53%	6.94%	6.30%	7.79%	7.71%	6.32%	6.91%	9.67%	6.71%	6.98%	6.39%	4.37%	5.49%	6.30%	5.69%	7.33%	7.70%	6.23%	5.81%	7.77%	8.16%	4.84%	6.60%	7.66%	5.42%	6.44%	7.67%	6.61%	6.10%	5.38%	6.62%	5.55%	8.69%	7.02%	6.74%	7.57%	6.07%	5.99%	6.52%	3.71%	6.65%	5.67%	8.13%	6.35%	6.30%	7.70%	4.46%	1.83%	3.90%	6.45%	7.15%					
19	. Малышкин Олег Александрович	4275	47	43	40	23	38	24	35	33	28	32	31	16	33	32	30	33	46	31	43	12	27	23	28	36	20	44	32	35	6	38	22	26	13	39	43	39	27	27	21	27	27	32	24	20	35	28	29	21	24	40	17	26	26	32	38	52	40	38	26	47	31	29	23	26	28	35	30	23	21	28	27	32	29	23	23	17	25	20	29	27	23	24	37	41	35	35	32	43	42	35	32	33	39	36	57	41	36	59	33	30	50	38	44	46	35	38	37	30	44	30	40	36	30	16	36	27	50	29	38	39	33	32	36	47	38	31	62	45	23	15	1	8	28	29					
		2.35%	3.12%	2.66%	2.96%	1.60%	2.83%	1.66%	2.74%	2.44%	1.82%	2.55%	2.17%	1.31%	2.38%	3.04%	2.21%	2.45%	2.82%	1.96%	2.98%	0.95%	2.22%	1.78%	2.04%	4.32%	2.54%	5.41%	4.25%	4.56%	1.92%	2.74%	1.56%	2.48%	1.71%	2.76%	2.57%	2.73%	2.14%	2.08%	1.59%	2.13%	2.13%	2.45%	2.05%	1.69%	2.67%	1.71%	1.81%	1.38%	2.11%	3.01%	1.21%	1.88%	2.28%	1.97%	2.54%	3.08%	2.33%	2.70%	1.74%	3.38%	2.20%	1.94%	1.22%	1.60%	2.15%	2.42%	1.85%	1.50%	2.19%	2.08%	2.09%	2.39%	2.10%	2.08%	1.56%	1.29%	2.03%	1.63%	2.19%	1.77%	1.60%	1.72%	2.50%	2.43%	2.13%	2.79%	2.15%	3.01%	3.02%	2.35%	2.24%	1.98%	2.67%	2.80%	3.46%	2.65%	2.46%	3.54%	2.22%	2.22%	3.42%	2.54%	2.69%	2.72%	2.29%	2.88%	2.51%	2.17%	3.37%	2.56%	2.38%	2.61%	1.97%	1.51%	2.32%	1.71%	3.03%	2.33%	2.04%	2.63%	2.53%	2.40%	2.62%	2.52%	2.32%	2.00%	3.75%	2.98%	1.81%	7.43%	0.92%	2.84%	2.35%	2.47%					
20	. Миронов Сергей Михайлович	2259	10	14	9	11	15	10	12	11	14	10	20	13	19	9	31	25	12	18	19	11	15	15	26	9	6	9	1	4	1	15	23	15	16	21	24	23	22	17	16	24	16	29	12	15	30	34	30	36	13	18	31	20	24	13	14	13	29	21	16	12	23	21	5	18	6	10	19	31	6	16	15	15	15	7	16	11	12	11	7	17	13	13	27	19	23	11	12	17	21	23	22	20	21	17	19	30	11	23	22	22	32	29	26	20	10	21	9	8	12	7	20	16	16	7	26	14	24	20	21	20	11	12	16	18	27	25	34	19	18	2	3	3	14	11					
		1.24%	0.66%	0.86%	0.67%	0.76%	1.12%	0.69%	0.94%	0.81%	0.91%	0.80%	1.40%	1.07%	1.37%	0.85%	2.28%	1.86%	0.73%	1.14%	1.32%	0.87%	1.23%	1.16%	1.89%	1.08%	0.76%	1.11%	0.13%	0.52%	0.32%	1.08%	1.64%	1.43%	2.10%	1.49%	1.43%	1.61%	1.74%	1.31%	1.21%	1.89%	1.26%	2.22%	1.03%	1.27%	2.28%	2.07%	1.87%	2.36%	1.14%	1.36%	2.20%	1.44%	2.11%	0.80%	0.93%	0.77%	1.69%	1.49%	1.07%	0.86%	1.64%	1.41%	0.27%	1.11%	0.46%	0.69%	1.17%	2.02%	0.62%	1.19%	1.16%	1.12%	1.09%	0.63%	1.08%	0.84%	0.97%	0.90%	0.53%	1.11%	0.91%	0.93%	1.82%	1.13%	1.40%	0.88%	0.81%	1.19%	1.51%	1.54%	1.54%	1.20%	1.44%	1.32%	1.15%	1.94%	0.75%	1.38%	1.48%	1.63%	2.19%	1.94%	1.59%	1.18%	0.65%	1.59%	0.61%	0.58%	0.92%	0.60%	1.19%	1.16%	1.05%	0.66%	1.68%	0.89%	1.45%	1.61%	1.13%	1.35%	0.84%	0.90%	1.16%	0.97%	1.65%	1.61%	2.06%	1.26%	1.41%	0.99%	2.75%	1.06%	1.17%	0.94%					
21	. Путин Владимир Владимирович	123299	1037	1107	900	988	926	1010	879	879	1020	796	924	807	868	679	881	902	1099	1052	961	887	784	850	922	569	572	599	548	533	217	989	942	680	533	934	1063	976	895	855	865	826	842	846	790	819	889	1085	1042	1044	781	899	928	889	772	1083	994	1126	1148	927	1065	912	934	1013	1536	1156	927	940	1067	978	648	908	849	889	951	782	933	883	840	810	848	1032	954	971	1010	1138	1096	848	1004	969	951	1006	953	1152	977	896	1138	1057	1001	1127	1024	918	981	1021	1101	1157	1087	919	982	933	936	799	1194	969	1082	758	1095	1038	1110	846	1255	993	917	903	971	1290	1143	1029	1104	1030	835	133	84	201	823	831					
		67.76%	68.86%	68.38%	66.57%	68.56%	69.05%	70.04%	68.73%	65.06%	66.28%	63.48%	64.62%	66.20%	62.58%	64.48%	64.92%	66.96%	67.26%	66.54%	66.60%	70.06%	64.47%	65.69%	67.15%	68.31%	72.68%	73.68%	72.78%	69.49%	69.55%	71.25%	67.00%	64.82%	69.95%	66.10%	63.54%	68.30%	70.81%	65.92%	65.48%	65.19%	66.35%	64.78%	67.58%	69.29%	67.71%	66.20%	64.96%	68.50%	68.57%	67.75%	65.91%	64.14%	67.72%	66.65%	66.31%	66.75%	66.78%	65.84%	71.19%	65.56%	66.43%	67.90%	81.66%	71.14%	71.20%	65.05%	65.86%	63.75%	67.50%	67.41%	65.87%	66.39%	68.91%	70.71%	63.13%	67.20%	68.07%	66.07%	64.10%	67.67%	66.48%	69.61%	68.20%	67.50%	66.71%	67.62%	67.38%	67.90%	68.32%	67.47%	66.78%	69.02%	66.83%	69.78%	69.01%	68.24%	68.51%	67.53%	68.82%	67.95%	67.15%	68.20%	67.34%	68.42%	71.05%	69.67%	66.53%	67.46%	71.72%	68.12%	71.11%	70.37%	71.04%	71.64%	70.65%	65.82%	67.19%	67.90%	67.36%	66.96%	70.43%	67.69%	70.67%	69.17%	69.74%	66.39%	66.75%	68.30%	65.59%	65.84%	77.06%	71.28%	68.93%	70.72%					
22	. Хакамада Ирина Муцуовна	9374	59	68	74	59	70	65	54	77	86	84	75	64	75	62	63	59	80	97	69	70	72	80	65	14	36	24	27	30	27	63	79	65	36	81	94	74	53	91	80	71	67	54	64	64	51	78	85	65	53	78	89	52	52	116	78	82	100	62	59	78	80	75	47	77	57	81	102	91	53	78	87	77	79	49	104	88	69	75	76	86	114	66	75	77	74	55	91	51	51	76	61	88	74	56	84	86	58	89	86	51	66	60	102	86	80	68	84	79	48	8	82	64	55	47	107	100	104	60	100	103	75	93	95	97	67	53	81	80	91	3	1	8	73	61					
		5.15%	3.92%	4.20%	5.47%	4.09%	5.22%	4.51%	4.22%	5.70%	5.59%	6.70%	5.24%	5.25%	5.41%	5.89%	4.64%	4.38%	4.90%	6.14%	4.78%	5.53%	5.92%	6.18%	4.73%	1.68%	4.57%	2.95%	3.59%	3.91%	8.65%	4.54%	5.62%	6.20%	4.72%	5.73%	5.62%	5.18%	4.19%	7.02%	6.06%	5.60%	5.28%	4.13%	5.47%	5.41%	3.88%	4.76%	5.30%	4.27%	4.65%	5.88%	6.32%	3.75%	4.56%	7.14%	5.20%	4.86%	5.82%	4.40%	3.94%	5.61%	5.69%	5.03%	2.50%	4.74%	4.38%	5.61%	6.30%	5.93%	5.52%	5.79%	6.75%	5.75%	5.72%	4.43%	7.04%	6.70%	5.59%	6.12%	5.74%	5.64%	7.94%	4.73%	5.06%	4.57%	4.50%	4.39%	6.11%	3.57%	3.66%	5.10%	4.27%	5.27%	5.06%	4.36%	5.09%	5.55%	3.97%	5.33%	5.78%	3.77%	4.52%	4.01%	6.24%	5.09%	5.23%	5.16%	5.69%	5.71%	3.68%	0.68%	4.88%	4.65%	3.61%	4.44%	6.90%	6.34%	6.30%	4.82%	5.37%	6.95%	5.76%	6.97%	6.91%	5.20%	4.09%	3.42%	4.90%	5.31%	7.15%	1.49%	0.92%	2.84%	6.11%	5.19%					
23	. Харитонов Николай Михайлович	20458	186	191	178	184	127	175	160	175	175	172	198	149	222	137	160	174	206	203	161	152	152	157	173	93	64	58	51	70	22	151	173	117	78	194	217	168	144	152	190	168	160	165	147	151	154	222	207	192	138	150	199	219	151	151	161	199	158	181	175	176	153	160	104	169	153	179	220	192	143	169	148	157	158	138	193	152	142	162	181	172	181	146	159	189	207	152	163	162	140	159	139	175	169	106	184	161	166	167	133	152	166	171	153	156	155	117	158	159	111	164	132	132	157	101	114	139	145	122	190	144	108	135	127	166	178	183	169	152	106	25	6	30	108	91					
		11.24%	12.35%	11.80%	13.17%	12.77%	9.47%	12.14%	12.51%	12.95%	11.37%	13.72%	13.85%	12.22%	16.01%	13.01%	11.79%	12.92%	12.61%	12.84%	11.16%	12.01%	12.50%	12.13%	12.60%	11.16%	8.13%	7.13%	6.77%	9.13%	7.05%	10.88%	12.30%	11.15%	10.24%	13.73%	12.97%	11.76%	11.39%	11.72%	14.38%	13.26%	12.61%	12.63%	12.57%	12.77%	11.73%	13.54%	12.91%	12.60%	12.12%	11.30%	14.13%	15.80%	13.25%	9.29%	10.74%	11.80%	9.19%	12.86%	11.70%	12.65%	10.88%	10.72%	5.53%	10.40%	11.75%	12.39%	13.58%	12.52%	14.90%	12.55%	11.48%	11.73%	11.45%	12.48%	13.06%	11.57%	11.51%	13.21%	13.68%	11.28%	12.61%	10.47%	10.74%	11.21%	12.60%	12.12%	10.94%	11.35%	10.06%	10.66%	9.74%	10.49%	11.56%	8.26%	11.16%	10.39%	11.36%	10.01%	8.94%	11.25%	11.36%	11.42%	9.36%	9.23%	10.13%	8.87%	10.70%	11.50%	8.51%	13.98%	7.86%	9.59%	10.31%	9.55%	7.35%	8.81%	8.78%	9.79%	10.20%	9.71%	8.29%	10.12%	9.24%	8.90%	10.86%	11.81%	10.22%	10.08%	8.33%	12.38%	5.50%	10.64%	9.05%	7.74%					
																																																																																																																																													
24	Против всех	8643	61	54	53	61	64	73	48	68	83	61	62	51	57	44	64	54	82	63	46	54	68	54	51	53	32	39	49	46	26	58	59	44	32	51	73	56	49	66	53	52	56	67	39	34	69	71	80	54	37	62	57	55	34	96	80	90	89	72	56	69	63	65	67	71	52	71	59	82	40	61	57	65	48	38	83	57	59	55	70	78	60	73	82	85	73	57	65	59	82	75	63	89	74	66	78	79	86	100	74	63	65	82	71	76	72	58	81	87	63	69	95	68	91	52	78	121	83	69	97	70	65	63	68	106	79	85	86	70	97	12	12	21	64	62					
