Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																									
Дата голосования: 18.09.2016																									
																									
Наименование Избирательной комиссии:    Итум-Калинская																									
																									
Сводная таблица итогов голосования по федеральному избирательному округу																									
																									
		Сумма	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №451									
		0.53%	0.18%	0.37%	0.42%	1.59%	0.65%	0.31%	2.03%	0.43%	1.64%	1.05%	0.00%	3.57%	0.00%	0.22%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	13	3	1	2	1	2	1	0	0	0	1	0	0	0	2									
		0.30%	0.54%	0.18%	0.84%	0.40%	0.65%	0.31%	0.00%	0.00%	0.00%	0.53%	0.00%	0.00%	0.00%	0.15%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4091	520	531	219	230	289	309	136	224	112	172	8	26	22	1293									
		94.26%	94.37%	97.07%	92.02%	91.27%	93.23%	94.79%	91.89%	95.73%	91.80%	90.53%	80.00%	92.86%	91.67%	95.07%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	27	2	3	2	1	2	3	1	2	3	2	1	0	0	5									
		0.62%	0.36%	0.55%	0.84%	0.40%	0.65%	0.92%	0.68%	0.85%	2.46%	1.05%	10.00%	0.00%	0.00%	0.37%									
24	"6. Политическая партия ""Гражданская Платформа"""	3	0	0	1	0	0	1	0	0	0	1	0	0	0	0									
		0.07%	0.00%	0.00%	0.42%	0.00%	0.00%	0.31%	0.00%	0.00%	0.00%	0.53%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1									
		0.05%	0.00%	0.00%	0.00%	0.40%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.07%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	12	1	2	1	1	0	2	1	0	1	1	0	0	1	1									
		0.28%	0.18%	0.37%	0.42%	0.40%	0.00%	0.61%	0.68%	0.00%	0.82%	0.53%	0.00%	0.00%	4.17%	0.07%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	11	2	1	1	2	1	1	0	1	0	1	0	0	0	1									
		0.25%	0.36%	0.18%	0.42%	0.79%	0.32%	0.31%	0.00%	0.43%	0.00%	0.53%	0.00%	0.00%	0.00%	0.07%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0									
		0.05%	0.00%	0.18%	0.00%	0.00%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	77	12	3	7	4	5	3	4	2	1	5	0	1	0	30									
		1.77%	2.18%	0.55%	2.94%	1.59%	1.61%	0.92%	2.70%	0.85%	0.82%	2.63%	0.00%	3.57%	0.00%	2.21%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	74	9	2	4	8	7	4	3	4	3	4	1	0	1	24									
		1.71%	1.63%	0.37%	1.68%	3.17%	2.26%	1.23%	2.03%	1.71%	2.46%	2.11%	10.00%	0.00%	4.17%	1.76%									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
