Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																
Дата голосования: 07.12.2003 0:00:00																																
																																
Наименование Избирательной комиссии:    Медвенская																																
																																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																
																																
		Сумма	УИК  762	УИК  763	УИК  764	УИК  765	УИК  766	УИК  767	УИК  768	УИК  769	УИК  770	УИК  771	УИК  772	УИК  773	УИК  774	УИК  775	УИК  776	УИК  777	УИК  778	УИК  779	УИК  780	УИК  781	УИК  782	УИК  783	УИК  784	УИК  785	УИК  786					
24	"7. ""Новый курс - Автомобильная Россия"""	73	11	12	3	0	4	4	3	5	2	2	0	2	1	0	2	5	1	2	1	4	1	0	4	1	3					
		0.72%	1.13%	0.79%	0.66%	0.0%	0.68%	0.59%	1.15%	2.03%	0.50%	1.26%	0.0%	0.67%	0.48%	0.0%	0.78%	2.28%	0.22%	0.36%	0.20%	0.95%	0.52%	0.0%	0.93%	0.24%	0.86%					
25	"8. ""Народно-республиканская партия России"""	33	1	3	1	0	1	5	2	0	2	0	1	1	0	0	3	0	1	3	2	3	1	0	0	3	0					
		0.32%	0.10%	0.19%	0.22%	0.0%	0.17%	0.73%	0.76%	0.0%	0.50%	0.0%	0.41%	0.33%	0.0%	0.0%	1.18%	0.0%	0.22%	0.54%	0.40%	0.71%	0.52%	0.0%	0.0%	0.74%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	20	4	3	0	0	1	3	1	0	0	0	0	0	0	0	0	2	1	0	1	0	1	0	1	2	0					
		0.19%	0.41%	0.19%	0.0%	0.0%	0.17%	0.44%	0.38%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.91%	0.22%	0.0%	0.20%	0.0%	0.52%	0.0%	0.23%	0.49%	0.0%					
27	"10. ""Аграрная партия России"""	968	56	97	36	2	62	86	33	15	36	9	42	30	10	19	14	26	62	42	37	45	17	18	95	47	32					
		9.58%	5.77%	6.42%	7.94%	2.73%	10.68%	12.72%	12.69%	6.09%	9.09%	5.69%	17.35%	10.10%	4.85%	9.64%	5.51%	11.87%	14.02%	7.58%	7.45%	10.73%	8.90%	22.22%	22.14%	11.66%	9.22%					
28	"11. ""Истинные патриоты России"""	11	0	2	2	0	0	0	2	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	1	0	0					
		0.10%	0.0%	0.13%	0.44%	0.0%	0.0%	0.0%	0.76%	0.0%	0.0%	0.0%	0.41%	0.0%	0.0%	0.0%	0.0%	0.0%	0.45%	0.0%	0.20%	0.0%	0.0%	0.0%	0.23%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	210	21	33	12	0	9	11	4	0	26	3	7	4	4	9	8	1	5	8	11	10	4	0	6	8	6					
		2.07%	2.16%	2.18%	2.64%	0.0%	1.55%	1.62%	1.53%	0.0%	6.56%	1.89%	2.89%	1.34%	1.94%	4.56%	3.14%	0.45%	1.13%	1.44%	2.21%	2.38%	2.09%	0.0%	1.39%	1.98%	1.72%					
30	"13. ""Демократическая партия России"""	37	6	1	3	1	6	3	0	0	0	0	2	1	2	3	0	0	1	1	4	0	1	0	1	0	1					
		0.36%	0.61%	0.06%	0.66%	1.36%	1.03%	0.44%	0.0%	0.0%	0.0%	0.0%	0.82%	0.33%	0.97%	1.52%	0.0%	0.0%	0.22%	0.18%	0.80%	0.0%	0.52%	0.0%	0.23%	0.0%	0.28%					
31	"14. ""Великая Россия - Евразийский Союз"""	77	8	13	7	0	4	5	2	4	0	0	1	1	4	2	3	2	3	3	2	2	2	3	1	4	1					
		0.76%	0.82%	0.86%	1.54%	0.0%	0.68%	0.73%	0.76%	1.62%	0.0%	0.0%	0.41%	0.33%	1.94%	1.01%	1.18%	0.91%	0.67%	0.54%	0.40%	0.47%	1.04%	3.70%	0.23%	0.99%	0.28%					
32	"15. ""Партия СЛОН"""	16	1	5	1	0	0	1	0	1	0	0	1	0	2	0	0	0	1	2	0	0	0	0	1	0	0					
		0.15%	0.10%	0.33%	0.22%	0.0%	0.0%	0.14%	0.0%	0.40%	0.0%	0.0%	0.41%	0.0%	0.97%	0.0%	0.0%	0.0%	0.22%	0.36%	0.0%	0.0%	0.0%	0.0%	0.23%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	545	48	129	24	2	26	69	8	17	14	4	15	11	12	7	11	10	26	17	38	15	6	2	12	11	11					
		5.39%	4.94%	8.54%	5.29%	2.73%	4.48%	10.20%	3.07%	6.91%	3.53%	2.53%	6.19%	3.70%	5.82%	3.55%	4.33%	4.56%	5.88%	3.06%	7.66%	3.57%	3.14%	2.46%	2.79%	2.72%	3.17%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	53	2	4	1	0	5	7	3	3	1	2	2	3	0	0	1	0	4	2	0	0	2	2	1	5	3					
		0.52%	0.20%	0.26%	0.22%	0.0%	0.86%	1.03%	1.15%	1.21%	0.25%	1.26%	0.82%	1.01%	0.0%	0.0%	0.39%	0.0%	0.90%	0.36%	0.0%	0.0%	1.04%	2.46%	0.23%	1.24%	0.86%					
35	"18. ""ЛДПР"""	1434	163	240	70	10	64	121	42	39	46	11	29	45	20	22	26	19	70	78	95	51	27	9	52	36	49					
		14.20%	16.80%	15.90%	15.45%	13.69%	11.03%	17.89%	16.15%	15.85%	11.61%	6.96%	11.98%	15.15%	9.70%	11.16%	10.23%	8.67%	15.83%	14.07%	19.15%	12.17%	14.13%	11.11%	12.12%	8.93%	14.12%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	253	27	33	4	0	21	19	4	3	16	6	2	6	2	6	2	8	15	14	16	9	12	2	12	5	9					
		2.50%	2.78%	2.18%	0.88%	0.0%	3.62%	2.81%	1.53%	1.21%	4.04%	3.79%	0.82%	2.02%	0.97%	3.04%	0.78%	3.65%	3.39%	2.52%	3.22%	2.14%	6.28%	2.46%	2.79%	1.24%	2.59%					
37	"20. ""Политическая партия ""Единая Россия"""	3319	368	539	129	33	202	128	76	70	160	61	43	80	61	43	120	95	109	229	112	182	59	18	121	159	122					
		32.86%	37.93%	35.71%	28.47%	45.20%	34.82%	18.93%	29.23%	28.45%	40.40%	38.60%	17.76%	26.93%	29.61%	21.82%	47.24%	43.37%	24.66%	41.33%	22.58%	43.43%	30.89%	22.22%	28.20%	39.45%	35.15%					
38	"21. ""Российская Конституционно-демократическая партия"""	66	4	5	3	0	11	3	1	0	2	1	1	3	3	0	0	0	2	4	4	5	1	1	4	6	2					
		0.65%	0.41%	0.33%	0.66%	0.0%	1.89%	0.44%	0.38%	0.0%	0.50%	0.63%	0.41%	1.01%	1.45%	0.0%	0.0%	0.0%	0.45%	0.72%	0.80%	1.19%	0.52%	1.23%	0.93%	1.48%	0.57%					
39	"22. ""Развитие предпринимательства"""	25	0	7	1	0	3	0	0	0	2	0	1	0	0	0	0	0	0	0	3	4	0	2	0	1	1					
		0.24%	0.0%	0.46%	0.22%	0.0%	0.51%	0.0%	0.0%	0.0%	0.50%	0.0%	0.41%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.60%	0.95%	0.0%	2.46%	0.0%	0.24%	0.28%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1276	100	156	68	8	67	82	25	48	34	36	47	66	56	65	13	19	62	56	63	26	33	12	53	40	41					
		12.63%	10.30%	10.33%	15.01%	10.95%	11.55%	12.13%	9.61%	19.51%	8.58%	22.78%	19.42%	22.22%	27.18%	32.99%	5.11%	8.67%	14.02%	10.10%	12.70%	6.20%	17.27%	14.81%	12.35%	9.92%	11.81%					
																																
41	Против всех	384	37	81	29	3	16	31	8	7	9	4	2	14	2	5	7	5	13	16	25	18	6	4	14	10	18					
		3.80%	3.81%	5.36%	6.40%	4.10%	2.75%	4.58%	3.07%	2.84%	2.27%	2.53%	0.82%	4.71%	0.97%	2.53%	2.75%	2.28%	2.94%	2.88%	5.04%	4.29%	3.14%	4.93%	3.26%	2.48%	5.18%					
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
