Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																							
Дата голосования: 18.09.2016																																																																							
																																																																							
Наименование Избирательной комиссии:    Серовская городская																																																																							
																																																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																																																							
																																																																							
		Сумма	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №808	УИК №809	УИК №810	УИК №812	УИК №813	УИК №2467	УИК №2468	УИК №2469	УИК №2470	УИК №2471	УИК №2472	УИК №2473	УИК №2474	УИК №2475	УИК №2476	УИК №2477	УИК №2478	УИК №2479	УИК №2480	УИК №2481	УИК №2482	УИК №2483	УИК №2484	УИК №2485	УИК №2486	УИК №2487	УИК №2488	УИК №2489	УИК №2490	УИК №2491	УИК №2492	УИК №2493	УИК №2494	УИК №2495	УИК №2496	УИК №2497	УИК №2498	УИК №2499	УИК №2500	УИК №2501	УИК №2502	УИК №2503	УИК №2504	УИК №2505	УИК №2506	УИК №2507	УИК №2508	УИК №2509	УИК №2510	УИК №2511	УИК №2512	УИК №2513	УИК №2514									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1500	20	40	20	40	40	25	25	15	15	15	15	15	0	25	30	25	25	25	20	20	25	25	25	25	30	25	25	25	25	25	25	25	20	25	25	25	25	30	25	25	30	20	40	40	25	40	30	30	20	25	20	20	20	30	30	30	25	25	25	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	599	1	8	0	14	18	11	0	12	2	2	4	4	0	4	17	10	5	8	6	8	10	7	20	13	15	17	10	14	15	13	9	10	16	10	10	14	13	13	12	13	18	10	21	18	9	7	8	8	5	12	1	9	3	12	15	19	14	16	6	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	465	3	5	6	4	7	3	5	5	3	6	0	1	5	19	5	9	9	11	5	7	6	6	9	6	10	7	4	13	8	7	12	7	14	27	18	5	9	23	6	5	8	12	10	16	3	6	5	6	4	8	3	5	17	5	8	8	12	6	3	0									
14	Число погашенных неиспользованных открепительных удостоверений	901	19	32	20	26	22	14	25	3	13	13	11	11	0	21	13	15	20	17	14	12	15	18	5	12	15	8	15	11	10	12	16	15	4	15	15	11	12	17	13	12	12	10	19	22	16	33	22	22	15	13	19	11	17	18	15	11	11	9	19	15									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	47	0	0	0	1	1	0	0	1	0	0	7	0	0	0	1	0	2	0	0	1	0	0	4	2	0	0	1	2	3	0	1	0	0	1	1	0	1	1	0	0	1	1	1	2	1	2	1	0	0	1	0	0	0	0	1	3	1	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	288	5	8	0	5	3	0	0	0	0	2	2	0	4	5	2	3	4	1	9	6	4	8	7	7	11	8	4	3	11	11	2	2	7	7	7	5	14	5	5	9	7	4	6	9	2	3	7	5	5	3	4	3	2	2	10	6	7	2	5	0									
		0.99%	3.65%	1.99%	0.00%	1.17%	0.65%	0.00%	0.00%	0.00%	0.00%	2.74%	4.17%	0.00%	0.95%	0.91%	0.29%	0.57%	0.72%	0.20%	2.01%	1.39%	0.69%	1.38%	1.21%	1.34%	1.61%	1.20%	0.65%	0.47%	1.53%	1.69%	0.42%	0.34%	1.31%	0.95%	1.12%	0.80%	2.08%	0.83%	0.76%	1.42%	0.84%	0.77%	0.65%	1.05%	0.42%	0.39%	1.62%	0.84%	1.50%	0.90%	1.54%	0.82%	1.25%	0.28%	1.37%	0.93%	1.16%	0.44%	1.15%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	524	0	8	2	8	10	5	0	0	1	2	1	2	7	11	12	6	6	8	10	3	8	8	22	6	15	15	10	12	11	15	6	15	7	17	12	16	12	14	9	8	16	10	13	8	9	8	1	18	4	9	5	7	2	14	26	11	10	2	9	2									
		1.81%	0.00%	1.99%	5.00%	1.86%	2.18%	6.58%	0.00%	0.00%	1.20%	2.74%	2.08%	2.04%	1.66%	2.01%	1.71%	1.15%	1.08%	1.57%	2.23%	0.70%	1.38%	1.38%	3.81%	1.15%	2.20%	2.24%	1.63%	1.87%	1.53%	2.31%	1.27%	2.55%	1.31%	2.30%	1.92%	2.56%	1.78%	2.33%	1.36%	1.26%	1.92%	1.93%	1.40%	0.93%	1.89%	1.03%	0.23%	3.01%	1.20%	2.69%	1.93%	1.90%	1.25%	1.94%	3.57%	1.70%	1.66%	0.44%	2.07%	5.26%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	796	5	20	1	5	13	2	0	3	1	3	0	1	21	19	18	15	17	13	11	13	19	17	11	10	18	26	17	22	25	17	10	10	19	18	22	12	24	19	18	13	17	12	29	10	11	19	9	23	7	12	10	13	6	14	21	17	14	13	11	0									
		2.75%	3.65%	4.99%	2.50%	1.17%	2.83%	2.63%	0.00%	4.62%	1.20%	4.11%	0.00%	1.02%	4.99%	3.47%	2.57%	2.87%	3.07%	2.55%	2.46%	3.02%	3.27%	2.94%	1.90%	1.92%	2.64%	3.89%	2.77%	3.43%	3.48%	2.62%	2.12%	1.70%	3.56%	2.44%	3.52%	1.92%	3.56%	3.16%	2.73%	2.05%	2.04%	2.31%	3.13%	1.16%	2.31%	2.44%	2.09%	3.85%	2.10%	3.59%	3.86%	3.53%	3.75%	1.94%	2.88%	2.63%	2.32%	2.85%	2.53%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	13571	86	194	17	249	242	46	4	34	47	47	29	74	197	257	344	255	234	221	193	197	263	254	252	230	326	336	286	289	321	284	224	268	264	350	259	309	313	243	288	281	372	263	425	406	227	408	204	282	149	162	137	178	93	324	280	264	309	241	227	13									
		46.90%	62.77%	48.38%	42.50%	58.04%	52.72%	60.53%	80.00%	52.31%	56.63%	64.38%	60.42%	75.51%	46.79%	46.90%	49.07%	48.85%	42.24%	43.42%	43.08%	45.71%	45.27%	43.87%	43.60%	44.06%	47.73%	50.22%	46.66%	45.09%	44.71%	43.76%	47.46%	45.58%	49.44%	47.36%	41.44%	49.44%	46.44%	40.43%	43.64%	44.25%	44.55%	50.67%	45.90%	47.26%	47.69%	52.44%	47.33%	47.16%	44.61%	48.50%	52.90%	48.37%	58.13%	45.00%	38.46%	40.87%	51.24%	52.85%	52.18%	34.21%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	216	0	1	1	0	1	0	0	0	1	0	1	1	0	6	2	7	0	2	4	2	4	1	3	4	8	2	2	2	5	3	4	1	5	5	7	9	11	2	8	8	6	6	9	6	4	7	3	6	6	5	0	3	1	8	10	5	3	3	2	0									
		0.75%	0.00%	0.25%	2.50%	0.00%	0.22%	0.00%	0.00%	0.00%	1.20%	0.00%	2.08%	1.02%	0.00%	1.09%	0.29%	1.34%	0.00%	0.39%	0.89%	0.46%	0.69%	0.17%	0.52%	0.77%	1.17%	0.30%	0.33%	0.31%	0.70%	0.46%	0.85%	0.17%	0.94%	0.68%	1.12%	1.44%	1.63%	0.33%	1.21%	1.26%	0.72%	1.16%	0.97%	0.70%	0.84%	0.90%	0.70%	1.00%	1.80%	1.50%	0.00%	0.82%	0.63%	1.11%	1.37%	0.77%	0.50%	0.66%	0.46%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	46	0	0	0	1	2	0	0	1	0	0	0	1	1	2	2	2	0	0	1	0	0	1	3	0	0	0	1	0	1	3	0	0	0	0	1	1	1	0	1	1	0	0	3	4	1	1	2	3	0	1	0	1	0	0	0	1	1	1	0	0									
		0.16%	0.00%	0.00%	0.00%	0.23%	0.44%	0.00%	0.00%	1.54%	0.00%	0.00%	0.00%	1.02%	0.24%	0.36%	0.29%	0.38%	0.00%	0.00%	0.22%	0.00%	0.00%	0.17%	0.52%	0.00%	0.00%	0.00%	0.16%	0.00%	0.14%	0.46%	0.00%	0.00%	0.00%	0.00%	0.16%	0.16%	0.15%	0.00%	0.15%	0.16%	0.00%	0.00%	0.32%	0.47%	0.21%	0.13%	0.46%	0.50%	0.00%	0.30%	0.00%	0.27%	0.00%	0.00%	0.00%	0.15%	0.17%	0.22%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	5444	26	73	14	70	81	14	1	13	14	9	7	12	90	103	165	124	122	123	91	84	133	104	112	116	119	111	105	129	102	99	111	112	76	122	87	90	94	163	102	107	154	69	156	161	107	150	117	123	67	69	36	82	24	125	142	112	111	101	92	16									
		18.81%	18.98%	18.20%	35.00%	16.32%	17.65%	18.42%	20.00%	20.00%	16.87%	12.33%	14.58%	12.24%	21.38%	18.80%	23.54%	23.75%	22.02%	24.17%	20.31%	19.49%	22.89%	17.96%	19.38%	22.22%	17.42%	16.59%	17.13%	20.12%	14.21%	15.25%	23.52%	19.05%	14.23%	16.51%	13.92%	14.40%	13.95%	27.12%	15.45%	16.85%	18.44%	13.29%	16.85%	18.74%	22.48%	19.28%	27.15%	20.57%	20.06%	20.66%	13.90%	22.28%	15.00%	17.36%	19.51%	17.34%	18.41%	22.15%	21.15%	42.11%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	163	0	1	0	0	0	0	0	0	0	1	0	0	1	2	7	2	2	2	2	3	2	2	6	5	7	3	6	5	4	7	5	2	2	4	4	6	3	6	2	6	4	3	7	7	3	3	0	3	2	3	0	3	1	1	4	5	2	1	1	0									
		0.56%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.37%	0.00%	0.00%	0.24%	0.36%	0.99%	0.38%	0.36%	0.39%	0.45%	0.70%	0.34%	0.35%	1.04%	0.96%	1.02%	0.45%	0.98%	0.78%	0.56%	1.08%	1.06%	0.34%	0.37%	0.54%	0.64%	0.96%	0.45%	0.99%	0.30%	0.94%	0.48%	0.58%	0.76%	0.81%	0.63%	0.39%	0.00%	0.50%	0.60%	0.90%	0.00%	0.82%	0.63%	0.14%	0.55%	0.77%	0.33%	0.22%	0.23%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	211	0	2	0	2	2	0	0	0	0	0	1	2	0	9	4	2	1	5	6	1	3	9	3	4	4	5	6	4	3	9	3	0	7	8	7	6	12	3	6	3	13	3	6	7	4	1	2	2	5	2	5	2	0	2	4	2	5	4	0	0									
		0.73%	0.00%	0.50%	0.00%	0.47%	0.44%	0.00%	0.00%	0.00%	0.00%	0.00%	2.08%	2.04%	0.00%	1.64%	0.57%	0.38%	0.18%	0.98%	1.34%	0.23%	0.52%	1.55%	0.52%	0.77%	0.59%	0.75%	0.98%	0.62%	0.42%	1.39%	0.64%	0.00%	1.31%	1.08%	1.12%	0.96%	1.78%	0.50%	0.91%	0.47%	1.56%	0.58%	0.65%	0.81%	0.84%	0.13%	0.46%	0.33%	1.50%	0.60%	1.93%	0.54%	0.00%	0.28%	0.55%	0.31%	0.83%	0.88%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	33	0	1	2	1	0	0	0	0	0	1	0	0	1	1	0	1	0	0	1	0	0	1	0	1	0	0	1	0	1	0	0	0	0	1	3	1	1	3	2	2	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	2	1	0									
		0.11%	0.00%	0.25%	5.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	1.37%	0.00%	0.00%	0.24%	0.18%	0.00%	0.19%	0.00%	0.00%	0.22%	0.00%	0.00%	0.17%	0.00%	0.19%	0.00%	0.00%	0.16%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.14%	0.48%	0.16%	0.15%	0.50%	0.30%	0.31%	0.00%	0.00%	0.00%	0.12%	0.00%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.00%	0.14%	0.00%	0.00%	0.44%	0.23%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	353	1	3	0	2	2	1	0	3	2	1	0	0	8	5	2	7	8	9	1	9	9	5	5	14	11	4	10	5	11	7	4	13	9	16	16	6	9	7	5	13	9	9	11	7	4	10	1	7	2	7	2	3	1	14	7	8	4	3	1	0									
		1.22%	0.73%	0.75%	0.00%	0.47%	0.44%	1.32%	0.00%	4.62%	2.41%	1.37%	0.00%	0.00%	1.90%	0.91%	0.29%	1.34%	1.44%	1.77%	0.22%	2.09%	1.55%	0.86%	0.87%	2.68%	1.61%	0.60%	1.63%	0.78%	1.53%	1.08%	0.85%	2.21%	1.69%	2.17%	2.56%	0.96%	1.34%	1.16%	0.76%	2.05%	1.08%	1.73%	1.19%	0.81%	0.84%	1.29%	0.23%	1.17%	0.60%	2.10%	0.77%	0.82%	0.63%	1.94%	0.96%	1.24%	0.66%	0.66%	0.23%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2638	7	31	0	46	34	7	0	6	7	1	5	3	24	38	66	36	57	41	56	38	50	56	54	30	72	53	56	58	83	60	31	62	36	71	74	60	53	47	80	66	86	49	105	78	43	61	33	47	23	24	32	30	16	73	73	77	61	28	41	3									
		9.12%	5.11%	7.73%	0.00%	10.72%	7.41%	9.21%	0.00%	9.23%	8.43%	1.37%	10.42%	3.06%	5.70%	6.93%	9.42%	6.90%	10.29%	8.06%	12.50%	8.82%	8.61%	9.67%	9.34%	5.75%	10.54%	7.92%	9.14%	9.05%	11.56%	9.24%	6.57%	10.54%	6.74%	9.61%	11.84%	9.60%	7.86%	7.82%	12.12%	10.39%	10.30%	9.44%	11.34%	9.08%	9.03%	7.84%	7.66%	7.86%	6.89%	7.19%	12.36%	8.15%	10.00%	10.14%	10.03%	11.92%	10.12%	6.14%	9.43%	7.89%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	122	1	3	0	1	1	0	0	1	1	1	0	0	3	3	0	4	0	5	4	0	3	2	1	0	1	1	1	1	3	2	4	0	3	1	2	1	3	3	6	13	4	2	0	6	4	6	0	1	1	0	0	0	1	2	6	2	2	3	3	0									
		0.42%	0.73%	0.75%	0.00%	0.23%	0.22%	0.00%	0.00%	1.54%	1.20%	1.37%	0.00%	0.00%	0.71%	0.55%	0.00%	0.77%	0.00%	0.98%	0.89%	0.00%	0.52%	0.35%	0.17%	0.00%	0.15%	0.15%	0.16%	0.16%	0.42%	0.31%	0.85%	0.00%	0.56%	0.14%	0.32%	0.16%	0.45%	0.50%	0.91%	2.05%	0.48%	0.39%	0.00%	0.70%	0.84%	0.77%	0.00%	0.17%	0.30%	0.00%	0.00%	0.00%	0.63%	0.28%	0.82%	0.31%	0.33%	0.66%	0.69%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3570	5	30	3	24	53	1	0	2	7	3	2	1	44	71	60	42	87	65	47	59	58	89	78	87	76	86	86	93	105	109	47	90	74	91	92	84	108	67	119	96	124	74	124	113	47	64	31	51	48	30	23	35	10	102	120	110	54	42	23	4									
		12.34%	3.65%	7.48%	7.50%	5.59%	11.55%	1.32%	0.00%	3.08%	8.43%	4.11%	4.17%	1.02%	10.45%	12.96%	8.56%	8.05%	15.70%	12.77%	10.49%	13.69%	9.98%	15.37%	13.49%	16.67%	11.13%	12.86%	14.03%	14.51%	14.62%	16.80%	9.96%	15.31%	13.86%	12.31%	14.72%	13.44%	16.02%	11.15%	18.03%	15.12%	14.85%	14.26%	13.39%	13.15%	9.87%	8.23%	7.19%	8.53%	14.37%	8.98%	8.88%	9.51%	6.25%	14.17%	16.48%	17.03%	8.96%	9.21%	5.29%	10.53%									
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
																																																																							
