Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																		
Дата голосования: 18.09.2016																																																																		
																																																																		
Наименование Избирательной комиссии:    Аннинская																																																																		
																																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																																		
																																																																		
		Сумма	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	292	13	10	12	15	19	32	0	22	19	14	15	5	10	0	0	5	0	1	7	0	2	5	5	0	1	0	0	3	4	1	0	7	2	7	5	0	0	4	0	4	0	0	1	0	8	2	2	6	4	2	9	5	1	3	0									
		1.32%	1.90%	1.95%	1.48%	1.30%	3.74%	3.68%	0.00%	2.54%	2.54%	1.81%	2.14%	0.58%	1.76%	0.00%	0.00%	1.59%	0.00%	0.16%	2.19%	0.00%	0.60%	0.96%	2.12%	0.00%	0.89%	0.00%	0.00%	1.94%	1.37%	0.56%	0.00%	1.27%	1.05%	1.35%	1.91%	0.00%	0.00%	1.23%	0.00%	3.01%	0.00%	0.00%	2.17%	0.00%	1.83%	0.34%	0.61%	1.67%	0.75%	0.29%	1.57%	0.91%	0.31%	0.99%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	321	7	3	33	14	11	24	3	19	7	10	10	2	10	11	8	0	2	2	0	2	5	8	0	6	0	2	7	1	0	3	2	21	6	0	5	5	10	1	6	0	3	17	0	0	5	0	0	3	3	2	15	2	5	0	0									
		1.45%	1.02%	0.59%	4.06%	1.21%	2.17%	2.76%	0.47%	2.19%	0.94%	1.29%	1.43%	0.23%	1.76%	6.92%	2.81%	0.00%	1.48%	0.32%	0.00%	1.90%	1.49%	1.54%	0.00%	2.30%	0.00%	1.03%	7.78%	0.65%	0.00%	1.68%	3.70%	3.80%	3.16%	0.00%	1.91%	2.21%	4.85%	0.31%	1.79%	0.00%	3.90%	4.10%	0.00%	0.00%	1.15%	0.00%	0.00%	0.83%	0.56%	0.29%	2.62%	0.36%	1.57%	0.00%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	13041	406	261	423	712	158	344	363	483	348	432	455	560	344	104	191	205	96	396	176	54	176	296	123	172	72	119	50	87	211	126	38	282	97	360	158	155	129	205	218	68	38	311	34	43	262	437	241	255	268	359	391	302	217	173	57									
		58.73%	59.44%	50.98%	52.03%	61.65%	31.10%	39.59%	56.45%	55.71%	46.59%	55.81%	65.00%	65.34%	60.46%	65.41%	67.02%	65.08%	71.11%	62.96%	55.00%	51.43%	52.54%	56.92%	52.12%	65.90%	64.29%	61.03%	55.56%	56.13%	72.01%	70.39%	70.37%	50.99%	51.05%	69.23%	60.31%	68.58%	62.62%	63.27%	65.07%	51.13%	49.35%	74.94%	73.91%	72.88%	60.09%	73.20%	73.03%	70.83%	50.19%	52.26%	68.24%	54.91%	68.24%	57.28%	59.38%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	136	1	9	17	9	6	12	0	13	7	8	3	2	3	0	0	0	0	2	0	1	3	0	0	2	0	0	0	4	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	2	3	3	11	4	5	1	0	0									
		0.61%	0.15%	1.76%	2.09%	0.78%	1.18%	1.38%	0.00%	1.50%	0.94%	1.03%	0.43%	0.23%	0.53%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%	0.95%	0.90%	0.00%	0.00%	0.77%	0.00%	0.00%	0.00%	2.58%	0.00%	0.56%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.62%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.46%	0.00%	0.61%	0.83%	0.56%	1.60%	0.70%	0.91%	0.31%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	55	0	1	8	3	2	4	0	0	0	2	1	2	0	0	0	4	1	1	0	0	6	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	3	9	1	0	0									
		0.25%	0.00%	0.20%	0.98%	0.26%	0.39%	0.46%	0.00%	0.00%	0.00%	0.26%	0.14%	0.23%	0.00%	0.00%	0.00%	1.27%	0.74%	0.16%	0.00%	0.00%	1.79%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.94%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.62%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.37%	0.00%	0.52%	1.64%	0.31%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2143	98	56	85	125	100	135	77	129	118	125	49	102	65	3	9	13	8	12	6	7	53	21	14	8	6	8	3	6	12	9	2	61	21	77	6	5	2	17	13	8	5	13	2	2	70	36	17	11	69	41	70	55	19	46	13									
		9.65%	14.35%	10.94%	10.46%	10.82%	19.69%	15.54%	11.98%	14.88%	15.80%	16.15%	7.00%	11.90%	11.42%	1.89%	3.16%	4.13%	5.93%	1.91%	1.88%	6.67%	15.82%	4.04%	5.93%	3.07%	5.36%	4.10%	3.33%	3.87%	4.10%	5.03%	3.70%	11.03%	11.05%	14.81%	2.29%	2.21%	0.97%	5.25%	3.88%	6.02%	6.49%	3.13%	4.35%	3.39%	16.06%	6.03%	5.15%	3.06%	12.92%	5.97%	12.22%	10.00%	5.97%	15.23%	13.54%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	105	0	2	16	10	1	8	1	5	8	1	4	1	0	0	3	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	12	2	2	1	2	2									
		0.47%	0.00%	0.39%	1.97%	0.87%	0.20%	0.92%	0.16%	0.58%	1.07%	0.13%	0.57%	0.12%	0.00%	0.00%	1.05%	0.32%	0.00%	1.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.53%	0.00%	0.00%	0.00%	0.00%	0.00%	0.31%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	0.00%	1.75%	0.35%	0.36%	0.31%	0.66%	2.08%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	85	3	6	7	6	9	13	0	9	0	5	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	2	0	0	0	4	0	0	1	0	0	0	2	0	2	3	2	0	0									
		0.38%	0.44%	1.17%	0.86%	0.52%	1.77%	1.50%	0.00%	1.04%	0.00%	0.65%	0.14%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.62%	0.00%	0.00%	0.00%	0.96%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.37%	0.00%	0.35%	0.55%	0.63%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	36	2	1	2	2	1	4	0	0	1	1	1	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4	0	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	1	0	0									
		0.16%	0.29%	0.20%	0.25%	0.17%	0.20%	0.46%	0.00%	0.00%	0.13%	0.13%	0.14%	0.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.58%	0.00%	0.56%	0.00%	1.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.17%	0.36%	0.31%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	133	2	12	12	5	4	6	4	15	1	0	1	3	1	0	1	0	0	8	6	1	3	8	3	0	0	0	0	0	0	1	0	10	0	0	0	0	8	4	0	0	0	0	0	0	1	0	0	0	2	2	1	3	2	2	1									
		0.60%	0.29%	2.34%	1.48%	0.43%	0.79%	0.69%	0.62%	1.73%	0.13%	0.00%	0.14%	0.35%	0.18%	0.00%	0.35%	0.00%	0.00%	1.27%	1.88%	0.95%	0.90%	1.54%	1.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.56%	0.00%	1.81%	0.00%	0.00%	0.00%	0.00%	3.88%	1.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.37%	0.29%	0.17%	0.55%	0.63%	0.66%	1.04%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	3330	90	61	73	159	133	206	96	125	123	126	98	128	84	22	46	38	25	107	61	21	29	104	38	44	17	25	14	25	38	31	9	100	36	62	40	27	28	46	44	23	14	50	7	11	53	71	40	56	81	110	49	66	57	49	14									
		14.99%	13.18%	11.91%	8.98%	13.77%	26.18%	23.71%	14.93%	14.42%	16.47%	16.28%	14.00%	14.94%	14.76%	13.84%	16.14%	12.06%	18.52%	17.01%	19.06%	20.00%	8.66%	20.00%	16.10%	16.86%	15.18%	12.82%	15.56%	16.13%	12.97%	17.32%	16.67%	18.08%	18.95%	11.92%	15.27%	11.95%	13.59%	14.20%	13.13%	17.29%	18.18%	12.05%	15.22%	18.64%	12.16%	11.89%	12.12%	15.56%	15.17%	16.01%	8.55%	12.00%	17.92%	16.23%	14.58%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	127	0	5	12	6	3	1	0	2	0	5	1	3	1	0	1	0	1	9	7	0	1	0	0	2	0	7	0	4	7	1	0	18	0	0	1	5	0	0	7	3	0	3	0	0	1	0	2	0	0	2	0	5	1	0	0									
		0.57%	0.00%	0.98%	1.48%	0.52%	0.59%	0.12%	0.00%	0.23%	0.00%	0.65%	0.14%	0.35%	0.18%	0.00%	0.35%	0.00%	0.74%	1.43%	2.19%	0.00%	0.30%	0.00%	0.00%	0.77%	0.00%	3.59%	0.00%	2.58%	2.39%	0.56%	0.00%	3.25%	0.00%	0.00%	0.38%	2.21%	0.00%	0.00%	2.09%	2.26%	0.00%	0.72%	0.00%	0.00%	0.23%	0.00%	0.61%	0.00%	0.00%	0.29%	0.00%	0.91%	0.31%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1845	29	67	73	47	15	28	93	19	72	25	56	36	45	19	23	41	1	75	57	16	53	68	47	16	15	31	9	14	15	4	2	22	21	14	42	29	22	36	40	26	15	13	1	3	25	47	23	10	96	131	3	83	7	17	8									
		8.31%	4.25%	13.09%	8.98%	4.07%	2.95%	3.22%	14.46%	2.19%	9.64%	3.23%	8.00%	4.20%	7.91%	11.95%	8.07%	13.02%	0.74%	11.92%	17.81%	15.24%	15.82%	13.08%	19.92%	6.13%	13.39%	15.90%	10.00%	9.03%	5.12%	2.23%	3.70%	3.98%	11.05%	2.69%	16.03%	12.83%	10.68%	11.11%	11.94%	19.55%	19.48%	3.13%	2.17%	5.08%	5.73%	7.87%	6.97%	2.78%	17.98%	19.07%	0.52%	15.09%	2.20%	5.63%	8.33%									
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
