Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																				
Дата голосования: 07.12.2003 0:00:00																																				
																																				
Наименование Избирательной комиссии:    Осинниковская городская																																				
																																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																				
																																				
		Сумма	УИК  824	УИК  825	УИК  826	УИК  827	УИК  828	УИК  829	УИК  830	УИК  831	УИК  832	УИК  833	УИК  834	УИК  835	УИК  836	УИК  837	УИК  838	УИК  839	УИК  840	УИК  841	УИК  842	УИК  843	УИК  844	УИК  845	УИК  846	УИК  847	УИК  848	УИК  849	УИК  850	УИК  851	УИК  852					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	122	2	4	3	6	5	13	4	2	6	11	4	6	2	4	3	2	3	2	2	0	5	4	4	2	1	10	6	0	6					
14	Число погашенных открепительных удостоверений	386	19	19	19	17	18	23	16	6	9	6	10	2	13	28	13	9	12	6	13	0	21	9	9	8	23	0	13	18	27					
15	Число открепительных удостоверений выданных ТИК	3	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																				
18	"1. ""ЕДИНЕНИЕ"""	294	10	9	7	14	6	23	15	6	9	4	10	1	6	17	16	7	8	14	7	1	11	5	0	20	14	7	21	16	10					
		1.08%	0.69%	0.62%	0.49%	0.98%	0.40%	1.51%	1.02%	0.88%	1.13%	1.23%	1.14%	0.16%	0.81%	1.58%	2.26%	1.21%	1.07%	2.83%	0.88%	0.26%	1.16%	1.99%	0.0%	2.5%	1.06%	1.36%	1.91%	0.95%	0.74%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	311	27	16	33	17	25	28	18	10	5	3	4	10	3	7	8	10	14	14	3	5	4	0	5	7	8	7	3	9	8					
		1.14%	1.87%	1.11%	2.31%	1.19%	1.69%	1.84%	1.22%	1.47%	0.62%	0.92%	0.45%	1.61%	0.40%	0.65%	1.13%	1.74%	1.88%	2.83%	0.37%	1.32%	0.42%	0.0%	1.93%	0.87%	0.60%	1.36%	0.27%	0.53%	0.59%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	506	26	33	5	26	24	31	42	11	14	10	9	10	8	20	15	13	16	12	4	12	21	8	1	16	17	17	19	51	15					
		1.86%	1.80%	2.30%	0.35%	1.82%	1.63%	2.04%	2.86%	1.61%	1.76%	3.09%	1.02%	1.61%	1.09%	1.86%	2.12%	2.26%	2.15%	2.42%	0.50%	3.17%	2.22%	3.18%	0.38%	2.0%	1.29%	3.32%	1.73%	3.04%	1.11%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	852	65	57	31	40	61	56	64	28	28	8	22	22	18	32	20	17	22	10	5	2	27	3	1	16	38	32	34	62	31					
		3.13%	4.51%	3.98%	2.17%	2.80%	4.14%	3.68%	4.36%	4.11%	3.52%	2.47%	2.51%	3.55%	2.45%	2.97%	2.83%	2.96%	2.95%	2.02%	0.63%	0.52%	2.86%	1.19%	0.38%	2.0%	2.89%	6.25%	3.09%	3.70%	2.30%					
22	"5. ""За Русь Святую"""	165	7	8	9	9	4	13	8	10	9	2	5	3	1	6	4	1	8	1	0	10	11	1	3	9	5	0	3	8	7					
		0.60%	0.48%	0.55%	0.63%	0.63%	0.27%	0.85%	0.54%	1.47%	1.13%	0.61%	0.57%	0.48%	0.13%	0.55%	0.56%	0.17%	1.07%	0.20%	0.0%	2.64%	1.16%	0.39%	1.16%	1.12%	0.38%	0.0%	0.27%	0.47%	0.52%					
23	"6. ""Объединенная Российская партия ""Русь"""	46	1	2	2	7	0	2	0	0	1	3	5	2	0	0	1	0	1	2	0	0	2	0	2	5	0	0	3	2	3					
		0.16%	0.06%	0.13%	0.14%	0.49%	0.0%	0.13%	0.0%	0.0%	0.12%	0.92%	0.57%	0.32%	0.0%	0.0%	0.14%	0.0%	0.13%	0.40%	0.0%	0.0%	0.21%	0.0%	0.77%	0.62%	0.0%	0.0%	0.27%	0.11%	0.22%					
24	"7. ""Новый курс - Автомобильная Россия"""	161	16	8	4	9	14	5	6	4	5	2	3	6	5	10	4	6	1	3	1	0	2	1	3	2	6	1	8	20	6					
		0.59%	1.11%	0.55%	0.28%	0.63%	0.95%	0.32%	0.40%	0.58%	0.62%	0.61%	0.34%	0.96%	0.68%	0.93%	0.56%	1.04%	0.13%	0.60%	0.12%	0.0%	0.21%	0.39%	1.16%	0.25%	0.45%	0.19%	0.72%	1.19%	0.44%					
25	"8. ""Народно-республиканская партия России"""	22	2	1	1	1	0	1	0	0	0	1	0	0	0	0	1	0	0	1	1	0	3	0	0	0	2	2	2	2	1					
		0.08%	0.13%	0.06%	0.07%	0.07%	0.0%	0.06%	0.0%	0.0%	0.0%	0.30%	0.0%	0.0%	0.0%	0.0%	0.14%	0.0%	0.0%	0.20%	0.12%	0.0%	0.31%	0.0%	0.0%	0.0%	0.15%	0.39%	0.18%	0.11%	0.07%					
26	"9. ""Российская экологическая партия ""Зеленые"""	72	3	4	1	1	3	2	8	0	4	3	3	1	2	4	4	0	3	0	0	1	2	0	0	2	5	1	4	5	6					
		0.26%	0.20%	0.27%	0.07%	0.07%	0.20%	0.13%	0.54%	0.0%	0.50%	0.92%	0.34%	0.16%	0.27%	0.37%	0.56%	0.0%	0.40%	0.0%	0.0%	0.26%	0.21%	0.0%	0.0%	0.25%	0.38%	0.19%	0.36%	0.29%	0.44%					
27	"10. ""Аграрная партия России"""	394	13	17	4	25	18	25	26	8	18	2	9	8	7	19	9	5	4	12	6	7	12	0	6	6	36	12	18	32	30					
		1.45%	0.90%	1.18%	0.28%	1.75%	1.22%	1.64%	1.77%	1.17%	2.26%	0.61%	1.02%	1.29%	0.95%	1.76%	1.27%	0.87%	0.53%	2.42%	0.75%	1.85%	1.27%	0.0%	2.32%	0.75%	2.74%	2.34%	1.64%	1.91%	2.23%					
28	"11. ""Истинные патриоты России"""	22	0	2	1	0	0	0	2	0	2	1	0	0	0	1	2	0	1	0	1	1	0	0	0	2	2	0	4	0	0					
		0.08%	0.0%	0.13%	0.07%	0.0%	0.0%	0.0%	0.13%	0.0%	0.25%	0.30%	0.0%	0.0%	0.0%	0.09%	0.28%	0.0%	0.13%	0.0%	0.12%	0.26%	0.0%	0.0%	0.0%	0.25%	0.15%	0.0%	0.36%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	170	6	11	1	5	3	7	14	5	9	8	9	4	7	8	3	2	8	2	4	1	7	3	2	7	8	5	3	7	11					
		0.62%	0.41%	0.76%	0.07%	0.35%	0.20%	0.46%	0.95%	0.73%	1.13%	2.47%	1.02%	0.64%	0.95%	0.74%	0.42%	0.34%	1.07%	0.40%	0.50%	0.26%	0.74%	1.19%	0.77%	0.87%	0.60%	0.97%	0.27%	0.41%	0.81%					
30	"13. ""Демократическая партия России"""	59	1	0	2	0	3	0	1	0	0	0	1	0	1	3	1	0	1	0	0	0	0	1	0	0	1	1	7	1	34					
		0.21%	0.06%	0.0%	0.14%	0.0%	0.20%	0.0%	0.06%	0.0%	0.0%	0.0%	0.11%	0.0%	0.13%	0.27%	0.14%	0.0%	0.13%	0.0%	0.0%	0.0%	0.0%	0.39%	0.0%	0.0%	0.07%	0.19%	0.63%	0.05%	2.52%					
31	"14. ""Великая Россия - Евразийский Союз"""	22	0	0	1	2	2	3	0	0	1	0	0	1	1	1	1	1	1	0	0	2	0	0	1	1	1	0	2	0	0					
		0.08%	0.0%	0.0%	0.07%	0.14%	0.13%	0.19%	0.0%	0.0%	0.12%	0.0%	0.0%	0.16%	0.13%	0.09%	0.14%	0.17%	0.13%	0.0%	0.0%	0.52%	0.0%	0.0%	0.38%	0.12%	0.07%	0.0%	0.18%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	31	2	0	3	0	2	2	1	1	0	0	1	2	3	0	3	0	1	1	0	0	1	1	0	4	2	0	1	0	0					
		0.11%	0.13%	0.0%	0.21%	0.0%	0.13%	0.13%	0.06%	0.14%	0.0%	0.0%	0.11%	0.32%	0.40%	0.0%	0.42%	0.0%	0.13%	0.20%	0.0%	0.0%	0.10%	0.39%	0.0%	0.5%	0.15%	0.0%	0.09%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	1815	131	99	23	95	137	134	157	90	82	19	66	56	40	72	37	27	46	24	15	5	72	21	9	43	61	27	38	130	59					
		6.68%	9.10%	6.91%	1.61%	6.65%	9.30%	8.82%	10.70%	13.23%	10.31%	5.88%	7.53%	9.04%	5.46%	6.69%	5.24%	4.70%	6.18%	4.85%	1.89%	1.32%	7.63%	8.36%	3.48%	5.37%	4.64%	5.27%	3.46%	7.76%	4.38%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	36	2	1	0	1	0	4	1	3	2	0	0	2	0	0	0	4	1	2	0	0	5	0	0	0	1	5	2	0	0					
		0.13%	0.13%	0.06%	0.0%	0.07%	0.0%	0.26%	0.06%	0.44%	0.25%	0.0%	0.0%	0.32%	0.0%	0.0%	0.0%	0.69%	0.13%	0.40%	0.0%	0.0%	0.53%	0.0%	0.0%	0.0%	0.07%	0.97%	0.18%	0.0%	0.0%					
35	"18. ""ЛДПР"""	3447	175	173	78	185	160	193	163	71	96	37	105	80	124	147	132	75	116	52	49	45	134	27	40	73	115	61	187	310	244					
		12.69%	12.16%	12.08%	5.47%	12.96%	10.86%	12.70%	11.11%	10.44%	12.07%	11.45%	11.98%	12.92%	16.93%	13.67%	18.72%	13.06%	15.59%	10.52%	6.20%	11.90%	14.20%	10.75%	15.50%	9.12%	8.76%	11.91%	17.04%	18.50%	18.14%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	242	16	14	4	7	25	13	21	2	11	5	8	3	5	6	6	7	7	4	0	3	8	3	2	0	20	3	6	18	15					
		0.89%	1.11%	0.97%	0.28%	0.49%	1.69%	0.85%	1.43%	0.29%	1.38%	1.54%	0.91%	0.48%	0.68%	0.55%	0.85%	1.21%	0.94%	0.80%	0.0%	0.79%	0.84%	1.19%	0.77%	0.0%	1.52%	0.58%	0.54%	1.07%	1.11%					
37	"20. ""Политическая партия ""Единая Россия"""	15147	777	823	1105	832	786	775	688	317	394	182	497	338	416	614	372	343	406	276	527	248	505	143	141	467	735	286	602	810	742					
		55.77%	53.99%	57.51%	77.59%	58.30%	53.39%	51.02%	46.93%	46.61%	49.55%	56.34%	56.73%	54.60%	56.83%	57.11%	52.76%	59.75%	54.56%	55.87%	66.70%	65.60%	53.55%	56.97%	54.65%	58.37%	56.02%	55.85%	54.87%	48.35%	55.16%					
38	"21. ""Российская Конституционно-демократическая партия"""	43	2	0	2	0	5	4	6	0	0	2	1	0	0	0	1	0	3	1	1	0	3	0	0	1	1	3	4	2	1					
		0.15%	0.13%	0.0%	0.14%	0.0%	0.33%	0.26%	0.40%	0.0%	0.0%	0.61%	0.11%	0.0%	0.0%	0.0%	0.14%	0.0%	0.40%	0.20%	0.12%	0.0%	0.31%	0.0%	0.0%	0.12%	0.07%	0.58%	0.36%	0.11%	0.07%					
39	"22. ""Развитие предпринимательства"""	51	8	1	5	3	2	0	3	2	1	0	4	0	2	0	1	0	1	1	1	1	0	0	0	0	1	1	4	5	4					
		0.18%	0.55%	0.06%	0.35%	0.21%	0.13%	0.0%	0.20%	0.29%	0.12%	0.0%	0.45%	0.0%	0.27%	0.0%	0.14%	0.0%	0.13%	0.20%	0.12%	0.26%	0.0%	0.0%	0.0%	0.0%	0.07%	0.19%	0.36%	0.29%	0.29%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	2057	91	96	82	88	123	139	159	96	68	23	77	48	60	78	42	38	45	46	11	22	79	16	25	71	145	25	69	115	80					
		7.57%	6.32%	6.70%	5.75%	6.16%	8.35%	9.15%	10.84%	14.11%	8.55%	7.12%	8.78%	7.75%	8.19%	7.25%	5.95%	6.62%	6.04%	9.31%	1.39%	5.82%	8.37%	6.37%	9.68%	8.87%	11.05%	4.88%	6.28%	6.86%	5.94%					
																																				
41	Против всех	734	45	44	14	38	67	42	43	11	17	5	20	15	16	17	17	10	18	7	14	5	23	9	10	18	66	12	47	65	19					
		2.70%	3.12%	3.07%	0.98%	2.66%	4.55%	2.76%	2.93%	1.61%	2.13%	1.54%	2.28%	2.42%	2.18%	1.58%	2.41%	1.74%	2.41%	1.41%	1.77%	1.32%	2.43%	3.58%	3.87%	2.25%	5.03%	2.34%	4.28%	3.88%	1.41%					
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
