Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																					
Дата голосования: 18.09.2016																																																					
																																																					
Наименование Избирательной комиссии:    Эхирит-Булагатская																																																					
																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																					
																																																					
		Сумма	УИК №1849	УИК №1850	УИК №1851	УИК №1852	УИК №1853	УИК №1854	УИК №1855	УИК №1856	УИК №1857	УИК №1858	УИК №1859	УИК №1860	УИК №1861	УИК №1862	УИК №1863	УИК №1864	УИК №1865	УИК №1866	УИК №1867	УИК №1868	УИК №1869	УИК №1870	УИК №1871	УИК №1872	УИК №1873	УИК №1874	УИК №1875	УИК №1876	УИК №1877	УИК №1878	УИК №1879	УИК №1880	УИК №1881	УИК №1882	УИК №1883	УИК №1884	УИК №1885	УИК №1886	УИК №1887	УИК №1888	УИК №1889	УИК №1890									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	43	3	0	3	3	3	3	0	1	2	0	1	5	0	0	0	0	2	0	0	0	1	0	3	1	0	0	1	1	0	0	0	5	0	1	1	1	2	0	0	0	0	0									
		0.57%	0.56%	0.00%	0.80%	0.44%	0.44%	0.35%	0.00%	0.81%	1.39%	0.00%	0.43%	2.06%	0.00%	0.00%	0.00%	0.00%	1.33%	0.00%	0.00%	0.00%	1.15%	0.00%	1.69%	1.18%	0.00%	0.00%	0.82%	0.51%	0.00%	0.00%	0.00%	2.58%	0.00%	0.68%	1.56%	1.22%	1.85%	0.00%	0.00%	0.00%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	319	28	3	20	27	36	29	12	7	5	1	11	11	6	0	6	3	8	7	4	13	4	5	5	3	2	5	4	7	6	1	1	7	1	6	0	2	6	2	1	1	8	5									
		4.20%	5.23%	1.38%	5.33%	3.98%	5.27%	3.42%	5.24%	5.65%	3.47%	1.27%	4.72%	4.53%	5.00%	0.00%	5.04%	3.03%	5.33%	6.03%	5.56%	8.61%	4.60%	5.49%	2.82%	3.53%	2.78%	2.75%	3.28%	3.54%	13.95%	1.37%	1.18%	3.61%	3.70%	4.05%	0.00%	2.44%	5.56%	2.04%	1.22%	1.54%	5.19%	5.38%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	123	4	7	7	11	7	12	7	2	4	1	4	6	1	0	2	1	3	0	5	1	2	5	4	0	1	4	2	3	0	0	1	3	0	0	1	0	1	2	5	2	2	0									
		1.62%	0.75%	3.23%	1.87%	1.62%	1.02%	1.42%	3.06%	1.61%	2.78%	1.27%	1.72%	2.47%	0.83%	0.00%	1.68%	1.01%	2.00%	0.00%	6.94%	0.66%	2.30%	5.49%	2.26%	0.00%	1.39%	2.20%	1.64%	1.52%	0.00%	0.00%	1.18%	1.55%	0.00%	0.00%	1.56%	0.00%	0.93%	2.04%	6.10%	3.08%	1.30%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3157	173	84	125	219	252	283	87	60	64	19	105	108	64	29	59	55	43	69	32	64	61	34	104	50	43	83	47	92	10	43	34	75	11	76	37	46	45	64	41	47	72	48									
		41.55%	32.34%	38.71%	33.33%	32.30%	36.90%	33.41%	37.99%	48.39%	44.44%	24.05%	45.06%	44.44%	53.33%	53.70%	49.58%	55.56%	28.67%	59.48%	44.44%	42.38%	70.11%	37.36%	58.76%	58.82%	59.72%	45.60%	38.52%	46.46%	23.26%	58.90%	40.00%	38.66%	40.74%	51.35%	57.81%	56.10%	41.67%	65.31%	50.00%	72.31%	46.75%	51.61%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	46	4	1	3	8	3	5	1	0	0	0	3	1	0	1	0	1	1	0	1	2	1	0	0	0	0	2	0	1	0	1	0	2	0	0	1	0	1	0	0	1	1	0									
		0.61%	0.75%	0.46%	0.80%	1.18%	0.44%	0.59%	0.44%	0.00%	0.00%	0.00%	1.29%	0.41%	0.00%	1.85%	0.00%	1.01%	0.67%	0.00%	1.39%	1.32%	1.15%	0.00%	0.00%	0.00%	0.00%	1.10%	0.00%	0.51%	0.00%	1.37%	0.00%	1.03%	0.00%	0.00%	1.56%	0.00%	0.93%	0.00%	0.00%	1.54%	0.65%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	25	3	1	1	2	2	2	0	0	0	0	1	3	1	1	1	1	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0									
		0.33%	0.56%	0.46%	0.27%	0.29%	0.29%	0.24%	0.00%	0.00%	0.00%	0.00%	0.43%	1.23%	0.83%	1.85%	0.84%	1.01%	0.00%	0.00%	0.00%	0.00%	0.00%	1.10%	0.56%	0.00%	1.39%	0.00%	0.82%	0.00%	0.00%	0.00%	0.00%	0.52%	0.00%	0.00%	0.00%	0.00%	0.93%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	721	46	19	42	69	54	73	30	7	6	11	16	63	8	4	13	6	30	7	7	9	5	12	9	3	7	20	13	8	5	5	6	35	5	6	15	0	10	12	10	1	7	7									
		9.49%	8.60%	8.76%	11.20%	10.18%	7.91%	8.62%	13.10%	5.65%	4.17%	13.92%	6.87%	25.93%	6.67%	7.41%	10.92%	6.06%	20.00%	6.03%	9.72%	5.96%	5.75%	13.19%	5.08%	3.53%	9.72%	10.99%	10.66%	4.04%	11.63%	6.85%	7.06%	18.04%	18.52%	4.05%	23.44%	0.00%	9.26%	12.24%	12.20%	1.54%	4.55%	7.53%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	25	2	1	0	2	3	2	1	0	1	0	3	0	1	0	0	0	1	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0									
		0.33%	0.37%	0.46%	0.00%	0.29%	0.44%	0.24%	0.44%	0.00%	0.69%	0.00%	1.29%	0.00%	0.83%	0.00%	0.00%	0.00%	0.67%	0.00%	2.78%	0.66%	0.00%	0.00%	0.00%	1.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.70%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	44	1	1	6	4	1	7	0	0	2	0	1	2	0	0	2	1	0	0	0	3	0	1	0	0	0	3	1	2	0	0	0	3	2	0	0	0	0	0	0	0	1	0									
		0.58%	0.19%	0.46%	1.60%	0.59%	0.15%	0.83%	0.00%	0.00%	1.39%	0.00%	0.43%	0.82%	0.00%	0.00%	1.68%	1.01%	0.00%	0.00%	0.00%	1.99%	0.00%	1.10%	0.00%	0.00%	0.00%	1.65%	0.82%	1.01%	0.00%	0.00%	0.00%	1.55%	7.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.65%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	11	0	0	0	1	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	1	0	1	0	0	0	0	0									
		0.14%	0.00%	0.00%	0.00%	0.15%	0.15%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.00%	0.00%	0.84%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.33%	0.00%	0.00%	1.03%	0.00%	0.68%	1.56%	0.00%	0.93%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	52	3	2	1	9	16	7	2	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	2	1	0	0	0	0	1	0	0	0	0	0	1	1	0									
		0.68%	0.56%	0.92%	0.27%	1.33%	2.34%	0.83%	0.87%	0.00%	0.69%	0.00%	0.43%	0.00%	0.00%	0.00%	0.00%	1.01%	0.00%	0.00%	0.00%	0.66%	0.00%	0.00%	0.00%	0.00%	1.39%	0.55%	0.00%	1.01%	2.33%	0.00%	0.00%	0.00%	0.00%	0.68%	0.00%	0.00%	0.00%	0.00%	0.00%	1.54%	0.65%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2605	228	90	152	289	277	371	76	25	47	43	70	31	32	18	28	25	51	25	19	48	12	32	43	24	15	53	46	65	16	17	41	52	6	50	7	30	34	12	17	9	53	26									
		34.29%	42.62%	41.47%	40.53%	42.63%	40.56%	43.80%	33.19%	20.16%	32.64%	54.43%	30.04%	12.76%	26.67%	33.33%	23.53%	25.25%	34.00%	21.55%	26.39%	31.79%	13.79%	35.16%	24.29%	28.24%	20.83%	29.12%	37.70%	32.83%	37.21%	23.29%	48.24%	26.80%	22.22%	33.78%	10.94%	36.59%	31.48%	12.24%	20.73%	13.85%	34.42%	27.96%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	33	8	2	0	6	3	4	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	2	0	1	0	0									
		0.43%	1.50%	0.92%	0.00%	0.88%	0.44%	0.47%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.00%	0.00%	0.00%	0.00%	0.67%	0.00%	0.00%	0.66%	0.00%	0.00%	0.00%	0.00%	1.39%	0.00%	0.00%	0.00%	2.33%	2.74%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.04%	0.00%	1.54%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	271	20	4	11	21	12	35	11	22	10	2	12	8	4	1	6	2	5	4	1	5	1	0	4	2	0	6	2	13	1	3	2	4	0	6	1	2	3	4	6	2	6	7									
		3.57%	3.74%	1.84%	2.93%	3.10%	1.76%	4.13%	4.80%	17.74%	6.94%	2.53%	5.15%	3.29%	3.33%	1.85%	5.04%	2.02%	3.33%	3.45%	1.39%	3.31%	1.15%	0.00%	2.26%	2.35%	0.00%	3.30%	1.64%	6.57%	2.33%	4.11%	2.35%	2.06%	0.00%	4.05%	1.56%	2.44%	2.78%	4.08%	7.32%	3.08%	3.90%	7.53%									
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
