Выборы Президента Российской Федерации																																																																			
																																																																			
Наименование Избирательной комиссии:    Троицкая																																																																			
																																																																			
Итоги голосования 																																																																			
																																																																			
		Сумма	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395					
		1.72%	4.43%	0.92%	1.46%	0.49%	1.32%	1.38%	0.75%	2.48%	1.11%	0.00%	0.00%	1.59%	0.00%	1.47%	1.01%	1.98%	2.12%	2.09%	0.74%	1.46%	2.35%	1.36%	1.31%	0.00%	0.80%	2.77%	2.08%	2.27%	0.62%	1.13%	0.56%	4.31%	2.76%	0.57%	2.17%	0.57%	1.43%	1.18%	1.20%	1.27%	2.84%	1.50%	3.06%	0.00%	0.00%	0.00%	0.00%	1.13%	1.45%	0.71%	4.00%	2.24%	1.28%	1.67%	2.23%	0.00%	1.17%	1.53%	0.86%	1.90%					
19	. Малышкин Олег Александрович	685	25	8	24	10	9	23	32	21	26	2	7	9	3	4	7	2	21	26	6	1	22	20	23	3	5	19	8	42	17	5	5	19	3	12	2	16	26	1	3	8	8	17	11	1	7	3	4	25	0	14	10	9	3	0	11	1	6	21	2	7					
		3.80%	4.82%	7.34%	11.71%	4.90%	5.96%	2.89%	4.80%	6.50%	14.44%	2.22%	4.43%	2.04%	2.33%	5.88%	2.36%	1.98%	2.48%	3.19%	4.44%	0.73%	6.45%	5.45%	3.76%	2.52%	2.01%	3.51%	3.33%	5.02%	2.64%	2.82%	1.39%	2.73%	1.66%	6.90%	2.17%	9.09%	3.71%	1.18%	1.80%	10.13%	5.67%	5.09%	1.77%	0.84%	3.68%	3.26%	3.92%	3.55%	0.00%	10.00%	5.00%	4.04%	1.92%	0.00%	3.06%	1.35%	3.51%	3.21%	0.86%	4.43%					
20	. Миронов Сергей Михайлович	108	5	0	4	3	0	8	9	2	0	0	3	1	0	0	3	1	4	5	0	0	4	2	2	0	1	1	1	9	2	0	0	3	2	1	0	4	4	0	0	0	0	3	2	0	0	0	1	1	0	0	3	2	0	1	4	0	0	7	0	0					
		0.60%	0.96%	0.00%	1.95%	1.47%	0.00%	1.00%	1.35%	0.62%	0.00%	0.00%	1.90%	0.23%	0.00%	0.00%	1.01%	0.99%	0.47%	0.61%	0.00%	0.00%	1.17%	0.54%	0.33%	0.00%	0.40%	0.18%	0.42%	1.08%	0.31%	0.00%	0.00%	0.43%	1.10%	0.57%	0.00%	2.27%	0.57%	0.00%	0.00%	0.00%	0.00%	0.90%	0.32%	0.00%	0.00%	0.00%	0.98%	0.14%	0.00%	0.00%	1.50%	0.90%	0.00%	1.67%	1.11%	0.00%	0.00%	1.07%	0.00%	0.00%					
21	. Путин Владимир Владимирович	11874	323	55	113	155	70	436	430	165	107	77	83	335	66	41	198	66	562	550	83	106	215	263	425	111	195	383	161	504	509	136	288	397	124	106	68	128	390	60	118	42	85	224	468	91	136	80	92	448	56	77	124	109	114	39	248	54	133	399	159	94					
		65.93%	62.24%	50.46%	55.12%	75.98%	46.36%	54.71%	64.56%	51.08%	59.44%	85.56%	52.53%	75.96%	51.16%	60.29%	66.67%	65.35%	66.27%	67.57%	61.48%	77.37%	63.05%	71.66%	69.44%	93.28%	78.31%	70.79%	67.08%	60.29%	78.91%	76.84%	80.22%	57.04%	68.51%	60.92%	73.91%	72.73%	55.71%	70.59%	70.66%	53.16%	60.28%	67.07%	75.36%	76.47%	71.58%	86.96%	90.20%	63.55%	81.16%	55.00%	62.00%	48.88%	73.08%	65.00%	69.08%	72.97%	77.78%	60.92%	68.53%	59.49%					
22	. Хакамада Ирина Муцуовна	311	15	5	4	1	1	19	13	1	9	5	2	0	4	4	9	2	14	8	5	1	7	2	12	0	4	16	2	15	12	1	5	16	3	0	2	5	19	3	0	2	2	7	7	2	0	0	1	10	1	2	2	1	1	0	2	1	1	15	4	4					
		1.73%	2.89%	4.59%	1.95%	0.49%	0.66%	2.38%	1.95%	0.31%	5.00%	5.56%	1.27%	0.00%	3.10%	5.88%	3.03%	1.98%	1.65%	0.98%	3.70%	0.73%	2.05%	0.54%	1.96%	0.00%	1.61%	2.96%	0.83%	1.79%	1.86%	0.56%	1.39%	2.30%	1.66%	0.00%	2.17%	2.84%	2.71%	3.53%	0.00%	2.53%	1.42%	2.10%	1.13%	1.68%	0.00%	0.00%	0.98%	1.42%	1.45%	1.43%	1.00%	0.45%	0.64%	0.00%	0.56%	1.35%	0.58%	2.29%	1.72%	2.53%					
23	. Харитонов Николай Михайлович	4228	113	35	53	31	63	287	156	106	34	6	59	87	50	16	60	26	203	175	36	26	79	72	122	5	33	97	58	219	82	27	44	208	38	49	16	20	232	16	41	23	39	70	106	21	42	9	2	192	9	36	49	92	32	18	75	17	29	183	55	49					
		23.48%	21.77%	32.11%	25.85%	15.20%	41.72%	36.01%	23.42%	32.82%	18.89%	6.67%	37.34%	19.73%	38.76%	23.53%	20.20%	25.74%	23.94%	21.50%	26.67%	18.98%	23.17%	19.62%	19.93%	4.20%	13.25%	17.93%	24.17%	26.20%	12.71%	15.25%	12.26%	29.89%	20.99%	28.16%	17.39%	11.36%	33.14%	18.82%	24.55%	29.11%	27.66%	20.96%	17.07%	17.65%	22.11%	9.78%	1.96%	27.23%	13.04%	25.71%	24.50%	41.26%	20.51%	30.00%	20.89%	22.97%	16.96%	27.94%	23.71%	31.01%					
																																																																			
24	Против всех	308	4	2	3	1	5	8	21	9	1	0	3	0	2	0	8	1	22	21	3	0	4	0	15	0	8	7	4	25	10	2	3	18	1	3	2	1	13	3	2	2	2	3	8	2	0	0	0	10	2	10	4	1	1	1	3	0	0	20	3	1					
		1.71%	0.77%	1.83%	1.46%	0.49%	3.31%	1.00%	3.15%	2.79%	0.56%	0.00%	1.90%	0.00%	1.55%	0.00%	2.69%	0.99%	2.59%	2.58%	2.22%	0.00%	1.17%	0.00%	2.45%	0.00%	3.21%	1.29%	1.67%	2.99%	1.55%	1.13%	0.84%	2.59%	0.55%	1.72%	2.17%	0.57%	1.86%	3.53%	1.20%	2.53%	1.42%	0.90%	1.29%	1.68%	0.00%	0.00%	0.00%	1.42%	2.90%	7.14%	2.00%	0.45%	0.64%	1.67%	0.84%	0.00%	0.00%	3.05%	1.29%	0.63%					
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
