Выборы Президента Российской Федерации																																										
																																										
Наименование Избирательной комиссии:    Ивановская																																										
																																										
Итоги голосования 																																										
																																										
		Сумма	УИК  460	УИК  461	УИК  462	УИК  463	УИК  464	УИК  465	УИК  466	УИК  467	УИК  468	УИК  469	УИК  470	УИК  471	УИК  472	УИК  473	УИК  474	УИК  475	УИК  476	УИК  477	УИК  478	УИК  479	УИК  480	УИК  481	УИК  482	УИК  483	УИК  484	УИК  485	УИК  486	УИК  487	УИК  488	УИК  489	УИК  490	УИК  491	УИК  492	УИК  493	УИК  494					
		74.26%	74.59%	75.16%	76.71%	83.84%	72.16%	70.84%	73.84%	76.48%	74.60%	77.78%	73.71%	79.51%	79.87%	72.29%	66.48%	69.98%	83.33%	68.39%	71.13%	66.88%	80.84%	79.52%	70.94%	79.95%	77.62%	76.79%	72.82%	78.21%	78.25%	77.26%	69.75%	66.26%	80.43%	73.66%	69.87%					
22	. Хакамада Ирина Муцуовна	482	6	23	3	2	6	37	14	13	2	4	2	4	1	4	22	27	0	11	6	8	6	5	19	25	32	31	51	3	10	7	22	7	9	7	53					
		3.14%	1.64%	2.99%	2.05%	2.02%	3.41%	3.89%	3.81%	2.20%	1.59%	1.27%	1.14%	3.28%	0.63%	2.41%	6.30%	2.51%	0.00%	2.37%	3.09%	5.19%	1.15%	1.20%	4.60%	2.95%	3.85%	3.69%	5.35%	1.92%	1.43%	1.92%	2.95%	4.29%	3.20%	3.76%	4.81%					
23	. Харитонов Николай Михайлович	1648	40	67	16	8	22	117	34	61	23	29	26	13	12	23	36	155	7	106	26	18	53	39	57	70	49	39	76	18	55	40	97	34	28	28	126					
		10.73%	10.93%	8.71%	10.96%	8.08%	12.50%	12.32%	9.26%	10.32%	18.25%	9.21%	14.86%	10.66%	7.55%	13.86%	10.32%	14.41%	9.72%	22.80%	13.40%	11.69%	10.15%	9.40%	13.80%	8.25%	5.90%	4.64%	7.97%	11.54%	7.87%	10.96%	12.99%	20.86%	9.96%	15.05%	11.43%					
																																										
24	Против всех	568	24	28	1	2	6	38	13	24	0	10	2	2	7	5	25	33	2	5	12	4	13	8	17	19	44	44	54	4	19	7	40	4	8	2	42					
		3.70%	6.56%	3.64%	0.68%	2.02%	3.41%	4.00%	3.54%	4.06%	0.00%	3.17%	1.14%	1.64%	4.40%	3.01%	7.16%	3.07%	2.78%	1.08%	6.19%	2.60%	2.49%	1.93%	4.12%	2.24%	5.29%	5.24%	5.67%	2.56%	2.72%	1.92%	5.35%	2.45%	2.85%	1.08%	3.81%					
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
