Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																						
Дата голосования: 04.12.2011																																																																																						
																																																																																						
"Наименование Избирательной комиссии:    Липецк, Октябрьская"																																																																																						
																																																																																						
Сводная таблица результатов выборов																																																																																						
																																																																																						
		Сумма	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105					
		21.71%	20.70%	22.27%	19.28%	21.85%	19.51%	18.59%	22.09%	22.75%	23.46%	22.07%	21.58%	21.47%	18.81%	21.70%	21.24%	22.38%	18.76%	20.92%	21.33%	22.70%	22.02%	20.87%	22.27%	18.17%	23.04%	21.71%	22.06%	20.89%	22.86%	22.49%	23.30%	23.94%	23.90%	22.90%	21.51%	21.86%	22.88%	25.02%	23.74%	19.63%	22.54%	17.78%	20.70%	20.57%	21.01%	22.09%	17.93%	23.91%	23.05%	21.21%	20.02%	23.88%	22.75%	17.97%	22.37%	19.73%	21.57%	24.69%	22.30%	22.07%	21.75%	18.26%	8.53%	23.16%	22.22%	22.30%	22.21%	20.54%	23.36%	21.84%	24.19%	24.87%	22.59%	23.81%	24.48%	21.66%	16.96%	21.89%	19.47%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	14494	133	128	160	120	122	134	182	35	122	174	226	227	176	162	209	225	227	254	197	232	219	290	302	229	256	216	185	203	175	229	205	173	254	215	169	214	244	191	175	177	178	214	198	245	220	283	188	161	204	176	161	165	118	185	229	206	111	167	191	202	188	202	18	238	123	107	170	198	132	98	128	203	176	183	181	179	87	127	188					
		16.32%	18.60%	17.07%	18.58%	18.46%	19.84%	16.60%	16.68%	13.73%	13.69%	18.37%	16.10%	17.99%	17.24%	15.28%	19.05%	16.35%	18.35%	20.13%	16.42%	16.93%	16.52%	18.86%	18.95%	17.48%	15.90%	19.46%	17.15%	15.37%	14.82%	15.85%	17.69%	15.23%	16.96%	14.31%	15.21%	16.47%	18.18%	15.07%	15.16%	14.97%	15.49%	16.05%	15.70%	17.87%	16.87%	17.42%	14.65%	12.71%	16.27%	18.95%	17.15%	16.48%	16.57%	15.68%	16.85%	16.45%	14.51%	16.10%	15.72%	16.89%	14.30%	15.12%	6.98%	16.21%	13.53%	13.11%	14.47%	14.73%	17.62%	12.16%	15.33%	15.58%	12.95%	13.87%	14.06%	15.95%	16.96%	20.00%	23.92%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	962	4	10	5	7	3	4	9	2	12	8	13	13	9	14	17	20	19	8	16	16	15	17	26	17	22	13	12	11	20	15	7	14	19	19	15	18	18	8	12	12	11	9	11	22	16	21	13	11	9	8	4	9	13	15	9	10	4	10	15	16	12	13	2	15	14	9	11	12	10	12	7	12	14	13	16	11	5	8	11					
		1.08%	0.56%	1.33%	0.58%	1.08%	0.49%	0.50%	0.82%	0.78%	1.35%	0.84%	0.93%	1.03%	0.88%	1.32%	1.55%	1.45%	1.54%	0.63%	1.33%	1.17%	1.13%	1.11%	1.63%	1.30%	1.37%	1.17%	1.11%	0.83%	1.69%	1.04%	0.60%	1.23%	1.27%	1.26%	1.35%	1.39%	1.34%	0.63%	1.04%	1.02%	0.96%	0.68%	0.87%	1.60%	1.23%	1.29%	1.01%	0.87%	0.72%	0.86%	0.43%	0.90%	1.83%	1.27%	0.66%	0.80%	0.52%	0.96%	1.23%	1.34%	0.91%	0.97%	0.78%	1.02%	1.54%	1.10%	0.94%	0.89%	1.34%	1.49%	0.84%	0.92%	1.03%	0.99%	1.24%	0.98%	0.97%	1.26%	1.40%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	23057	167	203	194	175	145	226	310	58	237	229	397	316	256	263	269	356	271	276	277	286	347	380	335	324	376	299	251	357	307	387	298	254	349	387	299	347	340	349	313	334	343	421	381	328	349	375	400	375	317	210	280	267	176	327	338	361	199	258	297	330	392	360	25	428	268	225	291	396	184	241	223	328	362	364	324	303	139	153	175					
		25.96%	23.36%	27.07%	22.53%	26.92%	23.58%	28.00%	28.41%	22.75%	26.60%	24.18%	28.28%	25.04%	25.07%	24.81%	24.52%	25.87%	21.91%	21.87%	23.08%	20.88%	26.17%	24.71%	21.02%	24.73%	23.35%	26.94%	23.26%	27.02%	25.99%	26.78%	25.71%	22.36%	23.30%	25.77%	26.91%	26.71%	25.34%	27.55%	27.12%	28.26%	29.85%	31.58%	30.21%	23.92%	26.76%	23.08%	31.18%	29.60%	25.28%	22.60%	29.82%	26.67%	24.72%	27.71%	24.87%	28.83%	26.01%	24.88%	24.44%	27.59%	29.81%	26.95%	9.69%	29.16%	29.48%	27.57%	24.77%	29.46%	24.57%	29.90%	26.71%	25.17%	26.64%	27.60%	25.17%	27.01%	27.10%	24.09%	22.26%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	3661	15	24	23	19	9	30	33	6	40	25	43	26	31	24	43	47	65	53	65	50	55	62	84	69	60	36	67	78	63	49	41	53	49	68	48	48	46	39	61	68	47	59	80	62	69	82	83	37	48	30	47	15	33	45	52	34	37	40	36	43	41	58	4	61	49	39	47	56	31	42	34	38	91	75	55	64	21	43	18					
		4.12%	2.10%	3.20%	2.67%	2.92%	1.46%	3.72%	3.02%	2.35%	4.49%	2.64%	3.06%	2.06%	3.04%	2.26%	3.92%	3.42%	5.25%	4.20%	5.42%	3.65%	4.15%	4.03%	5.27%	5.27%	3.73%	3.24%	6.21%	5.90%	5.33%	3.39%	3.54%	4.67%	3.27%	4.53%	4.32%	3.70%	3.43%	3.08%	5.29%	5.75%	4.09%	4.43%	6.34%	4.52%	5.29%	5.05%	6.47%	2.92%	3.83%	3.23%	5.01%	1.50%	4.63%	3.81%	3.83%	2.72%	4.84%	3.86%	2.96%	3.60%	3.12%	4.34%	1.55%	4.16%	5.39%	4.78%	4.00%	4.17%	4.14%	5.21%	4.07%	2.92%	6.70%	5.69%	4.27%	5.70%	4.09%	6.77%	2.29%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	25117	227	196	291	166	203	226	284	86	258	272	384	373	325	337	294	392	403	380	364	447	374	442	454	395	489	287	301	361	316	403	300	334	440	442	318	355	364	323	292	334	293	356	286	412	346	467	330	342	352	275	235	283	186	365	378	359	236	283	364	320	359	428	178	362	234	227	359	376	199	213	222	362	381	333	365	290	161	151	217					
		28.28%	31.75%	26.13%	33.80%	25.54%	33.01%	28.00%	26.03%	33.73%	28.96%	28.72%	27.35%	29.56%	31.83%	31.79%	26.80%	28.49%	32.58%	30.11%	30.33%	32.63%	28.21%	28.74%	28.48%	30.15%	30.37%	25.86%	27.90%	27.33%	26.76%	27.89%	25.88%	29.40%	29.37%	29.43%	28.62%	27.33%	27.12%	25.49%	25.30%	28.26%	25.50%	26.71%	22.68%	30.05%	26.53%	28.74%	25.72%	26.99%	28.07%	29.60%	25.03%	28.27%	26.12%	30.93%	27.81%	28.67%	30.85%	27.29%	29.96%	26.76%	27.30%	32.04%	68.99%	24.66%	25.74%	27.82%	30.55%	27.98%	26.57%	26.43%	26.59%	27.78%	28.04%	25.25%	28.36%	25.85%	31.38%	23.78%	27.61%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	527	2	1	6	4	2	4	8	3	5	5	9	5	4	6	3	7	7	8	8	10	6	13	11	11	7	7	6	9	15	12	8	9	5	6	7	7	6	9	5	9	4	5	5	9	9	16	11	6	7	5	5	1	4	2	10	8	4	8	13	6	10	6	1	9	4	8	8	8	4	5	4	8	9	12	7	5	2	2	2					
		0.59%	0.28%	0.13%	0.70%	0.62%	0.33%	0.50%	0.73%	1.18%	0.56%	0.53%	0.64%	0.40%	0.39%	0.57%	0.27%	0.51%	0.57%	0.63%	0.67%	0.73%	0.45%	0.85%	0.69%	0.84%	0.43%	0.63%	0.56%	0.68%	1.27%	0.83%	0.69%	0.79%	0.33%	0.40%	0.63%	0.54%	0.45%	0.71%	0.43%	0.76%	0.35%	0.38%	0.40%	0.66%	0.69%	0.98%	0.86%	0.47%	0.56%	0.54%	0.53%	0.10%	0.56%	0.17%	0.74%	0.64%	0.52%	0.77%	1.07%	0.50%	0.76%	0.45%	0.39%	0.61%	0.44%	0.98%	0.68%	0.60%	0.53%	0.62%	0.48%	0.61%	0.66%	0.91%	0.54%	0.45%	0.39%	0.31%	0.25%					
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
