Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																							
Дата голосования: 18.09.2016																							
																							
Наименование Избирательной комиссии:    Александровская																							
																							
Сводная таблица итогов голосования по федеральному избирательному округу																							
																							
		Сумма	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379									
		0.99%	0.00%	0.00%	0.00%	1.86%	0.00%	0.00%	0.23%	1.51%	1.03%	0.00%	3.09%	0.80%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	211	0	2	6	5	8	28	26	38	35	4	25	34									
		8.35%	0.00%	3.57%	6.74%	3.11%	6.84%	8.78%	6.06%	9.57%	12.07%	9.52%	7.72%	13.65%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	24	1	0	1	2	0	2	4	3	4	2	3	2									
		0.95%	1.82%	0.00%	1.12%	1.24%	0.00%	0.63%	0.93%	0.76%	1.38%	4.76%	0.93%	0.80%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	77	2	0	2	4	2	10	15	15	6	0	9	12									
		3.05%	3.64%	0.00%	2.25%	2.48%	1.71%	3.13%	3.50%	3.78%	2.07%	0.00%	2.78%	4.82%									
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
