Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																
Дата голосования: 18.09.2016																																																																
																																																																
Наименование Избирательной комиссии:    Кунгурская районная																																																																
																																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																																
																																																																
		Сумма	УИК №4601	УИК №4602	УИК №4603	УИК №4604	УИК №4605	УИК №4606	УИК №4607	УИК №4608	УИК №4609	УИК №4610	УИК №4611	УИК №4612	УИК №4613	УИК №4614	УИК №4615	УИК №4616	УИК №4617	УИК №4618	УИК №4619	УИК №4620	УИК №4621	УИК №4622	УИК №4623	УИК №4624	УИК №4625	УИК №4626	УИК №4627	УИК №4628	УИК №4629	УИК №4630	УИК №4631	УИК №4632	УИК №4633	УИК №4634	УИК №4635	УИК №4636	УИК №4637	УИК №4638	УИК №4639	УИК №4640	УИК №4641	УИК №4642	УИК №4643	УИК №4644	УИК №4645	УИК №4646	УИК №4647	УИК №4648	УИК №4649	УИК №4650	УИК №4651	УИК №4652	УИК №4653									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	137	0	3	3	4	2	0	1	2	0	0	10	7	3	6	0	5	2	9	6	9	5	4	0	6	1	1	2	1	1	1	1	4	2	2	1	3	0	0	2	1	4	2	1	3	0	0	2	6	1	2	2	1	3									
		0.98%	0.00%	4.05%	1.45%	0.77%	2.02%	0.00%	0.55%	1.92%	0.00%	0.00%	1.92%	1.68%	0.68%	1.39%	0.00%	0.85%	0.56%	1.44%	2.50%	2.10%	2.79%	0.96%	0.00%	1.22%	0.88%	1.08%	2.02%	0.21%	1.49%	1.10%	0.79%	0.84%	0.58%	0.96%	0.46%	1.03%	0.00%	0.00%	0.34%	0.25%	0.96%	1.67%	0.67%	2.38%	0.00%	0.00%	1.04%	1.35%	0.40%	1.12%	1.41%	0.36%	0.92%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	458	1	4	4	16	2	4	9	2	7	4	12	11	15	11	5	24	11	23	7	21	11	19	6	26	3	3	1	17	1	1	5	18	9	7	10	9	8	5	30	11	8	2	2	2	3	3	2	4	10	4	6	12	7									
		3.28%	1.64%	5.41%	1.93%	3.08%	2.02%	4.26%	4.97%	1.92%	2.94%	5.33%	2.31%	2.64%	3.39%	2.55%	5.49%	4.06%	3.11%	3.68%	2.92%	4.90%	6.15%	4.57%	3.82%	5.31%	2.63%	3.23%	1.01%	3.57%	1.49%	1.10%	3.94%	3.80%	2.62%	3.35%	4.59%	3.09%	5.30%	4.07%	5.07%	2.78%	1.91%	1.67%	1.34%	1.59%	3.57%	0.87%	1.04%	0.90%	4.00%	2.23%	4.23%	4.38%	2.15%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	271	1	2	4	10	2	1	4	2	6	0	14	3	10	6	1	19	12	16	7	7	2	12	1	18	1	2	2	9	1	1	8	8	10	6	7	5	2	4	6	1	5	1	0	1	4	1	0	8	5	5	2	3	3									
		1.94%	1.64%	2.70%	1.93%	1.93%	2.02%	1.06%	2.21%	1.92%	2.52%	0.00%	2.69%	0.72%	2.26%	1.39%	1.10%	3.21%	3.39%	2.56%	2.92%	1.63%	1.12%	2.88%	0.64%	3.67%	0.88%	2.15%	2.02%	1.89%	1.49%	1.10%	6.30%	1.69%	2.92%	2.87%	3.21%	1.72%	1.32%	3.25%	1.01%	0.25%	1.20%	0.83%	0.00%	0.79%	4.76%	0.29%	0.00%	1.80%	2.00%	2.79%	1.41%	1.09%	0.92%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6661	25	52	116	261	58	37	88	66	111	57	215	184	216	214	45	254	141	241	108	178	76	203	69	223	59	59	53	245	46	37	55	215	162	107	75	115	84	59	277	231	195	60	80	63	51	204	110	206	103	82	79	132	179									
		47.77%	40.98%	70.27%	56.04%	50.29%	58.59%	39.36%	48.62%	63.46%	46.64%	76.00%	41.35%	44.23%	48.87%	49.65%	49.45%	42.98%	39.83%	38.56%	45.00%	41.49%	42.46%	48.80%	43.95%	45.51%	51.75%	63.44%	53.54%	51.47%	68.66%	40.66%	43.31%	45.36%	47.23%	51.20%	34.40%	39.52%	55.63%	47.97%	46.79%	58.48%	46.65%	50.00%	53.69%	50.00%	60.71%	59.30%	57.29%	46.29%	41.20%	45.81%	55.63%	48.18%	54.91%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	70	0	0	2	5	0	0	1	0	1	0	3	2	2	1	1	8	0	2	1	0	5	0	0	3	1	0	1	3	1	0	1	1	0	1	0	1	2	0	4	0	3	0	0	0	1	1	0	2	3	1	2	2	2									
		0.50%	0.00%	0.00%	0.97%	0.96%	0.00%	0.00%	0.55%	0.00%	0.42%	0.00%	0.58%	0.48%	0.45%	0.23%	1.10%	1.35%	0.00%	0.32%	0.42%	0.00%	2.79%	0.00%	0.00%	0.61%	0.88%	0.00%	1.01%	0.63%	1.49%	0.00%	0.79%	0.21%	0.00%	0.48%	0.00%	0.34%	1.32%	0.00%	0.68%	0.00%	0.72%	0.00%	0.00%	0.00%	1.19%	0.29%	0.00%	0.45%	1.20%	0.56%	1.41%	0.73%	0.61%									
24	"6. Политическая партия ""Гражданская Платформа"""	32	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	2	0	0	0	1	0	2	2	1	0	0	1	0	0	0	1	1	0	2	4	0	2	3	2	2	0	0	0	0	0	0	1	1	0	0	0	0									
		0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.23%	0.00%	1.10%	0.17%	0.56%	0.00%	0.00%	0.00%	0.56%	0.00%	1.27%	0.41%	0.88%	0.00%	0.00%	0.21%	0.00%	0.00%	0.00%	0.21%	0.29%	0.00%	0.92%	1.37%	0.00%	1.63%	0.51%	0.51%	0.48%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.40%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2795	10	4	24	97	18	24	32	14	64	6	105	82	77	82	16	132	93	176	57	78	26	62	28	65	18	12	15	84	10	29	32	102	71	39	59	54	34	20	75	89	105	28	24	16	15	66	48	123	55	42	26	66	66									
		20.04%	16.39%	5.41%	11.59%	18.69%	18.18%	25.53%	17.68%	13.46%	26.89%	8.00%	20.19%	19.71%	17.42%	19.03%	17.58%	22.34%	26.27%	28.16%	23.75%	18.18%	14.53%	14.90%	17.83%	13.27%	15.79%	12.90%	15.15%	17.65%	14.93%	31.87%	25.20%	21.52%	20.70%	18.66%	27.06%	18.56%	22.52%	16.26%	12.67%	22.53%	25.12%	23.33%	16.11%	12.70%	17.86%	19.19%	25.00%	27.64%	22.00%	23.46%	18.31%	24.09%	20.25%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	54	1	1	0	2	0	0	2	1	1	0	4	5	1	1	0	2	2	1	2	0	1	0	0	0	0	0	0	6	0	0	0	1	0	0	0	2	0	0	0	0	2	0	0	1	0	0	4	3	3	1	1	2	1									
		0.39%	1.64%	1.35%	0.00%	0.39%	0.00%	0.00%	1.10%	0.96%	0.42%	0.00%	0.77%	1.20%	0.23%	0.23%	0.00%	0.34%	0.56%	0.16%	0.83%	0.00%	0.56%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.26%	0.00%	0.00%	0.00%	0.21%	0.00%	0.00%	0.00%	0.69%	0.00%	0.00%	0.00%	0.00%	0.48%	0.00%	0.00%	0.79%	0.00%	0.00%	2.08%	0.67%	1.20%	0.56%	0.70%	0.73%	0.31%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	113	0	0	1	6	0	0	1	1	1	1	11	6	2	6	0	4	3	7	9	7	4	1	0	9	2	0	1	3	0	0	0	2	1	1	1	1	0	0	2	1	5	0	1	0	0	0	2	4	3	1	0	0	2									
		0.81%	0.00%	0.00%	0.48%	1.16%	0.00%	0.00%	0.55%	0.96%	0.42%	1.33%	2.12%	1.44%	0.45%	1.39%	0.00%	0.68%	0.85%	1.12%	3.75%	1.63%	2.23%	0.24%	0.00%	1.84%	1.75%	0.00%	1.01%	0.63%	0.00%	0.00%	0.00%	0.42%	0.29%	0.48%	0.46%	0.34%	0.00%	0.00%	0.34%	0.25%	1.20%	0.00%	0.67%	0.00%	0.00%	0.00%	1.04%	0.90%	1.20%	0.56%	0.00%	0.00%	0.61%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	16	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0									
		0.11%	0.00%	0.00%	0.00%	0.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.24%	0.00%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%	0.23%	0.00%	0.24%	0.64%	0.20%	0.00%	0.00%	1.01%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.46%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.67%	0.00%	0.00%	0.00%	0.52%	0.22%	0.40%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	133	2	0	0	6	0	2	1	2	3	0	8	11	5	7	0	14	0	4	2	3	2	9	1	7	3	1	3	1	0	1	1	3	2	0	1	1	0	2	8	1	4	1	0	0	0	3	0	3	1	1	1	1	1									
		0.95%	3.28%	0.00%	0.00%	1.16%	0.00%	2.13%	0.55%	1.92%	1.26%	0.00%	1.54%	2.64%	1.13%	1.62%	0.00%	2.37%	0.00%	0.64%	0.83%	0.70%	1.12%	2.16%	0.64%	1.43%	2.63%	1.08%	3.03%	0.21%	0.00%	1.10%	0.79%	0.63%	0.58%	0.00%	0.46%	0.34%	0.00%	1.63%	1.35%	0.25%	0.96%	0.83%	0.00%	0.00%	0.00%	0.87%	0.00%	0.67%	0.40%	0.56%	0.70%	0.36%	0.31%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1556	10	2	19	58	5	16	20	6	20	5	62	39	52	57	11	69	32	62	20	79	30	57	26	81	19	0	10	50	2	12	14	57	44	28	31	54	11	16	99	25	26	7	12	23	10	24	8	33	30	14	13	18	28									
		11.16%	16.39%	2.70%	9.18%	11.18%	5.05%	17.02%	11.05%	5.77%	8.40%	6.67%	11.92%	9.38%	11.76%	13.23%	12.09%	11.68%	9.04%	9.92%	8.33%	18.41%	16.76%	13.70%	16.56%	16.53%	16.67%	0.00%	10.10%	10.50%	2.99%	13.19%	11.02%	12.03%	12.83%	13.40%	14.22%	18.56%	7.28%	13.01%	16.72%	6.33%	6.22%	5.83%	8.05%	18.25%	11.90%	6.98%	4.17%	7.42%	12.00%	7.82%	9.15%	6.57%	8.59%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	48	0	0	0	2	0	0	0	1	14	0	0	2	2	2	0	0	1	1	2	0	0	0	1	2	0	0	1	1	0	0	0	0	3	0	1	1	0	0	0	0	0	0	0	0	0	2	1	2	0	0	0	2	4									
		0.34%	0.00%	0.00%	0.00%	0.39%	0.00%	0.00%	0.00%	0.96%	5.88%	0.00%	0.00%	0.48%	0.45%	0.46%	0.00%	0.00%	0.28%	0.16%	0.83%	0.00%	0.00%	0.00%	0.64%	0.41%	0.00%	0.00%	1.01%	0.21%	0.00%	0.00%	0.00%	0.00%	0.87%	0.00%	0.46%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.58%	0.52%	0.45%	0.00%	0.00%	0.00%	0.73%	1.23%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1072	6	5	18	31	10	9	15	4	0	1	54	34	39	26	7	39	37	71	11	22	10	25	14	29	3	7	6	34	5	5	6	45	27	14	21	32	9	14	60	21	50	16	18	14	0	31	10	29	22	17	6	15	18									
		7.69%	9.84%	6.76%	8.70%	5.97%	10.10%	9.57%	8.29%	3.85%	0.00%	1.33%	10.38%	8.17%	8.82%	6.03%	7.69%	6.60%	10.45%	11.36%	4.58%	5.13%	5.59%	6.01%	8.92%	5.92%	2.63%	7.53%	6.06%	7.14%	7.46%	5.49%	4.72%	9.49%	7.87%	6.70%	9.63%	10.99%	5.96%	11.38%	10.14%	5.32%	11.96%	13.33%	12.08%	11.11%	0.00%	9.01%	5.21%	6.52%	8.80%	9.50%	4.23%	5.47%	5.52%									
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
