Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																				
Дата голосования: 18.09.2016																																																																																				
																																																																																				
"Наименование Избирательной комиссии:    Липецк, Советская"																																																																																				
																																																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																				
																																																																																				
		Сумма	УИК №2401	УИК №2402	УИК №2403	УИК №2404	УИК №2405	УИК №2406	УИК №2407	УИК №2408	УИК №2409	УИК №2410	УИК №2411	УИК №2412	УИК №2413	УИК №2414	УИК №2415	УИК №2416	УИК №2417	УИК №2418	УИК №2419	УИК №2420	УИК №2421	УИК №2422	УИК №2423	УИК №2424	УИК №2425	УИК №2426	УИК №2427	УИК №2428	УИК №2429	УИК №2430	УИК №2431	УИК №2432	УИК №2433	УИК №2434	УИК №2435	УИК №2436	УИК №2437	УИК №2438	УИК №2439	УИК №2440	УИК №2441	УИК №2442	УИК №2443	УИК №2444	УИК №2445	УИК №2446	УИК №2447	УИК №2448	УИК №2449	УИК №2450	УИК №2451	УИК №2452	УИК №2453	УИК №2454	УИК №2455	УИК №2456	УИК №2457	УИК №2458	УИК №2459	УИК №2460	УИК №2461	УИК №2462	УИК №2463	УИК №2464	УИК №2465	УИК №2466	УИК №2467	УИК №2468	УИК №2469	УИК №2470	УИК №2471	УИК №8206	УИК №8226									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1247	7	6	7	10	23	25	9	18	24	40	16	12	17	18	18	87	37	19	19	22	8	14	16	21	9	11	13	18	12	16	16	15	7	25	11	17	17	17	15	21	11	12	17	15	17	12	16	19	14	16	19	21	24	18	14	11	21	18	30	19	17	26	21	18	15	21	36	16	0	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	896	3	6	4	3	7	19	9	16	5	16	13	11	20	8	11	36	0	4	16	26	50	6	9	6	6	9	12	8	4	23	18	11	10	16	16	18	10	14	1	7	3	12	17	13	10	6	4	0	6	7	12	14	12	15	4	9	14	13	106	10	12	7	7	10	11	4	12	51	2	1	5	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	267	3	4	3	5	4	8	1	2	1	0	4	5	5	7	2	13	3	1	1	3	2	1	4	3	11	9	2	2	3	4	4	5	3	5	4	0	3	3	5	6	4	3	3	5	3	8	4	1	1	4	1	9	1	2	6	9	4	2	0	1	3	1	4	2	0	4	4	4	0	0	0	10	10									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	141	1	1	1	3	2	2	2	3	2	3	3	0	1	0	4	22	1	5	2	1	0	0	1	4	1	3	1	1	1	2	4	1	1	3	1	1	0	2	2	2	0	1	3	1	0	3	5	1	2	2	2	3	2	1	1	2	3	0	0	2	4	3	0	1	4	2	2	1	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	1948	19	22	22	17	40	39	24	30	46	34	35	31	39	51	29	66	42	33	43	22	19	23	34	22	20	22	28	14	20	30	23	16	19	41	20	20	20	22	22	31	29	18	23	29	31	10	15	38	19	29	43	17	26	14	32	20	30	20	32	30	15	39	15	21	18	16	11	32	2	2	6	98	18									
		3.15%	3.35%	4.75%	4.04%	3.53%	4.07%	4.46%	3.64%	3.21%	4.67%	3.32%	4.78%	3.75%	3.83%	6.73%	3.87%	4.42%	4.04%	3.33%	4.51%	2.97%	2.71%	3.46%	4.57%	2.75%	2.96%	3.21%	3.09%	1.91%	2.55%	3.78%	2.49%	2.08%	2.53%	3.92%	2.72%	2.33%	2.85%	2.74%	3.29%	3.07%	3.21%	2.26%	2.19%	2.63%	4.32%	1.86%	1.95%	4.62%	2.60%	3.01%	4.44%	2.29%	3.35%	2.13%	3.88%	2.91%	3.69%	2.70%	2.88%	3.33%	3.22%	4.04%	3.20%	2.02%	1.93%	2.03%	1.15%	3.06%	1.60%	2.02%	4.05%	2.28%	1.36%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1327	13	7	17	11	20	16	18	19	19	25	13	29	22	17	20	32	20	11	29	13	21	11	10	22	13	22	21	16	13	16	12	19	15	19	21	19	18	21	19	20	26	22	24	23	23	14	19	14	17	21	11	21	21	16	26	14	18	19	18	27	10	16	5	23	30	23	24	23	4	2	11	34	9									
		2.15%	2.29%	1.51%	3.13%	2.28%	2.03%	1.83%	2.73%	2.03%	1.93%	2.44%	1.78%	3.51%	2.16%	2.24%	2.67%	2.14%	1.92%	1.11%	3.04%	1.75%	3.00%	1.66%	1.34%	2.75%	1.92%	3.21%	2.32%	2.18%	1.66%	2.02%	1.30%	2.47%	2.00%	1.82%	2.86%	2.21%	2.57%	2.61%	2.84%	1.98%	2.88%	2.77%	2.29%	2.09%	3.20%	2.60%	2.47%	1.70%	2.32%	2.18%	1.14%	2.83%	2.71%	2.43%	3.15%	2.04%	2.21%	2.57%	1.62%	2.99%	2.15%	1.66%	1.07%	2.21%	3.22%	2.91%	2.50%	2.20%	3.20%	2.02%	7.43%	0.79%	0.68%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	2174	14	20	26	15	36	34	32	35	37	32	31	37	36	38	32	40	58	34	35	37	26	24	21	43	26	25	29	35	40	35	23	31	34	29	28	31	27	41	17	28	32	32	41	57	34	13	25	31	25	48	40	35	22	21	44	25	29	21	28	41	10	33	12	35	34	24	31	45	5	7	8	29	5									
		3.51%	2.47%	4.32%	4.78%	3.11%	3.66%	3.89%	4.86%	3.75%	3.76%	3.13%	4.23%	4.47%	3.53%	5.01%	4.27%	2.68%	5.58%	3.43%	3.67%	4.99%	3.71%	3.61%	2.82%	5.37%	3.85%	3.64%	3.20%	4.77%	5.10%	4.41%	2.49%	4.03%	4.53%	2.77%	3.81%	3.61%	3.85%	5.10%	2.54%	2.77%	3.54%	4.03%	3.91%	5.17%	4.74%	2.42%	3.26%	3.77%	3.42%	4.98%	4.13%	4.71%	2.84%	3.19%	5.33%	3.64%	3.56%	2.84%	2.52%	4.55%	2.15%	3.42%	2.56%	3.36%	3.65%	3.04%	3.23%	4.31%	4.00%	7.07%	5.41%	0.67%	0.38%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	25176	207	151	150	173	341	272	224	304	387	366	243	275	330	264	234	595	308	385	305	262	263	254	272	288	233	221	300	260	312	300	409	286	255	380	266	307	264	287	234	401	335	266	372	358	250	222	289	268	264	354	362	274	283	238	299	246	286	274	441	319	160	399	169	389	373	340	415	483	64	39	61	3609	1107									
		40.70%	36.51%	32.61%	27.57%	35.89%	34.65%	31.09%	33.99%	32.55%	39.29%	35.74%	33.20%	33.25%	32.38%	34.83%	31.24%	39.83%	29.62%	38.81%	31.97%	35.36%	37.57%	38.25%	36.56%	35.96%	34.47%	32.22%	33.08%	35.47%	39.80%	37.83%	44.26%	37.14%	34.00%	36.33%	36.19%	35.74%	37.66%	35.70%	34.98%	39.66%	37.06%	33.46%	35.46%	32.46%	34.82%	41.26%	37.63%	32.56%	36.07%	36.76%	37.36%	36.88%	36.47%	36.17%	36.24%	35.81%	35.14%	37.03%	39.62%	35.41%	34.33%	41.30%	36.03%	37.33%	40.06%	43.04%	43.23%	46.22%	51.20%	39.39%	41.22%	83.93%	83.86%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	447	3	5	3	4	10	7	7	11	9	13	8	9	7	3	5	28	9	10	9	5	6	3	9	4	6	5	10	5	9	6	7	5	6	8	5	9	2	12	9	8	8	5	9	9	6	1	5	4	4	5	7	3	6	1	9	5	4	2	7	3	3	14	4	6	6	4	0	4	1	0	0	1	2									
		0.72%	0.53%	1.08%	0.55%	0.83%	1.02%	0.80%	1.06%	1.18%	0.91%	1.27%	1.09%	1.09%	0.69%	0.40%	0.67%	1.87%	0.87%	1.01%	0.94%	0.67%	0.86%	0.45%	1.21%	0.50%	0.89%	0.73%	1.10%	0.68%	1.15%	0.76%	0.76%	0.65%	0.80%	0.76%	0.68%	1.05%	0.29%	1.49%	1.35%	0.79%	0.88%	0.63%	0.86%	0.82%	0.84%	0.19%	0.65%	0.49%	0.55%	0.52%	0.72%	0.40%	0.77%	0.15%	1.09%	0.73%	0.49%	0.27%	0.63%	0.33%	0.64%	1.45%	0.85%	0.58%	0.64%	0.51%	0.00%	0.38%	0.80%	0.00%	0.00%	0.02%	0.15%									
24	"6. Политическая партия ""Гражданская Платформа"""	118	0	1	2	3	3	2	2	3	4	2	1	2	7	2	1	2	2	0	1	4	0	0	1	1	2	0	0	1	1	1	1	0	2	5	2	0	2	1	1	2	0	3	0	3	2	0	2	1	4	1	2	0	2	1	0	2	0	1	3	0	2	4	2	2	4	5	0	1	0	0	0	3	1									
		0.19%	0.00%	0.22%	0.37%	0.62%	0.30%	0.23%	0.30%	0.32%	0.41%	0.20%	0.14%	0.24%	0.69%	0.26%	0.13%	0.13%	0.19%	0.00%	0.10%	0.54%	0.00%	0.00%	0.13%	0.12%	0.30%	0.00%	0.00%	0.14%	0.13%	0.13%	0.11%	0.00%	0.27%	0.48%	0.27%	0.00%	0.29%	0.12%	0.15%	0.20%	0.00%	0.38%	0.00%	0.27%	0.28%	0.00%	0.26%	0.12%	0.55%	0.10%	0.21%	0.00%	0.26%	0.15%	0.00%	0.29%	0.00%	0.14%	0.27%	0.00%	0.43%	0.41%	0.43%	0.19%	0.43%	0.63%	0.00%	0.10%	0.00%	0.00%	0.00%	0.07%	0.08%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	8439	57	62	59	53	108	116	63	133	136	131	79	89	125	80	112	303	165	132	129	95	104	88	109	112	92	112	131	107	100	106	115	100	123	131	104	119	111	113	89	136	133	124	150	145	105	74	108	138	99	149	120	111	122	113	123	87	125	112	144	142	86	128	94	203	147	128	194	153	27	25	20	289	92									
		13.64%	10.05%	13.39%	10.85%	10.99%	10.98%	13.26%	9.56%	14.24%	13.81%	12.79%	10.79%	10.76%	12.27%	10.55%	14.95%	20.28%	15.87%	13.31%	13.52%	12.82%	14.86%	13.25%	14.65%	13.98%	13.61%	16.33%	14.44%	14.60%	12.76%	13.37%	12.45%	12.99%	16.40%	12.52%	14.15%	13.85%	15.83%	14.05%	13.30%	13.45%	14.71%	15.60%	14.30%	13.15%	14.62%	13.75%	14.06%	16.77%	13.52%	15.47%	12.38%	14.94%	15.72%	17.17%	14.91%	12.66%	15.36%	15.14%	12.94%	15.76%	18.45%	13.25%	20.04%	19.48%	15.79%	16.20%	20.21%	14.64%	21.60%	25.25%	13.51%	6.72%	6.97%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	553	7	5	8	2	16	16	7	11	16	14	15	14	11	6	7	15	11	7	16	4	7	1	2	9	3	6	9	5	2	12	9	9	11	7	6	3	8	8	8	13	9	10	8	5	8	2	13	3	8	8	10	6	8	5	9	6	4	4	14	9	1	8	8	19	6	5	2	5	0	0	1	3	0									
		0.89%	1.23%	1.08%	1.47%	0.41%	1.63%	1.83%	1.06%	1.18%	1.62%	1.37%	2.05%	1.69%	1.08%	0.79%	0.93%	1.00%	1.06%	0.71%	1.68%	0.54%	1.00%	0.15%	0.27%	1.12%	0.44%	0.87%	0.99%	0.68%	0.26%	1.51%	0.97%	1.17%	1.47%	0.67%	0.82%	0.35%	1.14%	0.99%	1.20%	1.29%	0.99%	1.26%	0.76%	0.45%	1.11%	0.37%	1.69%	0.36%	1.09%	0.83%	1.03%	0.81%	1.03%	0.76%	1.09%	0.87%	0.49%	0.54%	1.26%	0.99%	0.21%	0.83%	1.71%	1.82%	0.64%	0.63%	0.21%	0.48%	0.00%	0.00%	0.68%	0.07%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	793	16	9	12	8	17	11	14	20	31	21	16	13	24	11	13	29	22	23	11	9	13	6	6	13	9	10	6	5	10	11	8	10	5	14	7	9	6	6	13	20	18	6	12	18	11	2	15	7	6	8	8	6	5	9	5	10	6	9	11	13	7	25	8	10	9	10	6	9	0	0	1	4	2									
		1.28%	2.82%	1.94%	2.21%	1.66%	1.73%	1.26%	2.12%	2.14%	3.15%	2.05%	2.19%	1.57%	2.36%	1.45%	1.74%	1.94%	2.12%	2.32%	1.15%	1.21%	1.86%	0.90%	0.81%	1.62%	1.33%	1.46%	0.66%	0.68%	1.28%	1.39%	0.87%	1.30%	0.67%	1.34%	0.95%	1.05%	0.86%	0.75%	1.94%	1.98%	1.99%	0.75%	1.14%	1.63%	1.53%	0.37%	1.95%	0.85%	0.82%	0.83%	0.83%	0.81%	0.64%	1.37%	0.61%	1.46%	0.74%	1.22%	0.99%	1.44%	1.50%	2.59%	1.71%	0.96%	0.97%	1.27%	0.63%	0.86%	0.00%	0.00%	0.68%	0.09%	0.15%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	73	1	0	0	2	2	0	1	0	3	0	0	0	1	0	1	3	1	3	0	0	1	0	2	0	2	0	1	2	1	2	1	0	3	1	2	1	1	2	3	1	2	1	2	1	0	0	0	1	0	0	1	0	0	2	0	0	1	0	2	1	0	0	0	5	1	4	0	4	0	0	0	1	0									
		0.12%	0.18%	0.00%	0.00%	0.41%	0.20%	0.00%	0.15%	0.00%	0.30%	0.00%	0.00%	0.00%	0.10%	0.00%	0.13%	0.20%	0.10%	0.30%	0.00%	0.00%	0.14%	0.00%	0.27%	0.00%	0.30%	0.00%	0.11%	0.27%	0.13%	0.25%	0.11%	0.00%	0.40%	0.10%	0.27%	0.12%	0.14%	0.25%	0.45%	0.10%	0.22%	0.13%	0.19%	0.09%	0.00%	0.00%	0.00%	0.12%	0.00%	0.00%	0.10%	0.00%	0.00%	0.30%	0.00%	0.00%	0.12%	0.00%	0.18%	0.11%	0.00%	0.00%	0.00%	0.48%	0.11%	0.51%	0.00%	0.38%	0.00%	0.00%	0.00%	0.02%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1538	10	9	24	31	44	37	23	45	36	63	42	29	34	20	20	12	25	29	37	17	8	20	16	17	13	20	36	12	18	21	23	23	20	30	24	15	10	29	16	28	24	20	33	26	21	18	9	19	17	18	31	11	20	9	16	21	23	9	30	17	11	37	17	18	25	4	8	20	0	0	0	17	3									
		2.49%	1.76%	1.94%	4.41%	6.43%	4.47%	4.23%	3.49%	4.82%	3.65%	6.15%	5.74%	3.51%	3.34%	2.64%	2.67%	0.80%	2.40%	2.92%	3.88%	2.29%	1.14%	3.01%	2.15%	2.12%	1.92%	2.92%	3.97%	1.64%	2.30%	2.65%	2.49%	2.99%	2.67%	2.87%	3.27%	1.75%	1.43%	3.61%	2.39%	2.77%	2.65%	2.52%	3.15%	2.36%	2.92%	3.35%	1.17%	2.31%	2.32%	1.87%	3.20%	1.48%	2.58%	1.37%	1.94%	3.06%	2.83%	1.22%	2.70%	1.89%	2.36%	3.83%	3.62%	1.73%	2.69%	0.51%	0.83%	1.91%	0.00%	0.00%	0.00%	0.40%	0.23%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	10975	126	94	128	88	198	187	144	202	176	190	161	180	229	144	153	198	231	166	209	153	129	112	146	147	122	144	200	149	138	149	178	143	126	219	129	181	100	123	125	180	151	160	210	232	112	89	157	182	163	196	188	142	150	126	147	150	150	172	201	199	94	153	64	198	160	151	185	161	13	14	24	134	50									
		17.74%	22.22%	20.30%	23.53%	18.26%	20.12%	21.37%	21.85%	21.63%	17.87%	18.55%	21.99%	21.77%	22.47%	18.99%	20.43%	13.25%	22.21%	16.73%	21.91%	20.65%	18.43%	16.87%	19.62%	18.35%	18.05%	20.99%	22.05%	20.33%	17.60%	18.79%	19.26%	18.57%	16.80%	20.94%	17.55%	21.07%	14.27%	15.30%	18.68%	17.80%	16.70%	20.13%	20.02%	21.03%	15.60%	16.54%	20.44%	22.11%	22.27%	20.35%	19.40%	19.11%	19.33%	19.15%	17.82%	21.83%	18.43%	23.24%	18.06%	22.09%	20.17%	15.84%	13.65%	19.00%	17.19%	19.11%	19.27%	15.41%	10.40%	14.14%	16.22%	3.12%	3.79%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	356	3	0	9	4	7	1	3	9	6	8	4	5	7	7	3	19	8	8	8	5	6	6	8	11	3	0	7	7	6	2	2	6	3	5	7	3	3	10	2	8	1	1	0	6	7	2	2	1	6	8	4	7	5	2	3	4	2	1	7	6	7	9	5	5	3	4	3	6	0	1	2	6	1									
		0.58%	0.53%	0.00%	1.65%	0.83%	0.71%	0.11%	0.46%	0.96%	0.61%	0.78%	0.55%	0.60%	0.69%	0.92%	0.40%	1.27%	0.77%	0.81%	0.84%	0.67%	0.86%	0.90%	1.08%	1.37%	0.44%	0.00%	0.77%	0.95%	0.77%	0.25%	0.22%	0.78%	0.40%	0.48%	0.95%	0.35%	0.43%	1.24%	0.30%	0.79%	0.11%	0.13%	0.00%	0.54%	0.97%	0.37%	0.26%	0.12%	0.82%	0.83%	0.41%	0.94%	0.64%	0.30%	0.36%	0.58%	0.25%	0.14%	0.63%	0.67%	1.50%	0.93%	1.07%	0.48%	0.32%	0.51%	0.31%	0.57%	0.00%	1.01%	1.35%	0.14%	0.08%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	6585	77	63	69	61	117	112	81	97	79	109	75	93	130	93	98	104	117	127	106	84	70	88	96	98	115	84	111	98	93	95	100	104	115	126	81	112	110	111	94	111	110	112	133	168	98	73	105	102	100	97	108	86	90	78	84	73	117	80	150	85	55	85	54	87	83	52	66	77	9	8	7	35	14									
		10.65%	13.58%	13.61%	12.68%	12.66%	11.89%	12.80%	12.29%	10.39%	8.02%	10.64%	10.25%	11.25%	12.76%	12.27%	13.08%	6.96%	11.25%	12.80%	11.11%	11.34%	10.00%	13.25%	12.90%	12.23%	17.01%	12.24%	12.24%	13.37%	11.86%	11.98%	10.82%	13.51%	15.33%	12.05%	11.02%	13.04%	15.69%	13.81%	14.05%	10.98%	12.17%	14.09%	12.68%	15.23%	13.65%	13.57%	13.67%	12.39%	13.66%	10.07%	11.15%	11.57%	11.60%	11.85%	10.18%	10.63%	14.37%	10.81%	13.48%	9.43%	11.80%	8.80%	11.51%	8.35%	8.92%	6.58%	6.88%	7.37%	7.20%	8.08%	4.73%	0.81%	1.06%									
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
