Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																												
Дата голосования: 18.09.2016																												
																												
Наименование Избирательной комиссии:    Краснояружская																												
																												
Сводная таблица итогов голосования по федеральному избирательному округу																												
																												
		Сумма	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	69	8	1	3	6	0	10	3	1	1	6	0	6	3	8	8	2	3									
		0.68%	1.27%	0.17%	1.07%	0.93%	0.00%	1.87%	0.44%	0.20%	0.41%	1.66%	0.00%	0.48%	0.46%	0.91%	1.03%	0.22%	0.40%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	161	20	14	4	9	0	1	14	0	5	9	2	12	10	18	16	14	13									
		1.59%	3.17%	2.43%	1.42%	1.39%	0.00%	0.19%	2.06%	0.00%	2.06%	2.49%	1.30%	0.96%	1.54%	2.04%	2.05%	1.53%	1.75%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	108	7	6	3	5	0	2	5	18	1	2	0	2	19	17	15	4	2									
		1.07%	1.11%	1.04%	1.07%	0.77%	0.00%	0.37%	0.74%	3.62%	0.41%	0.55%	0.00%	0.16%	2.93%	1.93%	1.92%	0.44%	0.27%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	7305	400	459	196	486	278	472	463	367	165	253	144	980	406	553	447	714	522									
		72.23%	63.49%	79.83%	69.75%	75.00%	93.60%	88.39%	68.19%	73.84%	67.90%	70.08%	93.51%	78.71%	62.56%	62.63%	57.31%	77.95%	70.35%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	28	4	1	1	1	0	0	3	5	0	2	0	0	2	3	2	1	3									
		0.28%	0.63%	0.17%	0.36%	0.15%	0.00%	0.00%	0.44%	1.01%	0.00%	0.55%	0.00%	0.00%	0.31%	0.34%	0.26%	0.11%	0.40%									
24	"6. Политическая партия ""Гражданская Платформа"""	5	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0									
		0.05%	0.32%	0.00%	0.36%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.11%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1065	87	35	27	74	9	16	86	46	29	64	4	62	82	143	131	87	83									
		10.53%	13.81%	6.09%	9.61%	11.42%	3.03%	2.99%	12.67%	9.26%	11.93%	17.73%	2.60%	4.98%	12.63%	16.19%	16.79%	9.50%	11.19%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	25	3	3	0	0	0	4	1	1	1	0	0	2	2	2	2	1	3									
		0.25%	0.48%	0.52%	0.00%	0.00%	0.00%	0.75%	0.15%	0.20%	0.41%	0.00%	0.00%	0.16%	0.31%	0.23%	0.26%	0.11%	0.40%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	20	4	0	0	0	0	0	0	0	1	0	0	1	3	0	8	0	3									
		0.20%	0.63%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.00%	0.00%	0.08%	0.46%	0.00%	1.03%	0.00%	0.40%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	7	0	0	0	0	0	1	0	2	0	0	0	0	1	1	2	0	0									
		0.07%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.40%	0.00%	0.00%	0.00%	0.00%	0.15%	0.11%	0.26%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	52	3	2	4	1	0	2	6	4	5	0	0	5	10	4	3	3	0									
		0.51%	0.48%	0.35%	1.42%	0.15%	0.00%	0.37%	0.88%	0.80%	2.06%	0.00%	0.00%	0.40%	1.54%	0.45%	0.38%	0.33%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	845	67	24	25	37	6	12	67	44	26	18	4	111	78	101	106	63	56									
		8.35%	10.63%	4.17%	8.90%	5.71%	2.02%	2.25%	9.87%	8.85%	10.70%	4.99%	2.60%	8.92%	12.02%	11.44%	13.59%	6.88%	7.55%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	16	2	0	1	1	0	0	1	0	0	1	0	2	2	0	4	0	2									
		0.16%	0.32%	0.00%	0.36%	0.15%	0.00%	0.00%	0.15%	0.00%	0.00%	0.28%	0.00%	0.16%	0.31%	0.00%	0.51%	0.00%	0.27%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	282	17	11	7	21	3	9	20	4	8	4	0	50	23	19	21	21	44									
		2.79%	2.70%	1.91%	2.49%	3.24%	1.01%	1.69%	2.95%	0.80%	3.29%	1.11%	0.00%	4.02%	3.54%	2.15%	2.69%	2.29%	5.93%									
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
