Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																													
Дата голосования: 07.12.2003 0:00:00																																													
																																													
Наименование Избирательной комиссии:    Малоярославецкая																																													
																																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																													
																																													
		Сумма	УИК  449	УИК  450	УИК  451	УИК  452	УИК  453	УИК  454	УИК  455	УИК  456	УИК  457	УИК  458	УИК  459	УИК  460	УИК  461	УИК  462	УИК  463	УИК  464	УИК  465	УИК  466	УИК  467	УИК  468	УИК  469	УИК  470	УИК  471	УИК  472	УИК  473	УИК  474	УИК  475	УИК  476	УИК  477	УИК  478	УИК  479	УИК  480	УИК  481	УИК  482	УИК  483	УИК  484	УИК  485	УИК  486					
		2.62%	1.82%	4.23%	2.65%	3.44%	5.0%	1.01%	3.65%	2.81%	2.52%	4.48%	3.75%	3.08%	2.05%	0.73%	2.65%	4.83%	1.16%	3.29%	2.97%	2.13%	3.82%	2.28%	2.55%	1.54%	1.88%	4.33%	3.48%	4.71%	2.60%	2.21%	2.70%	3.93%	2.36%	1.55%	1.66%	3.88%	1.47%	2.34%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	729	19	15	4	1	1	6	4	2	29	1	5	15	13	0	2	0	3	2	7	6	5	3	24	25	55	33	29	23	16	22	26	57	72	72	47	16	19	50					
		3.35%	3.86%	4.88%	1.76%	1.14%	0.55%	1.01%	1.82%	2.81%	1.82%	0.44%	1.70%	2.10%	3.33%	0.0%	0.48%	0.0%	1.16%	1.09%	1.38%	3.20%	2.12%	1.14%	2.27%	2.27%	5.75%	4.08%	2.80%	4.71%	2.97%	2.21%	3.05%	5.34%	5.48%	6.58%	6.53%	3.65%	2.81%	5.86%					
22	"5. ""За Русь Святую"""	220	10	0	0	0	1	5	4	1	23	2	6	7	4	1	3	0	4	1	2	0	2	8	7	3	12	10	12	9	7	7	7	5	13	4	6	6	8	20					
		1.01%	2.03%	0.0%	0.0%	0.0%	0.55%	0.84%	1.82%	1.40%	1.45%	0.89%	2.04%	0.98%	1.02%	0.36%	0.72%	0.0%	1.55%	0.54%	0.39%	0.0%	0.85%	3.04%	0.66%	0.27%	1.25%	1.23%	1.16%	1.84%	1.30%	0.70%	0.82%	0.46%	0.99%	0.36%	0.83%	1.36%	1.18%	2.34%					
23	"6. ""Объединенная Российская партия ""Русь"""	71	1	0	0	2	1	3	0	0	5	6	5	4	2	1	0	0	1	3	0	0	1	2	3	3	4	2	3	3	3	3	0	0	1	1	2	1	3	2					
		0.32%	0.20%	0.0%	0.0%	2.29%	0.55%	0.50%	0.0%	0.0%	0.31%	2.69%	1.70%	0.56%	0.51%	0.36%	0.0%	0.0%	0.38%	1.64%	0.0%	0.0%	0.42%	0.76%	0.28%	0.27%	0.41%	0.24%	0.29%	0.61%	0.55%	0.30%	0.0%	0.0%	0.07%	0.09%	0.27%	0.22%	0.44%	0.23%					
24	"7. ""Новый курс - Автомобильная Россия"""	176	3	7	2	0	0	3	3	0	11	2	1	11	3	6	5	0	1	1	4	0	1	0	9	8	5	6	5	3	6	8	2	11	15	13	10	5	4	2					
		0.80%	0.60%	2.28%	0.88%	0.0%	0.0%	0.50%	1.36%	0.0%	0.69%	0.89%	0.34%	1.54%	0.76%	2.19%	1.20%	0.0%	0.38%	0.54%	0.79%	0.0%	0.42%	0.0%	0.85%	0.72%	0.52%	0.74%	0.48%	0.61%	1.11%	0.80%	0.23%	1.03%	1.14%	1.18%	1.39%	1.14%	0.59%	0.23%					
25	"8. ""Народно-республиканская партия России"""	24	0	0	0	0	0	0	0	0	3	0	1	2	0	0	1	0	4	1	1	0	0	1	1	2	1	1	1	0	0	1	1	1	0	0	0	1	0	0					
		0.11%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	0.0%	0.34%	0.28%	0.0%	0.0%	0.24%	0.0%	1.55%	0.54%	0.19%	0.0%	0.0%	0.38%	0.09%	0.18%	0.10%	0.12%	0.09%	0.0%	0.0%	0.10%	0.11%	0.09%	0.0%	0.0%	0.0%	0.22%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	59	0	0	1	0	0	0	1	0	6	0	0	1	4	0	0	0	0	1	0	0	0	1	5	3	2	2	4	0	1	1	3	3	2	6	4	4	2	2					
		0.27%	0.0%	0.0%	0.44%	0.0%	0.0%	0.0%	0.45%	0.0%	0.37%	0.0%	0.0%	0.14%	1.02%	0.0%	0.0%	0.0%	0.0%	0.54%	0.0%	0.0%	0.0%	0.38%	0.47%	0.27%	0.20%	0.24%	0.38%	0.0%	0.18%	0.10%	0.35%	0.28%	0.15%	0.54%	0.55%	0.91%	0.29%	0.23%					
27	"10. ""Аграрная партия России"""	1266	25	10	15	5	13	58	30	3	148	25	19	63	27	14	34	2	31	22	46	27	13	13	51	84	63	33	38	26	27	45	25	47	44	37	16	26	32	29					
		5.82%	5.08%	3.25%	6.63%	5.74%	7.22%	9.78%	13.69%	4.22%	9.33%	11.21%	6.48%	8.83%	6.92%	5.12%	8.19%	3.22%	12.01%	12.08%	9.12%	14.43%	5.53%	4.94%	4.82%	7.64%	6.59%	4.08%	3.67%	5.32%	5.01%	4.54%	2.94%	4.40%	3.35%	3.38%	2.22%	5.93%	4.73%	3.40%					
28	"11. ""Истинные патриоты России"""	32	1	0	0	1	0	0	0	0	3	2	0	0	0	0	0	0	0	0	1	0	1	1	1	6	1	1	2	0	2	2	0	2	0	0	1	0	3	1					
		0.14%	0.20%	0.0%	0.0%	1.14%	0.0%	0.0%	0.0%	0.0%	0.18%	0.89%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.19%	0.0%	0.42%	0.38%	0.09%	0.54%	0.10%	0.12%	0.19%	0.0%	0.37%	0.20%	0.0%	0.18%	0.0%	0.0%	0.13%	0.0%	0.44%	0.11%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	248	3	2	0	0	0	6	0	3	15	10	7	5	5	1	4	1	1	3	2	3	2	6	14	4	16	10	16	5	2	16	19	11	12	19	9	9	4	3					
		1.14%	0.60%	0.65%	0.0%	0.0%	0.0%	1.01%	0.0%	4.22%	0.94%	4.48%	2.38%	0.70%	1.28%	0.36%	0.96%	1.61%	0.38%	1.64%	0.39%	1.60%	0.85%	2.28%	1.32%	0.36%	1.67%	1.23%	1.54%	1.02%	0.37%	1.61%	2.23%	1.03%	0.91%	1.73%	1.25%	2.05%	0.59%	0.35%					
30	"13. ""Демократическая партия России"""	45	0	2	1	0	0	1	1	0	5	0	0	1	0	0	2	0	0	1	2	0	1	4	1	0	1	2	1	1	2	3	3	0	4	1	2	0	0	3					
		0.20%	0.0%	0.65%	0.44%	0.0%	0.0%	0.16%	0.45%	0.0%	0.31%	0.0%	0.0%	0.14%	0.0%	0.0%	0.48%	0.0%	0.0%	0.54%	0.39%	0.0%	0.42%	1.52%	0.09%	0.0%	0.10%	0.24%	0.09%	0.20%	0.37%	0.30%	0.35%	0.0%	0.30%	0.09%	0.27%	0.0%	0.0%	0.35%					
31	"14. ""Великая Россия - Евразийский Союз"""	66	4	0	3	0	0	0	0	0	5	1	2	1	2	2	4	1	0	2	3	1	0	2	5	3	2	2	2	1	0	1	1	1	7	5	0	0	0	3					
		0.30%	0.81%	0.0%	1.32%	0.0%	0.0%	0.0%	0.0%	0.0%	0.31%	0.44%	0.68%	0.14%	0.51%	0.73%	0.96%	1.61%	0.0%	1.09%	0.59%	0.53%	0.0%	0.76%	0.47%	0.27%	0.20%	0.24%	0.19%	0.20%	0.0%	0.10%	0.11%	0.09%	0.53%	0.45%	0.0%	0.0%	0.0%	0.35%					
32	"15. ""Партия СЛОН"""	48	0	0	2	0	0	1	0	0	11	1	2	2	0	1	1	0	0	1	1	0	0	1	1	2	3	1	1	0	1	2	3	2	2	2	1	1	2	0					
		0.22%	0.0%	0.0%	0.88%	0.0%	0.0%	0.16%	0.0%	0.0%	0.69%	0.44%	0.68%	0.28%	0.0%	0.36%	0.24%	0.0%	0.0%	0.54%	0.19%	0.0%	0.0%	0.38%	0.09%	0.18%	0.31%	0.12%	0.09%	0.0%	0.18%	0.20%	0.35%	0.18%	0.15%	0.18%	0.13%	0.22%	0.29%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	2630	43	52	23	6	11	29	24	6	161	13	38	62	36	11	31	6	3	17	34	21	30	17	104	94	137	129	152	60	66	129	165	159	226	152	100	77	91	115					
		12.10%	8.73%	16.93%	10.17%	6.89%	6.11%	4.89%	10.95%	8.45%	10.15%	5.82%	12.96%	8.69%	9.23%	4.02%	7.46%	9.67%	1.16%	9.34%	6.74%	11.22%	12.76%	6.46%	9.84%	8.55%	14.34%	15.98%	14.71%	12.29%	12.26%	13.01%	19.41%	14.91%	17.22%	13.89%	13.90%	17.57%	13.46%	13.49%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	46	1	0	0	2	0	0	1	0	4	1	0	1	1	2	2	0	2	0	3	0	3	0	1	5	0	0	2	1	0	3	3	1	1	0	1	1	2	2					
		0.21%	0.20%	0.0%	0.0%	2.29%	0.0%	0.0%	0.45%	0.0%	0.25%	0.44%	0.0%	0.14%	0.25%	0.73%	0.48%	0.0%	0.77%	0.0%	0.59%	0.0%	1.27%	0.0%	0.09%	0.45%	0.0%	0.0%	0.19%	0.20%	0.0%	0.30%	0.35%	0.09%	0.07%	0.0%	0.13%	0.22%	0.29%	0.23%					
35	"18. ""ЛДПР"""	2513	39	29	41	9	24	50	31	11	204	17	34	108	49	17	46	9	22	18	49	23	25	17	121	148	124	84	106	45	56	155	102	124	152	102	88	44	101	89					
		11.56%	7.92%	9.44%	18.14%	10.34%	13.33%	8.43%	14.15%	15.49%	12.86%	7.62%	11.60%	15.14%	12.56%	6.22%	11.08%	14.51%	8.52%	9.89%	9.72%	12.29%	10.63%	6.46%	11.45%	13.46%	12.98%	10.40%	10.26%	9.22%	10.40%	15.64%	12.0%	11.63%	11.58%	9.32%	12.23%	10.04%	14.94%	10.44%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	410	16	8	5	3	1	4	8	0	35	8	7	15	4	2	8	1	7	5	15	4	4	5	17	15	18	15	29	7	12	23	13	15	21	13	10	8	15	14					
		1.88%	3.25%	2.60%	2.21%	3.44%	0.55%	0.67%	3.65%	0.0%	2.20%	3.58%	2.38%	2.10%	1.02%	0.73%	1.92%	1.61%	2.71%	2.74%	2.97%	2.13%	1.70%	1.90%	1.60%	1.36%	1.88%	1.85%	2.80%	1.43%	2.23%	2.32%	1.52%	1.40%	1.60%	1.18%	1.39%	1.82%	2.21%	1.64%					
37	"20. ""Политическая партия ""Единая Россия"""	7833	236	98	84	39	82	295	48	21	566	80	107	274	136	165	188	25	146	43	196	66	85	128	444	420	287	266	329	167	196	332	265	316	361	425	245	134	231	307					
		36.04%	47.96%	31.92%	37.16%	44.82%	45.55%	49.74%	21.91%	29.57%	35.68%	35.87%	36.51%	38.42%	34.87%	60.43%	45.30%	40.32%	56.58%	23.62%	38.88%	35.29%	36.17%	48.66%	42.04%	38.21%	30.05%	32.96%	31.84%	34.22%	36.43%	33.50%	31.17%	29.64%	27.51%	38.84%	34.07%	30.59%	34.17%	36.03%					
38	"21. ""Российская Конституционно-демократическая партия"""	28	1	1	1	0	0	4	0	0	1	0	1	1	0	0	0	0	0	0	4	0	1	0	2	0	0	0	0	1	0	1	1	1	1	2	2	1	0	1					
		0.12%	0.20%	0.32%	0.44%	0.0%	0.0%	0.67%	0.0%	0.0%	0.06%	0.0%	0.34%	0.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.79%	0.0%	0.42%	0.0%	0.18%	0.0%	0.0%	0.0%	0.0%	0.20%	0.0%	0.10%	0.11%	0.09%	0.07%	0.18%	0.27%	0.22%	0.0%	0.11%					
39	"22. ""Развитие предпринимательства"""	44	0	0	1	1	0	1	0	0	1	0	0	2	0	1	0	0	1	1	1	0	0	2	1	0	1	1	5	0	1	1	3	3	6	4	2	1	2	1					
		0.20%	0.0%	0.0%	0.44%	1.14%	0.0%	0.16%	0.0%	0.0%	0.06%	0.0%	0.0%	0.28%	0.0%	0.36%	0.0%	0.0%	0.38%	0.54%	0.19%	0.0%	0.0%	0.76%	0.09%	0.0%	0.10%	0.12%	0.48%	0.0%	0.18%	0.10%	0.35%	0.28%	0.45%	0.36%	0.27%	0.22%	0.29%	0.11%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	2630	51	42	26	12	24	78	34	16	126	16	33	54	53	22	47	7	12	32	68	27	36	24	129	165	120	84	156	69	72	127	103	157	202	82	65	66	89	104					
		12.10%	10.36%	13.68%	11.50%	13.79%	13.33%	13.15%	15.52%	22.53%	7.94%	7.17%	11.26%	7.57%	13.58%	8.05%	11.32%	11.29%	4.65%	17.58%	13.49%	14.43%	15.31%	9.12%	12.21%	15.01%	12.56%	10.40%	15.10%	14.13%	13.38%	12.81%	12.11%	14.72%	15.39%	7.49%	9.04%	15.06%	13.16%	12.20%					
																																													
41	Против всех	1018	17	10	8	1	5	22	10	3	112	16	7	32	15	13	14	4	6	7	31	4	10	8	44	49	37	49	57	19	22	51	35	50	77	51	47	8	30	37					
		4.68%	3.45%	3.25%	3.53%	1.14%	2.77%	3.70%	4.56%	4.22%	7.06%	7.17%	2.38%	4.48%	3.84%	4.76%	3.37%	6.45%	2.32%	3.84%	6.15%	2.13%	4.25%	3.04%	4.16%	4.45%	3.87%	6.07%	5.51%	3.89%	4.08%	5.14%	4.11%	4.69%	5.86%	4.66%	6.53%	1.82%	4.43%	4.34%					
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
